topicname	org	name	phone
По вопросам работы пассажирского транспорта		ГУП «Московский метрополитен»Горячая линияСправочная метрополитенаПейджер для обращений пассажировДежурная часть УВД на Московском метрополитене	8 (499) 787-25-86(круглосуточно)8 (495) 622-15-688 (495) 660-10-55(абонент «Метро»)8 (495) 622-71-94
По вопросам работы пассажирского транспорта		ГУП «Мосгортранс»СправочнаяКруглосуточный автоответчик	8 (495) 950-42-04(с 8.00 до 20.00),8 (495) 951-14-29(по рабочим днямс 9.00 до 19.00 )8 (495) 953-00-61
По вопросам градостроительной политики и строительства		Проблемы в домах-новостройках	8 (495) 650-50-55(8.00-17.00 по р.д., остальное время – в авт. режиме)
По вопросам градостроительной политики и строительства		Строительство вблизи домов, шум от строек в ночное время, точечные застройки	8 (495) 699-41-47(8.00-17.00 по р.д., пятн.: до 15.00, остальное время – в авт. режиме)
По вопросам градостроительной политики и строительства		Горячая линия Департамента градостроительной политики города Москвы (комплексная реконструкция жилых кварталов, развитие территорий упраздненных и&nbsp;существующих деревень и&nbsp;поселков на&nbsp;территории города)	8 (495) 739-02-39(8.00-20.00 по р.д., после включения автоответчика необходимо дождаться ответа оператора)
По вопросам градостроительной политики и строительства		ГУП города Москвы «Дирекция гаражного строительства» (Департамент строительства города Москвы) (по вопросам гаражного строительства)	8 (495) 730-95-51(9.00-18.00, кроме воскр. и праздн. дней)
По вопросам градостроительной политики и строительства		Горячая линия Мосгорнаследия по вопросам сноса или повреждения исторических зданий	+7 (916) 146-53-27(круглосуточно)
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	По вопросам СПИДа(круглосуточно)	8 (495) 366-62-38
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	Организация здравоохранения (качество обслуживания в больницах: отношение к больным, вымогательство)(круглосуточно)	8 (499) 251-83-00
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	Организация здравоохранения(8.00-20.00 по р.д.)	8 (499) 251-14-55
Вопросы здравоохранения и образования	Управление фармации 
(Департамент здравоохранения города Москвы)	Льготное приобретение лекарств(8.00-17.00 по р.д.; пятн.: до 15.45)	8 (495) 652-82-37
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	Наличие лекарств в аптеках(8.00-20.00 по р.д.)	8 (495) 627-05-61
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	По вопросам вскармливания грудных детей(8.00-20.00, ежедневно)	8 (495) 772-09-32
Вопросы здравоохранения и образования	Департамент здравоохранения города Москвы	По вопросам акушерской службы (роддомов)(8.00-16.00 по р. д.)	8 (495) 332-21-13
Вопросы здравоохранения и образования	Департамент образования города Москвы	По вопросам работы образовательных учреждений города(9.00-16.00 по р.д.)	8 (495) 366-70-94
Вопросы здравоохранения и образования	Департамент образования города Москвы	По вопросам незаконных денежных сборов с родителей(9.00-16.00 по р.д.)	8 (495) 366-81-94
Вопросы здравоохранения и образования	Городская инспекция при Департаменте образования города Москвы	Прием информации о поборах в школах и детсадах(8.30-17.30 по раб. дням, пятн.: 8.30-16.15)	8 (495) 366-68-50
Вопросы здравоохранения и образования	ЦАО	"Горячие линии" управлений образования административных округов города Москвы о поборах в школах и детсадах	8 (495) 915-05-40
Вопросы здравоохранения и образования	САО		8 (495) 456-51-83
Вопросы здравоохранения и образования	СВАО		8 (495) 619-10-17
Вопросы здравоохранения и образования	ВАО		8 (495) 963-55-35
Вопросы здравоохранения и образования	ЮВАО		8 (495) 350-07-22
Вопросы здравоохранения и образования	ЮАО		8 (499) 614-88-50
Вопросы здравоохранения и образования	ЮЗАО		8 (499) 120-31-56
Вопросы здравоохранения и образования	ЗАО		8 (499) 249-08-86
Вопросы здравоохранения и образования	СЗАО		8 (495) 947-77-20
Вопросы здравоохранения и образования	ЗелАО		8 (499) 735-44-49
Вопросы здравоохранения и образования	Центр экстренной психологической помощи 
(Департамент образования города Москвы)	Помощь психиатров, психологов(круглосуточно)	8 (495) 624-60-01
По вопросам имущественно-земельных отношений		Департамент городского имущества города Москвы(по вопросам оформления земельно-правовых отношений)	8 (495) 959-18-88понед.-четв.: с&nbsp;8.00 до&nbsp;17.00, пятн.: с&nbsp;8.00 до&nbsp;15.45
Иные городские организации	Союз комитетов солдатских матерей России	Призыв на срочную службу(11.00&mdash;18.00по&nbsp;раб. дн.)	8 (495) 679-19-26
Иные городские организации	Департамент региональной безопасности города Москвы	Правовая помощь военнослужащим(9.00-17.00 по р.д.  во время призыва)	8 (495) 628-25-06
Иные городские организации	Управление ГИБДД ГУВД по&nbsp;городу Москве	Жалобы на&nbsp;действия сотрудников ДПС при эвакуации а/м(круглосуточно)	8 (495) 518-33-83(телефон доверия)
Иные городские организации	Общество защиты прав водителей, правозащитные организации(117334, Москва, ул.&nbsp;Косыгина,д.&nbsp;15, блок &laquo;А&raquo;)	Защита законных интересов и&nbsp;прав водителей от&nbsp;неправомерных действий государственных органов и&nbsp;организаций(10.00&mdash;19.00по&nbsp;раб. дн.)	8 (495) 938-19-65
Иные городские организации	ЦАО	По&nbsp;вопросам прав потребителей в&nbsp;территориальных отделах ТУ&nbsp;Роспотребнадзора по&nbsp;городу Москве в&nbsp;административных округах(09.00&mdash;17.00 по раб. дн.)	8 (495) 692-43-10
Иные городские организации	САО		8 (495) 452-38-18
Иные городские организации	СВАО		8 (495) 615-96-51
Иные городские организации	ВАО		8 (495) 368-20-05
Иные городские организации	ЮВАО		8 (495) 919-36-91
Иные городские организации	ЮАО		8 (495) 343-78-49
Иные городские организации	ЮЗАО		8 (495) 779-35-88
Иные городские организации	ЗАО		8 (499) 144-07-92
Иные городские организации	СЗАО		8 (499) 190-15-61
Иные городские организации	ЗелАО		8 (499) 735-65-39
«Горячие линии» федерального подчинения		Генеральный штаб ВС РФ (консультации по вопросам отсрочки от призыва в армию)	8 (495) 696-64-03(10.00—12.00 — по вт. и четв.; во время призывной кампании, весной — после 9 Мая)
«Горячие линии» федерального подчинения		Главная военная прокуратура (консультации по вопросам законодательства, связанного с призывом, прием жалоб на неправомерные действия военачальников)	8 (499) 244-52-75(09.00—18.00 по раб. дн.; пятн. — 09.00—17.00; во время призывной кампании)
«Горячие линии» федерального подчинения		Военная прокуратура МВО (призыв на срочную службу)	8 (495) 950-76-23(09.00—18.00 по раб. дн.; пятн. — 09.00—17.00; во время призывной кампании)
«Горячие линии» федерального подчинения		Управление по Центральному федеральному округу 1-го департамента Федеральной службы РФ по контролю за оборотом наркотиков (распространение, употребление и незаконный оборот наркотиков)	8 (495) 621-43-91,8 (495) 671-45-92(телефон доверия)(круглосуточно)
«Горячие линии» федерального подчинения		Минздравсоцразвития РФ (по вопросам донорства крови и ее компонентов)	8 (800) 333-333-0(круглосуточно)www.yadonor.ru
