№ строки	Название	Адрес	Название ансамбля	Статус	Категория
1420	Ограда	ЦАО	Городская усадьба, конец XIX - начало ХХ вв.	объект культурного наследия	Объект культурного наследия федерального значения
1421	Гранитная Ограда по улице	ЦАО	Городская усадьба, конец XIX - начало ХХ вв.	объект культурного наследия	Объект культурного наследия федерального значения
1422	Здание Московского уездного Совета, в котором 17 мая 1919 г. Ленин Владимир Ильич выступил на V Московском чрезвычайном уездном съезде Советов	Садовая-Сухаревская ул., дом 11	"	объект культурного наследия	Объект культурного наследия федерального значения
1423	Особняк, 1908 г., арх. А. Правдин	Садовая-Сухаревская ул., дом 5	"	объект культурного наследия	Объект культурного наследия регионального значения
1424	Административно-жилое здание, 1949-1953 гг., арх. Душкин А.Н., Мезенцев Б.С.	Садовая-Спасская ул., дом 21/1	"	объект культурного наследия	Объект культурного наследия регионального значения
1425	Доходный дом, 1904 г., архитектор О.О.Шишковский	Садовая-Спасская ул., дом 19	Доходные дома купца Ф.И.Афремова, нач XX в.	объект культурного наследия	Объект культурного наследия регионального значения
1426	Здание  Наркомзема: ныне Министерство сельского хозяйства СССР, 1928-1933 гг., арх. Щусев А.В.	Садовая-Спасская ул., дом 11/1	"	объект культурного наследия	Объект культурного наследия регионального значения
1427	Дом Мамонтова с двухэтажной квартирой худ. М.А.Врубеля, построенной по его проекту в 1891-1892 гг. В доме два майоликовых камина и две печи, сделанные по эскизам Врубеля	Садовая-Спасская ул., дом 6 строение 2	"	объект культурного наследия	Объект культурного наследия федерального значения
1428	Ограда, XIX в.	ЦАО	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1429	Ретирада	Садовая-Спасская ул., дом 1/2 строение 1Б	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1430	Ретирада	ЦАО, нет данных БТИ	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1431	Солдатский корпус № 4	Садовая-Спасская ул., дом 1/2	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1432	Церковь Спасская, 1714 г.	Свободный просп., дом 4А	"	объект культурного наследия	Объект культурного наследия федерального значения
1433	Усадьба "Терлецких" (6.3 га) парк	Свободный просп., дом 4А	"	объект культурного наследия	Объект культурного наследия регионального значения
1434	Ротонда	СЗАО	Усадьба П.С.Щербатова, XVII-XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1435	Парк	СЗАО	Усадьба П.С.Щербатова, XVII-XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1436	Главный дом, XVIII в.	Светлогорский пр., дом 13	Усадьба П.С.Щербатова, XVII-XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1437	Палаты гостя Сверчковa, XVII в.	Сверчков пер., дом 8 строение 3	"	объект культурного наследия	Объект культурного наследия федерального значения
1438	Дом, начало XIX в., с пилонами ворот	ЦАО, нет адреса БТИ	"	объект культурного наследия	Объект культурного наследия федерального значения
1439	Бюст маршала Ф.И.Толбухина, 1959 г., ск. Л.Е.Кербель, арх. Г.А.Захаров; бронза, лабрадорит	ЦАО	"	объект культурного наследия	Объект культурного наследия федерального значения
1440	Самотечный бульвар (7.0 Га)	ЦАО	"	объект культурного наследия	Объект культурного наследия регионального значения
1441	Самотечный бульвар (7.0 Га)	ЦАО	"	объект культурного наследия	Объект культурного наследия регионального значения
1442	Бюст дважды Героя Советского Союза В.И.Попкова, 1953 г., ск. Л.Е.Кербель, арх. Л.Г.Голубовский, бронза, гранит	ЦАО	"	объект культурного наследия	Объект культурного наследия регионального значения
1443	Введенская Церковь	Самокатная ул., дом 3/8 строение 17	Введенская единоверческая община, начало XIX в.	объект культурного наследия	Объект культурного наследия федерального значения
1444	Троицкая Церковь	Самокатная ул., дом 3/8 строение 16	Введенская единоверческая община, начало XIX в.	объект культурного наследия	Объект культурного наследия федерального значения
1445	Введенская единоверческая община, начало XIX в.	ЮВАО, Самокатная ул.	"	объект культурного наследия	Объект культурного наследия федерального значения
1446	Введенская единоверческая община, начало XIX в.	ЮВАО, Самокатная ул.	"	объект культурного наследия	Объект культурного наследия федерального значения
1447	Солдатский корпус № 3	Садовая-Спасская ул., дом 1/2 строение 3	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1448	Солдатский корпус № 2 со стеной оградой по Спасской улице	Садовая-Спасская ул., дом 1/2	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1449	Боковой флигель, начало XIX в.	Садовая-Спасская ул., дом 1/2	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1450	Дом Н.И.Новикова (И.С.Гендрикова), 1775 г., по проекту арх. В.И.Баженова. Построен арх. Н.Н.Леграном главный дом	Садовая-Спасская ул., дом 1/2	Комплекс Спасских казарм, 1798 г., 1842 г.	объект культурного наследия	Объект культурного наследия федерального значения
1451	Жилой дом, начало XIX в.	Садовая-Самотёчная ул., дом 8	"	объект культурного наследия	Объект культурного наследия федерального значения
1452	Декоративные часы из металла с движущимися элементами на фасаде Центрального государственного театра кукол, 1970 г., скульптор Шаховской Д.М., Шимес П.М., медь кованая	ЦАО	Театр кукол Образцова С.В. Комплекс. 1970-1980 гг. Арх. Ю.Н.Шевердяев, О.М.Гарсиа, А.П.Мелихов, В.И.Уткин, констр. Н.И.Журавлева, Б.А.Новиков. Здесь в 1970-1992 гг. работал театральный деятель, актер и режиссер, народный артист СССР С.В.Образцов	объект культурного наследия	Объект культурного наследия регионального значения
1453	Доходный дом, 1901 г., арх. А.Чижиков	Садовая-Кудринская ул., дом 23 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
1454	Памятник Н.Ф.Филатову, 1960 г., ск. Д.П.Шварц, арх.Ю.Я.Сосенко; гранит	ЦАО	"	объект культурного наследия	Объект культурного наследия федерального значения
1455	Дом Протковой (деревянный), 1809 г., арх. О.И.Бове	Садовая-Кудринская ул., дом 15 строение 1	Два дома:	объект культурного наследия	Объект культурного наследия федерального значения
1456	Дом Гагарина, 1792 г., с перестройкой начала XIX в., арх. О.И.Бове	Садовая-Кудринская ул., дом 15 строение 3А	Два дома:	объект культурного наследия	Объект культурного наследия федерального значения
1457	Служебный корпус	Садовая-Кудринская ул., дом 7 строение 13	Два флигеля и два служебных корпуса городской усадьбы (Мещерской - Бутурлиных), XVIII-XIX вв.	объект культурного наследия	Объект культурного наследия регионального значения
1458	Служебный корпус	Садовая-Кудринская ул., дом 7 строение 8	Два флигеля и два служебных корпуса городской усадьбы (Мещерской - Бутурлиных), XVIII-XIX вв.	объект культурного наследия	Объект культурного наследия регионального значения
1459	Флигель одноэтажный южный	Садовая-Кудринская ул., дом 7 строение 17	Городская усадьба, XVIII-XIX вв. (Мещерской-Бутурлиных)	объект культурного наследия	Объект культурного наследия федерального значения
1460	Флигель одноэтажный северо-восточный	Садовая-Кудринская ул., дом 7 строение 5	Городская усадьба, XVIII-XIX вв. (Мещерской-Бутурлиных)	объект культурного наследия	Объект культурного наследия федерального значения
1461	Дом, конец XVIII в. с интерьерами, арх. М.Ф.Казаков	Садовая-Кудринская ул., дом 7 строение 22	"	объект культурного наследия	Объект культурного наследия федерального значения
1462	Дом, в котором жил Чехов Антон Павлович в 1886-1890 гг. В доме музей А.П.Чехова	Садовая-Кудринская ул., дом 6 строение 2	"	объект культурного наследия	Объект культурного наследия федерального значения
1463	Планетарий, 1927-1929 гг., арх. Барщ М.О., Синявский М.И., Зундблат Г.А.	Садовая-Кудринская ул., дом 5 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
1464	Военно-политическая Академия им. В.И.Ленина, 1930-1934 гг., арх. Щусев А.В., Яковлев Г.К.	Большая Садовая ул., дом 14 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
1465	Дом, в котором с конца 1921 г. по 1924 г. жил писатель М.А.Булгаков (кв.50; кв.34). Здесь жили и работали художники А.В.Лентулов и П.П.Кончаловский, В.И.Суриков, строитель Днепрогэса А.В.Винтер и др.	Большая Садовая ул., дом 10	"	объект культурного наследия	Объект культурного наследия регионального значения
1466	Флигель-мастерская, арх. Ф.О.Шехтель	Большая Садовая ул., дом 4 строение 2	Особняк Ф.О.Шехтеля с флигелем-мастерской, арх. Ф.О.Шехтель	объект культурного наследия	Объект культурного наследия регионального значения
1467	Особняк Ф.О.Шехтеля Ф.О., арх. Ф.О.Шехтель	Большая Садовая ул., дом 4 строение 1	Особняк Ф.О.Шехтеля с флигелем-мастерской, арх. Ф.О.Шехтель	объект культурного наследия	Объект культурного наследия федерального значения
1468	Южный дом причта	Савёловский пр., дом 8 строение 1	Ансамбль Миусского кладбища, конец XVIII - начало XIX в., арх. А.Ф.Элькинский	объект культурного наследия	Объект культурного наследия федерального значения
1469	северный дом причта	Савёловский пр., дом 8 строение 2	Ансамбль Миусского кладбища, конец XVIII - начало XIX в., арх. А.Ф.Элькинский	объект культурного наследия	Объект культурного наследия федерального значения
1470	Каменная ограда с пилонами ворот,  XIX в.	Большой Саввинский пер., дом 10 строение 1	"	объект культурного наследия	Объект культурного наследия федерального значения
1471	Каменная ограда с пилонами ворот,  XIX в.	Большой Саввинский пер., дом 10 строение 1	"	объект культурного наследия	Объект культурного наследия федерального значения
1472	Ограда с двумя воротами	ЦАО	Городская усадьба, конец XVIII - начало XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1473	восточный Флигель	ЦАО, нет адреса БТИ	Городская усадьба, конец XVIII - начало XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1474	западный Флигель	ЦАО, нет адреса БТИ	Городская усадьба, конец XVIII - начало XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1475	Главный дом	ЦАО, нет адреса БТИ	Городская усадьба, конец XVIII - начало XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1476	Церковь Знамения, 1784 г., XIX в.	Рязанский просп., дом 3 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
1477	Усадьба Троекурово"	ЗАО	"	объект культурного наследия	Объект культурного наследия регионального значения
1478	Церковь Никольская, 1706 г.	ЗАО, Рябиновая ул., нет адреса БТИ	"	объект культурного наследия	Объект культурного наследия регионального значения
1479	Церковь Спаса на Сетуни, 1676 г.	Рябиновая ул., дом 18	"	объект культурного наследия	Объект культурного наследия регионального значения
1480	Особняк, нач. XX в. главный дом	Яузская ул., дом 10/2 строение 1	"	объект культурного наследия	Объект культурного наследия федерального значения
1481	Новый Гостиничный двор, начало XIX в.	Рыбный пер., дом 3	"	объект культурного наследия	Объект культурного наследия федерального значения
1482	Особняк И.Л.Динга, 1903 г., арх. А.М.Калмыков главный дом	3-я Рыбинская ул., дом 22 строение 4	"	объект культурного наследия	Объект культурного наследия регионального значения
1483	Клуб фабрики "Буревестник", 1927-1929 гг., арх. Мельников К.С.	3-я Рыбинская ул., дом 17	"	объект культурного наследия	Объект культурного наследия регионального значения
1484	Клуб фабрики "Буревестник", 1927-1929 гг., арх. Мельников К.С.	3-я Рыбинская ул., дом 17	"	объект культурного наследия	Объект культурного наследия регионального значения
1485	Фрагмент ограды, 1880-е гг., архитектор М.К.Геппенер	ВАО	Сокольнический частный (полицейский) дом, 1880-е гг., архитектор М.К.Геппенер	объект культурного наследия	Объект культурного наследия регионального значения
1486	Фрагмент ограды, 1880-е гг., архитектор М.К.Геппенер	ВАО	Сокольнический частный (полицейский) дом, 1880-е гг., архитектор М.К.Геппенер	объект культурного наследия	Объект культурного наследия регионального значения
1487	Главный корпус, 1880-е гг., архитектор М.К.Геппенер	Русаковская ул., дом 26	Сокольнический частный (полицейский) дом, 1880-е гг., архитектор М.К.Геппенер	объект культурного наследия	Объект культурного наследия регионального значения
1488	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1489	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1490	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1491	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1492	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1493	Ограда	ЮАО	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1494	северный Боковой Флигель	4-й Рощинский пр., дом 30 строение 11	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1495	Здание Богадельни приюта	4-й Рощинский пр., дом 30 строение 3	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1496	Южный Боковой Флигель	4-й Рощинский пр., дом 30 строение 7	Ансамбль Даниловского монастыря, 1832 г., арх. Ф.М.Шестаков	объект культурного наследия	Объект культурного наследия федерального значения
1497	Церковь Даниловского кладбища, 1832 г., арх.Ф.М. Шестаков	4-й Рощинский пр., дом 30 строение 1	"	объект культурного наследия	Объект культурного наследия федерального значения
1498	Дом, в котором с 1867 г. по возвращении из ссылки жил и в 1871 г. умер Бестужев Михаил Александрович	7-й Ростовский пер., дом 17	"	объект культурного наследия	Объект культурного наследия федерального значения
1499	Дом, где в квартире видного работника санитарного просвещения В.А.Левицкого в 1918-1922 гг. Ленин Владимир Ильич неоднократно бывал и обсуждал с ним вопросы организации Института охраны труда при Наркомтруде	7-й Ростовский пер., дом 15	"	объект культурного наследия	Объект культурного наследия федерального значения
1500	Дом, в котором с 1903 г. жил и в 1958 г. умер русский советский художник Бакшеев Василий Николаевич. В этом доме бывали многие передвижники и советские художники С.С.Герасимов, П.Д.Корин и другие	4-й Ростовский пер., дом 6	"	объект культурного наследия	Объект культурного наследия федерального значения
1501	Бюст С.С.Корсакова, 1949 г., ск. С.Д.Меркуров, арх. И.А.Француз,  гранит	ЦАО	"	объект культурного наследия	Объект культурного наследия федерального значения
1502	Здание психиатрической клиники им. С.С.Корсакова, в которой в разные годы работали выдающиеся врачи-психиатры: В.П.Сербский, П.Б.Ганнушкин, С.А.Суханов и др.	ул. Россолимо, дом 11 строение 9	"	объект культурного наследия	Объект культурного наследия регионального значения
1503	Квартира, в которой с 1887 г. жил и в 1920 г. умер Тимирязев Климент Аркадьевич. В доме мемориальный музей К.А.Тимирязева	Романов пер., дом 4 строение 2	"	объект культурного наследия	Объект культурного наследия федерального значения
1504	Церковь Знамения на Шереметьевом дворе, 1704 г.	Романов пер., дом 2/6 строение 8	"	объект культурного наследия	Объект культурного наследия федерального значения
1505	Дом, в котором жил Демьян Бедный (Ефим Алексеевич Придворов)	Рождественский бульв., дом 16 строение 2	"	объект культурного наследия	Объект культурного наследия федерального значения
1506	Дом писателя Н.Ф.Павлова один из центров культурной жизни Москвы 1830-1840-х годов, в котором на знаменитые "четверги" собиралась вся литературная Москва А.И.Герцен и Н.П.Огарев, Т.Н.Грановский, П.Я.Чаадаев, К.С.Аксаков и братья Киреевские, А.С.Хомяков и	Рождественский бульв., дом 14 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
1507	Жилой дом	Рождественский бульв., дом 13 строение 2	Дома жилые (два), нач. XIX в., 1980-е гг. (воссоздание)	объект культурного наследия	Объект культурного наследия регионального значения
1508	Жилой дом	Рождественский бульв., дом 13 строение 1	Дома жилые (два), нач. XIX в., 1980-е гг. (воссоздание)	объект культурного наследия	Объект культурного наследия регионального значения
1509	Дом братьев Ивана Александровича и Михаила Александровича Фонвизиных, в котором неоднократно проходили совещания декабристов и где в 1821 г. было принято решение о роспуске Союза благоденствия с целью создания нового тайного общества. Здесь часто жили де	Рождественский бульв., дом 12/8 строение 1	"	объект культурного наследия	Объект культурного наследия федерального значения
1510	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1511	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1512	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1513	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1514	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1515	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1516	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1517	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1518	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1519	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1520	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1521	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Сохранившаяся часть монастырской ограды с башнями	ЦАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1522	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Кельи северо-западные	ул. Рождественка, дом 20/8 строение 3	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1523	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Кельи северо-восточные	ул. Рождественка, дом 20/8 строение 7	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1524	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Кельи восточные	ул. Рождественка, дом 20/8 строение 8	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1525	Кельи и сохранившаяся часть монастырской ограды с башнями, XVII-XVIII Кельи юго-западные	ул. Рождественка, дом 20/8 строение 9	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1526	Колокольня, 1835 г., арх. Н.И.Козловский	ул. Рождественка, дом 20/8 строение 16	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1527	Церковь Иоанна Златоуста, 1677 г.	ул. Рождественка, дом 20/8 строение 15	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1528	Собор, 1501-1505 гг.	ул. Рождественка, дом 20/8 строение 14	Ансамбль Рождественского монастыря, начало XVI в., XVII - XVIII вв. и начало XIX в.:	объект культурного наследия	Объект культурного наследия федерального значения
1529	Ограда	По данным Цифрового адресного плана МосгорБТИ адрес отсутствует	Церковь Николы в Звонарях, 1762-1781 гг., арх. К.И.Бланк	объект культурного наследия	Объект культурного наследия федерального значения
1530	Трапезная и колокольня, начало XIX в.	ул. Рождественка, дом 15/8 строение 3	Церковь Николы в Звонарях, 1762-1781 гг., арх. К.И.Бланк	объект культурного наследия	Объект культурного наследия федерального значения
1531	Церковь	ул. Рождественка, дом 15/8 строение 3	Церковь Николы в Звонарях, 1762-1781 гг., арх. К.И.Бланк	объект культурного наследия	Объект культурного наследия федерального значения
1532	Памятник студентам, преподавателям, сотрудникам Архитектурного института, павшим в годы Великой Отечественной войны, 1979 г., арх. Марковская Е.М. гранит	ЦАО	"	объект культурного наследия	Объект культурного наследия регионального значения
1533	Ограда	ЦАО	Ансамбль Строгановского училища, XIX-XX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1534	Угловой корпус, арх. С.У.Соловьев	ул. Рождественка, дом 11 строение 3	Ансамбль Строгановского училища, XIX-XX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1535	Новый корпус, арх-ры Ф.О.Шехтель, А.И. Кузнецов	ул. Рождественка, дом 11/4 строение 4	Ансамбль Строгановского училища, XIX-XX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1536	Боковой дом с магазином, арх. Ф.О.Шехтель	ул. Рождественка, дом 11 строение 4	Ансамбль Строгановского училища, XIX-XX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1537	Главный корпус, арх. С.У.Соловьев	ул. Рождественка, дом 11 строение 2	Ансамбль Строгановского училища, XIX-XX вв.	объект культурного наследия	Объект культурного наследия федерального значения
1538	Московский Международный торговый банк (Банк Л.С.Полякова) Соединенный банк, 1898 г., архитектор С.С.Эйбушитц	ул. Рождественка, дом 8/15 строение 3	"	объект культурного наследия	Объект культурного наследия регионального значения
