№ строки	Название	Адрес	Телефон	Электронная почта
21	Городской отдел жилищных субсидий района Тверской	ул. Долгоруковская, д. 33, стр. 3	(499)972-08-05	47@cao.subsident.ru
22	Городской отдел жилищных субсидий района Хамовники	ул. Ефремова, д.13	(499)766-87-69	93@cao.subsident.ru
23	Городской отдел жилищных субсидий района Якиманка	ул. Донская, д.7 стр. 1	(495)959-81-95	43@cao.subsident.ru
24	Окружной отдел Западного Административного Округа Кунцево	ул. Маршала Неделина, д. 40	(499)940-18-30	86@zao.subsident.ru
25	Городской отдел жилищных субсидий района Внуково	ул. Спортивная (пос.Внуково), д. 3А	(495)436-76-69	54@zao.subsident.ru
26	Городской отдел жилищных субсидий района Дорогомилово	Кутузовский пр-т,. д. 33	(499)249-46-49	60@zao.subsident.ru
27	Городской отдел жилищных субсидий района Крылатское	Осенний б-р, д.12, кор.3	(495)415-94-69	89@zao.subsident.ru
28	Городской отдел жилищных субсидий района Матвеевское	Веерная ул.,  д. 1, кор. 7	(499)726-07-99	104@zao.subsident.ru
29	Городской отдел жилищных субсидий района Можайский	ул. Маршала Неделина, д. 40	(499)940-18-30	92@zao.subsident.ru
30	Городской отдел жилищных субсидий района Ново-Переделкино	ул. Скульптора Мухиной, д.10	(495)733-64-19	28@zao.subsident.ru
31	Городской отдел жилищных субсидий района Очаково	ул. Наташи Ковшовой, д. 21	(495)430-72-40	111@zao.subsident.ru
32	Городской отдел жилищных субсидий района Проспект Вернадского	ул. Удальцова, д. 4	(499)726-81-63	110@zao.subsident.ru
33	Городской отдел жилищных субсидий района Раменки	Мичуринский пр-т, д. 25, кор.3	(495)931-00-56	119@zao.subsident.ru
34	Городской отдел жилищных субсидий района Солнцево	ул. Наро-фоминская, д. 13	(495)439-67-11	25@zao.subsident.ru
35	Городской отдел жилищных субсидий района Тропарево-Никулино	просп. Вернадского, д. 97, кор. 3	(499)940-98-01	22@zao.subsident.ru
36	Городской отдел жилищных субсидий района Филевский парк	ул. Новозаводская, д.25, кор.1	(499)940-34-20	49@zao.subsident.ru
37	Городской отдел жилищных субсидий района Фили-Давыдково	ул. Кременчугская, д. 9	(499)940-96-78	126@zao.subsident.ru
38	Городской отдел жилищных субсидий района Хорошево-Мневники	ул. Маршала Жукова, д.35, корп.1	(499)940-99-66	45@szao@subsident.ru
39	Городской отдел жилищных субсидий района Митино	Новотушинский проезд, д. 10, кор. 1	(495)753-54-62	122@szao.subsident.ru
40	Городской отдел жилищных субсидий района Покровское-Стрешнево	ул. Б.Набережная, д.19	(495)491-35-56	77@szao.subsident.ru
41	Городской отдел жилищных субсидий района Северное Тушино	ул. Героев Панфиловцев, д. 1, кор. 2	(495)944-17-91	71@szao.subsident.ru
42	Городской отдел жилищных субсидий района Строгино	ул. Твардовского,  д. 23, кор. 3	(499)740-22-02	80@szao.subsident.ru
43	Городской отдел жилищных субсидий района Южное Тушино	ул. Штурвальная, д.5, стр. 1	(499)492-77-04	37@szao.subsident.ru
44	Городской отдел жилищных субсидий района Тимирязевский	Дмитровское шоссе, д. 3 кор. 2	(499)977-01-85	33@sao.subsident.ru
45	Городской отдел жилищных субсидий района Ховрино	ул. Онежская, д. 47	(495)456-40-39	69@sao.subsident.ru
46	Городской отдел жилищных субсидий района Хорошевский	ул. Куусинена, д. 4А, кор. 2	(499)195-88-91	68@sao.subsident.ru
47	Окружной отдел Северо-Восточного Административного Округа Марьина Роща	ул. Образцова, д.8А	(495)681-04-38	114@svao.subsident.ru
48	Городской отдел жилищных субсидий района Алексеевский	ул. Константинова, д. 11	(495)686-29-02	102@svao.subsident.ru
49	Городской отдел жилищных субсидий района Алтуфьевский	Алтуфьевское шоссе, д. 56А	(499)901-11-45	39@svao.subsident.ru
50	Городской отдел жилищных субсидий района Бабушкинский	ул. Енисейская, д. 32, кор. 2	(499)185-87-32	88@svao.subsident.ru
51	Городской отдел жилищных субсидий района Бибирево	Шенкурский проезд, д.12Б	(499)209-46-47	36@svao.subsident.ru
52	Городской отдел жилищных субсидий района Бутырский	ул. Милашенкова, д. 12В	(495)639-43-24	29@svao.subsident.ru
53	Городской отдел жилищных субсидий района Лианозово	Новгородская ул., д. 32	(499)200-28-56	133@svao.subsident.ru
54	Городской отдел жилищных субсидий района Лосиноостровский	Изумрудная ул., д. 22	(499)184-11-00	101@svao.subsident.ru
55	Городской отдел жилищных субсидий района Марфино	ул. Б.Марфинская, д. 4	(495)618-06-62	132@svao.subsident.ru
56	Городской отдел жилищных субсидий района Отрадное	ул. Отрадная, д.20	(499)745-67-16	24@svao.subsdent.ru
57	Городской отдел жилищных субсидий района Ростокино	ул. Бажова, д.6	(495)276-11-26	48@svao.subsident.ru
58	Городской отдел жилищных субсидий района Свиблово	Игарский проезд, д.8	(495)276-01-73	76@svao.subsident.ru
59	Городской отдел жилищных субсидий района Северное Медведково	ул. Тихомирова, д.12, к.1	(495)276-11-75	35@svao.subsident.ru
60	Городской отдел жилищных субсидий района Южное Медведково	ул. Полярная, д.2	(495)276-27-97	21@svao.subsident.ru
61	Городской отдел жилищных субсидий района Ярославский	Палехская ул., д. 14	(499)183-01-73	107@svao.subsident.ru
62	Окружной отдел Восточного Административного Округа Преображенское	ул. Буженинова, д. 12	(495)963-04-32	85@vao.subsident.ru
63	Городской отдел жилищных субсидий района Богородское	ул. Ивантеевская, д. 28, кор.4	(499)169-62-51	100@vao.subsident.ru
64	Городской отдел жилищных субсидий района Вешняки	ул. Молдагуловой, д. 15А	(499)374-24-00	31@vao.subsident.ru
65	Городской отдел жилищных субсидий района Восточное Измайлово	Первомайская ул., д. 112	(495)965-64-73	137@vao.subsident.ru
66	Городской отдел жилищных субсидий района Восточный поселок	ул.9 мая, д. 28	(499)780-15-12	120v@vao.subsident.ru
67	Городской отдел жилищных субсидий района Гольяново	Байкальская ул., д. 23	(495)462-36-70	120@vao.subsident.ru
68	Городской отдел жилищных субсидий района Ивановское	Б. Купавенский пр-д, д. 2	(499)308-41-90	125@vao.subsident.ru
69	Городской отдел жилищных субсидий района Измайлово	ул. 10-я Парковая, д.20	(499)940-02-75	41@vao.subsident.ru
70	Городской отдел жилищных субсидий района Косино-Ухтомский	Новокосинская ул., д. 15,  кор. 7	(495)703-33-96	139@vao.subsident.ru
71	Городской отдел жилищных субсидий района Метрогородок	Открытое шоссе, д.19, кор. 1	(499)167-51-00	55@vao.subsident.ru
72	Городской отдел жилищных субсидий района Ново-Косино	ул. Суздальская, д.24, кор. 2	(495)702-16-00	26@vao.subsident.ru
73	Городской отдел жилищных субсидий района Новогиреево	ул. Алексея Дикого, д.3	(499)940-92-91	121@vao.subsident.ru
74	Окружной отдел Зеленоградского  Административного Округа Зеленоград N 30 Матушкино-Савелки, Савелки	Г.Зеленоград корпус 606А	(495)944-61-92	info@z-eirc.subsident.ru
75	Городской отдел жилищных субсидий района Крюково	Г.Зеленоград корпус 1553	(499)717-66-75	info@z-eirc.subsident.ru
76	Городской отдел жилищных субсидий района Матушкино	Г.Зеленоград корпус 406	(495)944-63-10	info@z-eirc.subsident.ru
77	Городской отдел жилищных субсидий района Панфиловский	Г.Зеленоград корпус 1105	(499)732-07-46	info@z-eirc.subsident.ru
78	Городской отдел жилищных субсидий района Панфиловский	Г.Зеленоград корпус 828	495)276-11-12	info@z-eirc.subsident.ru
79	Городской отдел жилищных субсидий района Матушкино-Савелки	Г.Зеленоградкорпус 337	(499)940-15-55	info@z-eirc.subsident.ru
80	Городской отдел жилищных субсидий Поселения Московский, Филимонковское, Внуковское	п. Московский, д.23а	(495)424-66-23	moskovskiy@nm.subsident.ru
81	Городской отдел жилищных субсидий Поселения Кокошкино, Марушкинское	п. Кокошкино, ул. Ленина, д.2	(495)436-76-69	kokoshkino@subsident.ru
82	Городской отдел жилищных субсидий района Некрасовка	Ул. Рождественская,  д. 21, кор. 6	(499)940-43-20	142@uvao.subsident.ru
83	Городской отдел жилищных субсидий г. Троицк	г. Троицк, ул. Солнечная, д.10	(495)851-29-77	144@nm.subsident.ru
84	Городской отдел жилищных субсидий г. Троицк (со II квартала 2013г.)	г. Троицк, ул. Солнечная, д.12 со II квартала 2013г.	(495)851-29-77	144@nm.subsident.ru
85	Городской отдел жилищных субсидий поселения Первомайский	пос. Птичное д.100	(495)851-29-77	pervomayskoe@nm.subsident.ru
86	Городской отдел жилищных субсидий поселения Сосенское, Воскресенское, Десёновское, "Мосрентген"	п. Газопровод, д.17	(495)817-21-21	sosenskoe@nm.subsident.ru
87	Городской отдел жилищных субсидий г. Щербинка	г. Щербинка, ул. Театральная д.2	(495)867-07-98	145@nm.subsident.ru
88	Городской отдел жилищных субсидий г. Щербинка	г. Щербинка, ул. Маршала Савицкого,  д. 18, кор.2  со II квартала 2013г.	(495)867-07-98	145@nm.subsident.ru
89	Городской отдел жилищных субсидий района Перово	Зелёный пр-т, д. 8	(495)368-61-10	130@vao.subsident.ru
90	Городской отдел жилищных субсидий района Северное Измайлово	ул. 7-я Парковая,  д. 7	(499)166-16-09	116@vao.subsident.ru
91	Городской отдел жилищных субсидий района Соколиная гора	ул. Большая Семеновская, д.23А	(499)940-17-12	129@vao.subsident.ru
92	Городской отдел жилищных субсидий района Кожухово	ул. Святоозерская, д. 15	(499)721-86-03	143@vao.subsident.ru
93	Окружной отдел Юго-Восточного Административного Округа Люблино	Краснодонская ул., д. 18/18	(495)358-91-92	63@uvao.subsident.ru
94	Городской отдел жилищных субсидий района Выхино-Жулебино	Самаркандский б-р, кв-л 134а, кор.2	(495)377-20-57	27@uvao.subsident.ru
95	Городской отдел жилищных субсидий района Капотня	Капотня, 2 кв., д. 1	(495)355-16-70	128@uvao.subsident.ru
96	Городской отдел жилищных субсидий района Кузьминки	ул. Федора Полетаева,  д. 32,  кор. 6	(495)709-89-65	84@uvao.subsident.ru
97	Городской отдел жилищных субсидий района Марьино	ул. Совхозная, д.41	(499)940-31-20	115@uvao.subsident.ru
98	Городской отдел жилищных субсидий района Печатники	ул. Шоссейная, д.86	(495)530-44-30	117@uvao.subsident.ru
99	Городской отдел жилищных субсидий района Рязанский проспект	12-я Новокузьминская ул., д. 6, кор. 1	(495)919-25-31	118@uvao.subsident.ru
100	Городской отдел жилищных субсидий района Текстильщики	ул. Грайвороновская, д.12, кор. 1	(499)177-24-44	32@uvao.subsident.ru
101	Городской отдел жилищных субсидий района Южнопортовый	3-й Крутицкий пер., д.11	(499)940-46-67	42@uvao.subsident.ru
102	Окружной отдел Южного Административного Округа Бирюлево Западное	Востряковский пр. д.3 кор.1	(495)385-04-45	20@uao.subsident.ru
103	Городской отдел жилищных субсидий района Бирюлево Восточное	ул. Бирюлевская, д.24 кор.1	(495)327-02-38	40@uao.subsident.ru
104	Городской отдел жилищных субсидий района Братеево	ул. Ключевая, д.12, кор.1	(495)342-02-92	112@uao.subsident.ru
105	Городской отдел жилищных субсидий района Даниловский	ул. Автозаводская, д.17, кор. 3	(495)675-50-62	59@uao.subsident.ru
106	Городской отдел жилищных субсидий района Донской	Варшавское шоссе, д. 18, кор. 3	(495)958-33-33	50@uao.subsident.ru
107	Городской отдел жилищных субсидий района Зябликово	ул. Шипиловская , д. 48, кор. 1	(499)782-61-70	127@uao.subsident.ru
108	Городской отдел жилищных субсидий района Москворечье-Сабурово	ул. Кантемировская, д.12, кор. 1	(499)323-14-88	23@uao.subsident.ru
109	Городской отдел жилищных субсидий района Нагатино-Садовники	Варшавское шоссе, д. 47, кор. 4	(499)940-43-74	105@uao.subsident.ru
110	Городской отдел жилищных субсидий района Нагатинский затон	просп. Андропова, д. 35	(499)612-60-92	66@uao.subsident.ru
111	Городской отдел жилищных субсидий района Нагорный	Варшавское шоссе, д. 47, кор. 4	(499)940-43-65	70@uao.subsident.ru
112	Городской отдел жилищных субсидий района Орехово Борисово Северное	ул. Генерала Белова, д.29, кор.2	(495)393-04-67	46@uao.subsident.ru
113	Городской отдел жилищных субсидий района Орехово Борисово Южное	ул. Тамбовская, д. 3/13	(495)397-07-40	91@uao.subsident.ru
114	Городской отдел жилищных субсидий района Царицыно	ул. Медиков, д.1/1, к.3	(499)940-44-68	72@uao.subsident.ru
115	Городской отдел жилищных субсидий района Чертаново Северное	ул. Чертановская, д. 16, кор. 1	(495)311-06-45	87@uao.subsident.ru
116	Городской отдел жилищных субсидий района Чертаново Центральное	ул. Чертановская, д. 42, кор. 3	(495)314-95-11	106@uao.subsident.ru
117	Городской отдел жилищных субсидий района Чертаново Южное	ул.Россошанская, д. 4, кор. 5	(495)382-08-67	90@uao.subsident.ru
118	Окружной отдел Юго-Западного Административного Округа Ломоносовский	ул. Гарибальди, д. 11	(499)134-22-61	78@uzao.subsident.ru
119	Городской отдел жилищных субсидий района Академический	Новочеремушкинская ул., д. 23, кор. 5	(499)789-65-14	57@uzao.subsident.ru
120	Городской отдел жилищных субсидий района Гагаринский	Ленинский пр-т, д. 62/1	(499)137-18-34	113@uzao.subsident.ru
121	Городской отдел жилищных субсидий района Зюзино	Симферопольский бульв., д. 16, кор. 1	(495)310-82-29	103@uzao.subsident.ru
122	Городской отдел жилищных субсидий района Коньково	ул. Академика Арцимовича, д. 12, кор. 2	(495)330-32-98	51@uzao.subsident.ru
123	Городской отдел жилищных субсидий района Котловка	Севастопольский пр-т,  д. 51, кор. 4	(499)121-90-09	123@uzao.subsident.ru
124	Городской отдел жилищных субсидий района Обручевский	ул. Архитектора Власова, д. 41	(499)120-31-44	56@uzao.subsident.ru
125	Городской отдел жилищных субсидий района Северное Бутово	ул. Старобитцевская, д.19, кор. 1	(495)711-44-97	44@uzao.subsident.ru
126	Городской отдел жилищных субсидий района Теплый Стан	ул. Академика Варги, д.26а	(499)940-98-58	94@uzao.subsident.ru
127	Городской отдел жилищных субсидий района Черемушки	ул. Профсоюзная, д.25, кор. 4	(499)128-57-60	65@uzao.subsident.ru
128	Городской отдел жилищных субсидий района Южное Бутово	Южнобутовская ул., д. 23	(499)723-54-45	134@uzao.subsident.ru
129	Городской отдел жилищных субсидий района Южное Бутово	ул. Маршала Савицкого, д.30	(499)940-98-18	134@uzao.subsident.ru
130	Городской отдел жилищных субсидий района Ясенево	ул. Голубинская, д.31, кор. 1	(495)427-68-00	58@uzao.subsident.ru
