№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
27	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 22  Департамента здравоохранения города Москвы»	111141, Москва, Зеленый проспект, д.10/32	"	Батырбиев Эдик Мухдинович	306-0200	306-0200	"
28	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 24  Департамента здравоохранения города Москвы»	113556, Москва, Симферопольский проспект, д.15,к.2	"	Макарова Наталья Борисовна	8-499-610-7352	8-499-610-7352	"
29	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 24  Департамента здравоохранения города Москвы»	113556, Москва, Симферопольский проспект, д.15,к.3	"	Макарова Наталья Борисовна	8-499-610-7352	8-499-610-7352	"
30	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 31 Департамента здравоохранения города Москвы»	124527, г. Зеленоград, Медицинский комплекс, проезд 4923, дом 2, стр.8	"	Черкесов Владимир Петрович	535-8243	535-5565	"
31	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 32  Департамента здравоохранения  города Москвы»	129327, Москва, Чукотский проезд, д.8	"	Михайлова Любовь Александровна	(499) 186-3401	(499) 186-9301	"
32	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 33  Департамента здравоохранения города Москвы»	103055, Москва, Тихвинский пер., д. 20	"	Непряхина Галина Владимировна	(499) 978-0237	(499) 972-0311	"
33	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 35  Департамента здравоохранения города Москвы»	г. Москва, Зеленоград, корп.1460	"	Амирханян Александр Норайрович	8-499-733-9293	8-499-733-3452	"
34	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 4  Департамента здравоохранения  города Москвы»	109052, Москва, Рязанский проспект, д.11	"	Аперян Манвел Седракович	657-17-02	8-499-171-3235	"
35	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 48  Департамента здравоохранения города Москвы»	117485, Москва, ул. Профсоюзная, д.100	"	Сидоренко Ирина Анатольевна	335-0551	3359975	"
36	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 5  Департамента здравоохранения   города Москвы»	121614, Москва, ул. Крылатская, д.21	"	Маркин Юрий Валентинович	415-1664	415-1664	"
37	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 50 Департамента здравоохранения города Москвы»	107140, Москва, ул. Верхняя Красносельская, д.19	"	 и.о. Тамазов Мурат Владимирович	8-499-264-6521	8-499-264-6821	"
38	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 55  Департамента здравоохранения города Москвы»	123154, Москва, бульвар генерала Карбышева, д.19, к.5	"	Уманская Наталия Гульвардовна	8-499-192-1783	8-499-192-1783	"
39	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 60  Департамента здравоохранения города Москвы»	123458, Москва, ул. Твардовского, д.27	"	Терняк Евгений Владимирович	750-4222	750-4222	"
