№ строки	Название	Адрес	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
15	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Замоскворечье»	115419, г.Москва, ул. Серпуховской вал, д.24 корп.2	Даниловский	115419, г.Москва, ул. Серпуховской вал, д.24 корп.2	(495) 954-30-09	(495) 954-23-00		art-gallery@mail.ru
16	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Беляево»	117485, г.Москва, ул. Профсоюзная, д.100	Коньково	117485, г.Москва, ул. Профсоюзная, д.100	(495) 335-83-22	(495) 335-83-22	gallery-belyaevo.ru	3358322@bk.ru
17	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Нагорная»	113186, г.Москва, ул. Ремизова, д.10	Котловка	113186, г.Москва, ул. Ремизова, д.10	(499) 127-47-02	(499) 127-47-02	galereya-nagornaya.ru	nagornaya6569@gmail.com
18	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солнцево»	119620, г.Москва, ул. Богданова, д.44	Солнцево	119620, г.Москва, ул. Богданова, д.44	(495) 435-66-24, (495) 439-51-80	(495) 435-64-92		art-solncevo@yandex.ru
19	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Галерея «Феникс»	121353, г.Москва, Сколковское ш., д.32 корп.2	Дорогомилово	121353, г.Москва, Сколковское ш., д.32 корп.2	(495) 417-42-28	(495) 417-42-28		fenixgallery@mail.ru
20	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Галерея ХХI век»	121357, г.Москва, ул. Кременчугская, д.22	Фили-Давыдково	121108, г.Москва, Рублевское ш., д.9	(495) 445-16-50	(495) 445-16-50		galleryXXIc@yandex.ru
21	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Тушино»	125459, г.Москва, б-р Яна Райниса, д.19 корп.1	Южное Тушино	125459, г.Москва, б-р Яна Райниса, д.19 корп.1	(495) 492-23-00	(495) 497-00-19	vz-tushino.ru	tushinogallery@mail.ru
22	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Ходынка»	123298, г.Москва, ул. Ирины Левченко, д.2	Щукино	125364, г.Москва, ул. Свободы, д.61/2	(499) 943-69-41	(499) 943-69-42		hodynka@mail.ru
23	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Зеленоград»	124617, г.Москва, Зеленоград, корп.1410	Крюково	124617, г.Москва, Зеленоград, корп.1410	(499) 717-16-02	(499) 717-16-02	zelcultura.ru	vz1410@yandex.ru
24	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «На Каширке»	115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5	Нагатино-Садовники	115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5	(499) 612-95-17, (499) 612-11-61	(499) 612-93-33	nakashirke.narod.ru	nakashirke@mail.ru
25	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солянка ВПА»	109028, г.Москва, ул. Солянка, д.1/2 стр.2	Басманный	109028, г.Москва, ул. Солянка, д.1/2 стр.2	(495) 621-55-72, (495) 621-59-61	(495) 621-59-61	solgallery.ru	info@solyanka.org
26	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Творчество»	109147, г.Москва, ул. Таганская, д.31/22	Таганский	109147, г.Москва, ул. Таганская, д.31/22	(495) 678-55-78	(495) 678-55-78	zal-tv.ru	grig@zal-tv.ru
