№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
35	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1877 "Люблино"	109382, г. Москва, ул. Краснодонская, д. 40	Бюджетное	Общеобразовательное учреждение	Центр образования	351-00-00	http://sch1877.uvuo.ru/
36	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902	109341, г. Москва, Мячковский бульвар, д. 10, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	347-88-31	http://school1902.ru
37	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965	109341, г. Москва, ул. Перерва, д. 41, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	345-05-61	http://www.sch1965.yuvao.mskobr.ru
38	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 "Бутово-3"	117216, г. Москва, бульвар Дмитрия Донского, д. 14А	Бюджетное	Общеобразовательное учреждение	Центр образования	711-51-63	http://school1681.mosuzedu.ru
39	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1693 имени 1-й дивизии народного ополчения Москвы	117463, г. Москва, улица Паустовского, дом 6, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	423-33-00	http://www.sch1693.ru
40	Государственное бюджетное образовательное учреждение города Москвы центр образования № 497	109240 г. Москва, 1-ый Котельнический пер., д.5	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 915-30-55	http://www.co497.cao.mskobr.ru
41	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1447 имени Н.А.Островского	125047 г.Москва, 4-й Лесной переулок, д.6	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 250-23-03; (499) 251-24-06; (499) 251-50-00; (499) 251-39-95	http://coc1447.mskobr.ru/
42	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1682	127543 г. Москва, ул. Белозерская, д.7	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 206-64-77; (499) 206-45-50; (499) 206-82-00; (499) 206-82-01	http://www.co1682.svao.mskobr.ru
43	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 "Ясенево"	117593, г. Москва, Литовский бульвар, дом 11, корпус 6	Бюджетное	Общеобразовательное учреждение	Центр образования	426-77-88	http://co1694.ru
44	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1010	123308, город Москва, улица Мневники, дом 7, корус 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 191-35-12	http://sch1010.ru
45	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212	123060, г. Москва, ул. Маршала Рыбалко, д. 14	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 728-40-02	http://www.ds1106.mskobr.ru
46	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 518	115035 г. Москва, Садовническая набережная, дом 37	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	951-49-82	http://sch518.ru
47	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1840	129110 г. Москва, Б. Переяславская ул., д.1, стр.1	Бюджетное	Общеобразовательное учреждение	Центр образования	680-08-44	http://1840.ru/
48	Государственное бюджетное образовательное учреждение города Москвы центр образования № 2030	123022 г.Москва, ул. 2-ая Звенигородская, д.8	Бюджетное	Общеобразовательное учреждение	Центр образования	205-79-57	http://2030.edu.ru
49	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1449	127576, город Москва, улица Угличская, дом 6 А	Бюджетное	Общеобразовательное учреждение	Центр образования	400-62-90	http://co1449.svao.mskobr.ru
50	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1459	127273, г. Москва, ул. Отрадная, д. 11А	Бюджетное	Общеобразовательное учреждение	Центр образования	404-87-31	http://co1459.svao.mskobr.ru/
51	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386	109125, г. Москва, Васильцовский переулок, д. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 796-22-60	http://schuvu1386.mskobr.ru
52	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1881	109369, г. Москва, ул. Перерва, дом 44	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 349-21-31; (495) 349-05-30; (495) 349-14-03	http://sch1881.uvuo.ru
53	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816	121096 г. Москва, ул. Кастанаевская, д. 9А	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 144-37-82	http://co1816.mskzapad.ru
54	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1883 "Бутово"	117042, г. Москва, улица Поляны, дом 53	Бюджетное	Общеобразовательное учреждение	Центр образования	716-47-45	http://ec1883.ru
55	Негосударственное образовательное учреждение средняя общеобразовательная школа "Морозко"	123060 Расплетина улица, д.17 к.2	Негосударственное	Общеобразовательное учреждение	Начальная школа – детский сад	(499) 194-60-10	
56	Частное учреждение Центр образования «Русская школа»	115569 Дольская улица, 2	Негосударственное	Общеобразовательное учреждение	Центр образования	548-07-55	
57	Негосударственное общеобразовательное учреждение Центр образования "Татьянинская школа"	109202 3-я Карачаровская улица, д.10	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 170-40-06,171-43-71	
58	Негосударственное образовательное частное учреждение Центр образования «Владимира»	115193 6-я Кожуховская улица, д.11 корпус 2	Негосударственное	Общеобразовательное учреждение	Центр образования	(495) 728-36-07,(495) 728-36-08	http://www.vladimira-center.ru
59	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1494	127427, город  Москва, улица Ботаническая, дом 9А	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 975-06-08; (499) 975-06-09	http://co1494.svao.mskobr.ru
60	Государственное бюджетное образовательное учреждение города Москвы центр образования № 641 имени Сергея Есенина	109462 Волгоградский проспект, дом 66, корп. 4,5	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 172-36-36	http://s641.ru
61	Государственное бюджетное образовательное учреждение города Москвы центр образования № 345	105066 Елоховский проезд, 1 стр. 5	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 267-66-76	http://school345.ru/
62	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302	123181, г. Москва, ул. Исаковского, д. 29, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 942-98-10	http://school-1302.ru/
63	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 588	119021 г.Москва, ул.Тимура Фрунзе, д.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	245-05-83	http://www.sch588.cao.mskobr.ru
64	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1283	107045 Садовая-Спасская улица, д.8, стр. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 607-82-98; (495) 607-83-84	http://school1283.ru/
65	Государственное бюджетное образовательное учреждение города Москвы центр образования №1666 "Феникс"	111558, г.Москва, Зеленый пр-кт, д. 75	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 302-81-15	http://sch1666.ru
66	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1233	119019 Большой Афанасьевский переулок, д. 27, стр. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 691-72-03	http://schu1233.cao.mskobr.ru
67	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1685	109240 г.Москва, Берниковская набер., д.12, стр.1	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 915-05-60; (495) 915-36-68	http://centre1685.ru
68	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2048	123290 г. Москва, Мукомольный пр., д.3, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 256-55-20	http:/school2048.ru/
69	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1114	121601 г.Москва, Филевский бульвар, д. 3,стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 738-60-54	http://dskv1633.mskzapad.ru
70	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1830	111674 1-я Вольская улица, д. 5	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 706-94-01	http://www.zo1830.ru
71	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1825	117216 Куликовская улица, 3А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	712-29-36	http://1825.ru
72	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1496	119049 г.Москва, Ленинский прспект, д.13а	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 237-29-81	http://www.ds281.mskobr.ru
73	Государственное бюджетное образовательное учреждение города Москвы гимназия №1272	115280,г. Москва,1-й Кожуховский пр. д.17	Бюджетное	Общеобразовательное учреждение	Гимназия	710-36-43	http://dou131.ru
74	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1425	125464, г. Москва, ул. Митинская, д.14	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 948-8405, (495) 949-6642	http://www.co1425.mskobr.ru
75	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 998	115408 г. Москва,Борисовские пруды,д.36,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 342-96-94; (495) 342-04-56	http://www.dou1579.edusite.ru
76	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2045	124365, г. Москва, Зеленоград, корп. 2031	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 729-20-90	http://d2654.zouo.ru
77	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №97	Ватутина ул., 12к 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 445-06-64	http://ds799.mskzapad.ru
78	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1858	109649, г. Москва, Капотня, 5-й квартал, дом 29	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(495) 355-84-47	http://co1858.ru
79	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1619 имени М.И. Цветаевой	123458, г. Москва, ул. Таллинская, д. 20, корп. 4	Бюджетное	Общеобразовательное учреждение	Центр образования	758-10-72	-
80	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1488	119415  г.Москва, Ленинский проспект, д.132	Бюджетное	Общеобразовательное учреждение	Центр образования	432-87-62	http://co1488.mskzapad.ru
81	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1491	127562, город Москва, улица  Каргопольская, дом 13, корпус 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 903-77-32	http://co1491.svao.mskobr.ru
82	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1456	117623, г.Москва, ул. 3-я Железногорская, дом 11А	Бюджетное	Общеобразовательное учреждение	Центр образования	712-79-98	http://co1456.mosuzedu.ru
83	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 475	109390, г. Москва, ул. Люблинская, д. 45	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 178-60-88	http://schuv475.mskobr.ru
84	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 187	119261, г. Москва, Ломоносовский проспект, дом 3 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	138-48-81	http://187.3dn.ru
85	Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989	109451, г. Москва, ул. Белореченская, д. 45, к. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 654-96-27; (495) 654-96-25	http://couv1989.mskobr.ru
86	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 5	117638, г. Москва, улица Сивашская, дом 2, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 317-90-81	http://shkola5.ucoz.org
87	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1421	109117, г. Москва, Васильцовский стан, д. 4	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 501-09-18	http://co1421.uvao.mskobr.ru
88	Государственное бюджетное образовательное учреждение города Москвы   центр образования № 1423	109451, г. Москва, Перервинский бульвар, д.5, корп. 3	Бюджетное	Общеобразовательное учреждение	Центр образования	658-58-88	http://www.co1423.uvao.mskobr.ru
89	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 86 имени М.Е. Катукова	123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 750-00-47	http://schsz86.mskobr.ru/
90	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1155	123458, г.Москва, ул.Таллинская, д.16, корп.4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	756-62-90	http://sch1155.mskobr.ru
91	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1863	117042, г. Москва, улица Поляны, дом 31А	Бюджетное	Общеобразовательное учреждение	Центр образования	716-80-45	http://www.center1863.msk.ru
92	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1492	117041, г.Москва, ул. Адмирала Лазарева, д.62, корп.2	Бюджетное	Общеобразовательное учреждение	Центр образования	714-03-36	http://1492co.mosuzedu.ru/
93	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331	121002 г.Москва, Сивцев Вражек пер., д.18	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 978-97-58; (499) 973-56-55; (499) 978-70-58	http://www.school1331.ru
94	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1480	105064 г.Москва, Гороховский пер., д.10, стр.1	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 261-43-26	http://coc1480.mskobr.ru
95	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 306	129226, г. Москва, ул. Сельскохозяйственная, д. 20, кор.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 181-41-14	http://schz306.svao.mskobr.ru
96	Государственное бюджетное образовательное учреждение города Москвы центр образования № 166	127572 г. Москва, Алтуфьевское шоссе, дом 97, корпус 3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 200-06-15; (499) 200-52-70	http://co166.svao.mskobr.ru
97	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1692	124575, г. Москва, Зеленоград, корп. 1016	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 731-49-50	http://schzg1692.mskobr.ru
98	Государственное бюджетное образовательнoе учреждение города Москвы центр образования № 1495	111674, г.Москва, ул. Святоозерская, д. 17	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 721-52-04; (499) 721-52-05	http://www.co1495.edusite.ru
99	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 804	124482, г. Москва, Зеленоград, корп. 163	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 734-11-36; (499) 734-89-84; (499) 735-62-12; (499) 736-82-80	http://s804.ru/
100	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 629	117405 Москва, Варшавское ш. д.156 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 386-12-59	http://sch629.ucoz.net
101	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" №661	101000 г. Москва, ул. Покровка, д.10, стр.5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	624-77-66	http://1835.jino-net.ru/
102	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка и музыки № 368 "Лосиный остров".	107065  Москва,  ул. Уссурийская, дом 12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	469-00-13	http://0368.ru
103	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1678 "Восточное Дегунино"	127591, г. Москва ул. Дубнинская, д. 46, кор. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	480-35-33	http://schools.keldysh.ru/co1678/index.html
104	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1747	125368, г. Москва, 3-й Митинский переулок, д. 12, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 751-90-20; (495) 741-41-61; (495) 794-09-44	http://www.dskvp2319.mskobr.ru
105	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 "Гамма"	107014, Москва,  ул. Большая Оленья,  д. 3	Бюджетное	Общеобразовательное учреждение	Гимназия	(499) 269-02-19; (499) 268-46-80; (499) 269-02-96	-
106	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1925	111673, г. Москва, ул. Новокосинская, д.13 А	Бюджетное	Общеобразовательное учреждение	Центр образования	702-66-76	http://co1925.ru/
107	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138	123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 199-27-22; (499) 199-09-79	http://sch160@szouo.ru
108	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1948 "Лингвист-М"	117420, г.Москва, ул. Новочеремушкинская, дом 64, корпус 2	Бюджетное	Общеобразовательное учреждение	Центр образования	121-54-11	http://sch1948.ru
109	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1465 имени адмирала Н.Г. Кузнецова	121059 г.Москва, ул. Брянская, д. 10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 243-59-11	http://dskvp821.mskzapad.ru
110	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1457	109145, г.Москва, Хвалынский бульвар, д. 4, корпус 4	Бюджетное	Общеобразовательное учреждение	Центр образования	705-52-11	http://couv1457.mskobr.ru
111	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1497	121309  г.Москва, ул.Барклая, дом 15,корп. 3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 142-41-26; (499) 142-40-32	http://ds152.mskzapad.ru
112	Негосударственное общеобразовательное учреждение Православная гимназия "Радонеж"	117574 Одоевского проезд, 13	Негосударственное	Общеобразовательное учреждение	Гимназия	(495) 423-51-22	
113	Некоммерческое образовательное учреждение средняя общеобразовательная школа "Наши Пенаты"	117485 Профсоюзная улица, 92	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 335-00-62,(495) 336-32-11	
