№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
23	Бывший онкологический диспансер № 3 - филиал Государственного бюджетного учреждения здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»	105264, Москва, ул. Верхняя Первомайская, д.29/44	ВАО	Стражев Сергей Васильевич	(499) 163-0522	(499) 160-0522	
24	Городская клиническая урологическая больница  № 47 - филиал Государственного бюджетного учреждения здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»	105425, г. Москва, ул. 3-я Парковая, дом 51	ВАО	и.о. Борисик Владимир Алексеевич	(499) 163-4290	(499) 164-9324	
25	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 59  Департамента здравоохранения города Москвы»	103030, Москва, ул. Достоевского, д.31	ЦАО	Бахитов Вячеслав Витальевич	(499) 978-6521	(499) 978-6528	
26	Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 60  Департамента здравоохранения города Москвы»	111123, Москва, ул. Новогиреевская, д.1	ВАО	Лукашев Александр Михайлович	(495) 304-2917	(495) 304-3163	
27	Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 61   Департамента здравоохранения города Москвы»	119048, Москва, ул. Доватора, д.15		Соболев Константин Эдуардович.	(499) 246-9620	(499) 246-2726	
28	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 63  Департамента здравоохранения города Москвы»	129090, Москва, ул. Дурова, д.26	ЦАО	Свет Алексей Викторович	(495) 681-2066	(495) 688-9410	
29	Государственное   бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 64  Департамента здравоохранения города Москвы»	117292, Москва, ул. Вавилова, д. 61	ЮЗАО	Крапивин Андрей Александрович	(499) 134-6479	(499) 135-5126	
30	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 67  имени Л.А. Ворохобова Департамента здравоохранения города Москвы»	123154, Москва, ул. Саляма Адиля, д.2/44	СЗАО	Шкода Андрей Сергеевич	(499) 199-7956	(495) 530-3353	
31	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 68   Департамента здравоохранения города Москвы	109263, Москва, ул. Шкулева, д.4	ЮВАО	Галь Игорь Геннадьевич	(499) 179-6622	(499) 178-8715	С 15.09.2012г. – присоединяется   ГП № 50
32	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 70  Департамента здравоохранения города Москвы»	111399, Москва, Федеративный проспект, д.17	ВАО	Сметнев Сергей Александрович	(495) 304-4216	(495) 303-9769	
33	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»	121374, Москва, Можайское шоссе, д.14	ЗАО	Мясников Александр Леонидович	(495) 440-2093	(495) 440-2101	
34	Бывшая МСЧ  № 58 - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»	121357, Москва, проезд Загорского, д.20		Чалый Николай Николаевич	(495) 443-6741	(495) 443-6741	
35	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 72  Департамента здравоохранения города Москвы»	121552, Москва, ул. Оршанская, д. 16		Заборский Владимир Марьянович	(499) 140-5554	(499) 140-5554	С 01.09.2012г. – присоединяется  Родильный дом   № 2
36	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 79  Департамента здравоохранения города Москвы»	115487, Москва, ул. Ак. Миллионщикова, д.1	ЮАО	Косаченко Алина  Жораевна	(499) 612-7507	(499) 612-0531	
37	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81  Департамента здравоохранения города Москвы»	127644, Москва, ул. Лобненская, д.10	САО	и.о. Андрейченко Александр Тимофеевич	(495) 483-4244	(495) 483-0247	
38	Государственное бюджетное учреждение здравоохранения города Москвы «Офтальмологическая клиническая больница  Департамента здравоохранения города Москвы»	123001, Москва, Мамоновский пер., д.7	ЦАО	Гришина Елена Евгеньевна	(495) 699-4439	(495) 650-1836	
39	Государственное  казенное   учреждение здравоохранения города Москвы «Инфекционная  клиническая больница № 1    Департамента  здравоохранения   города Москвы»	125367, Москва, Волоколамское шоссе, д.63	СЗАО	Малышев Николай Александрович	(495) 490-1414	(495) 942-4839	
40	Государственное   казенное  учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2  Департамента здравоохранения города Москвы»	105275, Москва, 8-я ул.Соколиной горы, д.15	ВАО	Мясников Вячеслав Анатольевич	(495) 365-3796	(495) 365-2488	
41	Государственное   казенное   учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 3   Департамента  здравоохранения   города Москвы»	109235, Москва,1-я Курьяновская ул., д.34	ЮВАО	Куликова Олеся Евгеньевна	(495) 349-5053	(495) 357-3321	
42	Государственное  казенное   учреждение здравоохранения города Москвы «Детская инфекционная  больница № 4  Департамента здравоохранения города Москвы»	125008, Москва, Большая Академическая ул., д. 28		Шаматова Н.Е.	(499) 154-7489	(499) 154-7489	С 01.09.2012г. присоединяется  к Дет.инф.клин. б-це № 6
43	Государственное   казенное  учреждение здравоохранения города Москвы «Детская инфекционная  больница № 5  Департамента  здравоохранения   города Москвы»	129347, Москва, ул. Ротерта.д.4		Власов Евгений Валерьевич	(499) 182-0792	(499) 182-0910	
44	Государственное  казенное  учреждение здравоохранения города Москвы «Детская инфекционная  клиническая больница № 6  Департамента  здравоохранения  города Москвы»	125438, Москва, 3-й Лихачевский пер., д.2 Б		Дегтярева Елена Александровна	(499) 153-4024	(499) 153-4104	С 01.09.2012г. – присоединяется  ДИБ  № 4 и ДИБ №8
45	Государственное  бюджетное учреждение здравоохранения города Москвы Городская клиническая больница им. С.П. Боткина Департамента здравоохранения города Москвы	125284, Москва, 2-й Боткинский проезд, д.5, к.1	САО	Яковлев Владимир Николаевич	 (495) 945-2616	(499) 762-6229	
46	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»	117049,  Москва, Ленинский проспект, дом 8	ЦАО	Шабунин Алексей Васильевич	(499) 236-6069	(499) 236-6528	
47	Государственное учреждение здравоохранения города Москвы Городская больница № 3  Департамента здравоохранения города Москвы	124489, Зеленоград, Каштановая аллея, дом 2, стр.1	Зеленоград	Голоусиков Иван Яковлевич	 (499) 735-6429	(499) 735-3206	
48	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»	115093, Москва, ул. Павловская, д.25	 ЮАО	Алексеев Михаил Сергеевич	(499) 235-0443	(495) 952-6940	
49	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 7    Департамента здравоохранения города Москвы»	115446, Москва, Коломенский проезд, д.4	ЮАО	и.о. Татуева Татьяна Васильевна	(499) 782-30-70		
50	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская больница № 8   Департамента здравоохранения города Москвы»	127287, Москва, 4-й Вятский пер., д.39	САО	Дуленков Андрей Борисович	(495) 613-4509	(495) 613-4359	С 01.09.2012г. – присоединяется  Родильный дом № 6 им. А.А.Абрикосовой
51	Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»	105173, Москва, ул. Западная, д.2		Дрошнев Вячеслав Михайлович	(499) 780-5117		
52	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 11 Департамента здравоохранения города Москвы	127018, Москва, ул. Двинцев, д.6	СВАО	Бойко Алексей Николаевич	(495) 689-5135	(495) 689-5135	
53	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 12    Департамента здравоохранения города Москвы»	115516, г. Москва, ул. Бакинская, дом 26	ЮАО	Саликов Александр Викторович	(495) 322-1710	(495) 321-1306	
54	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»	115280, Москва, ул. Велозаводская. д.1/1	ЮВАО	Аронов Леонид Семенович	(495) 674-5022	(495) 674-8076	
55	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»	107076, Москва, ул. Короленко, д.3,корп.2	ВАО	Гайнулин Шамиль Мухтарович	(495) 964-3929	(495) 964-1121	
56	Государственное  казенное  учреждение здравоохранения города Москвы «Детская  инфекционная больница № 8    Департамента здравоохранения города Москвы»	119048, Москва, Лужнецкий проезд, д.15	ЦАО	Воробьев Андрей Борисович	(499) 246-4550	(499) 246-4550	С 01.09.2012г. присоединяется  к Дет.инф.клин. б-це № 6
57	Государственное  казенное   учреждение здравоохранения города Москвы «Детская инфекционная  больница № 12   Департамента здравоохранения города Москвы»	125124, Москва, 1-я ул. Ямского поля, д.12		Кобаль Елена Анатольевна	(499) 257-0594	(495) 614-8103	С 01.09.2012г. присоединяется к  «ДГКБ  № 9 им. Г.Н.Сперанского»
58	Государственное  казенное  учреждение здравоохранения города Москвы «Туберкулёзная клиническая больница № 3 им. проф. Г.А.Захарьина  Департамента здравоохранения города Москвы»	125466, Москва, Куркинское шоссе, д.29	СЗАО	и.о. Волковинская Лариса Сергеевна	(495) 572-7145	(495) 571-2055	
59	Государственное казенное учреждение здравоохранения города Москвы Туберкулёзная клиническая больница № 7  Департамента здравоохранения города Москвы	107014, Москва, ул. Барболина, д. 3	ВАО	Батыров Фарит Ахатович	(499) 268-2520	(499) 268-6767	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
60	Государственное  казенное   учреждение здравоохранения города Москвы «Психиатрическая клиническая больница  № 1 им. Н.А.Алексеева Департамента  здравоохранения   города Москвы»	117152, Москва, Загородное шоссе,  д.2	ЮАО	Шуляк Юрий Афанасьевич	(495) 952-8790	(495) 952-2294	С 01.09.2012г. – присоединяется  ПНД № 1, ПНД № 2, ПНД № 13, ПНД № 21, ПНД № 23 и ПНД № 24
61	Государственное  казенное   учреждение здравоохранения города Москвы «Психиатрическая больница № 3 им. В.А. Гиляровского  Департамента  здравоохранения   города Москвы»	107076, Москва, ул. Матросская тишина, д.20	ВАО	и.о. Белов Александр Валентинович	(499) 268-0416	(499) 268-0521	С 01.09.2012г. – присоединяется  ПНД № 8, ПНД № 9, ПНД № 14 и ПНД № 15
62	Государственное  казенное  учреждение здравоохранения города Москвы Психиатрическая клиническая больница  № 4   им. П.Б. Ганнушкина  Департамента здравоохранения города Москвы	107076, Москва, ул. Потешная, д. 3	ВАО	Костюк Георгий Петрович	(495) 963-0164	(495) 963-0164	С 01.09.2012г. – присоединяется  ПНД № 3, ПНД № 4, ПНД № 5 и ПНД № 17
63	Государственное  бюджетное учреждение здравоохранения города Москвы «Специализированная клиническая (психоневрологическая)  больница № 8  им. З.П.Соловьёва – «Клиника неврозов» Департамента здравоохранения города Москвы»	115419, Москва, ул. Донская, д. 43	ЮАО	Гехт Алла Борисовна	(495) 237-0170	(495) 237-0170	
64	Государственное бюджетное  учреждение здравоохранения города Москвы Психиатрическая клиническая больница  № 12  Департамента здравоохранения города Москвы	123367, Москва, Волоколамское шоссе, д.47	СЗАО	Соболев Владимир Алексеевич	(499) 193-7233	(499) 193-6040	
65	Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 13  Департамента здравоохранения города Москвы»	109559, Москва, ул. Ставропольская, д.27	ЮВАО	Исраелян Алексей Юрьевич	(495) 350-3580	(495) 350-4333	С 01.09.2012г. – присоединяется  ПНД № 11, ПНД № 12 и ПНД № 20
66	Государственное казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 14  Департамента здравоохранения города Москвы»	115477, Москва, ул. Бехтерева, д.15	ЮАО	Кожекин Игорь Геннадьевич	(495) 325-3920	(495) 325-2833	С 01.09.2012г. – присоединяется  ПНД № 10 и ПНД № 18
67	Государственное  казенное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница  № 15  Департамента здравоохранения города Москвы»	115522, Москва, ул. Москворечье, д.7	ЮАО	Кононец Александр Семенович	(495) 324-5389	(495) 324-4019	С 01.09.2012г. – присоединяется  ПНД № 7, ПНД № 16 и ПНД № 19
68	Государственное  казенное  учреждение здравоохранения города Москвы «Детская психоневрологическая больница № 32    Департамента  здравоохранения   города Москвы»	111116, Москва, Энергетическая ул, д.8, кор.2	ЮВАО	Логунков Андрей Михайлович	(495) 362-5560	(495) 362-5560	С 01.09.2012г. присоединяется к  «НПЦ  детской психневрологии»
69	Государственное  казенное  учреждение здравоохранения города Москвы «Наркологическая клиническая больница   № 17   Департамента здравоохранения города Москвы»	117638, Москва, Болотниковская ул., д.16	ЮЗАО	и.о. Золотухин Сергей Владимирович	(499) 619-3311, (499) 317-2081	(499) 794-1200	
70	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская  гинекологическая больница № 5    Департамента  здравоохранения   города Москвы»	105275, Москва, 5-я ул.Соколиной горы,д.14а		Казачков Александр Робертович	(495) 366-8100	(495) 366-7910	С 01.09.2012г. присоединяется к  Роддому № 20
71	Государственное бюджетное  учреждение здравоохранения города Москвы «Гинекологическая больница  № 11   Департамента здравоохранения города Москвы»	115093, Москва, 1-й Щипковский пер.. д.19	ЦАО	Воднева Галина Михайловна	(499) 237-2581	(499) 236-5126	 С 15.09.2012г. присоединяется к  «ГБ  № 56»
72	Государственное  бюджетное учреждение здравоохранения города Москвы «Морозовская детская городская клиническая больница  Департамента здравоохранения города Москвы»	117049, Москва, 4-й Добрынинский пер., д.1	ЦАО	Колтунов Игорь Ефимович	(499) 236-2402	(499) 236-2213	
73	Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская клиническая больница Святого Владимира Департамента здравоохранения города Москвы»	107014, Москва, ул. Рубцовско-Дворцовая, 1/3	ВАО	и.о. Беляева Татьяна Юрьевна	(499) 268-2231	(499) 268-2280	
74	Государственное учреждение здравоохранения города Москвы Измайловская детская городская клиническая больница Департамента здравоохранения города Москвы	105077, Москва, ул. Верхняя Первомайская,    д. 48/15	ВАО	Жарков Александр Павлович	(499) 748-1671	(499) 748-1671	
75	Государственное  бюджетное  учреждение здравоохранения города Москвы «Тушинская  детская городская больница  Департамента здравоохранения города Москвы»	125480, Москва, ул.  Героев Панфиловцев, д.28	СЗАО	Османов Исмаил Магомедтагирович	(495) 496-9100	(495) 496-4330	
76	Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9    им. Г.Н. Сперанского   Департамента здравоохранения города Москвы»	123317, Москва, Шмитовский проезд, д.29	ЦАО	Продеус Пётр Павлович	(499) 256-2162	(499) 256-6127	С 01.09.2012г. – присоединяется  Детская инфекционная больница № 12 и Детская городская больница № 21
77	Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница  № 13    им. Н.Ф. Филатова  Департамента здравоохранения города Москвы»	123001, Москва, ул. Садовая-Кудринская, д.15	ЦАО	Константинов Кирилл Владимирович	(499) 254-5292	(499) 254-5292	
78	Государственное бюджетное  учреждение здравоохранения города Москвы Детская городская больница  № 19  им. Т.С. Зацепина   Департамента здравоохранения города Москвы»	107061,  Москва, Б. Черкизовская ул., влад.12	ВАО	Попов Владимир Васильевич	(499) 168-8646	(499) 168-9982	
79	Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская больница  № 21  Департамента здравоохранения города Москвы»	129329, Москва, ул. Ивовая, д.3		Егоренков Анатолий Михайлович	(499) 186-8297	(499) 186-8337	С 01.09.2012г. присоединяется к  «ДГКБ  № 9 им. Г.Н.Сперанского»
80	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 45   Департамента здравоохранения города Москвы	143035, Московская область, Одинцовский район, ст. Звенигород, п/о Поречье		Фоменко Александр Валентинович	(495) 597-11-51	(495) 597-1151	С 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
81	Государственное учреждение здравоохранения города Москвы  Городская онкологическая больница № 62  Департамента здравоохранения города Москвы	143423, Московская область, Красногорский район, п/о Степановское		Махсон Анатолий Нахимович	(495) 536-0101	(495) 536-0110	
82	Государственное  казенное  учреждение здравоохранения города Москвы «Туберкулезная больница № 6  Департамента здравоохранения города Москвы»	141034, Московская область, Мытищинский район,  п. Здравница, ул.Дубки, д.7		Севрюков Валерий Иванович	(495) 586-8140	(495) 586-8140	
83	Государственное  казенное   учреждение здравоохранения города Москвы «Туберкулёзная больница № 11    Департамента здравоохранения города Москвы»	141506, Московская область, г. Солнечногорск,  ул. Рабухина, д.7		Алексеева Лариса Петровна	(495) 994-1257	(495) 994-1257	
84	Государственное   казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 2  им. О.В. Кербикова   Департамента здравоохранения города Москвы»	142044, Московская область, Домодедовский район,  п/о Добрыниха		Малиновская Светлана Дмитриевна	(495) 971-2615	(495) 971-2615	
85	Государственное  казенное  учреждение здравоохранения города Москвы  «Психиатрическая больница № 5   Департамента здравоохранения города Москвы»	142370, Московская область, Чеховский  р-н, с. Троицкое, д.5		Воронин Владимир Стефанович	(495) 996-7939	(495) 996-7939	
86	Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 9   Департамента здравоохранения города Москвы»	142813, Московская область, Ступинский район, с. Старая Ситня,  ул. Больничная,  вл.1		Джиоев Эдуард Дмитриевич	(49664) 9-1245	(49664) 9-1591	
87	Государственное  казенное учреждение здравоохранения города Москвы «Психиатрическая больница № 10   Департамента  здравоохранения   города Москвы»	142435, Московская область, Ногинский район,  с. Кудиново		Меркель Владимир Аронович	(495) 992-4602	(495) 992-4602	
88	Государственное   казенное  учреждение здравоохранения города Москвы «Детская психиатрическая больница № 11   Департамента здравоохранения города Москвы»	141144, Московская область, Щелковский район,  п. Медное-Власово		Левашова Елена Юрьевна	8-496 563-2820	8-496-563-2338	
89	Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 16  Департамента  здравоохранения   города Москвы»	142431, Московская область, Ногинский район, дер. Авдотьино		Ганюшан Наира Рафиковна	(495) 747-94-75	(495) 747-94-75	
90	Государственное  бюджетное   учреждение здравоохранения города Москвы «Детская городская больница восстановительного лечения № 3 Департамента здравоохранения города Москвы»	143170, Московская область. Рузский район, п/о Полушкино		Макаренко Владимир Дмитриевич	(495) 992-1375	(495) 992-1352	
91	Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница  г. Московский Департамента здравоохранения города Москвы»	г. Москва,  Ленинский район, г. Московский, микрорайон 1, д.57		Хруленко Александр Николаевич	8-498- 540-8285	8-498-540-8300	
92	Государственное бюджетное учреждение здравоохранения города Москвы «Коммунарская   больница Департамента здравоохранения города Москвы»	г. Москва,  Ленинский район, пос. Коммунарка		Сатаров Михаил Геннадьевич	8-498-617-8954		
93	Государственное бюджетное учреждение здравоохранения города Москвы «Внуковская   больница  Департамента здравоохранения города Москвы»	г. Москва,  Ленинский район, д. Абабурово, ул. Маяковского, д.1		Словеснова Ираида Викторовна	8-495-736-6409		
94	Государственное бюджетное учреждение здравоохранения города Москвы «Щербинская городская  больница Департамента здравоохранения города Москвы»	142171,   г. Щербинка,  ул. Первомайская, дом 10		Бормашенко Александр Семенович	8-496-767-02 04	8-496-767-0249 (79)	
95	Государственное бюджетное учреждение здравоохранения города Москвы «Ватутинская  амбулатория Департамента здравоохранения города Москвы»	г. Москва, Ленинский район, пос. Ватутинки		Каримова Айслу Рашитовна	(495) 549-5718		
96	Государственное  автономное  учреждение здравоохранения города Москвы «Троицкая   городская  больница Департамента здравоохранения города Москвы»	 г. Троицк,  улица Октябрьский проспект, дом 3б		Герасименко Жанетта Александровна	8-496-751-0601	8-496-7510621	
97	Государственное бюджетное учреждение здравоохранения города Москвы «Амбулатория Мосрентген Департамента здравоохранения города Москвы»	г. Москва,  Ленинский район, пос. Мосренген		Акуличева Вера Михайловна	(495) 339-9522		
98	Государственное бюджетное учреждение здравоохранения города Москвы «Марьинская   амбулатория Департамента здравоохранения города Москвы»	г. Москва, Ленинский район, пос. Марьино		Утолин Дмитрий Сергеевич	8-498-627-7522		
99	Государственное бюджетное учреждение здравоохранения города Москвы «Больница «Кузнечики» Департамента здравоохранения города Москвы»	142133, Московская область, Подольский район, пос. Кузнечики, дом 6		Лысиков Владимир Геннадьевич	8-496-765-8050, (916) 137-1288		
100	Государственное бюджетное учреждение здравоохранения города Москвы  «Вороновская   больница Департамента здравоохранения города Москвы»	142, 160, Московская область, Подольский район, пос ЛМС		Киселева Марина Борисовна	8-496-750-7175, (905) 726-3839		
