№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
24	Библиотека №28 им. В.В. Вересаева	119121, г.Москва, Ружейный пер., д.4 стр.1	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
25	Центральная библиотека №36 им.Н.А. Добролюбова	121099, г.Москва, Смоленская пл., д.13/21	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
26	Библиотека №27 им. Волошина	119435, г.Москва, Новодевичий пр-д, д.10	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
27	Библиотека семейного чтения	121019, г.Москва, Большой Афанасьевский пер., д.35-37 стр.4	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
28	Государственное бюджетное учреждение культуры города Москвы «ЦБС №4 ЦАО»	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
29	Центральная детская библиотека им.Братьев Гримм	123022, г.Москва, Нововаганьковский пер., д.22	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
30	Детская библиотека-филиал №25	123317, г.Москва, Красногвардейский б-р, д.1 стр.1	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
31	Детская библиотека-филиал №29	123290, г.Москва, Шмитовский пр-д, д.46 корп.2	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
32	Библиотека-филиал №43 им. А.М. Горького	123317, г.Москва, Стрельбищенский пер., д.5 корп.3	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
33	Центральная библиотека №46 им. Н.В. Гоголя	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
34	Библиотека-филиал №47	123317, г.Москва, Стрельбищенский пер., д.25	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
35	Библиотека-филиал №48	123290, г.Москва, Мукомольный пр-д, д.9 корп.2	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
36	Библиотека им. И.А. Бунина	123100, г.Москва, ул. 1905 года, д.3 стр.1	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
37	Детская библиотека-филиал №152	123557, г.Москва, Большой Тишинский пер., д.24 стр.1	Центральный АО	Пресненский	123056, г.Москва, ул. Большая Грузинская, д.39 стр.1	(499) 253-85-43	(499) 253-81-59	cbs4you.ru	cbs4cao@mail.ru
38	Государственное бюджетное учреждение культуры города Москвы «ЦБС №5 ЦАО»	115184, г.Москва, ул. Большая Татарская, д.32	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
39	Детская библиотека №8 им. Н.А. Некрасова	113035, г.Москва, Космодамианская наб., д.4/22 корп.В	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
40	Центральная детская библиотека №10 им. А.Н. Радищева	113184, г.Москва, ул. Бахрушина, д.4 стр.1	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
41	Библиотека семейного чтения им. А. Сент-Экзюпери	107140, г.Москва, 2-й Красносельский пер., д.2	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
42	Центральная библиотека №21 им. Н.Г. Чернышевского	113184, г.Москва, ул. Большая Татарская, д.32	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
43	Детская библиотека №56 им. А.П. Чехова	129010, г.Москва, ул. Большая Спасская, д.31	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
44	Детская библиотека №90	113054, г.Москва, ул. Дубининская, д.20 стр.1а	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
45	Библиотека №106	107140, г.Москва, ул. Русаковская, д.8 стр.3	Центральный АО	Замоскворечье	115184, г.Москва, ул. Большая Татарская, д.32	(495) 951-63-42	(495) 951-60-78	cbs5.ru	cbs5@yandex.ru
46	Государственное бюджетное учреждение культуры города Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»	105005, г.Москва, ул. Бауманская, д.58/25 стр.14	Центральный АО	Басманный	123104, г.Москва, Тверской б-р, д.27/20/1	(495) 916-90-68	(495) 916-90-68	nekrasovka.ru	nekrasovka2006@yandex.ru
47	Государственное бюджетное учреждение культуры города Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»	115088, г.Москва, ул. Угрешская, д.2 стр.35	Центральный АО	Басманный	123104, г.Москва, Тверской б-р, д.27/20/1	(495) 916-90-68	(495) 916-90-68	nekrasovka.ru	nekrasovka2006@yandex.ru
48	Государственное бюджетное учреждение культуры города Москвы «Дом Н.В.Гоголя — мемориальный музей и научная библиотека»	119019, г.Москва, Никитский б-р, д.7а	Центральный АО	Арбат	119019, г.Москва, Никитский б-р, д.7а	(495) 691-15-50	(495) 691-15-50	domgogolya.ru	sekretar@domgogolya.ru
49	Государственное бюджетное учреждение культуры города Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»	123001, г.Москва, ул. Большая Садовая, д.1	Центральный АО	Пресненский	123001, г.Москва, ул. Большая Садовая, д.1	(495) 650-49-83	(495) 650-49-83	svetlovka.ru	svetlovka@inbox.ru
50	Государственное бюджетное учреждение культуры города Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»	123001, г.Москва, ул. Садовая-Кудринская, д.23	Центральный АО	Пресненский	123001, г.Москва, ул. Большая Садовая, д.2	(495) 650-49-83	(495) 650-49-83	svetlovka.ru	svetlovka@inbox.ru
51	Государственное бюджетное учреждение культуры города Москвы «Центральная городская детская библиотека имени А.П.Гайдара»	119121, г.Москва, Ростовская наб., д.5	Центральный АО	Хамовники	119034, г.Москва, Коробейников пер., д.22 стр.2	(495) 637-14-90, (495) 637-14-89		gaidarovka.ru	lib@gaidarovka.ru
52	Государственное бюджетное учреждение культуры города Москвы «Центральная городская детская библиотека имени А.П.Гайдара»	119270, г.Москва, ул. 3-я Фрунзенская, д.9	Центральный АО	Хамовники	119034, г.Москва, Коробейников пер., д.22 стр.3	(495) 637-14-90, (495) 637-14-90		gaidarovka.ru	lib@gaidarovka.ru
53	Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 ЦАО»	105066, г.Москва, ул. Спартаковская, д.9	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
54	Детская библиотека №6, ЦБС №1 ЦАО	105062, г.Москва, Чистопрудный б-р, д.19/1 стр.3	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
55	Центральная детская библиотека №78	109147, г.Москва, ул. Абельмановская, д.11	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
56	ОИПЦ, Библиотека префекта ЦАО	109172, г.Москва, Новоспасский пер., д.5 стр.1а	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
57	Центральная библиотека №132 им. М.Н. Покровского	109004, г.Москва, Большой Факельный пер., д.3	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
58	Библиотека №134	109316, г.Москва, Волгоградский пр-т, д.16	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
59	Библиотека №138	109029, г.Москва, ул. Малая Калитниковская, д.22 стр.1	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
60	Детская библиотека №140	109544, г.Москва, ул. Новорогожская, д.5	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
61	Нотно-музыкальная библиотека им. П.И.Юргенсона	109004, г.Москва, Николоямский пер., д.3 корп.4	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
62	Государственное бюджетное учреждение культуры города Москвы «Библиотека-читальня имени И.С.Тургенева»	101990, г.Москва, Бобров пер., д.6 стр.1	Центральный АО	Красносельский	101000, г.Москва, Бобров пер., д.6 стр.1, 2	(495) 625-66-80, (495) 621-99-17	(495) 625-03-81	turgenev.ru	biblioteka@turgenev.ru
63	Государственное бюджетное учреждение культуры города Москвы «Библиотека-читальня имени И.С.Тургенева»	101990, г.Москва, Бобров пер., д.6 стр.2	Центральный АО	Красносельский	101000, г.Москва, Бобров пер., д.6 стр.1, 2	(495) 625-66-80, (495) 621-99-17	(495) 625-03-81	turgenev.ru	biblioteka@turgenev.ru
64	Государственное бюджетное учреждение культуры города Москвы «Библиотека имени А.П.Чехова»	123009, г.Москва, Страстной б-р, д.6 стр.2	Центральный АО	Тверской	125009, г.Москва, Страстной б-р, д.8	(495) 692-83-97	(495) 692-83-97	chehovka.ru	chehovka_5@mail.ru
65	Государственное бюджетное учреждение культуры города Москвы «Библиотека имени А.П.Чехова»	103009, г.Москва, ул. Большая Дмитровка, д.23/8 стр.1	Центральный АО	Тверской	125009, г.Москва, Страстной б-р, д.8	(495) 692-83-97	(495) 692-83-97	chehovka.ru	chehovka_5@mail.ru
66	Государственное бюджетное учреждение культуры города Москвы «Библиотека искусств имени А.П.Боголюбова»	103030, г.Москва, ул. Сущевская, д.14 стр.1	Центральный АО	Тверской	127055, г.Москва, ул. Сущевская, д.14 стр.1, 2	(499) 973-14-94	(499) 973-14-94	bogolublib.ru	bogolubovlib@yandex.ru
67	Государственное бюджетное учреждение культуры города Москвы «Библиотека искусств имени А.П.Боголюбова»	103055, г.Москва, ул. Новослободская, д.49/2	Центральный АО	Тверской	127055, г.Москва, ул. Сущевская, д.14 стр.1, 2	(499) 973-14-94	(499) 973-14-94	bogolublib.ru	bogolubovlib@yandex.ru
68	Государственное бюджетное учреждение культуры города Москвы «Библиотека киноискусства имени С.М.Эйзенштейна»	103006, г.Москва, ул. Каретный Ряд, д.5/10 стр.2	Центральный АО	Тверской	127006, г.Москва, ул. Долгоруковская, д.33 стр.1	(495) 699-81-70	(495) 699-81-70, (495) 699-35-86	eisenstein.ru	cinema-lib@yandex.ru
69	Государственное бюджетное учреждение культуры города Москвы «Библиотека киноискусства имени С.М.Эйзенштейна»	109147, г.Москва, ул. Абельмановская, д.11	Центральный АО	Тверской	127006, г.Москва, ул. Долгоруковская, д.33 стр.1	(495) 699-81-70	(495) 699-81-70, (495) 699-35-86	eisenstein.ru	cbs7cao@mail.ru
70	Государственное бюджетное учреждение культуры города Москвы «Библиотека истории русской философии и культуры «Дом А.Ф.Лосева»	121002, г.Москва, ул. Арбат, д.33/12 стр.1	Центральный АО	Арбат	119002, г.Москва, ул. Арбат, д.33/12 стр.1	(499) 252-80-82	(499) 252-86-59	losev-library.ru	info_losevka@mail.ru
71	Государственное бюджетное учреждение культуры города Москвы «Библиотека украинской литературы»	129110, г.Москва, ул. Трифоновская, д.61 корп.1	Центральный АО	Мещанский	129272, г.Москва, ул. Трифоновская, д.61 корп.1	(495) 631-38-30, (495) 631-41-18	(495) 631-38-30	mosbul.ru	libukrmoscow@yandex.ru
72	Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 САО»	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
73	Библиотека №61	125040, г.Москва, ул. Правды, д.11/13	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
74	Библиотека №71	127540, г.Москва, ул. Дубнинская, д.6 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
75	Библиотека №75	127422, г.Москва, ул. Тимиряевская, д.17 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
76	Библиотека №75, юнош.отдел	127422, г.Москва, ул. Астрадамская, д.4	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
77	Библиотека №78	127238, г.Москва, Дмитровское ш., д.50 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
78	Библиотека №80	127434, г.Москва, Дмитровское ш., д.39 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
79	Библиотека №81	127411, г.Москва, ул. Софьи Ковалевской, д.8	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
80	Библиотека №83	127220, г.Москва, ул. Башиловская, д.3 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
81	Библиотека №85	127474, г.Москва, Дмитровское ш., д.66	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
82	Библиотека №112	127411, г.Москва, ул. Софьи Ковалевской, д.10 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
83	Библиотека №133	127540, г.Москва, ул. Дубнинская, д.6 корп.1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
84	Библиотека №149	127550, г.Москва, Дмитровское ш., д.43	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
85	Библиотека №159	127591, г.Москва, Керамический пр-д, д.71/1	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
86	Библиотека №196	125412, г.Москва, Коровинское ш., д.22	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
87	Библиотека №227	127540, г.Москва, ул. Дубнинская, д.16	Северный АО	Тимирязевский	125422, г.Москва, ул. Тимирязевская, д.17 корп.1	(495) 611-57-56	(499) 798-44-76		info@cbs1sao.ru
88	Государственное бюджетное учреждение культуры города Москвы «ЦБС №5 САО»	125284, г.Москва, ул. Беговая, д.13	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
89	Библиотека №127 семейного чтения	111524, г.Москва, ул. Аносова, д.3 корп.2	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
90	Библиотека №128 семейного чтения	111394, г.Москва, ул. Полимерная, д.7 стр.2	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
91	Детская библиотека №32	125284, г.Москва, 1-й Боткинский пр-д, д.4	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
92	Центральная детская библиотека №33	125252, г.Москва, ул. Куусинена, д.17 корп.2	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
93	Детская библиотека №34	125315, г.Москва, ул. Усиевича, д.23	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
94	Детская библиотека №36	125167, г.Москва, ул. Степана Супруна, д.12 корп.3	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
95	Библиотека №62	125319, г.Москва, ул. 8 Марта, д.15	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
96	Библиотека №64	125252, г.Москва, ул. Куусинена, д.6 корп.6	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
97	Центральная библиотека №66	125284, г.Москва, ул. Беговая, д.13	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
98	Библиотека №67	123007, г.Москва, Хорошевское ш., д.17	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
99	Библиотека №68	125315, г.Москва, ул. Усиевича, д.16	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
100	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Библиорадуга» САО»	125413, г.Москва, ул. Фестивальная, д.46 корп.1	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
101	Библиотека №35	125565, г.Москва, ул. Пулковская, д.3 корп.1	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
102	Центральная библиотека №65 им. В.Г. Короленко	125413, г.Москва, ул. Фестивальная, д.46 корп.1	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
103	Библиотека-филиал №79	125239, г.Москва, ул. Коптевская, д.26 корп.6	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
