№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
14	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 14  Департамента здравоохранения города Москвы»	 117042, Москва, Плавский проезд, д. 3		Борзенков Сергей Александрович	(499)793-0545	(499)793-0563	С15.09.2012г. присоединяется к «КДП № 121»
15	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 15 Департамента здравоохранения города Москвы»	107066, Москва, ул. Ольховская, д.35		Караева Светлана Халидовна	(499) 261-1094	(499) 261-3001	С 15.09.2012г. присоединяется к «ГП № 5»
16	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 16  Департамента здравоохранения города Москвы»	111539, Москва, ул. Старый Гай, д.5		Кальянов Владислав Иванович	375-6775	375-6775	С 15.09.2012г. присоединяется к «ГП № 175»
17	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 17  Департамента здравоохранения  города Москвы»	115573, Москва, Ореховый бульвар, д.35,к.2		 Нельга Олег Николаевич	393-1309	393-1309	С 15.09.2012г. присоединяется к ГП № 214»
18	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 18  Департамента здравоохранения  города Москвы»	105425, Москва, Сиреневый бульвар, д.8стр.1		 и.о. Юсуфов Камиль Магомедович	164-4986		С 15.09.2012г. присоединяется к «ГП № 64»
19	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 Департамента здравоохранения города Москвы»	109451, Москва, ул. Верхние поля, д.34, к.4		Суанов Артур Николаевич	654-9997	654-9983	
20	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 20 Департамента здравоохранения  города Москвы»	127055, Москва, Горлов тупик, д.4		Глушкова Божена Игоревна	(499) 251-1468	(499) 978-8669	С 15.09.2012г. присоединяется к «ГП № 3»
21	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 21  Департамента здравоохранения города Москвы»	127015, Москва, 1-я Квесисская ул., д.8		и.о. Евсеева Елена Александровна	(495) 685-6883	(495) 685-6978	С 15.09.2012г. присоединяется к «ГП № 6»
22	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22  Департамента здравоохранения города Москвы»	117218, Москва, ул. Кедрова, д.24		Вершинина Лилия Геннадьевна	718-8011	718-8011	
23	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23  Департамента здравоохранения города Москвы»	109431, Москва, ул.авиаконструктора Миля, д.6,к.1		Афанасьева Елена Юрьевна	(499)796-0517	(499)796-6454	
24	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 24   Департамента здравоохранения города Москвы»	109052, Москва, ул. В.Хохловка, д.2		Кадохова Светлана Слангериевна	678-0248	678-0248	С 15.09.2012г. присоединяется к «ГП № 19»
25	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 25  Департамента здравоохранения города Москвы»	117198, Москва, ул. Миклухо-Маклая, д.10	ЮЗАО	Ходорович Александр Михайлович	434-25-70	434-2584	
26	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 26  Департамента здравоохранения города Москвы»	115304, Москва, ул. Ереванская, д.23		Морозова Наталья Ивановна	321-0992	321-0992	С 15.09.2012г. присоединяется к «ГП № 166»
27	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская больница № 43  с поликлиническим отделением  Департамента здравоохранения города Москвы»	127204, Москва, 1-я Северная линия, д.27		Семерчев Демьян Петрович	(499) 767-8711	(499) 767-8300	
28	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 27  Департамента здравоохранения города Москвы»	115533, Москва, ул. Высокая, д.19, к.1		Кладова Лидия Ивановна	(499)612-5558	(499)612-5558	С 15.09.2012г. присоединяется к «ГП № 67»
29	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 28  Департамента здравоохранения города Москвы»	125493, Москва, ул. Пулковская, д.8		Слободина Галина Александровна	(495) 458-7600	(499) 747-6181	С 15.09.2012г. присоединяется к «МСЧ № 51»
30	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 29  Департамента здравоохранения города Москвы»	129344, Москва, ул. Печорская, д.10, корп.2		Аляев Дмитрий Никанорович	471-3255	471-2416	С 15.09.2012г. присоединяется к «ГП № 218»
31	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 30  Департамента здравоохранения города Москвы»	111558, Москва, Федеративный проспект, д.31		Пасунков Сергей Борисович	302-1568	302-1568	С 15.09.2012г. присоединяется к «ГП № 69»
32	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 31  Департамента здравоохранения города Москвы»	129323, Москва, ул. Снежная, д.22		Кузичкина Светлана Фёдоровна	(499) 180-8055	(499) 180-8055	С 15.09.2012г. присоединяется к «ГП № 107»
33	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 32  Департамента здравоохранения  города Москвы»	113114, Москва, 1-й Дербеневский пер., д.3		Сидоркин Владимир Анатольевич	235-8805	235-2378	С 15.09.2012г. присоединяется к «ГП № 67»
34	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»	109432, Москва, ул Трофимова, д. 26	ЮВАО	Аракелов Сергей Эрнестович	(495) 958-9559	(495) 958-9434	
35	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 33  Департамента здравоохранения города Москвы»	117461, Москва, ул. Каховка, д.12-а		Коростылёв Вячеслав Вячеславович	(499)121-6517	(499 )121-9400	С 15.09.2012г. присоединяется к «КДЦ № 1»
36	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 34  Департамента здравоохранения города Москвы»	129347, Москва, ул. Лосевская, д.2		Аляева Маргарита Николаевна	(499) 183-1738	(499) 183-1738	С 15.09.2012г. присоединяется к «ГП № 218»
37	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 7 Департамента здравоохранения  города Москвы»	101000, Москва, Большой Харитоньевский пер., д.8		Лихачева Рита Яковлевна	(495) 624-1715	(495) 623-9403	С 15.09.2012г. присоединяется к «ГП № 5»
38	Государственное бюджетное  учреждение здравоохранения города Москвы «Клинико-диагностический центр № 4 Департамента здравоохранения города Москвы»	121609, Москва, ул. Крылатские холмы, д.3		Буславская Ирина  Олеговна	(495) 413-17-64	(495) 413-17-64	С 15.09.2012г. – присоединяютя городские поликлиники №57, 58, 102, 131 и 143
39	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 8  Департамента здравоохранения города Москвы»	119602, Москва, Мичуринский проспект, Олимпийская деревня, д.16, кор.1		Очиенг Лейла Джоновна	437-4565	435-1930	
40	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 9  Департамента здравоохранения города Москвы»	109451, Москва, Перервинский бульвар, д.4, кор.2		Кондрашова Александра Артёмовна	347-7010	347-7010	
41	Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»	105173, Москва, ул. Западная, д.2		Дрошнев Вячеслав Михайлович	(499) 780-5117		
42	Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 5  с поликлиническим отделением  Департамента  здравоохранения города Москвы»	127572, Москва, Абрамцевская ул., д.16		Станке Ольга Михайловна	(499) 200-12-10	(499) 200-12-65	С 15.09.2012г. – присоединяютя городские поликлиники №169, 179 и 190
43	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 10 Департамента здравоохранения города Москвы»	117418, Москва, ул. Цюрупы, д.30/63		Лаврикова Валентина Ивановна	(499) 128-3956	(499)128-3956	С 15.09.2012г. присоединяется к «ГП № 22»
44	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 11 Департамента здравоохранения города Москвы»	119331, Москва, ул. Кравченко, д.14		Мосейчук Анжелика Викторовна	(499)138-0009	(499)138-1310	
45	Государственное  бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический  центр № 6   Департамента  здравоохранения   города Москвы»	127540, Москва, Керамический проезд, д.49-б		Сидорова Вера Петровна	(499) 481-01-83	(499)  481-01-83	С 15.09.2012г. – присоединяютя городские поликлиники №138, 146, 155, 188 и 193
46	МСЧ № 56 - - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 39 Департамента здравоохранения города Москвы»	125124, Москва, 1-я ул. Ямского поля, д. 24		и.о. Мерзюк Александр Андреевич	(499) 251-5660	(499) 250-1588	С 15.09.2012г. присоединяется к «ГП № 62»
47	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 43  Департамента здравоохранения города Москвы»	127410, Москва, ул. Инженерная, д. 3		Карлович Сергей Эдуардович	(499) 900-9081	(499) 900-9081	С 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»
48	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 44 Департамента здравоохранения города Москвы»	125080, Москва, Факультетский пер., д.10		Аникеева Наталья Алексеевна	(499) 158-1353	(499) 158-1353	С 15.09.2012г. присоединяется к « ГП № 6»
49	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 68   Департамента здравоохранения города Москвы	109263, Москва, ул. Шкулева, д.4	ЮВАО	Галь Игорь Геннадьевич	(499) 179-6622	(499) 178-8715	С 15.09.2012г. – присоединяется   ГП № 50
50	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 45 Департамента здравоохранения города Москвы»	109472, Москва, ул. Ташкентская, д.25,корп.2		Данилов Юрий Александрович	376-0933	376-0200	С 15.09.2012г. присоединяется к «ГП № 23»
51	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 46  Департамента здравоохранения города Москвы»	103064, Москва, ул. Казакова, д.17		Маркова Наталья Анатольевна	(499) 267-7764	(499) 267-6320	
52	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»	121374, Москва, Можайское шоссе, д.14	ЗАО	Мясников Александр Леонидович	(495) 440-2093	(495) 440-2101	
53	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 47  Департамента здравоохранения города Москвы»	109382, Москва, ул. Армавирская, д.2/20		Капустин Сергей Юрьевич	359-1347	359-1305	С 15.09.2012г. присоединяется к «ГП № 19»
54	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 48  Департамента здравоохранения города Москвы»	127566, Москва, ул. Бестужевых, д.15		Коломиец Алла Николаевна	(499) 201-0049	(499) 201-5182	С 15.09.2012г. присоединяется к «ГП № 107»
55	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 92  Департамента здравоохранения  города Москвы»	121002, Москва, Большой Николопесковский пер., д.4		Шастина Вера Ростиславовна	(499) 241-5083	(499) 241-5083	с 15.09.2012г. присоединяется к «ГП № 3»
56	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 93  Департамента здравоохранения  города Москвы»	127015, Москва, ул. Бутырская, д.65		Пичугина Лидия Владимировна	(495) 685-3952	(495) 685-3952	с 15.09.2012г. присоединяется к «ГП № 6»
57	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 94 Департамента здравоохранения города Москвы»	117321, Москва, ул. Профсоюзная, д.154, к.4		Сидоренко Елена Михайловна	 338-9144	338-7336	с 15.09.2012г. присоединяется к «ГП № 134»
58	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 95  Департамента здравоохранения города Москвы»	117311, Москва, проспект Вернадского, д.9/10		Котов Сергей Александрович	131-0241	131-0422	с 15.09.2012г. присоединяется к «ГП № 11»
59	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 96 Департамента здравоохранения города Москвы»	123592, Москва, ул. Кулакова, д.23		Гуменюк Екатерина Станиславовна	750-39-75	756-0119	с 15.09.2012г. присоединяется к «ГП № 180»
60	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 97 Департамента здравоохранения города Москвы»	125480, Москва, ул. Вилиса Лациса, д.23/2		Чередниченко Лариса Сергеевна	494-2219	494-2219	с 15.09.2012г. присоединяется к «ГП № 219»
61	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 98 Департамента здравоохранения  города Москвы»	129085, Москва, ул. Бочкова, д.5,к.3		Ветохина Татьяна Николаевна	(495) 615-8188	(495) 616-6847	с 15.09.2012г. присоединяется к «ГП № 12»
62	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 99  Департамента здравоохранения города Москвы»	117042, Москва, ул. Веневская , д.27		Пиддубный Михаил Иосипович	716-6881	716-6881	с 15.09.2012г. присоединяется к «КДП № 121»
63	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 100  Департамента здравоохранения города Москвы»	111116, Москва, Лефортовский вал, д.7/6,к.1		и.о. Шашкова Валентина Михайловна	 361-1280	361-1280	с 15.09.2012г. присоединяется к ГП № 9»
64	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 49  Департамента здравоохранения города Москвы	117588, Москва, Тарусская ул., д.6		Байдакова Татьяна Валентиновна	425-6811	425-7011	С 15.09.2012г. присоединяется к «ГП № 134»
65	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 79  Департамента здравоохранения города Москвы»	115487, Москва, ул. Ак. Миллионщикова, д.1	ЮАО	Косаченко Алина  Жораевна	(499) 612-7507	(499) 612-0531	
66	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 50 Департамента здравоохранения города Москвы»	109263, Москва, ул. Шкулева, д.4,стр.7		Талагаев Олег Иванович	(499) 178-6380	(499) 178-6380	С 15.09.2012г. присоединяется к «ГКБ № 68»
67	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81  Департамента здравоохранения города Москвы»	127644, Москва, ул. Лобненская, д.10	САО	и.о. Андрейченко Александр Тимофеевич	(495) 483-4244	(495) 483-0247	
68	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 51  Департамента здравоохранения города Москвы»	115184, Москва, Большой Татарский пер., д 4а		 и.о. Левыкина Наталья Юрьевна	(495) 959-3368	(495) 951-7755	С 15.09.2012г. присоединяется к «ГП № 68»
69	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 52  Департамента здравоохранения города Москвы»	117403, Москва, ул. Медынская, дом 7, корп.1		Ульяшина Татьяна Григорьевне	383-3750	383-4052	
70	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 53  Департамента здравоохранения города Москвы»	117449, Москва, ул. Д.Ульянова, д.25		Сакиева Роза Темуркановна	(499) 126-4884	(499) 126-2545	С 15.09.2012г. присоединяется к «ГП № 22»
71	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 54  Департамента здравоохранения города Москвы»	115563, Москва, ул. генерала Белова, д.19, к.2		Бутурлинцева Ирина Сергеевна	394-7811	394-7811	С 15.09.2012г. присоединяется к ГП № 210»
72	Государственное  бюджетное   учреждение здравоохранения города Москвы «Кардиологический диспансер № 2   Департамента здравоохранения города Москвы»	113556, Москва, ул. Фруктовая, д.12		Глазков Александр Львович	(499) 317-0054	(499) 317-0054	С 15.09.2012г. – присоединяется Гор. пол-ки № 35, 61, 82 и 208
73	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 55  Департамента здравоохранения города Москвы»	109428, Москва, ул. Михайлова, д.33		Подвигин Анатолий Васильевич	(499) 171-3990	(499) 171-1961	С 15.09.2012г. присоединяется к «ДЦ № 3»
74	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 56  Департамента здравоохранения города Москвы»	119121, Москва, ул. Плющиха, д.42		Конобевцев Дмитрий Олегович	(499) 248-4143	(499) 255-8997	С 15.09.2012г. присоединяется к «ГП № 68»
75	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 57  Департамента здравоохранения города Москвы»	121248, Москва, Кутузовский проспект, д.14		Гордиенко Наталья Николаевна	(499) 243-1631	(499) 243-1631	С 15.09.2012г. присоединяется к «КДЦ № 4»
76	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 58  Департамента здравоохранения города Москвы»	121309, Москва, Физкультурный проезд, д.6		Мешков Владимир Васильевич	(499) 148-1512	(499) 148-1512	С 15.09.2012г. присоединяется к «КДЦ № 4»
77	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 59 Департамента здравоохранения города Москвы»	115211, Москва, Борисовские пруды ул., д.12, к.4		Грузд Анатолий Давыдович	341-8229	340-3191	С 15.09.2012г. присоединяется к «ГП № 210»
78	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 60  Департамента здравоохранения города Москвы»	117447, Москва, ул.Б.Черемушкинская, д.6а		Шавхалов Руслан Нажмудинович	(499) 126-2545	(499) 126-9118	С 15.09.2012г. присоединяется к «ГП № 22»
79	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 61  Департамента здравоохранения  города Москвы»	113525, Москва, ул. Чертановская, д.26		Бондаренко Геннадий Анатольевич	312-7672	312-7672	С 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
80	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 62  Департамента здравоохранения города Москвы»	125167, Москва, ул. Красноармейская.д.18		Соколова Татьяна Васильевна	(499) 155-9757	(499) 157-7053	
81	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 64  Департамента здравоохранения  города Москвы»	105023, Москва, ул. Малая Семеновская, д.13		Бисюков Дмитрий Арсентьевич	963-4246	963-4255	
82	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66   Департамента здравоохранения города Москвы»	111672, Москва, ул. Салтыковская, д.7б		Паскачев Абдулбек Баклуевич	701-7655	701-7655	
83	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66   Департамента здравоохранения города Москвы»	111672, Москва, ул. Салтыковская, д.11б		Паскачев Абдулбек Баклуевич	701-7655	701-7655	
84	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 67  Департамента здравоохранения города Москвы»	113105,Москва, Варшавское шоссе, д.19, стр.3		Герасимов Валерий Викторович	954-7353	952-4620	
85	Поликлиника восстановительного лечения № 3 - филиал Городской поликлиники № 67	117105, Москва, Варшавское шоссе, д.19, строение 1		Дегтярев Михаил Кондратьевич	954-6516	954-6516	
86	Поликлиника восстановительного лечения № 3 - филиал Городской поликлиники № 67	117105, Москва, Варшавское шоссе, д.19, строение 2		Дегтярев Михаил Кондратьевич	954-6516	954-6516	
87	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 68 Департамента здравоохранения  города Москвы»	109180,Москва, ул. Якиманка, д.22		Кашежева Анисат Заурбековна	(499) 238-5079	(499) 951-4872	
88	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 69  Департамента здравоохранения города Москвы»	111401, Москва, 2-я Владимирская ул., д.31а		Ермилов Юрий Иванович	304-3067	304-3015	
89	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 70  Департамента здравоохранения  города Москвы»	119634, Москва, ул. скульптора Мухиной, д.14		Гобеджашвили Спартак Дмитриевич	733-8278	733-8263	С 15.09.2012г. присоединяется к «ГП № 212»
90	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 71  Департамента здравоохранения города Москвы»	125057, Москва, Чапаевский пер..д.4		Колоскова Раиса Митрофановна	(499) 157-1258	(499) 157-1258	С 15.09.2012г. присоединяется к « ГП № 62»
91	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 72 Департамента здравоохранения города Москвы»	109388, Москва, ул. Шоссейная, д.41		Мглинец Виктор Павлович	353-1216	353-7187	С 15.09.2012г. присоединяется к « ГП № 109»
92	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 73  Департамента здравоохранения города Москвы»	111524, Москва, ул. Плющева, д.20		Шоршнева Ольга Валентиновна	309-3927	309-3927	С 15.09.2012г. присоединяется к «ГП № 69»
93	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 74  Департамента здравоохранения города Москвы»	117342, Москва, ул. Введенского, д.14а		и.о. Патрикеева Елена Борисовна	333-6030	333-7031	С 15.09.2012г. присоединяется к «КДЦ № 1»
94	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 75  Департамента здравоохранения города Москвы»	129301, Москва, ул. Касаткина, д.7		Назарова Раиса Викторовна	683-1824	682-9180	С 15.09.2012г. присоединяется к «ГП № 12»
95	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 76 Департамента здравоохранения города Москвы»	123290,Москва, Шелепихинская набер., д.12		и.о. Зинченко Александр Александрович	(499) 256-2293	(499) 259-7532	С 15.09.2012г. присоединяется к «ГП № 220»
96	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 77  Департамента здравоохранения города Москвы»	129515, Москва, ул. Цандера, д.9		Жолинский Андрей Владимирович	686-9998	683-4395	С 15.09.2012г. присоединяется к «ГП № 12»
97	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 78  Департамента здравоохранения города Москвы	г. Москва, ул. Рудневка, д.8		Тарасов Константин Михайлович	(499) 721-40-20	(499) 721-8090	С 15.09.2012г. присоединяется к «ГП № 66»
98	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 79 Департамента здравоохранения города Москвы»	123098, Москва, ул. маршала Новикова, д.14		и.о. Слободян Татьяна Габденуровна	(499) 193-5422	(499) 193-8590	С 15.09.2012г. присоединяется к «ГП № 115»
99	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 80  Департамента здравоохранения города Москвы»	111395, Москва, ул. Молдагуловой, д.10а		и.о. Палферова Елена Александровна	(499) 373-3700	(499) 373-3700	С 15.09.2012г. присоединяется к «ГП № 66»
100	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 81  Департамента здравоохранения города Москвы»	125414, Москва, ул. Петрозаводская, д.26		Курпилянская Галина Георгиевна	451-5353	451-2315	С 15.09.2012г. присоединяется к «МСЧ № 51»
101	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 82  Департамента здравоохранения города Москвы»	113452, Москва, ул. Ялтинская, д.10		и.о. Копылова Ирина Александровна	(499) 619-4945	(499) 619-4945	С 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
102	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 84  Департамента здравоохранения города Москвы»	117303, Москва, ул. Азовская, д.20, корп.1		Бабаджаниди Артур Викторович	(499) 613-0566	(499) 794-7286	С 15.09.2012г. присоединяется к «КДЦ № 1»
103	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 85  Департамента здравоохранения города Москвы»	113405,Москва, ул. Газопровод, д.11		 Бугулов Александр Александрович	381-8900	381-3050	С 15.09.2012г. присоединяется к « ГП № 170»
104	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 86  Департамента здравоохранения города Москвы»	105264, Москва, Сиреневый бульвар, д.30		Тимоничев Николай Владимирович	465-7579	465-7579	С 15.09.2012г. присоединяется к «ГП № 175»
105	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 87  Департамента здравоохранения города Москвы»	107207, Москва, ул. Чусовская, д.9		Почечуева Марина Владимировна	467-6910	467-6910	С 15.09.2012г. присоединяется к « ГП № 191»
106	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 88 Департамента здравоохранения города Москвы»	117393, Москва, ул. архитектора Власова, д.31		Измайлов Андрей Алексеевич	(499) 128-6733	(499) 128-6733	с 15.09.2012г. присоединяется к «ГП № 11»
107	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 89  Департамента здравоохранения города Москвы»	109439, Москва, Есенинский бульвар, д.9, к.1		Швецов Борис Александрович	(499) 175-6533	(499) 175-6573	с 15.09.2012г. присоединяется к «ГП № 9»
