№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
36	Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Музей И.С. Тургенева	119034, г.Москва, ул. Остоженка, д.37/7 стр.1	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.12/2	(495) 637-26-36, (495) 637-73-61	(495) 637-73-61	pushkinmuseum.ru	muzeipushkina@cumail.ru
37	Государственное бюджетное учреждение культуры города Москвы «Государственный музей истории «ГУЛАГа»	127051, г.Москва, ул. Петровка, д.16	Центральный АО	Тверской	127051, г.Москва, ул. Петровка, д.16	(495) 621-73-35, (495) 621-73-10	(495) 621-73-15	gmig.ru	muzeigulaga@cumail.ru
38	Государственное бюджетное учреждение культуры города Москвы «Музей В.А.Тропинина и московских художников его времени»	119017, г.Москва, Щетининский пер., д.10 стр.1	Центральный АО	Якиманка	119017, г.Москва, Щетининский пер., д.10 стр.1	(495) 959-22-20, (495) 959-10-02	(495) 959-22-20	museum.M342.ru	muzeitropinina@cumail.ru
39	Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Народного художника СССР А.Шилова»	119019, г.Москва, ул. Знаменка, д.5	Центральный АО	Хамовники	119019, г.Москва, ул. Знаменка, д.5	(495) 697-42-08, (495) 697-69-75	(495) 697-69-75	amshilov.ru	galereyashilova@cumail.ru
40	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»	119021, Москва, Зубовский бульвар, д.2	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95			muzeimoskvi@cumail.ru
41	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей археологии Москвы	125009, г.Москва, Манежная пл., д.1а	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95			muzeimoskvi@cumail.ru
42	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей русской усадебной культуры	109472, г.Москва, ул. Тополевая аллея, д.6 стр.1	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95			muzeimoskvi@cumail.ru
43	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей "Английское подворье	109012, г.Москва, ул. Варварка, д.4а	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95			muzeimoskvi@cumail.ru
44	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей истории Лефортово	111020, г.Москва, ул. Крюковская, д.23	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95			muzeimoskvi@cumail.ru
45	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей С.А.Есенина»	115054, г.Москва, Большой Строченовский пер., д.24 стр.2	Центральный АО	Замоскворечье	115054, г.Москва, Большой Строченовский пер., д.24 стр.2	(495) 954-97-64, (495) 958-16-74	(495) 954-97-66	mgme.ru	muzeiesenina@cumail.ru
46	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал «Музей-квартира В.Э. Мейерхольда»	Брюсов пер., д.12, под. 2, кв.11	ЦАО	Тверской		(495) 629-53-22			
47	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальная музей-квартира актерской семьи М.В. и А.А. Мироновых и А.С. Менакера	М. Власьевский пер., д.7, кв.8	ЦАО	Хамовники		(499) 241-61-97 (499) 241-59-50			
48	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальная музей-квартира Г.С. Улановой	Котельническая наб., д.1/15, кв. 185	ЦАО	Таганский		(495) 915-44-47			
49	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальная музей-квартира В.Н. Плучека	Б. Бронная, д.2/6, кв. 47	ЦАО	Пресненский		(495) 697-70-83			
50	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальный музей «Творческая мастерская театрального художника Д. Л. Боровского»	Б. Афанасьевский переулок, д. 3, стр. 4-6	ЦАО	Хамовники		8(495)691-40-19			
51	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Театральная галерея на Малой Ордынке	Малая Ордынка, 9/12, стр. 1	ЦАО	Замоскворечье		(495) 953-12-45, (495) 951-11-40. Факс: (495) 953-12-45, (495) 953-54-48			
52	Государственный Литературный музей	ул. Петровка, д.28	ЦАО	Тверской		8(495) 680-3017, 8(495) 621-3857, 625-12-26	(495) 624-60-24	goslitmuz.ru	litmuz@orc.ru litmuz@yandex.ru  nbondi@yandex.ru
53	Государственный Литературный музей, Филиал «Музей литературы Серебряного века», Дом В.Я. Брюсова	Проспект Мира, д. 30	ЦАО	Мещанский		(495) 680-86-83			
54	Государственный Литературный музей, Филиал Музей А.И. Герцена	пер. Сивцев Вражек, д.27	ЦАО	Хамовники		(499) 241-17-96			
55	Государственный Литературный музей, Филиал «Дом-музей А.П. Чехова»	Ул. Садово-Кудринская, д. 6	ЦАО	Пресненский		691-38-37			
56	Государственный Литературный музей, Филиал«Дом-музей Ф.М. Достоевского»	ул. Достоевского, д.2	СВАО	Марьина Роща		(495) 681-10-85			
57	Государственный Литературный музей, Филиал Дом И.С. Остроухова – выставочные залы	Трубниковский пер., д.17	ЦАО	Арбат		695-46-18			
58	Государственный Литературный музей, Филиал Дом-музей М.Ю. Лермонтова	ул. Малая Молчановка, 2	ЦАО	Арбат		8 (495) 691-52-98			
59	Государственный Литературный музей, Филиал Мемориальный кабинет А.В. Луначарского	Денежный пер. 9/6	ЦАО	Хамовники		(499) 241-88-73			
60	Государственный Литературный музей, Филиал Мемориальный музей-квартира А.Н. Толстого	ул. Спиридоновка, 2 стр.1	ЦАО	Персненский		(495) 690-09-56			
61	Государственный музей Л. Н. Толстого	ул. Пречистенка, д.11/8	ЦАО	Хамовники		8(499)766-9628		www.tolstoymuseum.ru	prokopchuk17@mail.ru
62	Государственный музей Л. Н. Толстого, Филиал Музей-усадьба Л.Н. Толстого «Хамовники»	ул. Л.Толстого, д. 21	ЦАО	Хамовники		8(499)766-9628  (499) 246-94-44			
63	Музей истории войск Московского военного округа,Дом офицеров Московского военного округа	1-й Краснокурсантский проезд, 1/4	ЮВАО	Лефортово		(495) 261-5576			
64	Музей трудовой славы Карачаровского механического завода	Рязанский пр-т., 2.	ЮВАО	Нижегородский		(495) 174-4935			
65	Центральный музей Внутренних войск МВД России	Красноказарменная ул., 9а стр2	ЮВАО	Лефортово		(495) 361-8587, 361-8588			
66	Ломаковский музей старинный автомобилей и мотоциклов	Ул.Краснодарская, вл.58	ЮВАО	Люблино		(499)356-79-95(499)356-79-95		www.lomakovka.ru	
67	Музей истории Московской городской психиатрической больницы им. Н.А.Алексеева	Загородное шоссе, 2, Больница им. Н.А. Алексеева	ЮАО	Донской		(495)954-90-02 (доб.111), (495) 952-8833, 954-9002 (доб. 111), (495)952-87-90	954-22-94		info@pkb1.mosgorzdrav.ru
68	Музей "Русские валенки"	2-ой Кожевнический переулок, д.12	ЮАО	Даниловский		(495)77-525 -77, 8 (910) 402 - 59 - 13		www.gorizont.org/muzey	elvira-valenki@yandex.ru
69	Музей художественных тканей Московской государственной текстильной академии им.А.Н.Косыгина	ул. Малая Калужская, д.1.	ЮАО	Донской		(495) 952-7172, 955-3722, 952-7533		www.msta.ac.ru/museum3	postmast@mail.msta.ac.ru
70	Музей этнографических костюмов на куклах,Упр. Культуры ЮАО	ул. Судостроительная, 28, корп. 1.	ЮАО	Нагатинский Затон		114-8123, 114-14-02, 116-60-66			dknagatino@mail.ru
71	Минералогический музей им. А.Е.Ферсмана РАН, РАН	Ленинский просп., 18, к. 2	ЮАО	Донской		(495) 954-3900, 954-1859		www.fmm.ru	min@minmuz.msk.su
72	Музей истории открытого акционерного общества "ЗВИ" (завода имени Владимира Ильича)	Партийный пер., 1	ЮАО	Даниловский		(495) 235-8706 495-235-5850,	495-235-95-09		
73	Московский музей образования (музей «Волшебный букварь»)	Вишняковский пер., 12	ЦАО	Замоскворечье		951-50-33148-34-45		www.int-edu.ru/museum	intsite@int-edu.ru
74	Научно-мемориальный музей Н.Е.Жуковского	ул. Радио, д. 17	ЦАО	Басманный		495) 916-90-91 доб.: 41-85, 42-30			
75	Выставочный центр Всероссийской библиотеки иностранной литературы им.М.И.Рудомино	Николоямская ул., д.1	ЦАО	Таганский		495-915-35-03	495-915-35-17		feoktist@libfl.ru
76	Музей А.М.Горького Института мировой литературы им. А.М.Горького РАН	Поварская ул., 25а	ЦАО			(495) 290-5130(495) 290-0535			
77	Музей анимации	проспект Вернадского, 5	ЗАО			(495)940-69-60, 628-15-60, 8(910)438-08-04			
78	Музей антропологии и этнографии имени Петра Великого	ул. Большая Серпуховская, 60	ЦАО						
79	Музей АО «Красная роза»	Ул. Тимура Фрунзе, д.11, кор.2	ЦАО			246-20-95			
80	Музей барона Мюнхгаузена	ул.Народного Ополчения, д. 12, кор. 6.	САО			(495) 728-88-64			
81	Музей Буратино-Пиноккио	2-ая Парковая ул., д.18	ВАО			(499) 164-05-76, (916) 087-1223		www.domskazok.ru	
82	Музей воды	Саринский пр., 13				276-92-13			
83	Музей геодезии и картографии	Гороховский пер., 4, МГУГиК.	ЦАО			(495) 267-4533, 261-3152, 261-4533			
84	Музей детского музыкального театра им. Н.Сац	пр-т Вернадского, 5.	ЗАО			(495) 930-2990			
85	Музей землеведения МГУ Ленинские горы, Московский государственный университет им. М.В. Ломоносова.	Ленинские горы, 1	ЗАО			(495) 939-2976			
86	Музей им.Н.Г.Рубинштейна в Московской консерватории,	Б.Никитская ул., 13	ЦАО			629-90-98			
87	Государственное бюджетное учреждение культуры города Москвы «Государственный музей керамики и «Усадьба Кусково XVIII века»	111402, г.Москва, ул. Юности, д.2	Восточный АО	Вешняки	111402, г.Москва, ул. Юности, д.2	(495) 370-01-50, (495) 918-65-40	(495) 918-65-40	kuskovo.ru	usadbakuskovo@cumail.ru
88	Государственное бюджетное учреждение культуры города Москвы «Музей наивного искусства»	111396, г.Москва, Союзный пр-т, д.15а	Восточный АО	Новогиреево	111396, г.Москва, Союзный пр-т, д.15а	(495) 301-03-48, (495) 303-15-14	(495) 303-15-14	naive-art-museum.narod.ru	musnaive@cumail.ru
89	Государственное бюджетное учреждение культуры города Москвы «Московский литературный музей-центр К.Г.Паустовского»	109472, г.Москва, ул. Кузьминская, д.8	Юго-Восточный АО	Кузьминки	109472, г.Москва, ул. Кузьминская, д.8	(499) 172-77-91	(499) 172-77-91	mirpaustowskogo.ru	museipaustovskogo@cumail.ru
90	Государственное бюджетное учреждение культуры города Москвы «Государственный историко-архитектурный, художественный и ландшафтный музей-заповедник «Царицыно»	115569, г.Москва, ул. Дольская, д.1	Южный АО	Царицыно	115569, г.Москва, ул. Дольская, д.1	(495) 321-63-66, (495) 321-80-39	(495) 321-80-39	tsaritsyno-museum.ru	museumcaritsino@cumail.ru
91	Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник»	115487, г.Москва, пр-т Андропова, д.39	Южный АО	Нагатинский затон	115487, г.Москва, пр-т Андропова, д.39	(499) 612-52-17	(499) 612-11-55	mgomz.ru	museumkolomenskoe@cumail.ru
92	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочный центр «Музей Моды»	115093, г.Москва, Партийный пер., д.1 корп.58 стр.1, оф.24	Южный АО	Замоскворечье	111020, г.Москва, ул. Крюковская, д.23	(495) 926-48-29	(495) 926-48-29	vk.com/fashionmuseum	museummodi@cumail.ru
93	Государственное бюджетное учреждение культуры города Москвы «Государственный Дарвиновский музей»	117292, г.Москва, ул. Вавилова, д.57	Юго-Западный АО	Академический	117292, г.Москва, ул. Вавилова, д.57	(499) 134-49-21, (499) 783-22-54	(499) 783-22-54	darwin.museum.ru	museumdarvin@cumail.ru
94	Государственное бюджетное учреждение культуры города Москвы «Государственный музей обороны Москвы»	119602, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.3	Западный АО	Тропарево-Никулино	119602, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.3	(495) 437-60-66, (495) 437-60-74	(495) 437-60-68	gmom.su	museioboronimoskvi@cumail.ru
95	Государственное бюджетное учреждение культуры города Москвы «Музей-панорама «Бородинская битва»	121170, г.Москва, Кутузовский пр-т, д.38	Западный АО	Дорогомилово	121170, г.Москва, Кутузовский пр-т, д.38	(499) 148-94-89, (499) 148-56-76	(499) 148-56-76	1812panorama.ru	museiborodbitva@cumail.ru
96	Государственное бюджетное учреждение культуры города Москвы «Музейно-мемориальный комплекс истории Военно-морского флота России»	125362, г.Москва, ул. Водников, д.2 стр.17	Северо-Западный АО	Северное Тушино	107031, г.Москва, ул. Неглинная, д.8/10	(499) 729-66-62, (499) 729-66-02	(499) 729-66-02		museumvmf@cumail.ru
97	Государственное бюджетное учреждение культуры города Москвы «Государственный Зеленоградский историко-краеведческий музей»	124575, г.Москва, Зеленоград, ул. Гоголя, д.11в	Зеленоградский АО	Матушки-Савелки	124575, г.Москва, Зеленоград, ул. Гоголя, д.11в	(499) 731-45-12, (499) 732-21-22	(499) 731-45-12, (499) 732-21-22		muszelkraeved@cumail.ru
98	Государственное бюджетное учреждение культуры города Москвы «Музейно-мемориальный комплекс «История танка Т-34»	Мытищинский район, деревня Шолохово, дом 89А	Северо-Восточный АО	Мытищинский	141730, г.Лобня, ул. Чехова, д.5	(495) 577-71-94, (495) 577-51-50,  (495) 577-74-01, (495) 577-77-10	(495) 577-74-01	museum-t-34.ru	museitanka@cumail.ru
99	Государственный музей Л. Н. Толстого, Филиал Толстовский культурный центр	ул. Пятницкая, д.12	ЦАО	Замоскворечье		(495) 951-58-08		www.tolstoymuseum.ru	
100	Политехнический музей	Новая пл., д.3/4	ЦАО	Тверской		628-96-63628-86-84 621-10-41		www.polymus.ru	
101	Государственный музей архитектуры им. А.В. Щусева	улица Воздвиженка, 5/25	ЦАО	Арбат		(495) 690-05-51(495) 697-38-74		www.muar.ru	
102	Государственный музейно-выставочный центр «РОСИЗО»	ул. Люблинская д.48, стр.1	ЮВАО	Люблино		350-45-76350-12-58(495)350-02-95	(495)350-02-95	www.rosizo.ru	info@rosizo.ru
103	Государственный центр современного искусства (ГЦСИ)	ул. Зоологическая, д. 13, стр. 2	ЦАО	Пресненский		254-84-92(499)254-18-77254-06-74254-06-74	(499) 254-85-83	www.ncca.ru	admin@ncca.ru
104	Всероссийский художественный научно-реставрационный центр им. академика И.Э. Грабаря	ул. Радио, д.17, корп.6	ЦАО	Басманный		(499) 267-58-22	(499) 261-20-67	www.grabar.ru	grabar@sovintel.ru
105	Государственный центральный музей кино	ул. Мосфильмовская, д.1, корп.3	ЗАО	Раменки		(495) 748-86-98(499) 143-91-38	(495) 748-86-83,	www.museikino.ru	Pr_museikino@mail.ru Musei15@yandex.ru
106	Российская государственная библиотека	ул. Воздвиженка, д.3/5	ЦАО	Арбат		(495) 695-73-71	690-60-62	www.rsl.ru	nbros@rsl.ru
107	Музей-библиотека Н.Ф.Федорова, коммерч. орг-ция	ул. Профсоюзная, 92	ЮЗАО	Коньково		495) 335-5722, 593-6205			
108	Палеонтологический музей им.Ю.А.Орлова Палеонтологического института им.А.А.Борисяка РАН	Профсоюзная ул., д.123	ЮЗАО	Ясенево		(495)339-15-00,339-45-44(495)339-05-77(495)339-06-22, 339-68-33,	(495)339-12-66	www.paleo.ru/museum	admin@paleo.ru
109	Музей Красного креста и Красного полумесяца Российской Федерации	Черемушкинский пр., 5	ЮЗАО	Академический		(499) 126-8401			museum@redcross.ru
110	Музей истории Российского государственного университета нефти и газа им. И.М.Губкина	Ленинский проспект, д.65	ЮЗАО	Гагаринский		499-155-69-13499-155-69-13495-930-93-52	495-135-88-95	www.gubkin.ru/general/museum	muzeirgu@mail.ru
111	Музей завода "Серп и молот", ведомств.	Таможенный проезд, д.12	ЮВАО	Лефортово		(495) 278-9000, доб.33-18			
112	Центральный музей Великой Отечественной войны 1941-1945 гг.	ул. Братьев Фонченко, д.10	ЗАО	Дорогомилово		(499) 148 71 73			
