№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
11	Государственное бюджетное учреждение культуры города Москвы «Центр творческих инициатив «Перспектива»	127051, г.Москва, ул. Петровка, д.20/1	Центральный АО	Тверской	127051, г.Москва, ул. Петровка, д.20/1	(495) 625-18-04	(495) 625-18-04	petrovka20.ru	dk-petrovka20@narod.ru
12	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Восход»	127411, г.Москва, ул. Лобненская, д.5а	Северный АО	Дмитровский	127411, г.Москва, ул. Лобненская, д.5а	(495) 456-55-46	(495) 456-55-46	uksao.ru	dkvoshod@yandex.ru
13	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Восход»	125599, г.Москва, ул. Маршала Федоренко, д.2 корп.1	Северный АО	Дмитровский	127411, г.Москва, ул. Лобненская, д.5а	(495) 456-55-46	(495) 456-55-46	uksao.ru	dkvoshod@yandex.ru
14	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Восход»	125599, г.Москва, ул. Маршала Федоренко, д.2 корп.2	Северный АО	Дмитровский	127411, г.Москва, ул. Лобненская, д.5а	(495) 456-55-46	(495) 456-55-46	uksao.ru	dkvoshod@yandex.ru
15	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Гармония»	127434, г.Москва, Дмитровское ш., д.25 корп.1	Северный АО	Тимирязевский	127434, г.Москва, Дмитровское ш., д.25	(495) 976-12-44	(495) 976-12-44	gu-garmoniya.ru	gu-garmonia@yandex.ru
16	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Гармония»	141400, г.Москва, Охтинский пр-д, д.8	Северный АО	Тимирязевский	127434, г.Москва, Дмитровское ш., д.25	(495) 976-12-44	(495) 976-12-44	gu-garmoniya.ru	gu-garmonia@yandex.ru
17	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Гармония»	125171, г.Москва, Ленинградское ш., д.9 корп.1	Северный АО	Тимирязевский	127434, г.Москва, Дмитровское ш., д.25	(495) 976-12-44	(495) 976-12-44	gu-garmoniya.ru	gu-garmonia@yandex.ru
18	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Гармония»	125252, г.Москва, ул. Песчанная, д.3	Северный АО	Тимирязевский	127434, г.Москва, Дмитровское ш., д.25	(495) 976-12-44	(495) 976-12-44	gu-garmoniya.ru	gu-garmonia@yandex.ru
19	Государственное бюджетное учреждение культуры города Москвы «Клуб «Ладога»	125445, г.Москва, Валдайский пр-д, д.8 стр.1	Северный АО	Левобережный	125445, г.Москва, Валдайский пр-д, д.8 стр.1	(495) 457-44-14	(495) 458-40-59	ladoga-klub.narod.ru	110860@rambler.ru
20	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Центр творчества «Элегия»	115563, г.Москва, Борисовский пр-д, д.11 корп.3	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
21	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Темп»	127515, г.Москва, ул. Академика Королева, д.8 корп.1	Северо-Восточный АО	Бибирево	127349, г.Москва, Шенкурский пр-д, д.3а	(499) 209-09-00	(499) 209-09-00		dktemp@starlink.ru
22	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Смена»	127543, г.Москва, ул. Корнейчука, д.38б	Северо-Восточный АО	Бибирево	127543, г.Москва, ул. Корнейчука, д.38б	(499) 205-59-65, (499) 206-68-92	(499) 205-59-65	dksmena.ru	smenabux@yandex.ru
23	Государственное бюджетное учреждение культуры города Москвы «Клуб «Молодежный»	129323, г.Москва, ул. Снежная, д.13 корп.1	Северо-Восточный АО	Свиблово	129323, г.Москва, ул. Снежная, д.13 корп.1	(495) 180-00-11	(495) 180-00-11		molodegni.klub@jandex.ru
24	Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Содружество»	129278, г.Москва, Рижский пр-д, д.9	Северо-Восточный АО	Алексеевский	129278, г.Москва, Рижский пр-д, д.9	(495) 683-43-97, (495) 683-11-36	(495) 683-43-97, (495) 683-11-36	sodrujestvo.no-ip.org	g7a7i7@ yandex.ru
25	Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ»	127282, г.Москва, Заревый пр-д, д.12	Северо-Восточный АО	Северное Медведково	127282, г.Москва Заревый проезд д.12	(495) 479-61-72	(495) 479-61-72		kl.tovarish@mail.ru
26	Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ»	129337, г.Москва, Ярославское ш., д.18	Северо-Восточный АО	Северное Медведково	127282, г.Москва Заревый проезд д.12	(495) 479-61-72	(495) 479-61-72		kl.tovarish@mail.ru
27	Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ»	127560, г.Москва, ул. Лескова, д.30 корп.1	Северо-Восточный АО	Северное Медведково	127282, г.Москва Заревый проезд д.12	(495) 479-61-72	(495) 479-61-72		kl.tovarish@mail.ru
28	Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ». Клуб «Мелодия»	129226, г.Москва, пр-т Мира, д.163 корп.1	Северо-Восточный АО	Северное Медведково	127282, г.Москва Заревый проезд д.12	(495) 479-61-72	(495) 479-61-72		kl.tovarish@mail.ru
29	Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ». Клуб «Ровесник»	127562, г.Москва, Алтуфьевское ш., д.22	Северо-Восточный АО	Северное Медведково	127282, г.Москва Заревый проезд д.12	(495) 479-61-72	(495) 479-61-72		kl.tovarish@mail.ru
30	Государственное бюджетное учреждение культуры города Москвы «Центр искусств и творчества «Марьина Роща»	127521, г.Москва, ул. Октябрьская, д.91 корп.1	Северо-Восточный АО	Марьина Роща	127521, г.Москва, ул. Октябрьская, д.91 корп.1	(495) 602-66-22	(495) 602-66-22 (495) 602-66-24		romansen@yandex.ru
31	Государственное бюджетное учреждение культуры города Москвы «Городской социокультурный центр «Надежда»	111555, г.Москва, ул. Саянская, д.6б стр.1	Восточный АО	Ивановское	111555, г.Москва, ул. Саянская, д.6б стр.1	(495) 307-12-21	(495) 307-12-21		nadegda99@inbox.ru
32	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»	111672, г.Москва, ул. Городецкая, д.10б	Восточный АО	Новокосино	111672, г.Москва, ул. Городецкая, д.10б				gudknovokosino@mail.ru
33	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»	111672, г.Москва, ул. Суздальская, д.38 корп.2	Восточный АО	Новокосино	111672, г.Москва, ул. Городецкая, д.10б	(495) 701-22-21	(495) 701-22-21, (495) 701-08-70	gudk.ru	gudknovokosino@mail.ru
34	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Перово»	111399, г.Москва, ул. Мартеновская, д.7	Восточный АО	Перово	111399, г.Москва, ул. Мартеновская, д.7	(495) 304-73-57	(495) 304-73-57	dkperovо.narod.ru	dkperovо1@yandex.ru
35	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «На Вешняковской»	111402, г.Москва, ул. Вешняковская, д.12д	Восточный АО	Вешняки	111402, г.Москва, ул. Вешняковская, д.12д	(495) 375-99-04	(495) 375-99-04		dk_naveshnyakovskoy@mail.ru
36	Государственное бюджетное учреждение культуры города Москвы «Клуб «Лицей»	107143, г.Москва, ул. Николая Химушина, д.17 корп.3	Восточный АО	Метрогородок	107143, г.Москва, ул. Николая Химушина, д.17 корп.3	(499) 167-18-01	(499) 167-18-01		gukclublitsey@yandex.ru
37	Государственное бюджетное учреждение культуры города Москвы «Клуб «Лицей»	107370, г.Москва, б-р Маршала Рокоссовского, д.3	Восточный АО	Метрогородок	107143, г.Москва, ул. Николая Химушина, д.17 корп.3	(499) 167-18-01	(499) 167-18-01		gukclublitsey@yandex.ru
38	Государственное бюджетное учреждение культуры города Москвы «Клуб «Акулово»	105173, г.Москва, пос. Акулово, д.25	Восточный АО	Поселок Восточный	105173, г.Москва, пос. Акулово, д.25	(495) 460-98-86	(495) 460-98-86		4609886@mail.ru
39	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Заречье»	111674, г.Москва, ул. 1-я Вольская, д.11	Юго-Восточный АО	Поселок Некрасовка	111674, г.Москва, ул. 1-я Вольская, д.11	(495) 706-90-95, (495) 706-89-86	(495) 706-90-95, (495) 706-89-87	vk.com/club18145885	dknekrasovka@mail.ru
40	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Онежский»	125413, г.Москва, ул. Флотская, д.25	Северный АО	Головинский	125413, г.Москва, ул. Флотская, д.25	(495) 453-01-90	(495) 453-01-90	dk-o.ru	onegskiy@ya.ru
41	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»	109029, г.Москва, Сибирский пр-д, д.2 стр.5	Центральный АО	Таганский	109029, г.Москва, Сибирский пр-д, д.2 стр.5	(495) 670-94-96, (495) 670-47-10	(495) 670-47-10	dkstimul.ru	dkstimul@mail.ru
42	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»	109029, г.Москва, ул. Нижегородская, д.26 стр.1	Центральный АО	Таганский	109029, г.Москва, Сибирский пр-д, д.2 стр.5	(495) 670-94-96, (495) 670-47-10	(495) 670-47-10	dkstimul.ru	dkstimul@mail.ru
43	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»	109316, г.Москва, Волгоградский пр-т, д.7	Центральный АО	Таганский	109029, г.Москва, Сибирский пр-д, д.2 стр.5	(495) 670-94-96, (495) 670-47-10	(495) 670-47-10	dkstimul.ru	dkstimul@mail.ru
44	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»	119034, г.Москва, Еропкинский пер., д.11	Центральный АО	Хамовники	119034, г.Москва, Еропкинский пер., д.11	(495) 637-47-69, (495) 637-26-28	(495) 637-26-28	molodezhnyj.ru	gkmol@rambler.ru
45	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»	119034, г.Москва, ул. Пречистенка, д.33/19 стр.1	Центральный АО	Хамовники	119034, г.Москва, Еропкинский пер., д.11	(495) 637-47-69, (495) 637-26-28	(495) 637-26-28	molodezhnyj.ru	gkmol@rambler.ru
46	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»	119021, г.Москва, Фрунзенская наб., д.8	Центральный АО	Хамовники	119034, г.Москва, Еропкинский пер., д.11	(495) 637-47-69, (495) 637-26-28	(495) 637-26-28	molodezhnyj.ru	gkmol@rambler.ru
47	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»	103062, г.Москва, Лялин пер., д.11-13/1 стр.1	Центральный АО	Басманный	105064, г.Москва, Большой Казенный пер., д.8 стр.2	(495) 510-92-56		dkgaydarovets.samomu.net	9179103@mail.ru
48	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»	105064, г.Москва, Яковоапостольский пер., д.15 стр.1	Центральный АО	Басманный	105064, г.Москва, Большой Казенный пер., д.8 стр.2	(495) 510-92-56		dkgaydarovets.samomu.net	9179103@mail.ru
49	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»	105064, г.Москва, Большой Казенный пер., д.8 стр.2	Центральный АО	Басманный	105064, г.Москва, Большой Казенный пер., д.8 стр.2	(495) 510-92-56		dkgaydarovets.samomu.net	9179103@mail.ru
50	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Зодиак»	121596, г.Москва, ул. Барвихинская, д.20, кв 112	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
51	Государственное бюджетное учреждение культуры города Москвы «Клуб «Огонёк»	125475, г.Москва, ул. Зеленоградская, д.33а	Северный АО	Ховрино	125475, г.Москва, ул. Зеленоградская, д.33а	(495) 451-57-71	(495) 451-64-09	club-ogonek.ru	gukogonek@mail.ru
52	Государственное бюджетное учреждение культуры города Москвы «ТКС «Спутник»	109456, г.Москва, ул. Яснополянская, д.3 корп.1	Юго-Восточный АО	Рязанский	111024, г.Москва, Энтузиастов ш., д.15/16	(495) 170-94-86	(495) 170-94-86		dk-sputnik@mail.ru
53	Государственное бюджетное учреждение культуры города Москвы «ТКС «Спутник»	109428, г.Москва, ул. 3-я Институтская, д.3	Юго-Восточный АО	Рязанский	111024, г.Москва, Энтузиастов ш., д.15/16	(495) 170-94-86	(495) 170-94-86		dk-sputnik@mail.ru
54	Государственное бюджетное учреждение культуры города Москвы «ТКС «Спутник»	109380, г.Москва, ул. Головачева, д.3 корп.2	Юго-Восточный АО	Рязанский	111024, г.Москва, Энтузиастов ш., д.15/16	(495) 170-94-86	(495) 170-94-86		dk-sputnik@mail.ru
55	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «ДК АМО ЗИЛ»	115280, г.Москва, ул. Восточная, д.4 корп.1	Южный АО	Даниловский	115280, г.Москва, ул. Восточная, д.4 корп.1	(495) 675-17-36, (495) 675-16-36	(495) 675-03-03	culture-center.ru	recep@zilcc.ru
56	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и спорта»	117208, г.Москва, Сумской пр-д, д.6а	Южный АО	Чертаново Северное	117208, г.Москва, Сумской пр-д, д.6а	(495) 311-27-43, (495) 312-50-71	(495) 311-27-43	ckis.ru	info@ckis.ru
57	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и спорта»	117570, г.Москва, ул. Красный Маяк, д.13а корп.7, кв.110, 111	Южный АО	Чертаново Северное	117208, г.Москва, Сумской пр-д, д.6а	(495) 311-27-43, (495) 312-50-71	(495) 311-27-43	ckis.ru	info@ckis.ru
58	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и спорта»	117546, г.Москва, ул. Медынская, д.14 корп.1, кв.73, 74, 75	Южный АО	Чертаново Северное	117208, г.Москва, Сумской пр-д, д.6а	(495) 311-27-43, (495) 312-50-71	(495) 311-27-43	ckis.ru	info@ckis.ru
59	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и спорта»	117403, г.Москва, ул. Булатниковская, д.9Б	Южный АО	Чертаново Северное	117208, г.Москва, Сумской пр-д, д.6а	(495) 311-27-43, (495) 312-50-71	(495) 311-27-43	ckis.ru	info@ckis.ru
60	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Северное Чертаново»	117648, г.Москва, Северное Чертаново, д.5Г	Южный АО	Чертаново Северное	117648, г.Москва, Северное Чертаново, д.5 корп.Г	(495) 318-60-74	(495) 319-70-31	dkcherta.ru	domsech@mail.ru
61	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Братеево»	115408, г.Москва, ул. Братеевская, д.16 корп.3	Южный АО	Братеево	115408, г.Москва, ул. Братеевская, д.16 корп.3	(495) 341-95-82	(495) 341-95-82	dkb.urbannet.ru	dk-brateevo@yandex.ru
62	Государственное бюджетное учреждение культуры города Москвы «Государственный экспериментальный Центр культуры и искусства «Авангард»	115583, г.Москва, ул. Генерала Белова, д.18	Южный АО	Орехово-Борисово Южное	115583, г.Москва, ул. Генерала Белова, д.18	(495) 393-80-54	(495) 393-80-54	centr-avangard.ru	avangardinfo.avangard@gmail.com
63	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Дружба»	117546, г.Москва, ул. Медынская, д.6а	Южный АО	Бирюлево Западное	117546, г.Москва, ул. Медынская, д.6а	(495) 383-01-51	(495) 383-01-51	dk-drugba.ru	dk.drugba@mail.ru
64	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Загорье»	115372, г.Москва, ул. Загорьевская, д.1 корп.1	Южный АО	Бирюлево Восточное	115372, г.Москва, ул. Загорьевская, д.1 корп.1	(495) 329-85-93	(495) 328-72-11	dkzagorie.ru	gdk_zagorie@mail.ru
65	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагатино»	115407, г.Москва, ул. Судостроительная, д.31 корп.1	Южный АО	Нагатинский затон	115407, г.Москва, ул. Судостроительная, д.31 корп.1	(499) 616-60-66	(499) 617-75-93	dknagatino.ru	dknagatino@mail.ru
66	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагатино»	115407, г.Москва, ул. Судостроительная, д.28 корп.1	Южный АО	Нагатинский затон	115407, г.Москва, ул. Судостроительная, д.31 корп.1	(499) 616-60-66	(499) 617-75-93	dknagatino.ru	dknagatino@mail.ru
67	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Московские окна»	115582, г.Москва, ул. Домодедовская, д.24 корп.2	Южный АО	Орехово-Борисово Южное	115582, г.Москва, ул. Домодедовская, д.24 корп.2	(495) 391-60-01	(495) 392-84-54		dkmosokna@rambler.ru
68	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Маяк»	117405, г.Москва, ул. Газопровод, д.9а	Южный АО	Чертаново Южное	117405, г.Москва, ул. Газопровод, д.9а	(495) 381-88-00, (495) 381-85-78	(495) 381-88-00, (495) 381-85-78		dkmayk@mail.ru
69	Государственное бюджетное учреждение культуры города Москвы «Творческий центр «Москворечье»	115409, г.Москва, Каширское ш., д.52	Южный АО	Москворечье-Сабурово	115409, г.Москва, Каширское ш., д.52	(495) 324-35-14, (495) 324-79-33	(495) 324-35-14	dk-moskvor.ru	dk-moskvor@yandex.ru
70	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагорный»	115230, г.Москва, Электролитный пр-д, д.3 корп.1	Южный АО	Нагорный	115230, г.Москва, Электролитный пр-д, д.3 корп.1	(499) 317-65-45	(499) 317-65-45		dk_nagorniy@mail.ru
71	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гармония»	117534, г.Москва, ул. Кировоградская, д.44б стр.1	Южный АО	Чертаново Южное	117534, г.Москва, ул. Кировоградская, д.44б стр.1	(495) 387-47-28	(495) 389-48-55		dk-garmoniya@yandex.ru
72	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Центр искусств «Палитра»	115551, г.Москва, ул. Домодедовская, д.22 корп.1, пом.528	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
73	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Атлетический клуб «Олимп»	115551, г.Москва, ул. Домодедовская, д.22 корп.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
74	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Центр творческого развития «Гармония»	115551, г.Москва, Ореховый б-р, д.7 корп.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
75	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Спортивный клуб «Самбо – 81»	115551, г.Москва, Каширское ш., д.94 корп.4	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
76	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Молодежный творческий цент «Рапсодия»	115563, г.Москва, ул. Генерала Белова, д.21 корп.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
77	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Центр искусств и художественных ремесел	115569, г.Москва, ул. Маршала Захарова, д.8 корп.3	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
78	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Эстетический центр «Вдохновение»	115569, г.Москва, ул. Маршала Захарова, д.10 корп.1	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
79	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Эстетический центр «Вдохновение»	115569, г.Москва, ул. Маршала Захарова, д.19 пом.100	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
80	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123181, г.Москва, Неманский пр-д, д.5 корп.2	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
81	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Вдохновение»	117593, г.Москва, Литовский б-р, д.7	Юго-Западный АО	Ясенево	117593, г.Москва, Литовский б-р, д.7	(495) 425-21-74	(495) 425-21-74	kdcuzao.ru	kdc_uzao@mail.ru
82	Государственное бюджетное учреждение культуры города Москвы «Клуб «Надежда»	119421, г.Москва, ул. Обручева, д.11	Юго-Западный АО	Обручевский	119421, г.Москва, ул. Обручева, д.11	(495) 935-66-13	(495) 935-54-43		club-nadezhda@mail.ru
83	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и досуга «Академический»	117447, г.Москва, ул. Большая Черемушкинская, д.6 корп.2	Юго-Западный АО	Академический	117447, г.Москва, ул. Большая Черемушкинская, д.6 корп.2	(499) 126-95-64	(499) 126-95-64	ckda.ru	d.m@inbox.ru
84		117449, г.Москва, ул. Шверника, д.13 корп.2	Юго-Западный АО	Академический	117447, г.Москва, ул. Большая Черемушкинская, д.6 корп.2	(499) 126-95-64	(499) 126-95-64	ckda.ru	d.m@inbox.ru
85	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и досуга «Лира»	117623, г.Москва, ул. Брусилова, д.15 корп.1	Юго-Западный АО	Южное Бутово	117042, г.Москва, б-р Адмирала Ушакова, д.12	(495) 716-92-36	(495) 716-92-36	liraub.narod.ru	info.lira@mail.ru
86		117042, г.Москва, б-р Адмирала Ушакова, д.12	Юго-Западный АО	Южное Бутово	117042, г.Москва, б-р Адмирала Ушакова, д.12	(495) 716-92-36	(495) 716-92-36	liraub.narod.ru	info.lira@mail.ru
87	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и искусства «Меридиан»	117420, г.Москва, ул. Профсоюзная, д.61	Юго-Западный АО	Черемушки	117420, г.Москва, ул. Профсоюзная, д.61	(495) 333-30-56	(495) 333-70-01	meridiancentre.ru	gbuk@meridiancentre.ru
88	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Сцена»	117437, г.Москва, ул. Островитянова, д.15 корп.1	Юго-Западный АО	Коньково	117437, г.Москва, ул. Островитянова, д.15 корп.1	(495) 330-51-83	(495) 330-51-83	otkrovenie-scena.ru	otkrovenie-04@mail.ru
89	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино»	119634, г.Москва, ул. Лукинская, д.1 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
90	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». ДК «Ново-Переделкино»	119634, г.Москва, ул. Лукинская, д.1 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
91	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Мечта»	119634, г.Москва, ул. Лукинская, д.11	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
92	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Надежда»	119633, г.Москва, Боровское ш., д.33 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
93	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Ариадна»	119634, г.Москва, Боровское ш., д.40	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
