№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
29	Государственное  бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж №10	109457 г. Москва, ул. Федора Полетаева, д. 2, корп. 7	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 175-83-16; (499) 742-44-74; (495) 379-50-85	http://pk10.mskcollege.ru/
30	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж моделирования обуви и маркетинга"	107564, г. Москва, ул. Краснобогатырская, д. 38	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	963-34-55	http://k69.mskcollege.ru/
31	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 4	117418 г.Москва, улица Цюрупы, д.14б.	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	128-69-22	http://pedcol4.mosuzedu.ru/
32	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 8 "Измайлово"	105264, г.Москва,  Измайловский бульвар, дом 19	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 163-00-71	http://pk08.mskcollege.ru
33	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 9 "Арбат"	121099 г.Москва, пер. Каменная слобода, д.4, стр.1.	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 241-63-73	http://pk9arbat.ru
34	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 14	127282, г. Москва, ул. Грекова, д. 3 к. 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 478-33-75; (499) 478-38-98; (499) 478-33-75; (499) 478-09-22; (499) 478-91-40; (499) 478-21-62; (499) 479-89-33; (499) 478-02-49	http://pk14.mskcollege.ru
35	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Гуманитарный колледж информационно-библиотечных технологий № 58	105215, г.Москва, Щелковское шоссе, д.52	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 461-91-54	http://k58.mskcollege.ru/
36	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж городского хозяйства № 64	115404 г. Москва,улица Судостроительная,д.48	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 617-93-44; (499) 618-71-10; (499) 617-92-55; (499) 617-92-77; (499) 617-93-33; (499) 618-72-01; (499) 617-93-77; (499) 617-92-44	http://kgh64.ru
37	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29	109052, г. Москва, ул. Нижегородская, д. 98	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36	http://k29.mskcollege.ru/
38	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46	123182,г. Москва, ул. Академика Бочвара, д.2, корп.2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	947-37-50	http://k46.mskcollege.ru/
39	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 13 имени С.Я.Маршака	125183 г. Москва ул. Б. Академическая, д. 77-а, строение 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	482-50-92	http://pk13.mskcollege.ru/
40	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автомотизации и информационных технологий № 20	105037, Москва,  ул. 1-я Парковая,  д. 12	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 163-40-83	http://www.junior.ru/
41	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж электромеханики и информационных технологий"	г. Москва, ул. Академика Миллионщикова, 20	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)612-15-97 ,(499) 612-15-97	-
42	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 26	109559, г. Москва, ул. Цимлянская, д. 7, стр. 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 673-51-90; (495) 673-30-00; (495) 673-15-96; (495) 673-34-93; (495) 673-14-90	http://26kadr.ru/
43	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 38	117321, г. Москва, ул. Профсоюзная, д.154, корпус 7	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 713-17-52	http://www.msk38.ru
44	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж связи № 54	115172 г. Москва, ул. Большие Каменщики, д.7	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 261-03-51	http://www.ks54.ru
45	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский политехнический колледж"	111250, Москва, Красноказарменная ул., д. 10-а	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 361-07-01	http://mpc.mskcollege.ru
46	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж управления и новых технологий"	г. Москва, ул. Генерала Белова, д. 6	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(496) 574-48-40; (496) 577-71-91	http://www.mkuint.ru
47	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 42	121471 Гродненская улица, 5	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 749-88-58	http://pk42.ru/
48	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2	119121 г.Москва, ул.Тимура Фрунзе, д.28	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 253-59-31	http://schc2.mskobr.ru
49	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж архитектуры и строительства № 7	125315 Усиевича улица, 31, стр.3	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	611-54-38	http://kas-7.ru/
50	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 21	107143 Вербная улица, 4, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 160-14-33; (499) 160-03-30	http://k21.mskcollege.ru
51	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 32	119071 г. Москва, ул. Орджоникидзе, д.15	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 236-72-46	http://k32.mskcollege.ru
52	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39	117036 Дмитрия Ульянова улица, 26, к.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12	http://www.college39.ru
53	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж градостроительства и предпринимательства"	129336 Анадырский проезд, д. 79 стр.1-2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 188-62-10	http://www.mcgp.ru
54	Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28	109383 Полбина улица, 72, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 673-54-22	http://k28.mskcollege.ru
55	Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 24	105484, г. Москва,  ул. 16-я Парковая,  д. 20 строение 1	Автономное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 461-52-19	http://k24.mskcollege.ru/
56	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Финансовый колледж № 35	115404 Липецкая улица, д. 2, корп. 13	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	327-50-91	http://credcol.ru
57	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства № 15	129281 г. Москва, Староватутинский проезд, д. 6	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 184-21-27; (499) 184-20-77	http://k15.mskcollege.ru/
58	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12	129337 г. Москва. Хибинский проезд, д. 10	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81	http://www.sk12.ru
59	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автоматизации и радиоэлектроники № 27 имени П.М.Вострухина	109428 Рязанский проспект, д. 8, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 355-24-38; (495) 355-24-82; (495) 355-25-00	http://kair27.ru
60	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Банковский колледж № 45	121351 г. Москва, ул. Ярцевская, д. 10 стр. 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	141-24-73	http://k45.mskcollege.ru/
61	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 47 имени В.Г. Федорова	125371, г. Москва, Волоколамское шоссе, дом 112, корп.3	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 497-65-87; (495) 492-64-75; (495) 493-92-65; (495) 493-33-73	http://k47.mskcollege.ru/
62	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический Колледж № 50	124460, г.Москва, Зеленоград, 3-й Западный пр-д, д. 4	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 736-56-03	http://k50.mskcollege.ru
63	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Железнодорожный колледж № 52	129090 г.Москва, ул.Каланчевская, д.26, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	680-34-21	http://k52.mskcollege.ru/
64	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Электромеханический колледж № 55	125438 г.Москва, ул.Михалковская, д.52	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	601-46-78	http://ek55.ru
65	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский издательско-полиграфический колледж имени Ивана Федорова"	129337, г.Москва, Ярославское шоссе, д.5	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 188-21-47	
66	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж декоративно-прикладного искусства № 36 имени Карла Фаберже	115407 г. Москав, ул. Якорная д.6, стр 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	391-16-69	http://k36.mskcollege.ru/
67	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 49	124527, г.  Москва, Зеленоград, корп. 855	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 731-90-98; (499) 732-93-50; (499) 732-92-88	http://k49.mskcollege.ru/
68	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж музыкально-театрального искусства № 61	111672, г.Москва, Суздальская ул., д.40 Б	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	702-33-26	http://kmti.ru/
69	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский политехнический колледж имени Моссовета"	125124 г. Москва,  ул. Марины Расковой, д.4	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	614-48-28	http://k66.mskcollege.ru
70	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский радиотехнический колледж имени А.А.Расплетина"	123022 г. Москва, ул. Большая Декабрьская, дом 5	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)252-11-84 ,(499) 252-11-84 	-
71	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский технический колледж"	г. Москва, ул. Генерала Белова, д. 4	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)235-46-82	http://mosmtk.ru
72	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж книжного бизнеса и информационных технологий"	125130, г. Москва, ул. З. и А. Космодемьянских, д.19	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	450-03-23	http://www.mgkbit.ru
73	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Театрально-художественный колледж № 60	125315 г. Москва, пр. Амбулаторный 1-й, д. 8, стр. 2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 152-37-60	http://k60.mskcollege.ru/
74	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Московский технико-экономический колледж	105082 г.Москва, Переведеновский пер., д.2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 261-14-86	http://www.mtek63.ru
75	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы «Московский техникум информатики и вычислительной техники»	123154, г. Москва, улица Народного Ополчения, дом 31	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)197-18-66,(499) 197 - 18 - 66	http://www.mtivt.ru
76	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж авиационного моторостроения"	105118,г.Москва,проспект Буденного,д.18	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)785-89-25,(499) 785 8925	-
77	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 13 имени П.А. Овчинникова	127549 г. Москва, ул. Бибиревская, д. 6, корп. 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	683-56-38	http://www.pk13.ru
78	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж архитектуры и менеджмента в строительстве № 17	105203, город  Москва, 12-я Парковая улица,  дом 13/96  стр. 1-2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	963-27-57	http://www.kamc17.ru/
79	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 19	111555, г.Москва, Напольный пр-д, д.9	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 369-05-11; (499) 369-50-06; (499) 369-53-50	http://k19.mskcollege.ru/
80	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 31	115280 г. Москва, ул. Автозаводская д.25	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 952-10-60	http://www.k31.mskcollege.ru/
81	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Пищевой колледж № 33	115404 г. Москва, ул. 6-ая Радиальная.д.10	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	327-52-35	http://k33.mskcollege.ru/
82	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж метростроя № 53 имени Героя Советского Союза М.Ф. Панова	129336, г. Москва,  Стартовая ул., д. 1, корп. 2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	474-41-65	http://k53.mskcollege.ru/
83	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Московский колледж мебельной промышленности	125414 г. Москва,ул. Клинская, д. 8А	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	451-34-10	http://mkmp.su
84	Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова	125284, г. Москва, 1-й Боткинский проезд, дом 7а	Автономное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 485-72-18; (495) 485-72-22	http://www.pk08.ru/
85	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж гостиничного хозяйства "Царицыно" № 37	115569 г. Москва,пр. Шипиловский д.37,к.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	391-23-33	http://collegetsaritsyno.ru
86	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44	119607 г.Москва, ул Раменки д.4	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 141-00-94	http://ksu44.ru
87	Некоммерческое образовательное учреждение "Колледж современного управления"	Волгоградский проспект, дом 42 корпус 7	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 542-68-64,(495) 640-64-60	
88	Автономная некоммерческая организация среднего профессионального образования «Колледж экономики, страхового дела и информационных технологий КЭСИ»	119517 Нежинская улица, дом 13	Автономное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 657-91-42,(495) 657-91-45	
89	Некоммерческое образовательное учреждение среднего профессионального и дополнительного образования «СТОЛИЧНЫЙ БИЗНЕС КОЛЛЕДЖ»	125009 Тверская улица, д. 27 стр. 1	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 699-53-50,(495) 699-54-48	
90	НОЧУ СПО юридический колледж "Третье тысячелетие"	109428 Рязанский проспект, д. 22, корп. 2	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 744-84-71,744-84-71	
91	Негосударственное образовательное учреждение среднего профессионального образования "Столичный профессиональный бизнес-колледж"	109544 Вековая улица, д. 21 стр. 1	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 510-45-98,(495) 971-67-27	
92	Автономная некоммерческая организация "Московский банковский экономический колледж"	117292 Ивана Бабушкина улица, 14 корпус 1	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 125-20-15	
93	Негосударственное образовательное учреждение среднего профессионального образования "Школа спецподготовки "Витязь"	101000 Покровский бульвар, д. 4/17 стр. 7	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 916-00-66	
94	Негосударственное образовательное учреждение среднего профессионального образования «НАЛОГОВЫЙ КОЛЛЕДЖ»	123308 3-я Хорошевская улица, д. 2 стр. 1	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 191-00-69,(495) 517-38-42	
95	Негосударственное образовательное учреждение Художественно-гуманитарный колледж	105203 Измайловский проспект, д.121	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 465-32-16	
96	Негосударственное образовательное учреждение Столичный колледж "Карьера"	115114 Кожевнический проезд, д. 4/5 стр. 5	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж		
97	Негосударственное образовательное учреждение среднего профессионального образования "Интерколледж"	109439 Волгоградский проспект, д. 138 корпус 3	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 795-00-11,(495) 795-00-10	
98	Негосударственное образовательное частное учреждение среднего профессионального образования юридический колледж «Третье тысячелетие»	109428 Рязанский проспект, д.22 корпус 2	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 744-84-71,(495) 973-05-55	
99	Негосударственное образовательное учреждение среднего профессионального образования Московский юридический колледж	107005 Садовническая улица, д. 67 стр. 2	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 683-99-56	
100	Негосударственное образовательное частное учреждение среднего профессионального образования «Колледж экономики и юриспруденции «Инфолайн»	123371 Волоколамское шоссе, дом 114 корпус 1	Негосударственное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 491-67-92	
101	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж №7 "Маросейка"	101000 Армянский переулок, 4, стр. 2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	621-73-30	http://pk07.mskcollege.ru/
102	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 1 имени К.Д. Ушинского	115184 Большая Ордынка улица, 47/7, стр 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	959-17-33	http://pk01.mskcollege.ru/
103	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж городской инфраструктуры и строительства № 1	115184 Малая Ордынка улица, д. 29	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	670-50-86	http://k01.mskcollege.ru/
104	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 6	121170, г. Москва, ул. Поклонная, д.2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 249-44-51	http://mpc6.ru
105	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический Колледж №14	Тихомирова улица, д. 10, корп.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	689-30-26	http://artcollege.ru/
