№ строки	Название объекта	Адрес	Контактный телефон	Адрес электронной почты
31	Информационно-консультационный отдел ГКУ ЦЗН ЦАО	ул. Новослободская д. 46 стр.1	8-(499)-972-48-70	dtiz-cao-czn@trud.mos.ru
32	Отдел трудоустройства населения «Дмитровский»	Дмитровское ш. д.131 корп.2	8-(495)-484-43-55	dmitrovka@labor.ru
33	Отдел трудоустройства населения «Головинский»	ул. Онежская д.15	8-(499)-153-11-10	golovinka@labor.ru
34	Отдел трудоустройства населения «Коптевский»	ул. Б. Академическая д.22 Б	8-(495)- 450-03-34	koptevo@labor.ru
35	Отдел трудоустройства населения «Бабушкинский»	ул. Печорская д.11	8-(495)-470-62-33	NikitenkoOK@trud.mos.ru
36	Отдел трудоустройства населения «Марьина Роща»	ул. Сущёвский Вал д.14/22 корп.1	8-(499)-978-02-26	IlinaNA@trud.mos.ru
37	Отдел трудоустройства населения «Останкинский»	ул. Годовикова д.6	8-(495)-616-25-85	DeryuginaMN@trud.mos.ru
38	Отдел трудоустройства населения «Отрадное»	Алтуфьевское ш. д.40 Г	8-(499)-904-11-88	ScherbakovaEA@trud.mos.ru
39	Отдел трудоустройства населения «Перовский»	ул. 3-я Владимирская д.12 корп.1	8-(495)-672-32-94	perovo@labor.ru
40	Отдел трудоустройства населения «Соколиная Гора»	Окружной пр. д.34 корп.2	8-(495)-918-39-40	sokgora@labor.ru
41	Отдел трудоустройства населения «Лосиноостровский»	ул. Малыгина д.1 корп.2	8-(495)-475-03-49	VasilievaLN@trud.mos.ru
42	Отдел трудоустройства населения «Гольяновский»	Открытое ш. д.23 корп.5	8-(499)-966-38-08	golian@labor.ru
43	Отдел трудоустройства населения «Новокосинский»	ул. Новокосинская д.17 корп.3	8-(495)-702-78-59	novkos@labor.ru
44	Отдел трудоустройства населения «Новогиреевский»	ул. Кусковская д.23 корп.1	8-(495)-309-03-92	novgir@labor.ru
45	Отдел трудоустройства населения «Нагорный»	Варшавское ш. д.68 корп.1	8-(499)-613-23-14	czn-nagorn@yandex.ru
46	Отдел трудоустройства населения «Братеевский»	ул. Ключевая д.22 корп.2	8-(495)-340-31-96	czn-brateevo@yandex.ru
47	Отдел трудоустройства населения «Преображенский»	ул. Стромынка д.13	8-(499)-269-45-32	preobr@labor.ru
48	Отдел трудоустройства населения «Люблино»	ул. Верхние Поля д.3 стр.2	8-(495)-349-19-70	lub_nach@labor.ru
49	Отдел трудоустройства населения «Текстильщики»	2-й Саратовский пр. д.8 корп.2	8-(499)-173-97-43	teks_ais@labor.ru
50	Отдел трудоустройства населения «Лефортово»	ш. Энтузиастов д.20 Б	8-(495)-362-05-78	lef_zam@labor.ru
51	Отдел трудоустройства населения «Марьино»	Новочеркасский бульвар д.47	8-(495)-349-27-00	mar_ais@labor.ru
52	Отдел трудоустройства населения «Выхино-Жулебино»	ул. Моршанская д.2 корп.1	8-(495)-705-56-11	vih_ais@labor.ru
