№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
18	Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр № 3 Департамента  здравоохранения города Москвы»	109444, Москва, ул. Сормовская, д.9	ЮВАО	Цайтлер Александр Викторович	(495) 919-11-44	(495) 919-11-76	С 15.09.2012г. – присоединяютя городские поликлиники №55, 133 и 187
19	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 7 Департамента здравоохранения  города Москвы»	101000, Москва, Большой Харитоньевский пер., д.8	ЦАО	Лихачева Рита Яковлевна	(495) 624-1715	(495) 623-9403	С 15.09.2012г. присоединяется к «ГП № 5»
20	Государственное бюджетное  учреждение здравоохранения города Москвы «Клинико-диагностический центр № 4 Департамента здравоохранения города Москвы»	121609, Москва, ул. Крылатские холмы, д.3	ЗАО	Буславская Ирина  Олеговна	(495) 413-17-64	(495) 413-17-64	С 15.09.2012г. – присоединяютя городские поликлиники №57, 58, 102, 131 и 143
21	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 8  Департамента здравоохранения города Москвы»	119602, Москва, Мичуринский проспект, Олимпийская деревня, д.16, кор.1	ЗАО	Очиенг Лейла Джоновна	(495)437-4565	(495)435-1930	самостоятельное
22	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 9  Департамента здравоохранения города Москвы»	109451, Москва, Перервинский бульвар, д.4, кор.2	ЮВАО	Кондрашова Александра Артёмовна	(495)347-7010	(495)347-7010	самостоятельное
23	Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»	105173, Москва, ул. Западная, д.2	ВАО	Дрошнев Вячеслав Михайлович	(499) 780-51-17	8 (499) 780-51-17	самостоятельное
24	Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 5  с поликлиническим отделением  Департамента  здравоохранения города Москвы»	127572, Москва, Абрамцевская ул., д.16	СВАО	Станке Ольга Михайловна	(499) 200-12-10	(499) 200-12-65	С 15.09.2012г. – присоединяютя городские поликлиники №169, 179 и 190
25	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 10 Департамента здравоохранения города Москвы»	117418, Москва, ул. Цюрупы, д.30/63	ЮЗАО	Лаврикова Валентина Ивановна	(499) 128-3956	(499)128-3956	С 15.09.2012г. присоединяется к «ГП № 22»
26	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 11 Департамента здравоохранения города Москвы»	119331, Москва, ул. Кравченко, д.14	ЮЗАО	Мосейчук Анжелика Викторовна	(499)138-0009	(499)138-1310	самостоятельное
27	Государственное  бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический  центр № 6   Департамента  здравоохранения   города Москвы»	127540, Москва, Керамический проезд, д.49-б	САО	Сидорова Вера Петровна	(499) 481-01-83	(499)  481-01-83	С 15.09.2012г. – присоединяютя городские поликлиники №138, 146, 155, 188 и 193
28	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 12 Департамента здравоохранения  города Москвы»	127276, Москва, ул. акад. Комарова, д.5,к.1	СВАО	Курняева Марина Витальевна	(495)619-2925	(495)619-1091	самостоятельное
29	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»	115280, Москва, ул. Велозаводская. д.1/1	ЮВАО	Аронов Леонид Семенович	(495) 674-5022	(495) 674-8076	самостоятельное
30	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 13 Департамента здравоохранения  города Москвы»	107031, Москва, ул. Неглинная, д.14	ЦАО	Иорданян Альберт Вардович	(495)621-1528	(495)628-9050	С 15.09.2012г. присоединяется к «ГП № 5»
31	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»	107076, Москва, ул. Короленко, д.3,корп.2	ВАО	Гайнулин Шамиль Мухтарович	(495) 964-3929	(495) 964-1121	самостоятельное
32	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 14  Департамента здравоохранения города Москвы»	117042, Москва, Плавский проезд, д. 3	ЮЗАО	Борзенков Сергей Александрович	(499)793-0545	(499)793-0563	С15.09.2012г. присоединяется к «КДП № 121»
33	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 15 Департамента здравоохранения города Москвы»	107066, Москва, ул. Ольховская, д.35	ЦАО	Караева Светлана Халидовна	(499) 261-1094	(499) 261-3001	С 15.09.2012г. присоединяется к «ГП № 5»
34	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 16  Департамента здравоохранения города Москвы»	111539, Москва, ул. Старый Гай, д.5	ВАО	Кальянов Владислав Иванович	(495)375-6775	(495)375-6775	С 15.09.2012г. присоединяется к «ГП № 175»
35	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 17  Департамента здравоохранения  города Москвы»	115573, Москва, Ореховый бульвар, д.35,к.2	ЮАО	Нельга Олег Николаевич	(495)393-1309	(495)393-1309	С 15.09.2012г. присоединяется к ГП № 214»
36	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 18  Департамента здравоохранения  города Москвы»	105425, Москва, Сиреневый бульвар, д.8стр.1	ВАО	и.о. Юсуфов Камиль Магомедович	(495)164-4986	8(499) 163-13-87	С 15.09.2012г. присоединяется к «ГП № 64»
37	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 Департамента здравоохранения города Москвы»	109451, Москва, ул. Верхние поля, д.34, к.4	ЮВАО	Суанов Артур Николаевич	(495)654-9997	(495)654-9983	самостоятельное
38	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 20 Департамента здравоохранения  города Москвы»	127055, Москва, Горлов тупик, д.4	ЦАО	Глушкова Божена Игоревна	(499) 251-1468	(499) 978-8669	С 15.09.2012г. присоединяется к «ГП № 3»
39	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 21  Департамента здравоохранения города Москвы»	127015, Москва, 1-я Квесисская ул., д.8	САО	и.о. Евсеева Елена Александровна	(495) 685-6883	(495) 685-6978	С 15.09.2012г. присоединяется к «ГП № 6»
40	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22  Департамента здравоохранения города Москвы»	117218, Москва, ул. Кедрова, д.24	ЮЗАО	Вершинина Лилия Геннадьевна	(495)718-8011	(495)718-8011	самостоятельное
41	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23  Департамента здравоохранения города Москвы»	109431, Москва, ул.авиаконструктора Миля, д.6,к.1	ЮВАО	Афанасьева Елена Юрьевна	(499)796-0517	(499)796-6454	самостоятельное
42	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 24   Департамента здравоохранения города Москвы»	109052, Москва, ул. В.Хохловка, д.2	ЮВАО	Кадохова Светлана Слангериевна	(495)678-0248	(495)678-0248	С 15.09.2012г. присоединяется к «ГП № 19»
43	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 25  Департамента здравоохранения города Москвы»	117198, Москва, ул. Миклухо-Маклая, д.10	ЮЗАО	Ходорович Александр Михайлович	(495)434-25-70	(495)434-2584	самостоятельное
44	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 26  Департамента здравоохранения города Москвы»	115304, Москва, ул. Ереванская, д.23	ЮАО	Морозова Наталья Ивановна	(495)321-0992	(495)321-0992	С 15.09.2012г. присоединяется к «ГП № 166»
45	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская больница № 43  с поликлиническим отделением  Департамента здравоохранения города Москвы»	127204, Москва, 1-я Северная линия, д.27	СВАО	Семерчев Демьян Петрович	(499) 767-8711	(499) 767-8300	самостоятельное
46	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 82  Департамента здравоохранения города Москвы»	113452, Москва, ул. Ялтинская, д.10	ЮАО	и.о. Копылова Ирина Александровна	(499) 619-4945	(499) 619-4945	С 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
47	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 84  Департамента здравоохранения города Москвы»	117303, Москва, ул. Азовская, д.20, корп.1	ЮЗАО	Бабаджаниди Артур Викторович	(499) 613-0566	(499) 794-7286	С 15.09.2012г. присоединяется к «КДЦ № 1»
48	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 85  Департамента здравоохранения города Москвы»	113405,Москва, ул. Газопровод, д.11	ЮАО	Бугулов Александр Александрович	(495)381-8900	(495)381-3050	С 15.09.2012г. присоединяется к « ГП № 170»
49	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 86  Департамента здравоохранения города Москвы»	105264, Москва, Сиреневый бульвар, д.30	ВАО	Тимоничев Николай Владимирович	(495)465-7579	(495)465-7579	С 15.09.2012г. присоединяется к «ГП № 175»
50	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 87  Департамента здравоохранения города Москвы»	107207, Москва, ул. Чусовская, д.9	ВАО	Почечуева Марина Владимировна	(495)467-6910	(495)467-6910	С 15.09.2012г. присоединяется к « ГП № 191»
51	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 88 Департамента здравоохранения города Москвы»	117393, Москва, ул. архитектора Власова, д.31	ЮЗАО	Измайлов Андрей Алексеевич	(499) 128-6733	(499) 128-6733	с 15.09.2012г. присоединяется к «ГП № 11»
52	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 89  Департамента здравоохранения города Москвы»	109439, Москва, Есенинский бульвар, д.9, к.1	ЮВАО	Швецов Борис Александрович	(499) 175-6533	(499) 175-6573	с 15.09.2012г. присоединяется к «ГП № 9»
53	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 90  Департамента здравоохранения города Москвы»	117186, Москва, ул. Ремизова, д.6	ЮЗАО	Кадухина Валентина Михайловна	(499) 127-2221	(499) 123-2519	с 15.09.2012г. присоединяется к «ГП № 22»
54	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 91  Департамента здравоохранения города Москвы»	105484, Москва, Сиреневый бульвар, д.71, к.3	ВАО	Сеничкина Ольга Ивановна	(495)468-1248	(495)468-1248	с 15.09.2012г. присоединяется к «ГП № 191»
55	Государственное  бюджетное   учреждение здравоохранения города Москвы «Кардиологический диспансер № 2   Департамента здравоохранения города Москвы»	113556, Москва, ул. Фруктовая, д.12	ЮАО	Глазков Александр Львович	(499) 317-0054	(499) 317-0054	С 15.09.2012г. – присоединяется Гор. пол-ки № 35, 61, 82 и 208
56	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 55  Департамента здравоохранения города Москвы»	109428, Москва, ул. Михайлова, д.33	ЮВАО	Подвигин Анатолий Васильевич	(499) 171-3990	(499) 171-1961	С 15.09.2012г. присоединяется к «ДЦ № 3»
57	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 56  Департамента здравоохранения города Москвы»	119121, Москва, ул. Плющиха, д.42	ЦАО	Конобевцев Дмитрий Олегович	(499) 248-4143	(499) 255-8997	С 15.09.2012г. присоединяется к «ГП № 68»
58	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 57  Департамента здравоохранения города Москвы»	121248, Москва, Кутузовский проспект, д.14	ЗАО	Гордиенко Наталья Николаевна	(499) 243-1631	(499) 243-1631	С 15.09.2012г. присоединяется к «КДЦ № 4»
59	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 58  Департамента здравоохранения города Москвы»	121309, Москва, Физкультурный проезд, д.6	ЗАО	Мешков Владимир Васильевич	(499) 148-1512	(499) 148-1512	С 15.09.2012г. присоединяется к «КДЦ № 4»
60	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 59 Департамента здравоохранения города Москвы»	115211, Москва, Борисовские пруды ул., д.12, к.4	ЮАО	Грузд Анатолий Давыдович	(495)341-8229	(495)340-3191	С 15.09.2012г. присоединяется к «ГП № 210»
61	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 60  Департамента здравоохранения города Москвы»	117447, Москва, ул.Б.Черемушкинская, д.6а	ЮЗАО	Шавхалов Руслан Нажмудинович	(499) 126-2545	(499) 126-9118	С 15.09.2012г. присоединяется к «ГП № 22»
62	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 61  Департамента здравоохранения  города Москвы»	113525, Москва, ул. Чертановская, д.26	ЮАО	Бондаренко Геннадий Анатольевич	(495)312-7672	(495)312-7672	С 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
63	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 62  Департамента здравоохранения города Москвы»	125167, Москва, ул. Красноармейская.д.18	САО	Соколова Татьяна Васильевна	(499) 155-9757	(499) 157-7053	самостоятельное
64	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 64  Департамента здравоохранения  города Москвы»	105023, Москва, ул. Малая Семеновская, д.13	ВАО	Бисюков Дмитрий Арсентьевич	(495)963-4246	(495)963-4255	самостоятельное
65	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66   Департамента здравоохранения города Москвы»	111672, Москва, ул. Салтыковская, д.11б	ВАО	Паскачев Абдулбек Баклуевич	(495)701-7655	(495)701-7655	самостоятельное
66	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 67  Департамента здравоохранения города Москвы»	113105,Москва, Варшавское шоссе, д.19, стр.3	ЮАО	Герасимов Валерий Викторович	(495)954-7353	(495)952-4620	самостоятельное
67	Поликлиника восстановительного лечения № 3 - филиал Городской поликлиники № 67	117105, Москва, Варшавское шоссе, д.19, строение 1	ЮАО	Дегтярев Михаил Кондратьевич	(495)954-6516	(495)954-6516	самостоятельное
68	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 68 Департамента здравоохранения  города Москвы»	109180,Москва, ул. Якиманка, д.22	ЦАО	Кашежева Анисат Заурбековна	(499) 238-5079	(499) 951-4872	самостоятельное
69	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 69  Департамента здравоохранения города Москвы»	111401, Москва, 2-я Владимирская ул., д.31а	ВАО	Ермилов Юрий Иванович	(495)304-3067	(495)304-3015	самостоятельное
70	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 70  Департамента здравоохранения  города Москвы»	119634, Москва, ул. скульптора Мухиной, д.14	ЗАО	Гобеджашвили Спартак Дмитриевич	(495)733-8278	(495)733-8263	С 15.09.2012г. присоединяется к «ГП № 212»
71	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 71  Департамента здравоохранения города Москвы»	125057, Москва, Чапаевский пер..д.4	САО	Колоскова Раиса Митрофановна	(499) 157-1258	(499) 157-1258	С 15.09.2012г. присоединяется к « ГП № 62»
72	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 72 Департамента здравоохранения города Москвы»	109388, Москва, ул. Шоссейная, д.41	ЮВАО	Мглинец Виктор Павлович	(495)353-1216	(495)353-7187	С 15.09.2012г. присоединяется к « ГП № 109»
73	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 92  Департамента здравоохранения  города Москвы»	121002, Москва, Большой Николопесковский пер., д.4	ЦАО	Шастина Вера Ростиславовна	(499) 241-5083	(499) 241-5083	с 15.09.2012г. присоединяется к «ГП № 3»
74	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 93  Департамента здравоохранения  города Москвы»	127015, Москва, ул. Бутырская, д.65	САО	Пичугина Лидия Владимировна	(495) 685-3952	(495) 685-3952	с 15.09.2012г. присоединяется к «ГП № 6»
75	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 94 Департамента здравоохранения города Москвы»	117321, Москва, ул. Профсоюзная, д.154, к.4	ЮЗАО	Сидоренко Елена Михайловна	(495)338-9144	(495)338-7336	с 15.09.2012г. присоединяется к «ГП № 134»
76	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 95  Департамента здравоохранения города Москвы»	117311, Москва, проспект Вернадского, д.9/10	ЮЗАО	Котов Сергей Александрович	(495)131-0241	(495)131-0422	с 15.09.2012г. присоединяется к «ГП № 11»
77	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 96 Департамента здравоохранения города Москвы»	123592, Москва, ул. Кулакова, д.23	СЗАО	Гуменюк Екатерина Станиславовна	(495)750-39-75	(495)756-0119	с 15.09.2012г. присоединяется к «ГП № 180»
78	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 97 Департамента здравоохранения города Москвы»	125480, Москва, ул. Вилиса Лациса, д.23/2	СЗАО	Чередниченко Лариса Сергеевна	(495)494-2219	(495)494-2219	с 15.09.2012г. присоединяется к «ГП № 219»
79	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 98 Департамента здравоохранения  города Москвы»	129085, Москва, ул. Бочкова, д.5,к.3	СВАО	Ветохина Татьяна Николаевна	(495) 615-8188	(495) 616-6847	с 15.09.2012г. присоединяется к «ГП № 12»
80	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 99  Департамента здравоохранения города Москвы»	117042, Москва, ул. Веневская , д.27	ЮЗАО	Пиддубный Михаил Иосипович	(495)716-6881	(495)716-6881	с 15.09.2012г. присоединяется к «КДП № 121»
81	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 100  Департамента здравоохранения города Москвы»	111116, Москва, Лефортовский вал, д.7/6,к.1	ЮВАО	и.о. Шашкова Валентина Михайловна	(495)361-1280	(495)361-1280	с 15.09.2012г. присоединяется к ГП № 9»
82	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 35 Департамента здравоохранения  города Москвы»	113208, Москва, ул. Чертановская, д.14а	ЮАО	Краюшкин Михаил Кириллович	(495)311-3527	(495)311-3527	С 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
83	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 36  Департамента здравоохранения  города Москвы»	109652, Москва, ул. Новомарьинская, д.2	ЮВАО	Пуделев Игорь Анатольевич	8 (499) 722-2634	8 (499) 722-2634	самостоятельное
84	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 37 Департамента здравоохранения  города Москвы»	109316, Москва, ул. Иерусалимская, д.4	ЦАО	Лихачева Наталья Николаевна	(495) 676-4186	(495) 676-4186	С 15.09.2012г. присоединяется к «ГП № 46»
85	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 38 Департамента здравоохранения города Москвы»	107140, Москва, ул. В. Красносельская, д.21	ЦАО	Антонов Андрей Борисович	(499) 264-3011	(499) 264-3011	С 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
86	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 39 Департамента здравоохранения города Москвы»	125040, Москва, ул. Новая Башиловка, д.14	САО	Сороколетов Сергей Михайлович	(495) 612-3021	(495) 612-3021	С 01.01.2013г. присоединяется к "ГП № 62" филиаил №4
87	МСЧ № 18 - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 39 Департамента здравоохранения города Москвы»	125040, Москва, ул. Правды, д.6/34	САО	Рындин Геннадий Иванович	(495) 614-5412	8 (495) 612-2009	С 01.01.2013г. присоединяется к "ГП № 62" филиаил №4 отделение 1
88	МСЧ № 56 - - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 39 Департамента здравоохранения города Москвы»	125124, Москва, 1-я ул. Ямского поля, д. 24	САО	и.о. Мерзюк Александр Андреевич	(499) 251-5660	(499) 250-1588	С 15.09.2012г. присоединяется к «ГП № 62»
89	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 40  Департамента здравоохранения  города Москвы»	121352, Москва, ул. Кременчугская, д.7,к.1	ЗАО	Новоселов Павел Юрьевич	(495)445-0378	(495)443-6880	С 15.09.2012г. присоединяется к «ГП № 209»
90	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 41  Управления здравоохранения  Восточного АО города Москвы	107143, Москва, Открытое шоссе, д.24	ВАО	Михеева Людмила Николаевна	(499)167-7124	(499)167-7124	С 15.09.2012г. присоединяется к «КДЦ № 2»
91	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 42 Департамента здравоохранения города Москвы»	123317, Москва, Шмитовский проезд, д.25	ЦАО	Артёмова Ирина Юрьевна	(499) 256-4300	(499) 256-6139	С 15.09.2012г. присоединяется к «ГП № 220»
92	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 43  Департамента здравоохранения города Москвы»	127410, Москва, ул. Инженерная, д. 3	СВАО	Карлович Сергей Эдуардович	(499) 900-9081	(499) 900-9081	С 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»
93	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 44 Департамента здравоохранения города Москвы»	125080, Москва, Факультетский пер., д.10	САО	Аникеева Наталья Алексеевна	(499) 158-1353	(499) 158-1353	С 15.09.2012г. присоединяется к « ГП № 6»
94	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 68   Департамента здравоохранения города Москвы	109263, Москва, ул. Шкулева, д.4	ЮВАО	Галь Игорь Геннадьевич	(499) 179-6622	(499) 178-8715	С 15.09.2012г. – присоединяется   ГП № 50
95	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 45 Департамента здравоохранения города Москвы»	109472, Москва, ул. Ташкентская, д.25,корп.2	ЮВАО	Данилов Юрий Александрович	(495)376-0933	(495)376-0200	С 15.09.2012г. присоединяется к «ГП № 23»
96	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 46  Департамента здравоохранения города Москвы»	103064, Москва, ул. Казакова, д.17	ЦАО	Маркова Наталья Анатольевна	(499) 267-7764	(499) 267-6320	самостоятельное
97	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»	121374, Москва, Можайское шоссе, д.14	ЗАО	Мясников Александр Леонидович	(495) 440-2093	(495) 440-2101	самостоятельное
98	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 47  Департамента здравоохранения города Москвы»	109382, Москва, ул. Армавирская, д.2/20	ЮВАО	Капустин Сергей Юрьевич	(495)359-1347	(495)359-1305	С 15.09.2012г. присоединяется к «ГП № 19»
99	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 48  Департамента здравоохранения города Москвы»	127566, Москва, ул. Бестужевых, д.15	СВАО	Коломиец Алла Николаевна	(499) 201-0049	(499) 201-5182	С 15.09.2012г. присоединяется к «ГП № 107»
