№ строки	Название	Адрес	Юридический адрес	Руководитель	Телефон	Факс	ЛПУ	Дополнительная информация
56	Детская городская поликлиника № 19 Молочная кухня	ул. 2-я Квесисская, 23	ул. 2-ая Квесисская, 23	Лалетина Наталья Алексеевна	(495) 613-68-98	8-499-152-01-79	ГБУЗ Детская городская поликлиника № 19	отсутствует
57	Консультативно- диагностическая поликлиника № 121. Молочная кухня	Южнобутовская ул., д. 87	Южнобутовская ул., д.87	Сафарян Сергей Левонович	(495) 715-12-12	(495) 715-12-12	Консультативно- диагностическая поликлиника № 121	отсутствует
58	Городская поликлиника № 151. Молочная кухня	Ленинский проспект, д.135, корп.2.	Академика Бакулева ул., д.18.	Волков Дмитрий Владимирович	(495) 438-40-70	8-495-493-91-67	Городская поликлиника № 203	отсутствует
59	Городская поликлиника № 205. Молочная кухня	Профсоюзная ул., д.111-А	Профсоюзная ул., д.111-А	Ермолаева Татьяна Игоревна	(495) 420-31-33	8-495-420-31-33	Городская поликлиника № 205	отсутствует
60	Городская поликлиника № 221. Молочная кухня	Ратная ул., д.8-а	Ратная ул., д.8-Г	Персина Марина Михайловна	(495) 711-15-72	8-495-711-04-45	Городская поликлиника № 221	отсутствует
61	Детская городская поликлиника № 30. Молочная кухня	ул. Сеславинская, д.16, к.1	ул. Поклонная, д.8, корп. 2 А	Нутрихин Василий Николаевич	(499) 249-23-13	8-499-243-23-13	ГБУЗ Детская городская поликлиника № 30  Молочно-раздаточный пункт № 13 ДГП № 30	отсутствует
62	Детская городская поликлиника № 47 Молочная кухня	ул. Нежинская, д.13, корп. 1	ул. Веерная, корп.1	Чернов Кирилл Вячеславович	(495) 441-74-66	8-495-441-74-66	ГБУЗ города Москвы Детская городская поликлиника № 47	отсутствует
63	Детская городская поликлиника  № 50   Молочная кухня	ул. Малая Филевская, д. 66	ул. Пивченкова, д. 9	Орловская Ольга Юрьевна	(499) 144-39-80	8-499-144-07-87	ГБУЗ города Москвы Детская городская поликлиника № 50	отсутствует
64	Детская городская поликлиника № 51 Молочная кухня	ул. Беловежская, д. 43, с. 2	ул. Беловежская, д. 43	Малеванная Зоя Антоновна	(495) 446-33-69	8-495-446-33-69	ГБУЗ города Москвы Детская городская поликлиника № 51	отсутствует
65	Детская городская поликлиника № 57 Молочная кухня	ул. Лобачевского, д.74	проспект Вернадского, дом 28.	Кочемасова Валентина Ивановна	(499) 431-17-18	8-495-431-17-18	ГБУЗ города Москвы Детская городская поликлиника № 57	отсутствует
66	Детская городская поликлиника № 64 Молочная кухня	ул. Гришина, д. 25	ул. Толбухина  д. 14	Харькова Наталья Львовна	(495) 448-04-24	8-495-448-04-24	ГБУЗ города Москвы Детская городская поликлиника № 64	отсутствует
67	Детская городская поликлиника № 67 Молочная кухня	ул. Мосфильмовская, д.17/25	ул. Мосфильмовская  д.27А,	Ерцева Нина Владимировна	(499) 143-28-41	8-499-143-28-41	ГБУЗ города Москвы Детская городская поликлиника № 67	отсутствует
68	ГБ № 10 , детское отделение Молочная кухня	ул. 1-я Вольская, д.3, к.1	ул. 1-я Вольская, д.3, к.1	Директор МНПЦМРВиСМ ДЗМ Разумов А.Н.	(495) 706-88-82	8-495-706-69-45	МНПЦ МРВиСМ  филиал № 2, детское отделение	отсутствует
69	Детская городская поликлиника № 1 Молочная кухня	пр. Андропова, д.17, корп.1	пр. Андропова, д.17, корп.1	Майорова Людмила Павловна	(495) 614-66-49; (495) 614-28-84	8-499-614-66-49	ГБУЗ ДГП № 1	отсутствует
70	Детская городская поликлиника № 2 Молочная кухня	Варшавское шоссе, д. 80	ул.Варшавское шоссе, д. 80	Бучнева Наталия Николаевна	(495) 619-11-17	8-499-619-11-17	ГБУЗ ДГП № 2	отсутствует
71	Детская городская поликлиника № 3 Молочная кухня	ул. Харьковская, д. 3, корп.1	ул.Харьковская, д. 3, корп.1	Кучерова Виктория Николаевна	(495) 383-14-47	8-495-385-06-98	ГБУЗ ДГП № 3 . Пункт 1	отсутствует
72	Детская городская поликлиника № 3 Молочная кухня	ул.Харьковская, д. 3, корп.1	ул.Харьковская, д. 3, корп.1	Кучерова Виктория Николаевна	(495) 383-14-47	8-495-385-06-98	ГБУЗ ДГП № 3 . Пункт 2	отсутствует
73	Детская городская поликлиника № 12 Молочная кухня	ул. Маршала Захарова, д. 18, корп.2	ул.  Маршала Захарова  ул., д. 18, корп.2	Пронько Николай Александрович	(495) 391-78-00	8-495-391-78-00	ГБУЗ ДГП № 12 . Пункт 1	отсутствует
74	Детская городская поликлиника № 12 Молочная кухня	Шипиловский проезд, д. 61, к.1	ул.Шипиловский проезд, д. 61, к.1	Пронько Николай Александрович	(495) 391-78-00	8-495-391-78-00	ГБУЗ ДГП № 12 . Пункт 2	отсутствует
75	Детская городская поликлиника № 23 Молочная кухня	ул. Кошкина, д. 10, корп.1	ул. Кошкина, д. 10, корп.1	Ковалёва Елена Алексанровна	(495) 320-46-84	8-495-320-45-22	ГБУЗ ДГП № 23	отсутствует
76	Детская городская поликлиника № 40 Молочная кухня	ул. Бирюлевская, д. 3, корп. 1	ул. Бирюлевская, д. 3, корп. 1	Петровский Максим Фёдорович	(495) 326-95-29	8-495-326-95-29	ГБУЗ ДГП № 40	отсутствует
77	Детская городская поликлиника № 66 Молочная кухня	ул. Шипиловская, д. 25, корп. 1	ул. Шипиловская, д. 25, корп. 1	Макарова Елена Викторовна	(495) 393-97-54	8-495-393-97-54	ГБУЗ ДГП № 66	отсутствует
78	Детская городская поликлиника № 70 Молочная кухня	ул. Сумская, д. 8, корп. 3	ул. Сумская, д. 8, корп. 3	Веклич Анна Витальевна	(495) 311-73-54	8-495-311-73-54	ГБУЗ ДГП № 70	отсутствует
79	Детская городская поликлиника № 82 Молочная кухня	Кавказский бул., д. 41, корп.1	Кавказский бул., д. 41, корп.1	Паюсова Наталья Николаевна	(495) 325-00-66	8-495-327-03-15	ГБУЗ ДГП № 82	отсутствует
80	Детская городская поликлиника № 91 Молочная кухня	ул. Академика Миллионщикова, д.22	ул. Академика Миллионщикова, д.22	Левитский Максим Вячеславович	(495) 612-03-20	8-499-612-63-05	ГБУЗ ДГП № 91	отсутствует
81	Детская городская поликлиника № 92 Молочная кухня	ул. Чертановская, д. 51, корп. 1	ул. Чертановская, д. 51, корп. 1	Жигаев Иван Николаевич	(495) 387-21-94	8-495-387-21-94	ГБУЗ ДГП № 92	отсутствует
82	Детская городская поликлиника № 98 Молочная кухня	ул.Подольских курсантов, д. 4, к. 1	ул.Подольских курсантов, д. 4, к. 1	Титова Алла Анатольевна	(495) 382-83-01	8-493-382-83-01	ГБУЗ ДГП № 98 . Пункт 1	отсутствует
83	Детская городская поликлиника № 98 Молочная кухня	ул. Газопровод, д. 1, корп. 5	ул. Газопровод, д. 1, корп. 5	Титова Алла Анатольевна	(495) 382-83-01	8-493-382-83-01	ГБУЗ ДГП № 98 . Пункт 2	отсутствует
84	Детская городская поликлиника № 107 Молочная кухня	ул. Генерала Белова, д. 57	ул. Генерала Белова, д. 57	Тахтаганова Галина Александровна	(495) 399-50-69	(495) 399-50-71	ГБУЗ ДГП № 107	отсутствует
85	Детская городская поликлиника № 108 Молочная кухня	ул. Татищева, д. 15 корп. 1	ул. Татищева, д. 15 корп. 1	Перфилова Елена Васильевна	(495) 952-87-10	8-405-952-87-10	ГБУЗ ДГП № 108	отсутствует
86	Детская городская поликлиника № 116 Молочная кухня	Михневский пр., д. 4	ул. Михневский пр., д. 4	Устабасиди Ольга Ивановна	(495) 385-39-54	(495) 385-39-04; (495) 385-39-35	ГБУЗ ДГП № 116	отсутствует
87	Детская городская поликлиника № 121 Молочная кухня	Ореховый бульвар, д. 61, корп. 2	Ореховый бульвар, д. 61, корп. 2	Аверина Елена Леонидовна	(495) 396-73-70	(495) 396-65-10	ДЦ ЦЛИ	отсутствует
88	Детская городская поликлиника № 123 Молочная кухня	ул.  Коломенская, д. 23, корп. 2	ул.  Коломенская, д. 23, корп. 2	Быкова Лидия Ивановна	(495) 615-24-85	8-499-615-24-85	ГБУЗ ДГП № 123	отсутствует
89	Детская городская поликлиника № 127 Молочная кухня	ул. Братеевская, д. 16, корп. 3	ул.  Братеевская, д. 16, корп. 3	Минюшин Алексей Юрьевич	(495) 342-01-91	(495) 341- 37-31	ГБУЗ ДГП №127 . Пункт 1	отсутствует
90	Детская городская поликлиника № 127 Молочная кухня	ул. Ключевая, д. 14, корп. 1	ул. Ключевая, д. 14, корп. 1	Минюшин Алексей Юрьевич	(495) 342-01-91	(495) 341-37-31	ГБУЗ ДГП №127 . Пункт 2	отсутствует
91	Детская городская поликлиника № 129 Молочная кухня	ул. Красного Маяка, д.6	ул.Красного Маяка, 6	Савинов Игорь Евгеньевич	(495) 315-07-33	8-495-315-07-33	ГБУЗ ДГП № 129	отсутствует
92	Детская городская поликлиника № 145 Молочная кухня	ул. Борисовские пруды, д. 10, к. 3	ул.Борисовские пруды, д. 10, к. 3	Глотова Надежда Дмитриевна	(495) 340-03-00	8-495-340-03-00	ГБУЗ ДГП № 145 . Пункт 1	отсутствует
93	Детская городская поликлиника № 145 Молочная кухня	ул. Каширское шоссе, д. 57, корп. 4	ул.Каширское шоссе, д. 57, корп. 4	Глотова Надежда Дмитриевна	(495) 340-03-00	8-495-340-03-00	ГБУЗ ДГП № 145 . Пункт 2	отсутствует
94	Городская поликлиника № 2 Молочная кухня	Северное Чертаново, корп. 805	ул.Северное Чертаново, корп. 805	И.о. Захаров Виталий Владиславович	8-(499) 610-56-59	7 (499) 610-56-59	ГБУЗ ГП № 208	отсутствует
95	Детская городская поликлиника № 90 Молочная кухня	Зеленоград, корп. 1204	Зеленоград, корп. 225А	Воронова Софья Борисовна	(499) 7358549	(499) 7342877	ГБУЗ ДГП №90	отсутствует
96	Детская городская поликлиника № 54 Молочная кухня	Зеленоград, корп. 1410	Зеленоград, корп. 1513, стр.1	Агамалиева Лилия Фазиловна	(499) 7175202	(499) 7175202	ГБУЗ ДГП № 54	отсутствует
97	Детская городская поликлиника № 54 Молочная кухня	Зеленоград, корп. 1529	Зеленоград, корп. 1513, стр.1	Агамалиева Лилия Фазиловна	(499) 7175202	7 (499) 717-52-02	ГБУЗ ДГП № 54	отсутствует
98	Детская городская поликлиника № 54 Молочная кухня	Зеленоград, корп. 1628	Зеленоград, корп. 1513, стр.1	Агамалиева Лилия Фазиловна	(499) 7175202	(499) 7175202	ГБУЗ ДГП № 54	отсутствует
99	Детская городская поликлиника № 54 Молочная кухня	Зеленоград, корп. 2008	Зеленоград, корп. 1513, стр.1	Агамалиева Лилия Фазиловна	(499) 7175202	(499) 7175202	ГБУЗ ДГП № 54	отсутствует
100	Детская городская поликлиника № 54 Молочная кухня	Зеленоград, корп. 812	Зеленоград, корп. 805	Рачкова Галина Дмитриевна	(499) 7315202	(499) 7314565	ГБУЗ ДГП № 105	отсутствует
101	Детская городская поликлиника № 10. Молочная кухня	ул. Марии Ульяновой, д.12	ул.Марии Ульяновой, д.13	Мельникова Марина Анатольевна	(495) 138-03-43; (495) 131-34-84	8'(495) 138-03-43	ГБУЗ Детская городская поликлиника № 10	отсутствует
102	Детская городская поликлиника № 41. Молочная кухня	Университетский проспект, д.4	Университетский проспект, д.4	Селихова Раиса Николаевна	(495) 137-35-08	8-499-137-35-08	Детская городская поликлиника № 41	отсутствует
103	Детская городская поликлиника № 46. Молочная кухня	ул. Генерала Антонова, д.11	ул. Генерала Антонова, д.11	Мельников Кирилл Владимирович	(495) 333-70-41	8-'(495) 333-70-41	Детская городская поликлиника № 46	отсутствует
104	Детская городская поликлиника № 56. Молочная кухня	Севастопольский проспект, д.40	ул. Севастопольский проспект, д.40	Большакова Светлана Леонидовна	(495) 332-24-77	8-495-332-24-77	Детская городская поликлиника № 56	отсутствует
105	Детская городская поликлиника № 56. Молочная кухня	Перекопская ул., д.1	ул. Севастопольский проспект, д.40	Большакова Светлана Леонидовна	(495) 332-24-77	495-332-24-77	Детская городская поликлиника № 56	отсутствует
106	Детская городская поликлиника № 62. Молочная кухня	Азовская ул., д.20, корп.2	Азовская ул., д.20, корп.2	Курочкина Людмила Сергеевна	(495) 318-72-55	8-495-318-72-55	Детская городская поликлиника № 62	отсутствует
107	Детская городская поликлиника № 63. Молочная кухня	Профсоюзная ул., д.52.	Профсоюзная ул., д.52.	Каленов Сергей Евгеньевич	(495) 128-68-22	8-499-128-68-22	Детская городская поликлиника № 63	отсутствует
108	Детская городская поликлиника № 63. Молочная кухня	ул. Архитектора Власова, д.17, корп.1.	Профсоюзная ул., д.52.	Каленов Сергей Евгеньевич	(495) 128-68-22	8-499-128-68-22	Детская городская поликлиника № 63	отсутствует
109	Детская городская поликлиника № 69. Молочная кухня	Нагорная ул., д.38, корп..1	Нагорная ул., д.38, корп..1	Бондаренко Елена Юрьевна	(495) 127-46-93	8-499-127-46-93	Детская городская поликлиника № 69	отсутствует
110	Детская городская поликлиника № 72. Молочная кухня	Винокурова ул., д.14	Винокурова ул., д.14	Иразиева Заира Самуиловна	(495) 126-38-70	8-499-126-77-74	Детская городская поликлиника № 72	отсутствует
111	Детская городская поликлиника № 80. Молочная кухня	Новаторов ул., д.7	Новаторов ул., д.7	Ломоносова Ольга Михайловна	(495) 936-40-11; (495) 936-36-36	495) 936-40-11	Детская городская поликлиника № 80	отсутствует
112	Детская городская поликлиника № 80. Молочная кухня	ул. Обручева, д.22, корп.1	Новаторов ул., д.7	Ломоносова Ольга Михайловна	(495) 936-40-11; (495) 936-36-36	495) 936-40-11	Детская городская поликлиника № 80	отсутствует
113	Детская городская поликлиника № 81. Молочная кухня	Профсоюзная ул., д.104/47.	117485, Миклухо-Маклая ул., д.29, корп.3	Гилилова Елена Моисеевна	(495) 336-65-88	8-495-336-65-88	Детская городская поликлиника № 81	отсутствует
114	Детская городская поликлиника № 144. Молочная кухня	ул. Скульптора Мухиной, д 14, корп. 1	ул. Скульптора Мухиной, д 14, корп. 1	Зайцева Элина Геннадьевна	(495) 733-32-00	8-495-731-54-81	ГБУЗ города Москвы Детская городская поликлиника № 144	отсутствует
