№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
35	Парк	60 лет Октября	ЗАО						
36	Пушкинский сквер	Пушкинский сквер	ЦАО						
37	Новопушкинский сквер	Новопушкинский сквер	ЦАО						
38	Сквер	Новый Арбат	ЦАО						
39	Сквер на Смоленской площади	Сквер на Смоленской площади	ЦАО						
40	Сквер на Калужской площади	Сквер на Калужской площади	ЦАО						
41	Сквер на Таганской площади	Сквер на Таганской площади	ЦАО						
42	Лермонтовский сквер	Лермонтовский сквер	ЦАО						
43	Сквер	Детская больница №13 им.Н.Филатова	ЦАО						
44	Сквер	Дуровский бульвар	ЦАО						
45	Садово-Триумфальный сквер	Садово-Триумфальный сквер	ЦАО						
46	Озелененная террритория Новинского бульвара	Озелененная террритория Новинского бульвара	ЦАО						
47	Сквер на Сухаревской площади	Сквер на Сухаревской площади	ЦАО						
48	Сквер	Зоологический бульвар	ЦАО						
49	Сквер	Новокузнецкая , д. 33	ЦАО						
50	Сквер	Серпуховская Б. ул., д.4-16 (скв. у пам. А. Наваи)	ЦАО						
51	Сквер	2-ой Спасоналивковский  пер. 16,/5	ЦАО						
52	Сквер	Спиридоньевский пер. 19	ЦАО						
53	Сквер	Воровского, д. 19	ЦАО						
54	Сквер	ул. Чайковского д. 22	ЦАО						
55	Сквер	Б. Могильцевский , пер. 7	ЦАО						
56	Сквер	Воронцово Поле, д. 15	ЦАО						
57	Сквер	Мясницкая ул, д. 22, стр. 3	ЦАО						
58	Сквер	Оружейный переулок вл.45	ЦАО						
59	Сквер	Огородная слобода пер.6	ЦАО						
60	Сквер	Поварская 33	ЦАО						
61	Сквер на площади Цезаря Куникова	ул. Покровка, 47	ЦАО						
62	Сквер	ул. Покровка,20	ЦАО						
63	Сквер	Пятницкая, д. 67	ЦАО						
64	Сквер	Хитровская площадь	ЦАО						
65	Сквер	Никитская 7-10	ЦАО						
66	Сквер	ул. Каланчевская д. 17	ЦАО						
67	Сквер	ул. Подвойского	ЦАО						
68	Сквер	Зубовская площадь	ЦАО						
69	Сквер	2-ой Щемиловский пер	ЦАО						
70	Сквер	ул. Покровка 5	ЦАО						
71	сквер	Б. Садовая ул., д.6-8	ЦАО						
72	ГОУ ДООЦ «Новослободский»	ул. Новослободская, д.58/12, стр.9	ЦАО						
73	ГОУ ДООЦ «Парк Фестивальный»	ул. Сущевский Вал, д.56	СВАО						
74	ГОУ ДДТ «Парк «Усадьба Трубецких в Хамовниках»	ул. Савельева, д.5	ЦАО						
75	ГОУ ЦДОД «Черкизовский парк»	ул.Б.Черкизовская, д.21, стр.2	ВАО						
76	ГОУ города Москвы Дворец творчества детей и молодежи на Миуссах	2-й Щемиловский пер., 4, стр.5	ЦАО						
77	ГОУ ДООЦ «Парк Пресненский»	ул. Дружинниковская, д.9, стр.2	ЦАО						
78	ГОУ ДООЦ «Детский парк Фили»	ул. Большая Филевская, д.9	ЗАО						
79	Дворец детского (юношеского) творчества	Ул. Косыгина, д.17	ЮЗАО						
80	Мемориальный парк у к/т «Ленинград»	ул. Новопесчаная, вл.12	САО						
