№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
11	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 47  Департамента здравоохранения города Москвы»	115551, Москва, ул.Домодедовская, д.14	"	Педан Михаил Алексеевич	392-1994	391-7716	"
12	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 52  Департамента здравоохранения города Москвы»	125239, Москва, 3-й Михалковский пер., д.19	"	Плеханова Елена Владимировна	(495) 708-8772	(495) 708-8772	"
13	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 54  Департамента здравоохранения города Москвы»	119415, Москва, ул. Удальцова, д.4	"	Ножницкий Михаил Петрович	8-499-131-0178	8-499-131-3220	"
14	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 58  Департамента здравоохранения города Москвы»	115533, Москва, ул. Высокая, д.1	"	Толордава Геронтий Автандилович	8-499-612-8301	8-499-612-8301	"
15	 Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 59  Департамента здравоохранения города Москвы»	127566, Москва, Северный бульвар, д.7г, стр.1	"	Фадеев Юрий Макарович	(499) 204-8505	(499) 204-9001	"
16	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 63  Департамента здравоохранения города Москвы»	121351, Москва, ул. Молодогвардейская, д.43/17	"	Белоусова Алла Владимировна	417-4726	4174226	"
17	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 30 Департамента здравоохранения города Москвы»	119270, Москва, 3-я Фрунзенская ул. , д.6	"	Спивак Григорий Алексеевич	(499) 242-5189	(499) 242-5189	"
18	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 36  Департамента здравоохранения города Москвы»	129090, Москва, М.Сухаревская площадь, д.3/1	"	и.о. Демурия Любовь Эдвардовна	(495) 694-0302	(495) 694-0302	"
19	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 37 Департамента здравоохранения города Москвы»	109382, Москва, ул. Судакова, д.8	"	Фролов Виктор Алексеевич	351-6708	351-6708	"
20	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 38  Департамента здравоохранения города Москвы»	107589, Москва, ул. Байкальская, д. 49	"	 Колтунов Дмитрий Ефимович	469-50-65	469-5065	"
21	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 39  Департамента здравоохранения города Москвы»	127254, Москва, ул. Гончарова, д.17, стр.1	"	Козлова Ольга Алексеевна	(495) 619-4608	(495) 619-4608	"
22	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 41 Департамента здравоохранения города Москвы»	125363, Москва, ул. Сходненская, д.52	"	Миленин Вадим Викторович	497-3325	497- 9855	"
23	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 43 Департамента здравоохранения города Москвы»	113570, Москва, ул. Днепропетровская, д.33-б	"	Ласточкин Александр Александрович	313-4714	313-4714	"
24	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 44  Департамента здравоохранения города Москвы»	119333, Москва, Университетский проспект, д.4а, к.1	"	Спиваков Павел Викторович	930-3369	8-499-137-3808	"
25	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 45 Департамента здравоохранения города Москвы»	105203, Москва, ул. Нижняя Первомайская, д.63	"	Киселева Нина Сергеевна	465-3419	465-3419	"
