№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
29	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1171	117534 г. Москва ул. Кировоградская, 42 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	386-15-89	http://sch1171.edusite.ru
30	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74	119285 г.Москва, ул.Пырьева,д.11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 143-09-95	http://sch74.mskzapad.ru
31	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 98	121433 г.Москва, ул. Малая Филевкая, д. 26, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	144-26-65	http://sch98.mskzapad.ru
32	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389	121351, г.Москва, ул. Партизанская, д. 39	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 141-45-19; (499) 141-65-62	http://www.sch389.mskzapad.ru
33	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 598	119602 г.Москва, ул. Академика Анохина, д.36	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 430-31-07	http://sch598.mskzapad.ru
34	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 714	121354 г.Москва, ул. Кубинка, д.20, корп.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 446-45-58	http://sch714.mskzapad.ru
35	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 393	109559, г. Москва ул Краснодарская, д. 45/11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	358-80-46	http://school393.ru/
36	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852	124460. г. Москва, Зеленоград, корп.1115	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 731-06-62	http://schzg852.mskobr.ru
37	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 281	129344 город Москва, ул. Радужная, дом 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 471-42-33	http://vssh203.narod.ru/
38	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 335	109386, г. Москва, Спортивный проезд, дом 3-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 350-08-56; (495) 350-07-38	http://sch-335.narod.ru/
39	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426	115563 г. Москва, Борисовский пр-д, д.10,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 394-02-22	http://1011.cu
40	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544	115561 г. Москва, Каширское шоссе д.116, к.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 398-79-81; (495) 398-88-54	http://sch544.edusite.ru/
41	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 549	117519 г. Москва, ул. Кировоградская, д. 21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	387-60-33	http://school549.ru
42	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 550	117648 г. Москва, Северное Чертаново, к.809а, 810	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 318-30-44	http://myschool550.narod.ru/
43	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 585	115561 г. Москва,ул. Ясеневая д.8,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	399-48-28	http://sch585.edusite.ru
44	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 851	113587 Москва, ул. Кировоградская д.8Г	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	312-95-02	http://sch851.edusite.ru
45	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 881	117534 г. Москва, ул. Чертановская д.60-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	387-47-89	http://sch881.edusite.ru/
46	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 893	115573 г. Москва, ул. М.Джалиля д.17,к.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 395-57-31	http://sch893.edusite.ru
47	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 904	115477 г. Москва, Кавказский б-р, д.16,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	325-41-11	http://sch904.edusite.ru/
48	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 924	117405 г. Москва, ул. Газопровод, дом 5а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	389-23-00	http://sch924.edusite.ru/
49	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 932	117534 Москва, Чертановская ул. д.62 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 386-07-36; (495) 387-05-77; (495) 386-09-09; (495) 386-75-09	http://sch932.redu.ru/
50	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 935	115598 г. Москва,ул.Липецкая,15,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	329-54-11	http://sch935.edusite.ru/
51	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 942	115547 г. Москва, Загорьевский пр., д. 7, к.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 329-30-83; (495) 329-07-33; (495) 329-07-44; (495) 329-50-16	http://s942.ru
52	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 985	115682 г. Москва, Задонский пр, 34,к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	396-97-11	http://www.sch985.edusite.ru/
53	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1034	115612 г. Москва, ул. Братеевская, д.8, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 342-88-65; (495) 341-44-73	http://schu1034.mskobr.ru
54	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1179	117208 г. Москва, ул. Чертановская , дом 1 А, корп.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	316-11-36	http://www.1179.ru
55	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 538 имени С.В. Гришина	117461, г.Москва, ул.Каховка, д.19, корп.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	121-60-92	http://sch538.ru
56	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 541	117186, г.Москва, ул. Ремизова, дом 12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	127-66-74	http://school541.com
57	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 626 имени Н.И.Сац	117186, г. Москва, Севастопольский проспект, дом 43а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	127-48-74	http://school626.mosuzedu.ru
58	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 779	117335, г.Москва, ул. Вавилова, д. 91	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	134-80-21	http://www.msk779.ru
59	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 780	117588, г.Москва, Литовский бульвар, дом 42, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	426-85-01	http://sch780.edusite.ru
60	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902	109341, г. Москва, Мячковский бульвар, д. 10, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	347-88-31	http://school1902.ru
61	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 793	117342, г. Москва, ул. Бутлерова, дом 24-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	333-74-08	http://sch793.edusite.ru/
62	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 794	117593, г.Москва, Литовский бульвар, дом 17, корпус 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	426-17-11	http://www.sosh794.ru
63	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1905	109153, г. Москва, ул. Маршала Полубоярова, д. 22	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 705-67-00	http://schuv1905.mskobr.ru/
64	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1908	109156, г. Москва, ул. Привольная, 41	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	704-52-11	http://www.sch1908.uvuo.ru
65	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1910	109469, г. Москва, Мячковский бульвар, дом 25	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	348-72-00	
66	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 863	117342, г.Москва, ул. Введенского, дом 27а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	335-06-88	http://school863.mosuzedu.ru
67	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 864	117588, г. Москва, Литовский бульвар, дом 6, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	425-67-67	http://школа864.рф
68	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1103 имени Героя Российской Федерации А.В. Соломатина	117588, г. Москва, Литовский бульвар, дом 44, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	426-88-11	http://solomatinschool.ucoz.org
69	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1104	117647, г. Москва, ул. Академика Капицы, д. 14 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	420-17-22	http://www.school1104.ru
70	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965	109341, г. Москва, ул. Перерва, д. 41, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	345-05-61	http://www.sch1965.yuvao.mskobr.ru
71	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1001	119620 г.Москва, Солнцевский проспект, д. 16 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	435-22-54	http://sch1001.mskzapad.ru
72	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1004	119618 г.Москва, ул 50 лет Октября, д. 14 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	435-83-42	http://sch1004.mskzapad.ru
73	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 1011	119620 г.Москва, ул. Щорса, д. 6, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 934-12-35	http://sch1011.mskzapad.ru
74	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 84	109507, г. Москва, Ферганский проезд, д. 10, корпус 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	376-41-17	http://rost84.ru
75	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 338	109382, г. Москва, ул. Мариупольская, д. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	351-89-03	http://sch338.uvuo.ru
76	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 417	111250, г.Москва Красноказарменная ул., д. 11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	361-14-72	http://school417.narod.ru/
77	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 430	111674, г. Москва, ул.1-я Вольская, д. 9, к.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	706-90-97	http://www.sch430.uvao.mskobr.ru
78	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 478	109125, г. Москва, ул. Саратовская, дом 16а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 177-99-10; (499) 177-99-10	http://school478.ru
79	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 485	109193, г. Москва, 3-й Кожуховский проезд, д. 3а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 710-19-94; (495) 679-46-56; (495) 679-35-89; (495) 671-99-69	http://школа485.рф
80	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 632	111250, г.Москва, ул. Красноказарменная, дом 3, корпус 1.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	267-76-55	http://632.moy.su/
81	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 773	109548, г. Москва, ул. Полбина, д. 18	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	353-33-86	http://schuv773.mskobr.ru/
82	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1143	109387, г. Москва, ул. Краснодарская, дом 9а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	350-86-62	http://sch1143.ru
83	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 125	117574, г.Москва, улица Голубинская, дом 5, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	423-39-00	http://sosh125.mosuzedu.ru
84	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 193	117418, г.Москва, улица Новочерёмушкинская, дом 56, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 128-82-09	http://school193.ru
85	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 531	117209, г.Москва, Перекопская улица, д. 7, к. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	122-91-00	http://sch531.ru
86	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1400	121354 г. Москва, Можайское шоссе, дом 38, корпус 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	448-92-59	http://www.sch1400.mskzapad.ru
87	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 584	117292, г.Москва, ул.Профсоюзная, д.24, корп.4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	125-59-21	http://sch584.ucoz.ru
88	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 843	119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 437-40-92	http://sch843.mskzapad.ru
89	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 875	119526 г. Москва, проспект Вернадского, д. 101, корпус 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 433-90-31; (495) 433-80-10; (495) 433-90-40	http://sch875.mskzapad.ru
90	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000	119619 г. Москва, ул.Наро-Фоминская, д.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33	http://ds49.mskzapad.ru
91	Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1003	119618 г.Москва, ул 50 лет Октября, д. 13 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	435-95-16	http://sch1003.mskzapad.ru
92	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1007	119620 г. Москва, Солнцевский проспект, дом 7 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	435-99-32	http://sch1007.mskzapad.ru
93	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1039	109559, г. Москва, ул. Белореченская, д. 23 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	359-35-36	http://sch1039.uvuo.ru/
94	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 492	115407 г. Москва,ул. Затонная,д.7,к.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 614-66-55; (499) 614-66-55	http://school492.ru
95	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 510	115551 г. Москва, Ореховый Бульвар д.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 391-89-44; (495) 391-57-85; (495) 391-14-45; (495) 391-14-46	http://sch510.edusite.ru/
96	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 832	115582 г. Москва Шипиловский проезд, 57	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	391-82-72	http://sch832.edusite.ru/
97	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 850	113405 г. Москва, ул. Газопровод,д.3А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	389-19-27	http://sch850.edusite.ru/
