№ строки	Название	Адрес	Телефон	Режим работы
54	Управление социальной защиты населения района Богородское, ВАО	г. Москва, ул. Бойцовая, д. 10 корп. 5	(499) 160-78-06, (499) 160-08-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
55	Управление социальной защиты населения района Вешняки, ВАО	г. Москва, ул. Молдагуловой, д. 15 а	(499) 373-00-90, (499) 373-42-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
56	Управление социальной защиты населения Троицкого и Новомосковского административных округов г. Москвы	г. Москва, ул.Брусилова, д.17	(499) 234-07-80, (499) 234-07-75	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
57	Щербинское управление социальной защиты населения, ТиНАО	г. Москва, ул. Маршала Савицкого, д. 26, корп. 1	(499) 234-37-10, (499) 234-38-70	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
58	ТЦСО №1 филиал "Тверсокой"	127006, г. Москва, ул. Малая Дмитровка, д. 27	(495) 699-20-01	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
59	ТЦСО №1 филиал "Пресненский"	125009, г. Москва, Тверской бульвар, дом 14, строение 2	(495) 690-22-61	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
60	ТЦСО №2 филиал "Басманный"	105005, Москва, ул. Бауманская, д.36, стр. 2	(499) 267-28-69	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
61	ТЦСО №2 филиал "Красносельский"	107140, Москва, Малый Краснопрудный тупик, д.1, стр. 1	(499) 264-37-49	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
62	ТЦСО №3 филиал "Хамовники"	119021, Москва, ул. Тимура Фрунзе, дом 3, стр.4	(499) 246 59 00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
63	ТЦСО №3 филиал "Замоскворечье"	115035,Москва, Садовническая набережная, дом 47А,стр.9	(495) 951-38-05	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
64	ТЦСО №3  филиал "Якиманка"	115035, г. Москва, 3-й Кадашевский пер., д. 9	(495) 959-41-14	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
65	ТЦСО №4 филиал "Западное Дегунино"	127486 г. Москва, ул. Ивана Сусанина, д.2 кор.1	(499) 906-08-77	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
66	ТЦСО №4 филиал "Дмитровский"	127411, г. Москва, Долгопрудная ул. д.1/141	(495) 485-30-33	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
67	ТЦСО №5 филиал "Войковский"	125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 24 а	(495) 459-44-44	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
68	ТЦСО №5 филиал "Коптево"	125239, г. Москва, пр-д Черепановых, д. 22	(499) 153-82-82	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
69	ТЦСО №6 филиал "Головинский"	125438, г. Москва, ул. Онежская д. 2	(495)456-54-51, (495) 456-54-63	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
70	ТЦСО №6 филиал "Левобережный"	125445 г. Москва, ул. Беломорская, д. 1	(495) 455-04-73	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
71	ТЦСО №7 филиал "Сокол"	125252, г.Москва, ул. Сальвадора Альенде, дом 1	(499) 943-33-35	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
72	ТЦСО №7 филиал "Савеловский"	127287, г. Москва, ул. 1-ая Хуторская, д. 5А	(499) 760-72-61	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
73	ТЦСО №7 филиал "Беговой"	125040, г. Москва, ул. Правды, д.1/2	(499) 761-12-54	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
74	ТЦСО филиал "Аэропорт"	125319, Москва, ул. Черняховского, д.14	(499) 155-79-22	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
75	ТЦСО №8 филиал ЦСО "Останкинский"	129075 г. Москва, ул. 2-я Новоостанкинская, дом 4	(495) 602-41-62	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
76	ТЦСО №8 филиал "Марьина Роща"	127018, Москва, ул. Советской Армии, дом 15	(495) 689-50-61	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
77	ТЦСО №8 филиал "Бутырский"	127254 г. Москва, ул. Огородный проезд, дом 21	(495) 619-35-28	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
78	ТЦСО №8 филиал "Марфино"	127276 г. Москва, ул. Ботаническая, дом 29, корп. 2	(495) 618-41-70	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
79	ТЦСО №9 филиал "Северное Медведково"	127282 г. Москва, Студеный проезд, дом 4, кор. 2	(499) 476-30-44	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
80	ТЦСО №9 филиал "Южное Медведково"	127081, г. Москва, ул. Молодцова, дом 21	(499) 790-32-37	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
81	ТЦСО №9 филиал "Отрадное"	127566, г. Москва, ул. Римского-Корсакова, дом 6	(499) 903-10-21	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
82	ТЦСО №10 филиал "Алтуфьевский"	127410, г. Москва, Путевой проезд, дом 20, кор.2	(499) 901-14-70, (499) 901-02-24	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
83	ТЦСО №10 филиал "Лианозово"	127572 г. Москва, ул. Новгородская, дом 32	(499) 909-77-33	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
84	ТЦСО №10 филиал "Северный"	127204 г. Москва, ул. 1-я Северная линия, дом 3	(499) 761-07-67	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
85	ТЦСО №11 филиал "Свиблово"	129343 г. Москва, проезд Нансена, дом 12, кор. 1	(499) 189-66-57	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
86	ТЦСО №11 филиал "Лосиноостровский"	129345 г. Москва, ул. Магаданская, дом 9, корп.3	(499) 185-30-52	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
87	Управление социальной защиты населения Юго-Восточного административного округа г. Москвы	г. Москва, ул. Люблинская, д. 159	345-74-01, 345-78-00	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
88	Управление социальной защиты населения Нижегородского района, ЮВАО	г. Москва, Рязанский пр-т, д. 31	657-19-48, 657-19-23, 657-19-47	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
89	Управление социальной защиты населения района Выхино-Жулебино, ЮВАО	г. Москва, Рязанский пр-т, д. 64, корп. 2	(495) 919-33-61, (499) 784-67-76	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
90	Управление социальной защиты населения района Кузьминки, ЮВАО	г. Москва, Волгоградский пр-т, д. 96, корп. 3	(499) 172-93-01, (499) 172-93-31	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
91	Управление социальной защиты населения района Лефортово, ЮВАО	г. Москва, ул. Красноказарменная, д. 19	(495) 362-57-04, (495) 361-12-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
92	Управление социальной защиты населения района Люблино, ЮВАО	г. Москва, пр-т 40 лет Октября, д. 20	(495) 351-66-77, (495) 351-48-24	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
93	Управление социальной защиты населения района Марьино, ЮВАО	г. Москва, ул. Братиславская, д. 21, корп. 1	(495) 654-96-90, (495) 654-96-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
94	Управление социальной защиты населения района Печатники, ЮВАО	г. Москва, ул. Гурьянова, д. 77	(495) 354-78-41, (499) 746-49-61	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
95	Управление социальной защиты населения района Текстильщики, ЮВАО	г. Москва, 7-я ул. Текстильщиков, д. 2/20	(499) 176-57-01, (499) 176-88-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
96	Управление социальной защиты населения Рязанского района, ЮВАО	г. Москва, Рязанский пр-т, д. 77/2	(495) 371-98-02, (495) 371-96-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
97	Управление социальной защиты населения Южнопортового района, ЮВАО	г. Москвы, ул. Велозаводская, д. 11/1	(495) 600-84-63, (495) 600-84-62	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
98	Управление социальной защиты населения Южного административного округа г. Москвы	г. Москва, 1-й Кожуховский пр-д., д.3	(495) 675-61-73, (495) 675-54-24, (495) 675-52-62	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
99	Управление социальной защиты населения Донского района, ЮАО	г. Москва, Загородное шоссе, дом 4, корп. 2	(495) 954-22-06, (495) 633-01-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
100	Управление социальной защиты населения Даниловского района, ЮАО	г. Москва, 1-й Кожуховский пр-д., д.3	(495) 675-20-72, (495) 675-29-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
101	Управление социальной защиты населения Нагорного района, ЮАО	г. Москва, Варшавское шоссе, дом 74, корп. 3	(499) 723-19-54, (499) 794-00-36	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
102	Управление социальной защиты населения района Бирюлево Восточное, ЮАО	г. Москва, Михневский проезд, дом 6, корп. 1	(495) 328-85-84, (495) 328-85-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
103	Управление социальной защиты населения района Бирюлево Западное, ЮАО	г. Москва, Харьковский проезд, дом 7, корп. 3	384-58-11, 385-16-66	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
104	Управление социальной защиты населения района Братеево, ЮАО	г. Москва, ул. Ключевая, дом 22, корп. 1	(495) 342-90-52, (495) 342-71-72	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
105	Управление социальной защиты населения района Москворечье-Сабурово, ЮАО	г. Москва, ул. Кантемировская, дом 29, корп. 1	(499) 320-53-00, (499) 320-53-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
106	Управление социальной защиты населения района Нагатино-Садовники, ЮАО	г. Москва, проспект Андропова, дом 42, корп. 1	545-44-46, 8-499-504-13-05	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
107	Управление социальной защиты населения района Нагатинский Затон, ЮАО	г. Москва, пр-т Андропова, дом 29, коп. 2	(499) 614-82-21, (499) 614-82-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
108	Управление социальной защиты населения района Орехово-Борисово Северное, ЮАО	г. Москва, Ореховый бульвар, дом 7, корп. 1	(495) 343-08-70, (495) 343-16-94	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
109	Управление социальной защиты населения района Орехово-Борисово Южное, ЮАО	г. Москва, ул. Воронежская, дом 3	(495) 397-50-83, (495) 399-47-11	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
110	Управление социальной защиты населения района Царицыно, ЮАО	г. Москва, Кантемировская ул., дом 29, корп. 1	(499) 320-53-55, (499) 320-53-56	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
111	Управление социальной защиты населения района Чертаново Северное, ЮАО	г. Москва, Варшавское ш., дом 124	(495) 311-52-16, 311-08-82	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
112	Управление социальной защиты населения района Чертаново Центральное, ЮАО	г. Москва, ул. Красного Маяка, дом 4, корп. 5	(495) 315-86-67, (495) 315-86-66	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
113	Управление социальной защиты населения района Чертаново Южное, ЮАО	г. Москва, Варшавское ш., дом 154, корп. 2	(495) 388-79-09, (495) 388-96-14	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
114	Управление социальной защиты населения Юго-Западного административного округа г. Москвы	г. Москва, ул. Новочеремушкинская, д. 16	(495) 718-00-22, (499) 744-34-09	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
115	Управление социальной защиты населения Академического района, ЮЗАО	г. Москва, Нахимовский пр-т, д. 46	(499) 124-31-11, (499) 124-29-33	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
116	Управление социальной защиты населения Гагаринского района, ЮЗАО	г. Москва, Ленинский пр-т, д. 60/2	(499) 137-53-03, (499) 137-34-78	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
117	Управление социальной защиты населения Обручевского района, ЮЗАО	г. Москва, ул. Профсоюзная, д. 60	(499) 120-65-41, (499) 128-19-77	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
118	Управление социальной защиты населения района Зюзино, ЮЗАО	г. Москва, Симферопольский б-р, д.16, корп.1	(495) 319-06-32, (499) 610-38-02	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
119	Управление социальной защиты населения района Коньково, ЮЗАО	г. Москва, ул.Профсоюзная, д.111/1	(495) 420-30-33, (495) 420-28-11	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
120	Управление социальной защиты населения района Котловка, ЮЗАО	г. Москва, ул. Ремизова, д. 5/48	(499) 176-61-41, (499) 176-62-41	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
121	Управление социальной защиты населения Ломоносовского района, ЮЗАО	г. Москва, ул. Крупской, д. 19/17	(499) 131-03-13, (499) 138-88-35	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
122	Управление социальной защиты населения района Северное Бутово, ЮЗАО	г. Москва, бульвар Дмитрия Донского, д. 12	(495) 712-13-72, (495) 712-13-63	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
123	Управление социальной защиты населения района Теплый Стан, ЮЗАО	г. Москва, ул. Теплый Стан, д. 4	(495) 424-35-53, (495) 424-33-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
124	Управление социальной защиты населения района Черемушки, ЮЗАО	г. Москва, ул. Новочеремушкинская, д. 57, корп. 2	(499) 120-54-00, (499) 724-53-99	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
125	Управление социальной защиты населения района Южное Бутово, ЮЗАО	г. Москва, ул. Южнобутовская, д. 33	(495) 716-05-72, (495) 716-55-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
