№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
11	Государственное  казенное   учреждение здравоохранения города Москвы «Психоневрологический диспансер № 22   Департамента здравоохранения города Москвы»	124617, г. Зеленоград, корпус 1460	"	Перевертов Алексей Альбертович	(499) 717-0331	(499) 717-9007	"
12	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 23   Департамента  здравоохранения   города Москвы»	119146, Москва, Фрунзенская набережная, д.24/1	"	и.о. Суторма Владимир Михайлович	(499) 242-4735	(499) 242-4735	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 1 им.  Н.А. Алексеева»
13	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 24   Департамента  здравоохранения   города Москвы»	119634, Москва, ул. Боровское шоссе, д.54	"	Архипова Ольга Владимировна	(495) 733-5248	(495) 733-5248	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 1 им.  Н.А. Алексеева»
14	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 2   Департамента здравоохранения города Москвы»	109129, Москва, 8-я ул. Текстильщиков, д.2	"	Волошина Евгения Петровна	(499) 178-7878	(499) 179-6155	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
15	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный  клинический диспансер № 4     Департамента  здравоохранения   города Москвы»	117209, Москва, Севасто-польский проспект, д.26	"	Иващенко Нелли Алексеевна	(499) 120-4109	(499) 128-4759	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
16	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 5     Департамента  здравоохранения   города Москвы»	115142, Москва, ул. Коломенская, д. 8/25	"	Албегов Анатолий Цараевич	(499)-614-6315	(499) 618-5924	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
17	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 6   Департамента  здравоохранения   города Москвы»	124305, г. Зеленоград, 1-й Западный проезд, д.8, стр.1	"	Соколова  Наталья Николаевна	(495) 534-2134	(495) 534-5227	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
18	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 7   Департамента здравоохранения города Москвы»	105005, Москва, ул. Радио, д.18	"	Александрова Марина Тимофеевна	(499) 267-8401	(499) 267-8401	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
19	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 8   Департамента здравоохранения города Москвы»	107061, Москва, Преображенский вал, д.19	"	Родина Ирина Анатольевна	(499) 161-0230	(499) 161-0230	"
20	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 10  Департамента  здравоохранения   города Москвы»	123376, Москва, Волков пер., д.15, стр.1	"	и.о. Лошкарев Валерий Алексеевич	(499) 255-1642	(499) 255-1642	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
21	Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный клинический диспансер № 12  Департамента  здравоохранения   города Москвы»	129226, Москва, ул. Докукина, д.18	"	Дитятков Александр Елизарович	(499) 187-9690	(499) 187-3691	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
22	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 13   Департамента  здравоохранения   города Москвы»	123182, Москва, ул. Щукинская. д.38	"	Миядина Раиса Гвидоновна	(499) 190-0156	(499) 720-4185	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
23	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 14    Департамента здравоохранения города Москвы»	121108, Москва, ул. Тарутинская, д.2	"	Воробьёва Татьяна Ивановна	(499) 144-1621	(499) 144-1481	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
24	Государственное казенное  учреждение здравоохранения города Москвы Противотуберкулезный диспансер № 15 Департамента здравоохранения города Москвы»	117630, Москва, ул. Новаторов, д.17	"	Абросимова Наталья Николаевна	(495) 935-1459	(495) 935-1459	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
25	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 16   Департамента здравоохранения города Москвы»	125438, Москва, ул. Михалковская, д.65. корп.1	"	Собкин Александр Лазаревич	(495) 450-48-06	(495) 450-1606	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
26	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 17   Департамента здравоохранения города Москвы»	105425, Москва, Сиреневый бульвар, д.6	"	Левченко Марина Владимировна	(499) 164-3755	(499) 164-3755	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
27	Государственное  казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 18   Департамента здравоохранения города Москвы»	127254, Москва, ул. Гончарова, д. 4	"	и.о. Гладышева Ирина Германовна	 (499) 760-5146	(495) 618-0158	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
28	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 20   Департамента здравоохранения города Москвы»	121108, Москва, ул. Тарутинская, д.2	"	Глебова Валентина Юрьевна	(499) 146-1751	(499) 146-2745	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
29	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный клинический диспансер № 21  Департамента здравоохранения   города Москвы»	111399, Москва, ул. Металлургов, д. 37	"	Сухорукова Инна Сергеевна	(495) 304-0202	(495) 304-0202	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
30	Государственное  бюджетное   учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 4    Департамента здравоохранения города Москвы	107076, Москва, ул. Атарбекова, д.4	"	Самохин Александр Владимирович	(495) 963-0957	(495) 963-0957	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
31	Государственное бюджетное   учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 5   Департамента здравоохранения города Москвы»	119034, Москва, ул. Остоженка, д.6	"	и.о. Костромина Татьяна Михайловна	(495) 695-1956	(499) 766-9925	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
32	Государственное   бюджетное  учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 6   Департамента здравоохранения города Москвы	121309, Мросква, Большая Филевская ул., д.13/7	"	и.о. Петруша Л.В.	(495) 695-1956	(495) 695-1956	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
33	Государственное  бюджетное  учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 11        Департамента  здравоохранения  города Москвы»	127055, Москва, ул. Новослободская, д.54/56	"	Лещинская Ада Евгеньевна	(499) 978-6292	(499) 978-6292	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
34	Государственное  бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер №  13   Департамента здравоохранения города Москвы»	125167, Москва, Ленинградский проспект, д.54/1	"	Кагина Ольга Васильевна	(499) 155-8160	(499) 155-8210	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
35	Государственное  бюджетное  учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 16    Департамента здравоохранения города Москвы»	111399, Москва Федера-тивный проспект, д.3,стр.1	"	Сапожников Виктор Анатольевич	(495) 304-2063	(495) 304-2063	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
36	Государственное бюджетное  учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 17 Департамента здравоохранения  города Москвы»	129085, Москва, проспект Мира  д.99	"	Коковина Галина Григорьевна	(495) 475-3901	(495) 687-1403	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
37	Государственное  бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер №  19    Департамента здравоохранения города Москвы»	123060, Москва, ул. Рыбалко, д.9	"	Соболев Анатолий Михайлович	(499) 194-3310	"	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
38	Государственное  бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 27    Департамента здравоохранения города Москвы»	115551, Москва, ул. Домодедовская, д.11,к.2	"	Иусов Игорь Григорьевич	(495) 343-1593	(495) 343-1593	с 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины
39	Государственное   бюджетное  учреждение здравоохранения города Москвы «Онкологический клинический диспансер № 1   Департамента здравоохранения города Москвы»	105005, Москва, ул. Бауманская, д.17/1	ЦАО	Сдвижков Александр Михайлович	(499) 261-5720	(499) 267-5773	"
40	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 12   Департамента здравоохранения города Москвы»	111020, Москва, Юрьевский пер., д. 20	"	Шмакова Людмила Ивановна	(495) 360-4223	(495) 360-9104	С 01.09.2012г. присоединяется к  «Псих.б-це № 13»
41	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 13   Департамента здравоохранения города Москвы»	117209, Москва, ул. Зюзинская, д.1	"	Еналиев Иршад Рашидович	(499) 120-2255	(499) 125-7295	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин.. б-це № 1 им. Н.А.Алексеева»
42	Государственное учреждение здравоохранения города Москвы Психоневрологический диспансер № 14  Управления здравоохранения   Центрального  АО города Москвы	127473, Москва, ул. Селезневская, д.20	"	Загиев Валерий Васильевич	(499) 972-1474	(499) 972-1474	С 01.09.2012г. присоединяется к « Псих.б-це № 3 им. В.А. Гиляровского»
43	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 16   Департамента  здравоохранения   города Москвы»	129226, Москва, ул. Докукина, д.18, корп.1	"	Кумечко Вадим Михайлович	(499) 181-0068	(499) 187-9409	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 15»
44	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 17  Департамента  здравоохранения   города Москвы»	125362, Москва, ул. Свободы, д.24, к.9	"	Бычкова Лидия Ильинична	(495) 490-1531	(495) 491-1533	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 4 им. П.Б. Ганнушкина»
45	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 18   Департамента  здравоохранения  города Москвы»	115522, Москва, Пролетарский проспект, д.4	"	Машошин Андрей Игоревич	(495) 324-0470	(495) 323-5044	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 14»
46	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 19   Департамента здравоохранения города Москвы»	127572, Москва, Алтуфьевское шоссе, д.149, стр.2	"	Скриганова Татьяна Сергеевна	(499) 209-5400	(499) 209-5400	С 01.09.2012г. присоединяется к  ГКУЗ «Псих клин. б-це № 15»
47	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 20   Департамента  здравоохранения   города Москвы»	109462, Москва, Волжский бульвар, д.27, кор.4	"	Кайзер Олег Васильевич	(499) 179-3343	(499) 179-3181	С 01.09.2012г. присоединяется к  «Псих.б-це № 13»
48	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 21   Департамента  здравоохранения   города Москвы»	119180, Москва, ул. Малая Полянка, д.9, стр.2	"	и.о. Ванштейн Александр Эдуардович	(499) 238-0340	(499) 238-9711	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 1 им. Н.А.Алексеева»
49	Государственное учреждение здравоохранения города Москвы Онкологический диспансер № 2 Управления здравоохранения   Северного  АО города Москвы	125130, Москва, Старопетровский проезд, д.6	"	Федотов Александр Юрьевич	(499) 450-9600	(499) 150-1519	"
50	Государственное бюджетное  учреждение здравоохранения города Москвы «Онкологический диспансер №  4   Департамента здравоохранения города Москвы»	115304, Москва, ул. Медиков, д.7	"	Киреев Владимир Александрович	(495) 323-3859	(495) 323-3859	"
51	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 15   Департамента  здравоохранения   города Москвы»	101000, Москва, Армянский пер., д. 3/5, стр.4	"	Качнова Наталия Алексеевна	(495) 628-7418	(495) 628-7418	С 01.09.2012г. присоединяется к  «Псих.б-це № 3 им. В.А. Гиляровского»
52	Государственное бюджетное  учреждение здравоохранения города Москвы «Онкологический диспансер №  5  Департамента здравоохранения города Москвы»	109451, Москва, Перервинский бульвар, дом 5, корп.1	"	Бартош Людмила Кузьминична	(495) 654-9679	(495) 654-9428	"
53	Государственное   бюджетное  учреждение здравоохранения города Москвы «Эндокринологический диспансер  Департамента здравоохранения города Москвы	119034, Москва, ул. Пречистенка, д.37	ЦАО	Анциферов Михаил Борисович	(499) 246-6573	(499) 245-3376	"
54	Государственное  бюджетное   учреждение здравоохранения города Москвы «Кардиологический диспансер № 2   Департамента здравоохранения города Москвы»	113556, Москва, ул. Фруктовая, д.12	"	Глазков Александр Львович	(499) 317-0054	(499) 317-0054	С 15.09.2012г. – присоединяется Гор. пол-ки № 35, 61, 82 и 208
