№ строки	Название объекта	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
42	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Искра»	127422, г.Москва, ул. Костякова, д.10	Северный АО	Тимирязевский	127422, г.Москва, ул. Костякова, д.10	(495) 976-14-44, (495) 976-27-24	(495) 976-14-44, (495) 976-27-24	kino-iskra.ru	kino-iskra@mail.ru
43	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Арктика»	129327, г.Москва, ул. Менжинского, д.6	Северо-Восточный АО	Лосиноостровский	129327, г.Москва, ул. Менжинского, д.6	(499) 184-27-27, (499) 184-27-18, (499) 184-27-00	(499) 184-27-00		kino-arktika@mail.ru
44	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Вымпел»	129344, г.Москва, ул. Коминтерна, д.8	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Коминтерна, д.8	(499) 184-41-09	(499) 184-41-09		vympel-sv@yandex.ru
45	Государственное бюджетное учреждение культуры города Москвы «Московское кино»	105187, г.Москва, Окружной пр-д, д.17	Восточный АО	Соколиная Гора	105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
46	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Баку»	125315, г.Москва, ул. Усиевича, д.12			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
47	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Бирюсинка»	117403, г.Москва, ул. Булатниковская, д.9а			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
48	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Владивосток»	111398, г.Москва, ул. Лазо, д.3			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
49	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Волга»	127411, г.Москва, Дмитровское ш., д.133 корп.1			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
50	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Восход»	109428, г.Москва, ул. Михайлова, д.29			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
51	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Звезда»	105064, г.Москва, ул. Земляной Вал, д.18-22 стр.2			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
52	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Круговая кинопанорама»	129223, г.Москва, пр-т Мира, д.119 стр.541			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
53	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Марс»	127410, г.Москва, ул. Инженерная, д.1			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
54	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Нева»	125195, г.Москва, ул. Беломорская, д.16а			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
55	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Патриот»	123423, г.Москва, ул. Саляма Адиля, д.4			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
56	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Рассвет»	125130, г.Москва, ул. Зои и Александра Космодемьянских, д.23			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
57	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Рига»	127106, г.Москва, ул. Ботаническая, д.39а			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
58	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Сатурн»	129323, г.Москва, ул. Снежная, д.18			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
59	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Свобода»	115432, г.Москва, ул. Трофимова, д.17			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
60	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Спутник»	111020, г.Москва, ул. Солдатская, д.15			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
61	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Таджикистан»	123181, г.Москва, ул. Маршала Катукова, д.8			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
62	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Таллин»	117186, г.Москва, Севастопольский пр-т, д.33			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
63	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Тула»	109388, г.Москва, ул. Кухмистерова, д.4			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
64	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Улан Батор»	117449, г.Москва, ул. Гримау, д.12			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
65	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Факел»	111024, г.Москва, ш. Энтузиастов, д.15/16			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
66	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Художественный»	119019, г.Москва, Арбатская пл., д.14 стр.1			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
67	Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Эльбрус»	115304, г.Москва, Кавказский б-р, д.17			105187, г.Москва, Окружной пр-д, д.16	(499) 369-77-51, (499) 369-77-82	(499) 369-77-82	mos-kino.ru	mos-kino@yandex.ru
68	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Березка»	111394, г.Москва, ул. Мартеновская, д.25	Восточный АО	Новогиреево	111394, г.Москва, ул. Мартеновская, д.25	(495) 301-90-83	(495) 301-90-83		kinoteatr.berezka@mail.ru
69	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Молодежный»	109125, г.Москва, ул. Люблинская, д.11	Юго-Восточный АО	Текстильщики	109125, г.Москва, ул. Люблинская, д.11	(499) 177-97-01	(499) 177-97-01	molod-cinema.ru	1779701@mail.ru
70	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Салют»	117218, г.Москва, ул. Кедрова, д.14 корп.3	Юго-Западный АО	Академический	117218, г.Москва, ул. Кедров, д.14 корп.3	(499) 125-04-48, (499) 124-66-56, (499) 124-99-60	(499) 124-66-56	salut-cinema.ru	salut-cinema@mail.ru
71	Государственное бюджетное учреждение культуры города Москвы «Кинотеатральный центр «Эльдар»	119421, г.Москва, Ленинский пр-т, д.105	Юго-Западный АО	Обручевский	119421, г.Москва, Ленинский пр-т, д.105	(495) 735-99-77, (495) 735-99-88	(495) 735-99-79	kinoclub-eldar.ru	kin-eldar@yandex.ru
72	Кинотеатр «Формула Кино София»	Сиреневый б-р, 31				(495) 795 37 95			
73	Кинотеатр «Каро Фильм Атриум»	Земляной Вал, 33, ТРК «Атриум»				(495) 545 05 05			
74	Кинотеатр «Энтузиаст. Большой зал»	ул. Вешняковская, д.16а				(499) 373 50 01, 373 50 10			
75	Кинотеатр «Киномакс XL»	Дмитровское ш., 89, XL				(495) 221 52 21, 721 25 92			
76	Кинотеатр «Люксор Центр»	просп. Мира, 211, «Золотой Вавилон»				(495) 665 13 53			
77	Кинотеатр «5 звезд Бирюлево»	Бирюлевская, 17				(495) 916 91 69 326 54 82,			
78	Кинотеатр «Люксор в Митино»	Дубравная, влад. 34/29, «Ладья»				(495) 641 33 04, 641 33 05, 641 33 05			
79	Кинотеатр «Кинотеатр им. Моссовета»	Преображенская пл., 12				(495) 963 03 32, 963 03 20			
80	Кинотеатр «Под куполом»	Олимпийский просп., 18/1, гостиница «Ренессанс Москва»				(495) 931 98 73			
81	Кинотеатр «Космос»	просп. Мира, 109				(495) 683 86 67, 227 36 64			
82	Кинотеатр «Люксор в Отрадном»	Декабристов, 12, «Золотой Вавилон»				(495) 363 02 12, 363 02 11			
83	Кинотеатр «Алмаз Синема Мечта»	Каширское ш., 42, корп. 1				(495) 221 52 21, (499) 324 53 49			
84	Кинотеатр «Саяны»	Саянская, 9				(495) 307 89 13			
85	Кинотеатр «Кронверк Синема МДМ»	Комсомольский просп., 28				(495) 782 88 33, 782 88 36			
86	Кинотеатр «Победа»	ул. Абельмановская, д.17а							
87	Кинотеатр «Киноконцертный зал Орион»	ул. Летчика Бабушкина, д. 26							
88	Кинотеатр «Киноконцертный зал Гавана (кинотеатр)»	ул. Шереметьевская, д.2, стр.1							
89	Кинотеатр «Ханой»	Литовский б-р, д. 7							
90	Кинотеатр « Кунцево»	ул. Ивана Франко, д. 14							
91	Кинотеатр «Ангара»	Чонгарский бульвар, д.7							
92	Кинотеатр «Урал»	Ул. Уральская д.9  (пл. Белы Куна вл.1)							
93	Кинотеатр «Аврора»	г.Москва, ул. Профсоюзная д. 154							
94	Кинотеатр «Будапешт»	ул. Лескова, д. 14							
95	Кинотеатр «Иллюзион»	Котельническая наб., 1/15.				(495) 915 43 39, 915 43 53			
96	Кинотеатр «Пионер»	Кутузовский просп., 21				(499) 240 52 40			
97	Кинотеатр «Формула Кино Сити»	Пресненская наб., 2, ТРЦ «Афимолл Сити»				(495) 795 37 95			
98	Кинотеатр «Синема Парк на Южной»	Днепропетровская, 2, «Глобал Сити»				(495) 644 41 11			
99	Кинотеатр «Кинозал ГУМа»	Красная пл., 3, ГУМ				(495) 788 43 43, 620 30 62			
100	Кинотеатр «Мир искусства»	Долгоруковская, 33, стр. 3				(499) 978 66 19, 978 69 89			
101	Кинотеатр «Кино на Алтуфьевском»	Алтуфьевское ш., 8, ТЦ «Алтуфьевский»				(495) 287 32 17, 287 32 18			
102	Кинотеатр «Кинозал Домжур»	Никитский б-р, 8а				(495) 691 56 98, 222 10 60			
103	Кинотеатр «35ММ»	улица Покровка, д.47				(495) 780 91 45			
104	Кинотеатр «Музей кино в ЦДХ»	ул. Крымский Вал, д.10				(499) 238-96-34			
105	Кинотеатр «Кронверк Синема Облака»	Ореховый б-р, 22а, «Облака»				(495) 775 68 35			
106	Кинотеатр «Формула Кино Чертаново»	мкр. Северное Чертаново, д.1а				(495) 795-37-95			
107	Кинотеатр «Синема Парк Старлайт на Багратионовской»	Багратионовский пр., 5, «Филион»				(495) 644 41 11			
108	Кинотеатр «Кинематограф (Зеленоград)»	г.Зеленоград, Панфиловский просп., 159				8 915 315 34 99			
109	Кинотеатр «Каро Фильм на Вернадского»	просп. Вернадского, 6, ТЦ «Ашан Сити Капитолий»				(495) 545 05 05			
110	Кинотеатр «Час кино Свиблово»	Снежная, 27, ТК «Свиблово»				(499) 685 16 51, 685 16 52			
111	Кинотеатр «5 звезд на Новокузнецкой»	Б.Овчинниковский пер., 16, «Аркадия»				(495) 916 91 69, 510 28 88			
112	Кинотеатр «Кронверк Синема Семеновский»	Семеновская пл., 1, ТРЦ «Семеновский»				(495) 660 02 65			
113	Кинотеатр «Динамит»	Жулебинский б-р, 5				(495) 706 58 60			
114	Кинотеатр «Жанр»	Смоленская пл., 13/21				(495) 724 05 93			
115	Кинотеатр «Триумф»	Вавилова, 66, стр. 1, «Триумфальный»				(495) 739 89 78  739 87 33			
116	Кинотеатр «Каро Фильм Иридиум»	г.Зеленоград, Крюковская пл., 1, «Иридиум»				(495) 545 05 05			
117	Кинотеатр «Арт-кино»	Сокольническая пл., 7				(495) 640 23 21			
118	Кинотеатр «4D Cinema на Пресненском Валу»	Пресненский Вал, 14/1				(495) 234 18 18, доб. 259			
119	Кинотеатр «Времена года»	Кутузовский просп., 48, «Времена года»				(495) 589 19 19			
120	Кинотеатр «Киноклуб Докер»	Никитский б-р, 8а, ЦДЖ				8 910 434 74 76, 8 926 565 94 07			
121	Кинотеатр «Территория 5D»	Вавилова, 3				(495) 764 12 76			
122	Кинотеатр «Вдох/выдох»	Б.Тульская, 11				8 903 678 19 02			
123	Кинотеатр «Kinoklub»	Ниж.Сыромятническая, 10, стр. 3, на территории центра дизайна Artplay				(495) 664 39 80			
124	Кинотеатр «Drive VV»	Рязанский просп., 2, корп., 2, ТЦ «Город»				8 916 587 59 32			
125	Кинотеатр «Формула Кино на Мичуринском»	Мичуринский просп., Олимпийская деревня, 3, корп. 1, ТРЦ «Фестиваль»				(495) 795 37 95			
126	Кинотеатр «Кинотеатр под открытым небом»	Мантулинская, 5, стр. 2, парк «Красная Пресня»							
127	Кинотеатр «Формула Кино Горизонт»	Комсомольский просп., 21/10				(495) 795 37 95			
128	Кинотеатр «Радуга кино»	просп. Андропова, 8, «Мегаполис»				(495) 663 36 64, 8 905 599 61 21			
129	Кинотеатр «Синема Парк на Октябрьском Поле»	Маршала Бирюзова, 32				(495) 644 41 11			
130	Кинотеатр «Синема Парк на Калужской»	ул. Профсоюзная, д.61а, ТЦ «Калужский»				(495) 644 41 11			
131	Кинотеатр «Формула Кино Стрела»	Смоленская-Сенная пл., 23/25				(495) 795 37 95			
132	Кинотеатр «Ролан»	Чистопрудный б-р, 12а				(495) 916 91 69, 916 94 12			
133	Кинотеатр «Каро Фильм Щука»	Щукинская, 42, «Щука»				(495) 545 05 05			
134	Кинотеатр «Солярис»	Перерва, 43, корп. 1				(499) 929 89 86, 929 89 87			
135	Кинотеатр «Каро Фильм Октябрь»	Н.Арбат, 24				(495) 545 05 05			
136	Кинотеатр «Фитиль»	Фрунзенская наб., 12				(495) 287 02 11			
137	Кинотеатр «Волгоград»	ул. Ферганская, д. 17							
138	Кинотеатр «Высота»	ул. Юных Ленинцев, д. 52							
139	Кинотеатр «Горизонт»	Комсомольский просп., д.21/10							
140	Кинотеатр «Звездный»	просп. Вернадского, д.14, стр.1							
141	Кинотеатр «Керчь»	г.Москва, ул. Бирюлевская, д. 17							
142	Кинотеатр «Комсомолец»	Дмитровское ш., д.49, корп. 1							
143	Кинотеатр «Орбита»	Просп. Андропова, д.27							
144	Кинотеатр «Орленок»	ул. Русаковская, д.23							
145	Кинотеатр «Первомайский»	ул. Первомайская, д.93							
146	Кинотеатр «Полярный»	ул. Полярная, д. 9							
147	Кинотеатр «Планета»	Ул. Нежинская, д.11, стр. 1							
148	Кинотеатр «Слава»	ш. Энтузиастов, д. 58							
149	Кинотеатр « Тбилиси»	г.Москва, ул. Новочеремушкинская, д.53а							
150	Кинотеатр «Ударник»	ул. Серафимовича, д.2							
151	Кинотеатр «Янтарь»	Открытое шоссе, д.4							
152	Кинотеатр «Пушкинский»	Пушкинская пл., д.2							
153	Кинотеатр «Мир»	Цветной бульвар д.11, стр. 2							
154	Кинотеатр «Пять звезд на Павелецкой»	Ул. Бахрушина, д.25							
155	Кинотеатр «Минск»	Можайское ш., д.54							
156	Кинотеатр «Kinostar De Lux Теплый Стан»	41-й км МКАД, ТРК «Мега»				(495) 775 44 77, 775 44 99			
157	Кинотеатр «Люксор Vegas»	24-й км МКАД, ТРК «Vegas»				(495) 984 72 89, 984 72 88			
158	Кинотеатр «Кронверк Синема Вэйпарк»	71-й км МКАД, ТЦ «Вэйпарк»				(495) 287 16 93, 287 16 95			
159	Кинотеатр «Музеон»	Крымский Вал, 2, парк искусств «Музеон»				(499) 238 33 96			
160	Кинотеатр «Формула Кино на Можайке»	53-й км МКАД, напротив «Ашана»				(495) 795 37 95			
161	Кинотеатр «Киноцентр XL»	МО, г. Мытищи, ул. Коммунистическая, д.1				(495) 789 96 91			
162	Кинотеатр «Пионер летний»	Крымский Вал, д.9, парк Горького				(495) 755 00 32			
163	Кинотеатр «Победа (Домодедово)»	г. Домодедово, пл. 30-летия Победы, д.2							
164	Кинотеатр «Kinostar New York»	14-й км МКАД, ТЦ «Мега Белая Дача»				(495) 662 16 06, 644 41 11			
165	Кинотеатр «Люксор (Балашиха)»	МО, г.Балашиха, пр-т Ленина, д.25				(495) 604 42 04, 926 03 50			
166	Кинотеатр «Светофор (Люберцы)»	'МО, г.Люберцы, ул. Побратимов, д.7, ТРЦ «Светофор»				(498) 602 82 70			
167	Кинотеатр «5D Стерео»	пр-т Мира, д. 119 стр.541, ВВЦ, пав.9				(495) 729 26 52, 720 00 55			
168	Кинотеатр «Каро Фильм Южное Бутово»	Веневская, 6, ТЦ «Витте-молл»				(495) 545 05 05			
169	Кинотеатр «Киноклуб Мастер-клас»	Лубянский пр-д, 3/6 стр.4							
170	Кинотеатр «Час кино Алтуфьево»	87-й км МКАД, д.8, ТК «Час пик»				(495) 580 22 25			
171	Кинотеатр «Бульвар»	б-р Дмитрия Донского, 1, ТЦ «Северное Сияние»				(495) 647 49 49			
172	Кинотеатр «Киноклуб Документальная среда»	ул. Каретный Ряд, д.5/10							
173	Кинотеатр «Kinostar De Lux (Химки)»	МО, г.Химки, ул. Ленинградская, вл.39 стр.5, «Мега»				(495) 775 44 77, 981 37 89			
174	Кинотеатр «Синема Парк De Lux Метрополи»	Ленинградское ш., 16а стр.4				(495) 789 96 85, 644 41 11			
175	Кинотеатр «Щелково (Щелково)»	МО, г.Щелково, Пролетарский пр-т, д.10				(496) 569 23 33, 562 14 66			
176	Кинотеатр «Под открытым небом»	МО, д.Бородино, Осташковское ш., д.59				8 905 502 55 19			
177	Кинотеатр «Бумеранг на Теплом Стане»	Профсоюзная ул., д.129А				(495) 987 16 41, 987 16 42			
178	Кинотеатр «Ашхабад»	г.Москва, ул. Чертановская, д. 17а							
179	Кинотеатр «Варшава»	Площадь Ганецкого, д.1							
180	Кинотеатр «Родина»	улица Измайловский вал, д.5							
181	Кинотеатр «Экран»	Новочеркасский бульв., д. 21а							
182	Кинотеатр «Эра»	г.Зеленоград, ул.Юности, д.6							
