№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
11	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 9 Департамента здравоохранения города Москвы"	Перервинский бульв. 4 корп.2	(495)347-97-61	Пн 07:30 - 20:00; Вт 07:30 - 20:00; Ср 07:30 - 20:00; Чт 07:30 - 20:00; Пт 07:30 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО «ФЛО ВОСТОК» 140180, Московская область г. Жуковский ул. Кооперативная, д. 10, стр. 3	Аптечный пункт
12	Аптечный пункт. Филиал № 1   Государственного бджетного учреждения здравоохранения города Москвы "Городская поликлиника № 19 Департаментаздравоохранения города Москвы"	ул. Верхняя Хохловка, д.2, стр.1	(495)- 671-65-16	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО «ФЛО ВОСТОК» 140180, Московская область г. Жуковский ул. Кооперативная, д. 10, стр. 3	Аптечный пункт
13	Аптечный пункт. Филиал № 1 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 8 Департамента здравоохранения города Москвы"	Вернадского просп. 30	(495) - 431-29-90	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 16:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время"119530, Москва Очаковское шоссе, д. 10, корп. 2, стр. 1	Аптечный пункт
14	Аптечный пункт. Филиал № 2  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 219 Департамента здравоохранения города Москвы"	Яна Райниса бульв. 4	(495)494-94-91	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД"125363, Москва Ул. Новопоселковая, д. 6, корп. 217	Аптечный пункт
15	Аптечный пункт. Филиал № 2  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 115 Департамента здравоохранения города Москвы"	г. Москва, проспект Маршала Жукова, д. 64, корп. 2	(499)947-67-42	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД"125363, Москва Ул. Новопоселковая, д. 6, корп. 217	Аптечный пункт
16	'Аптечный пункт. Филиал № 4  Государственного бюджетного учреждения города Москвы " Консультативно-диагностический центр № 4  Департамента здравоохранения города Москвы"	Кастанаевская ул. 47	(499)146-73-74	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время"119530, Москва Очаковское шоссе, д. 10, корп. 2, стр. 1	Аптечный пункт
17	'Аптечный пункт. Филиал № 5  Государственного бюджетного учреждения города Москвы " Консультативно-диагностический центр № 4  Департамента здравоохранения города Москвы"	Беловежская ул. 45	(495)446-36-55	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время"119530, Москва Очаковское шоссе, д. 10, корп. 2, стр. 1	Аптечный пункт
18	'Аптечный пункт. Филиал № 2  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 166 Департамента здравоохранения города Москвы"	Кавказский бульв. 45	(495)325-06-53	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
19	'Аптечный пункт. Филиал № 4  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 218 Департамента здравоохранения города Москвы"	Грекова ул. 12	(499)478-76-55	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
20	'Аптечный пункт. Филиал № 4  Государственного бюджетного учреждения города Москвы "  Диагностический центр № 5  Департамента здравоохранения города Москвы"	Корнейчука ул. 28	(499)406-00-29	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
21	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 200 Департамента здравоохранения города Москвы"	Раменки ул. 29	(495)932-20-54	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время"119530, Москва Очаковское шоссе, д. 10, корп. 2, стр. 1	Аптечный пункт
22	''Аптечный пункт. Филиал № 3  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 210 Департамента здравоохранения города Москвы"	Кошкина ул. 21	(495)-323-07-11	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
23	''Аптечный пункт. Филиал № 5  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 218 Департамента здравоохранения города Москвы"	Ротерта ул. 12	(499)188-89-47	Пн 07:00 - 20:00; Вт 07:00 - 20:00; Ср 07:00 - 20:00; Чт 07:00 - 20:00; Пт 07:00 - 20:00; Сб 09:00 - 18:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
24	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 180 Департамента здравоохранения города Москвы"	Уваровский пер. 4	(495)754-89-42	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД"125363, Москва Ул. Новопоселковая, д. 6, корп. 217	Аптечный пункт
25	'''Аптечный пункт. Филиал № 1  Государственного бюджетного учреждения города Москвы " Консультативно-диагностический центр № 2  Департамента здравоохранения города Москвы"	Прогонная 2-я ул. 7А	(495)964-04-59	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
26	'Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 66 Департамента здравоохранения города Москвы"	Красносолнечная ул. 40А	(495)700-04-87	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
27	'Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 180 Департамента здравоохранения города Москвы"	Пятницкое шоссе 29 корп.3 стр.1	(495)751-39-70	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД"125363, Москва Ул. Новопоселковая, д. 6, корп. 217	Аптечный пункт
28	'Аптечный пункт. Филиал № 4 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 107 Департамента здравоохранения города Москвы"	Пестеля ул. 6А	(499)203-39-91	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
29	Аптечный пункт. Филиал № 1 Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 5 ДЗ города Москвы»	ул. Жуковского, д. 3/4, стр. 1	8-495-624-44-16	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
30	'Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 5 Департамента здравоохранения города Москвы"	Ольховская ул. 35 стр.1	(499)261-06-46	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
31	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "Городская поликлиника № 64 Департамента здравоохранения города Москвы"	Сиреневый бульв. 8	(499) 164-79-15	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
32	Аптечный пункт.Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 69 Департамента здравоохранения города Москвы"	Федеративный просп. 31	(495) 302-91-10	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
33	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "Консультативно-диагностический центр № 2 Департамента здравоохранения города Москвы"	Открытое шоссе, 24	(499) 167-20-12	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
34	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Диагностический центр № 5 Департамента здравоохранения города Москвы" с ПО	Инженерная ул. 3 с.1	(499) 900-90-13	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
35	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 22 Департамента здравоохранения города Москвы"	Дмитрия Ульянова ул. 25	(499) 126-48-13	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 16:00; Вс 09:00 - 16:00	ОАО "ФАРМИМЭКС" 125009, г.Москва. ул.Б. Дмитровка, д.7,/5, стр.5. а/я 120	Аптечный пункт
36	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 69 Департамента здравоохранения города Москвы"	Плющева ул. 20	(495) 309-33-89	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 08:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
37	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "Кардиологический диспансер № 2 Департамета здравоохранения города Москвы"	Ялтинская ул. 10	(499) 619-49-27	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 18:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
38	'Аптечный пункт. Филиал № 1 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 210 Департамента здравоохранения города Москвы"	Борисовские Пруды ул. д.12 к.4	(495)342-00-24	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
39	'''Аптечный пункт. Филиал № 2  Государственного бюджетного учреждения города Москвы " Карадиологический диспансер № 2  Департамента здравоохранения города Москвы"	Чертановская ул. 26	(495)314-67-46	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
40	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 67 Департамента здравоохранения города Москвы"	Варшавское шоссе 2	(495)952-78-57	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
41	'Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 68 Департамента здравоохранения города Москвы"	ул.Малая'Якиманка , д.22, стр.1	(499)238-27-30	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
42	'Аптечный пункт. Филиал № 2 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 220 Департамента здравоохранения города Москвы"	Шелепихинская наб. 12	(499)259-83-64	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
43	'Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 170 Департамента здравоохранения города Москвы"	Газопровод ул. 11	(495)381-89-22	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
44	'Аптечный пункт. Филиал № 2 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 64 Департамента здравоохранения города Москвы"	Семеновская М. ул. 13	(495)963-87-31	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
45	'Аптечный пункт. Филиал № 1 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 220 Департамента здравоохранения города Москвы"	Шмитовский пр. 25 стр.1	(499)259-09-94	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
46	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 166 Департамента здравоохранения города Москвы"	г.Москва, Ереванская ул. 23	(495)321-90-10	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
47	Аптечный пункт. Филиал № 70 ГБУЗ города Москвы "Городская поликлиника  № 212 Департамента здравоохранения города Москвы"	г. Москва, ул. Скульптора Мухиной, д. 14	(495)733-86-41	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время" г.Москва. Очаковское ш., д.10, кор.2, стр.1	Аптечный пункт
48	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "городская поликлиника № 12 Департамента здравоохранения города Москвы"	Бочкова ул. 5 к.3	(495)616-90-74	Пн 07:30 - 20:00; Вт 07:30 - 20:00; Ср 07:30 - 20:00; Чт 07:30 - 20:00; Пт 07:30 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
49	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "Консультативно-диагностический центр № 4 Департамента здравоохранения города Москвы"	Поклонная ул. 8 к.3	(499) 249-40-97	Пн 07:00 - 20:00; Вт 07:00 - 20:00; Ср 07:00 - 20:00; Чт 07:00 - 20:00; Пт 07:00 - 20:00; Сб 08:00 - 18:00; Вс 08:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
50	Аптечный пункт. Филиал № 3 ГБУЗ города Москвы "Городская поликлиника № 68 Департамента здравоохранения города Москвы"	Фрунзенская наб. 38/1	(499) 242-29-17	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК" 129515, ул.Хованская. Д.22	Аптечный пункт
51	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 46 Департамента здравоохранения города Москвы"	Рабочая ул. 34 с.1	(495) 678-61-43	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00	ООО "БИОТЭК" 129515, ул.Хованская. Д.22	Аптечный пункт
52	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 3 Департамента здравоохранения города Москвы"	Горлов туп. 4	(499) 978-10-72	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК" 129515, ул.Хованская. Д.22	Аптечный пункт
53	Аптечный пункт. Филиал № 5 ГБУЗ города Москвы "Городская поликлиника № 12 Департамента здравоохранения города Москвы"	г. Москва, 9-й проезд Марьиной Рощи, д. 8 "А"	(495) 619-50-71	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
54	Аптечный пункт. Филиал № 158 ГБУЗ города Москвы "Городская поликлиника № 209 Департамента здравоохранения города Москвы"	Веерная ул. 34	(495) 442-01-53	Пн 07:45 - 20:00; Вт 07:45 - 20:00; Ср 07:45 - 20:00; Чт 07:45 - 20:00; Пт 07:45 - 20:00; Сб 08:45 - 18:00	ЗАО "ФТК "Время" г.Москва. Очаковское ш., д.10, кор.2, стр.1	Аптечный пункт
55	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Консультативно-диагностический центр № 2 Департамента здравоохранения города Москвы"	Хромова ул. 45	(499) 161-13-16	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
56	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 22 Департамента здравоохранения города Москвы"	Цюрупы ул. 30/63	(499) 120-00-71	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 16:00	ОАО "ФАРМИМЭКС" 125009, г.Москва. ул.Б. Дмитровка, д.7,/5, стр.5. а/я 120	Аптечный пункт
57	'Аптечный пункт. Филиал № 1 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 170 Департамента здравоохранения города Москвы"	Чертановская ул. 62 корп.1	(495)387-05-72	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
