"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Ведомство";"1_Телефон";"1_Сайт";"1_Электронная почта";"1_Административный округ";"1_Район";"0_TIP_ZONY"
"15658";"Дворовая площадка";"Дворовая площадка";"Чечерский проезд, дом 46";"2071,3479000004";"-14759,0763000008";"70081";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"15659";"Дворовая площадка";"Дворовая площадка";"Чечерский проезд, дом 70";"1694,49129999988";"-15016,5102999993";"70175";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"15660";"Дворовая площадка";"Дворовая площадка";"Чечерский проезд, дом 82";"1612,09210000001";"-15134,0582999997";"70210";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"15661";"Дворовая площадка";"Дворовая площадка";"Чечерский проезд, дом 90";"1451,38960000034";"-15122,3081";"70170";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"15663";"Дворовая площадка";"Дворовая площадка";"Чистопрудный бульвар, дом 14";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 263-27-53";"basman.ru";;"ЦАО";"Басманный";"дворовые спортивные площадки"
"15666";"Дворовая площадка";"Дворовая площадка";"Чонгарский бульвар, дом 1/2";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 723-15-81";"mo-nagornoe.ru";;"ЮАО";"Нагорный";"дворовые спортивные площадки"
"15667";"Дворовая площадка";"Дворовая площадка";"Чонгарский бульвар, дом 4, корпус 6";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 723-15-81";"mo-nagornoe.ru";;"ЮАО";"Нагорный";"дворовые спортивные площадки"
"15669";"Дворовая площадка";"Дворовая площадка";"Чукотский проезд, дом 2";"9623,83189999964";"22190,6702999994";"29174";;;;;"Муниципалитет";"(495) 471-57-39";"babush.ru";"info@babush.ru";"СВАО";"Бабушкинский";"дворовые спортивные площадки"
"15670";"Дворовая площадка";"Дворовая площадка";"Чуксин тупик, дома 3-5-7";"3828,81450000033";"15485,3980999999";"29202";;;;;"Муниципалитет";"(499) 760-77-03";"timmun.ru";"tim@timmun.ru";"САО";"Тимирязевский";"дворовые спортивные площадки"
"15673";"Дворовая площадка";"Дворовая площадка";"Шебашевский проезд, дом 6";"2092,36120000016";"15515,2070000004";"29336";;;;;"Муниципалитет";"(499) 747-71-55 ";"aer.sao.mos.ru";;"САО";"Аэропорт";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"15676";"Дворовая площадка";"Дворовая площадка";"Шенкурский проезд, дом 12";"5827,86139999982";"25534,6267000008";"29388";;;;;"Муниципалитет";"(499) 745-33-47";"bibirevomo.ru";"bibirevo_mo@lianet.ru";"СВАО ";"Бибирево";"дворовые спортивные площадки"
"15677";"Дворовая площадка";"Дворовая площадка";"Шенкурский проезд, дом 12А";"5903,36899999995";"25441,5603";"29389";;;;;"Муниципалитет";"(499) 745-33-20";"bibirevomo.ru";"bibirevo_mo@lianet.ru";"СВАО";"Бибирево";"дворовые спортивные площадки"
"16562";"МУ ЦДКС ""Лидер""";"МУ ЦДКС ""Лидер""";"улица Череповецкая, дом 4";"4110,91260000039";"25607,8853999991";"28515";;;;;"Муниципалитет";"(499) 908-86-47";"msu-lianozovo.ru";"cdkslider@yandex.ru";"СВАО";"Лианозово";"плоскостные спортивные сооружения"
"16563";"МУ Центр ""Орион""";"МУ Центр ""Орион""";"улица Вавилова, дом 16";"5313,24729999993";"4161,1640000008";"3124";;;;;"Муниципалитет";"(499) 135-45-22";"orion-uzao.ucoz.ru";;"ЮЗАО";"Академический";"досуговые центры"
"17465";"Федерация авиамодельного спорта России";"Федерация авиамодельного спорта России";"Зеленоград, корпус 146, помещение 2, комната 1";"-18176,9282999998";"38097,8135000002";"30855";;;;;"Департамент имущества города Москвы";"8 (901) 518-67-85";"fasr.ru";"infofasr@mail.ru ";"ЗелАО";"Матушкино";"спортивные залы"
"17466";"Федерация авиамодельного спорта России";"Федерация авиамодельного спорта России";"Зеленоград, корпус 146, помещение 2, комната 2";"-18176,9282999998";"38097,8135000002";"30855";;;;;"Департамент имущества города Москвы";"8 (901) 518-67-85";"fasr.ru";"infofasr@mail.ru ";"ЗелАО";"Матушкино";"спортивные залы"
"17467";"Федерация авиамодельного спорта России";"Федерация авиамодельного спорта России";"Зеленоград, корпус 146, помещение 2, комната 3";"-18176,9282999998";"38097,8135000002";"30855";;;;;"Департамент имущества города Москвы";"8 (901) 518-67-85";"fasr.ru";"infofasr@mail.ru ";"ЗелАО";"Матушкино";"спортивные залы"
"17468";"Физкультурно оздоровительный комплекс ""Хорошево-М""";"Физкультурно оздоровительный комплекс ""Хорошево-М""";"улица Демьяна Бедного, дом 7";"-699,789800000377";"11889,1760000009";"1680";;;;;"Департамент имущества города Москвы";"(499) 192-64-11";;;"СЗАО";"Хорошево-Мневники";"физкультурно-оздоровительные комплексы"
"17470";"Физкультурно оздоровительный комплекс с бассейном и спортивным залом ГОУ ДОДСН СДЮСШОР № 1 ""Умка""";"Физкультурно оздоровительный комплекс с бассейном и спортивным залом ГОУ ДОДСН СДЮСШОР № 1 ""Умка""";"улица Левобережная, дом 14, строение 1";"-1782,12390000001";"23554,2997999992";"3406836";;;;;"Департамент физической культуры и спорта города Москвы";"(495) 458-10-84";;;"САО";"Ховрино";"физкультурно-оздоровительные комплексы"
"17471";"физкультурно оздоровительный комплекс с игровым спортивным залом  ""Белые медведи"" ГОУ ДОДСН СДЮСШОР № 1";"физкультурно оздоровительный комплекс с игровым спортивным залом  ""Белые медведи"" ГОУ ДОДСН СДЮСШОР № 1";"улица Петрозаводская, дом 28, строение 1";"-629,023599999957";"22589,2687999997";"3403138";;;;;"Департамент физической культуры и спорта города Москвы";"(495) 458-10-84";;;"САО";"Ховрино";"физкультурно-оздоровительные комплексы"
"17472";"Физкультурно оздоровительный комплекс с игровым спортивным залом и бассейном ГОУ ДОДСН ДЮСШ № 76";"Физкультурно оздоровительный комплекс с игровым спортивным залом и бассейном ГОУ ДОДСН ДЮСШ № 76";"Бескудниковский бульвар, дом 12А";"4108,5390999997";"21746,2947000004";;;;;;"Департамент физической культуры и спорта города Москвы";"(495) 487-50-84 ";;"s76@mossport.ru";"САО";"Бескудниковский";"физкультурно-оздоровительные комплексы"
"17474";"Физкультурно-оздоровительный женский клуб ""Валенсия""";"Физкультурно-оздоровительный женский клуб ""Валенсия""";"улица Подмосковная, дом 5";"-2696,40629999992";"18338,0734999999";"20253";;;;;"Департамент имущества города Москвы";"(495) 787-55-41";"valencia-club.ru";"valencia@hotmail.ru";"СЗАО";"Покровское-Стрешнево";"физкультурно-оздоровительные комплексы"
"17476";"Физкультурно-оздоровительный комплекс";"Физкультурно-оздоровительный комплекс";"улица 3-й Лучевой просек, дом 4";"11014,6926999995";"14492,1708000004";"2401498";;;;;"Департамент культуры города Москвы";;;;"ВАО";"Сокольники";"физкультурно-оздоровительные комплексы"
"17477";"Физкультурно-оздоровительный комплекс";"Физкультурно-оздоровительный комплекс";"улица 3-й Лучевой просек, дом 5";"11014,6926999995";"14492,1708000004";;;;;;"Департамент культуры города Москвы";;;;"ВАО";"Сокольники";"физкультурно-оздоровительные комплексы"
"15497";"Дворовая площадка";"Дворовая площадка";"улица Шереметьевская, дом 43";"7254,03170000017";"15762,193";"29429";;;;;"Муниципалитет";"(495) 616-38-65";"m-roscha.ru";"mromun@mail.ru";"СВАО";"Марьина Роща";"дворовые спортивные площадки"
"15499";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 13";"13167,1167000001";"-5327,62700000033";"29495";;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"16430";"МБУ ДЮСДЦ ""Кентавр""";"МБУ ДЮСДЦ ""Кентавр""";"улица Корнейчука, дом 16";"7051,29550000001";"26124,5452999994";"10932";;;;;"Муниципалитет";"(499) 909-65-00 (499) 747-85-31";"bibirevomo.ru";"kentavr6@mail.ru";"СВАО";"Бибирево";"досуговые центры"
"16440";"Междворовый Мини-стадион ""Виктория""";"Междворовый Мини-стадион ""Виктория""";"улица 13-я Парковая, дом 19";"19662,2227999996";"14969,4122000001";"18841";;;;;"Муниципалитет";"(495) 965-57-64";;;"ВАО";"Восточное Измайлово";"футбольные поля"
"16441";"Междворовый мини-стадион ""Олимпиец""";"Междворовый мини-стадион ""Олимпиец""";"улица 9-я Парковая, дом 6, корпус 1";"19096,9949000003";"13735,0713999998";"18713";;;;;"Муниципалитет";"(495) 965-57-64";"vostizm.ru";"info@vost-izm.ru";"ВАО";"Восточное Измайлово";"футбольные поля"
"16442";"Междворовый Мини-стадион ""Три богатыря""";"Междворовый Мини-стадион ""Три богатыря""";"улица 16-я Парковая, дом 19, корпус 3";"20431,0460000001";"14819,6745999996";"18998";;;;;"Муниципалитет";"(495) 965-57-64";;;"ВАО";"Восточное Измайлово";"футбольные поля"
"16907";"Площадка спортивная";"Площадка спортивная";"5-й Войковский проезд, дом 2";"-779,553999999538";"16941,9157999996";"3301262";;;;;"Департамент природопользования и охраны окружающей среды города Москвы";;;;"СЗАО";"Покровское-Стрешнево";"плоскостные спортивные сооружения"
"16909";"Площадка спортивная";"Площадка спортивная";"Заречье, владение 14";"17467,1677000001";"2829,58259999938";"2707516";;;;;"Департамент природопользования и охраны окружающей среды города Москвы";;;;"ЮВАО";"Кузьминки";"плоскостные спортивные сооружения"
"16564";"МУ Центр ""Орион""";"МУ Центр ""Орион""";"улица Шверника, дом 14/1, корпус 1";"5780,68900000025";"2633,73350000009";"29318";;;;;"Муниципалитет";"(499) 135-45-22";"orion-uzao.ucoz.ru";;"ЮЗАО";"Академический";"досуговые центры"
"16565";"МУ Центр досуга и спорта ""Лосинка""";"МУ Центр досуга и спорта ""Лосинка""";"улица Коминтерна, дом 46";"12059,2177999998";"22755,8345999997";"10625";;;;;"Муниципалитет";"(499) 181-87-10";"mlosinka.ru";;"СВАО";"Лосиноостровский";"досуговые центры"
"16566";"МУ Центр досуга и спорта ""Лосинка""";"МУ Центр досуга и спорта ""Лосинка""";"улица Магаданская, дом 8";"11757,7132999999";"23591,9832000006";"13602";;;;;"Муниципалитет";"(499) 181-87-10";"mlosinka.ru";;"СВАО";"Лосиноостровский";"досуговые центры"
"16567";"МУ ЦСД""Атлант""";"МУ ЦСД""Атлант""";"Литовский бульвар, дом 11, корпус 2";"2759,17370000016";"-5963,15240000002";"2107789";;;;;"Муниципалитет";"(495) 425-02-11";"atlantuzao.ru";"mu-atlant@mail.ru";"ЮЗАО";"Ясенево";"досуговые центры"
"16568";"МУ ЦТДиС ""Хорошее настроение""";"МУ ЦТДиС ""Хорошее настроение""";"улица Профсоюзная, дом 25, корпус 4";"4172,82129999995";"698,096899999306";"2108528";;;;;"Муниципалитет";"(499) 120-04-45";"hornastroenie.ru";;"ЮЗАО";"Черемушки";"досуговые центры"
"16571";"Муниципальное учреждение спортивный клуб ""Лидер""";"Муниципальное учреждение спортивный клуб ""Лидер""";"улица Солнечногорская, дом 17";"1347,78679999989";"21659,1622000001";"24278";;;;;"Муниципалитет";"(495) 456-40-04";"nashe-golovino.ru";;"САО";"Головинский";"физкультурно-оздоровительные комплексы"
"16572";"Муниципальное учреждение                      ""СДЦ ""БРЭК""";"Муниципальное учреждение                      ""СДЦ ""БРЭК""";"Чукотский проезд, дом 2";"9623,83189999964";"22190,6702999994";"29174";;;;;"Муниципалитет";"(499) 186-09-21 (495) 471-29-01";"brek-centr.ru";;"СВАО";"Бабушкинский";"досуговые центры"
"15500";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 14";"12965,0269999998";"-5537,57789999992";"29496";;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"15501";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 20, корпус 1";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"15502";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 25";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"15503";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 34, корпус 2";"14073,8825000003";"-5309,20270000026";"78159";;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"15504";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 36, корпус 2";"14076,6606000001";"-5230,68490000069";"78157";;;;;"Муниципалитет";"(495) 343-43-31";"mo-bs.ru";;"ЮАО";"Орехово-Борисово Северное";"дворовые спортивные площадки"
"15505";"Дворовая площадка";"Дворовая площадка";"улица Шипиловская, дом 39, корпус 2";"14965,6463000001";"-4867,27690000087";"29512";;;;;"Муниципалитет";"(495) 396-15-76";"zyablikovo-mos.ru";;"ЮАО";"Зябликово";"дворовые спортивные площадки"
"15778";"Детский клуб  ""Почемучка""";"Детский клуб  ""Почемучка""";"улица Уссурийская, дом 1, корпус 1";"19510,3841000004";"17475,8742999993";"26884";;;;;"Муниципалитет";"(495) 466-96-20";;;"ВАО";"Гольяново";"спортивные залы"
"15777";"Детский досуговый центр ""Восточное Измайлово""";"Детский досуговый центр ""Восточное Измайлово""";"Измайловский проспект, дом 93, корпус 3";"19499,1270000003";"13703,5110999998";"8709";;;;;"Муниципалитет";"(499) 748-47-70";;;"ВАО";"Восточное Измайлово";"досуговые центры"
"15779";"Некоммерческое партнерство «Центр Спортивно – Патриотического Развития»";"Некоммерческое партнерство «Центр Спортивно – Патриотического Развития»";"улица Дегунинская, дом 17";"2044,79980000015";"22274,7296999991";"6367";;;;;"Муниципалитет";"(499) 488-99-89";;;"САО";"Западное Дегунино";"спортивные залы"
"15780";"Детский клуб ""Титан""";"Детский клуб ""Титан""";"Аптекарский переулок, дом 3/22";"11028,7278000005";"11339,3831999991";"971";;;;;"Муниципалитет";"(495) 265-22-17";;;"ЦАО";"Басманный";"досуговые центры"
"16108";"Детский спортивный центр ""Старт-7""";"Детский спортивный центр ""Старт-7""";"Большая Грузинская, дом 32, строение 1";"5085,28500000015";"11159,4149999991";"6115";;;;;"Муниципалитет";"(499) 256-46-65 (499) 259-40-06 (499) 254-64-44 (499) 253-48-61 ";"start7.ru";"bg@start7.ru";"ЦАО";"Пресненский";"досуговые центры"
"16109";"Детский центр эстетического воспитания ""Фортуна""";"Детский центр эстетического воспитания ""Фортуна""";"Госпитальный Вал, дом 5, корпус 18";"13027,6875999998";"12021,3827";"5882";;;;;"Муниципалитет";"8 (916) 617-90-02";;;"ЦАО";"Басманный";"досуговые центры"
"16413";"Лесопарковая зона ""Новогиреево""";"Лесопарковая зона ""Новогиреево""";"Зеленый проспект, дом 74";"20727,7191000003";"9229,6743999999";"8409";;;;;"Департамент природопользования и охраны окружающей среды города Москвы";"(499) 785-79-50";"munnovogireevo.ru";;"ВАО";"Новогиреево";"плоскостные спортивные сооружения"
"16416";"Лианозовский парк культуры и отдыха";"Лианозовский парк культуры и отдыха";"улица Угличская, дом 13";"4316,50949999969";"25978,0813999996";"2308326";;;;;"Департамент культуры города Москвы";"(499) 908-86-47 (499) 908-35-00";"lianpark.ru";;"СВАО";"Лианозово";"плоскостные спортивные сооружения"
"16425";"МБООИ ""ГЕРОНТ""";"МБООИ ""ГЕРОНТ""";"улица Константинова, дом 34, корпус 2";"10237,9343999997";"17056,1417999994";"10830";;;;;"Муниципалитет";"(495) 683-80-03";"alekseevsky-mncpt.ru";"mncpt@alekseevsky-mncpt.ru";"СВАО";"Алексеевский";"спортивные залы"
"16426";"МБУ ""Останкино""";"МБУ ""Останкино""";"Мурманский проезд, дом 18";"7643,51269999985";"15757,5298999995";"15331";;;;;"Муниципалитет";"(495) 616-66-20";"mun.ostnet.ru";"munorg@ostankino.msk.ru";"СВАО";"Останкинский";"физкультурно-оздоровительные комплексы"
"16427";"МБУ ""Радуга-Свиблово""";"МБУ ""Радуга-Свиблово""";"Берингов проезд, дом 3";"10009,2545999996";"21088,1271000002";"1895";;;;;"Муниципалитет";"(499) 186-81-83";"raduga-sv.ru";;"СВАО";"Свиблово";"спортивные залы"
"16428";"МБУ ""Радуга-Свиблово""";"МБУ ""Радуга-Свиблово""";"Тенистый проезд, дом 6";"8734,41569999978";"21467,2776999995";"25807";;;;;"Муниципалитет";"(499) 186-81-83";"raduga-sv.ru";;"СВАО";"Свиблово";"спортивные залы"
"16429";"МБУ ""Радуга-Свиблово""";"МБУ ""Радуга-Свиблово""";"улица Кольская, дом 11";"9178,77579999994";"21678,1052000001";"10552";;;;;"Муниципалитет";"(499) 186-81-83";"raduga-sv.ru";;"СВАО";"Свиблово";"спортивные залы"
"17023";"Салтыковский парк";"Салтыковский парк";"улица Салтыковская, дом 27";"23520,1215000004";"8087,35170000046";"2121700";;;;;"Департамент природопользования и охраны окружающей среды города Москвы";;;;"ВАО";"Новокосино";"плоскостные спортивные сооружения"
"17025";"СДЦ ""Норд-СВАО""";"СДЦ ""Норд-СВАО""";"улица Сергея Эйзенштейна, дом 2";"9318,13430000003";"18186,0197999999";"30058";;;;;"Муниципалитет";"(499) 181-05-19";;;"СВАО";"Ростокино";"досуговые центры"
"17026";"СДЮСШОР ""Юность Москвы""";"СДЮСШОР ""Юность Москвы""";"улица Большая Косинская, дом 5";"22345,3255000003";"5198,43410000019";"4200128";;;;;"Департамент физической культуры и спорта города Москвы";"(495) 700-00-82";;;"ВАО";"Косино-Ухтомский";"центры дополнительного образования"
"17027";"СДЮСШОР ""Юность Москвы"" по легкой атлетике";"СДЮСШОР ""Юность Москвы"" по легкой атлетике";"улица Стромынка, дом 4, строение 1";"11817,2751000002";"13792,2917999998";"2114262";;;;;"Департамент физической культуры и спорта города Москвы";"(499) 268-00-65";;;"ВАО";"Сокольники";"центры дополнительного образования"
"17262";"Спортклуб ""Атэус""";"Спортклуб ""Атэус""";"улица Уральская, дом 6, корпус 1";"18874,2867999999";"16406,3477999996";"26812";;;;;"частная";"(495) 786-34-13";;;"ВАО";"Гольяново";"спортивные залы"
"17263";"Спортклуб ""Вымпел"" им. О.П. Макарова""";"Спортклуб ""Вымпел"" им. О.П. Макарова""";"Ленинградское шоссе, дом 98, корпус 1";"-1741,34210000001";"21219,5648999996";"12788";;;;;"Муниципалитет";"(495) 458-92-47";"lev.sao.mos.ru";;"САО";"Левобережный";"физкультурно-оздоровительные комплексы"
"16614";"Муниципальное учреждение ""Центр досуга и спорта ""Олимп""";"Муниципальное учреждение ""Центр досуга и спорта ""Олимп""";"улица Полярная, дом 10, строение 1";"8781,4486999996";"23098,6797000002";"2111473";;;;;"Муниципалитет";"(495) 473-55-01";;;"СВАО";"Южное Медведково";"досуговые центры"
"16615";"Муниципальное учреждение ""Энергия""";"Муниципальное учреждение ""Энергия""";"Зеленоград, корпус 1131";"-20456,6540999999";"36250,6015000008";"31566";;;;;"Муниципалитет";"(499) 731-52-20";"silino.ru";;"ЗелАО";"Силино";"физкультурно-оздоровительные комплексы"
"16616";"Муниципальное учреждение Досугово спортивный центр семьи и молодежи ""ИСТОК""";"Муниципальное учреждение Досугово спортивный центр семьи и молодежи ""ИСТОК""";"Бескудниковский бульвар, дом 21, корпус 1";"3588,48340000026";"22225,9174000006";;;;;;"Муниципалитет";"(495) 483-83-09";"joy-glow.ru";;"САО";"Бескудниковский";"досуговые центры"
"16617";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"улица Острякова, дом 6";"1767,82610000018";"14793,8158999998";"17999";;;;;"Муниципалитет";"(495) 940-25-89";"moshor.ru";;"САО";"Хорошевский";"досуговые центры"
"16618";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Хорошевское шоссе, дом 13";"1767,82610000018";"14793,8158999998";;;;;;"Муниципалитет";"(499) 740-53-96";"moshor.ru";;"САО";"Хорошевский";"досуговые центры"
"16619";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Хорошевское шоссе, дом 13А";"1767,82610000018";"14793,8158999998";;;;;;"Муниципалитет";"(495) 394-25-89";"moshor.ru";;"САО";"Хорошевский";"досуговые центры"
"16620";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Муниципальное учреждение Досуговый и спортивный Центр ""Хорошевка-13""";"Хорошевское шоссе, дом 43Б";"1767,82610000018";"14793,8158999998";;;;;;"Муниципалитет";"(495) 940-25-89";"moshor.ru";;"САО";"Хорошевский";"досуговые центры"
"17094";"Социальный приют для детей и подростков ЮАО";"Социальный приют для детей и подростков ЮАО";"Борисовский проезд, дом 15, корпус 3";"14311,7857999997";"-4420,05100000091";"2122846";;;;;"Департамент социальной защиты населения города Москвы";"(495) 390-53-54 (495) 394-40-29";;;"ЮАО";"Орехово-Борисово Северное";"лечебные и оздоровительные центры"
"17100";"Спортивный центр  ""Московская академия тенниса""";"Спортивный центр  ""Московская академия тенниса""";"проспеки Вернадского, дом 97/2";"-231,586199999787";"156,062100000679";"1900517";;;;;"частная";"(495) 431-75-86";;;"ЗАО";"Тропарёво-Никулино";"досуговые центры"
"17101";"Спорт клуб";"Спорт клуб";"Мичуринский проспект, дом 27, корпус 1";"228,478799999692";"3414,52869999968";"71039";;;;;"Муниципалитет";"(495) 932-44-00";"troparevo-zao.ru";;"ЗАО";"Раменки";"физкультурно-оздоровительные комплексы"
"17102";"Спорт клуб";"Спорт клуб";"улица Герасима Курина, дом 44, корпус 1";"-2333,3814000003";"7061,21189999953";"72079";;;;;"Муниципалитет";"(499) 144-55-19";"filidvmunic.ru";;"ЗАО";"Фили-Давыдково";"физкультурно-оздоровительные комплексы"
"17103";"Спорт клуб";"Спорт клуб";"улица Дружбы, дом 2/19";"1492,9188000001";"5075,3618999999";"7100";;;;;"Муниципалитет";"(495) 932-44-00";;;"ЗАО";"Раменки";"физкультурно-оздоровительные комплексы"
"17104";"Спорт клуб";"Спорт клуб";"улица Пырьева, дом 5А";"1770,63580000028";"6517,68590000086";"21320";;;;;"Муниципалитет";"(495) 932-44-00";;;"ЗАО";"Раменки";"физкультурно-оздоровительные комплексы"
"16627";"Муниципальное учреждение Спортивно-досуговый Центр ""Вдохновение""";"Муниципальное учреждение Спортивно-досуговый Центр ""Вдохновение""";"улица Дубнинская, дом 6А";"4467,46160000004";"21341,2423999999";"2109632";;;;;"Муниципалитет";"(495) 480-74-22";"munvdeg.ru";;"САО";"Восточное Дегунино";"досуговые центры"
"16628";"Муниципальное учреждение СПЦ ""МИР""";"Муниципальное учреждение СПЦ ""МИР""";"улица Сталеваров, дом 14, корпус 2";"21362,4985999996";"10232,6426999997";"24603";;;;;"Муниципалитет";"(495) 307-83-59";;;"ВАО";"Ивановское";"досуговые центры"
"16629";"Муниципальное учреждение СПЦ ""МИР""";"Муниципальное учреждение СПЦ ""МИР""";"шоссе Энтузиастов, дом 98, корпус 6";"21362,4985999996";"10232,6426999997";;;;;;"Муниципалитет";"(495) 652-19-17";;;"ВАО";"Ивановское";"досуговые центры"
"16630";"Муниципальное учреждение ТДС ""Родник""";"Муниципальное учреждение ТДС ""Родник""";"улица Суздальская, дом 10, корпус 1";"21892,0802999996";"7812,45729999989";"80051";;;;;"Муниципалитет";"(495) 703-25-96";;;"ВАО";"Новокосино";"досуговые центры"
"16631";"Муниципальное учреждение ТЦ  ""Ковчег""";"Муниципальное учреждение ТЦ  ""Ковчег""";"улица Тверская, дом 12, строение 7";"6947,68759999983";"10781,0945999995";"5804";;;;;"Муниципалитет";"(495) 650-09-69";;;"ЦАО";"Тверской";"досуговые центры"
