0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
89;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени М.А.Балакирева»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская школа искусств имени М.А.Балакирева»                                                                                                                                                                                               ;109377, г.Москва, ул. 1-я Новокузьминская, д.18                                                                                                                                                                                                               ;18401,84211;5263,351044;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Выхино-Жулебино                                                                                                                                                                                                                                               ;109444, г.Москва, ул. Ферганская, д.23                                                                                                                                                                                                                        ;(495) 709-19-09, (495) 709-26-33                                                                                                                                                                                                                              ;(495) 709-26-33                                                                                                                                                                                                                                               ;balakirevschool.ru                                                                                                                                                                                                                                            ;balakirevdsi@yandex.ru                                                                                                                                                                                                                                        
100;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №10»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №10»                                                                                                                                                                                                                ;115612, г.Москва, ул. Братеевская, д.21 корп.1                                                                                                                                                                                                                ;15987,02073;-3740,518074;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Братеево                                                                                                                                                                                                                                                      ;115612, г.Москва, ул. Братеевская, д.21 корп.2                                                                                                                                                                                                                ;(495) 342-55-97, (495) 342-68-68                                                                                                                                                                                                                              ;(495) 342-55-97                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshiten@gmail.com                                                                                                                                                                                                                                             
101;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №10»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №10»                                                                                                                                                                                                                ;115612, г.Москва, ул. Братеевская, д.25 корп.1                                                                                                                                                                                                                ;16084,72503;-3744,939703;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Братеево                                                                                                                                                                                                                                                      ;115612, г.Москва, ул. Братеевская, д.21 корп.2                                                                                                                                                                                                                ;(495) 342-55-97, (495) 342-68-68                                                                                                                                                                                                                              ;(495) 342-55-97                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshiten@gmail.com                                                                                                                                                                                                                                             
104;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.Т.Рихтера»                                                                                                               ;ГБОУ ДОД г.Москвы «Детская школа искусств имени С.Т.Рихтера»                                                                                                                                                                                                  ;115409, г.Москва, Каширское ш., д.42 корп.3                                                                                                                                                                                                                   ;10205,2645;-2162,122208;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Москворечье-Сабурово                                                                                                                                                                                                                                          ;115409, г.Москва, Каширское ш., д.42 корп.3                                                                                                                                                                                                                   ;(495) 324-80-13, (495) 324-11-21                                                                                                                                                                                                                              ;(495) 324-80-13                                                                                                                                                                                                                                               ;ricter-school.ru                                                                                                                                                                                                                                              ;"ricterschool@mail.ru
                                                                                                                                                                                                                                         "
105;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.Т.Рихтера»                                                                                                               ;ГБОУ ДОД г.Москвы «Детская школа искусств имени С.Т.Рихтера»                                                                                                                                                                                                  ;115409, г.Москва, ул. Кантемировская, д.20 корп.5                                                                                                                                                                                                             ;10365,20022;-2947,728539;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Москворечье-Сабурово                                                                                                                                                                                                                                          ;115409, г.Москва, Каширское ш., д.42 корп.3                                                                                                                                                                                                                   ;(495) 324-80-13, (495) 324-11-21                                                                                                                                                                                                                              ;(495) 324-80-13                                                                                                                                                                                                                                               ;ricter-school.ru                                                                                                                                                                                                                                              ;"ricterschool@mail.ru
                                                                                                                                                                                                                                         "
112;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №11»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №11»                                                                                                                                                                                                                ;117463, г.Москва, ул. Паустовского, д.5 корп.3                                                                                                                                                                                                                ;2851,400625;-7567,346301;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Ясенево                                                                                                                                                                                                                                                       ;117463, г.Москва, ул. Паустовского, д.5 корп.3                                                                                                                                                                                                                ;(495) 427-74-77                                                                                                                                                                                                                                               ;(495) 427-74-77                                                                                                                                                                                                                                               ;dshi11.ru                                                                                                                                                                                                                                                     ;dshi11@yandex.ru                                                                                                                                                                                                                                              
113;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №16»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №16»                                                                                                                                                                                                                ;117624, г.Москва, б-р Адмирала Ушакова, д.11                                                                                                                                                                                                                  ;3179,22855;-13474,0236;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Южное Бутово                                                                                                                                                                                                                                                  ;117624, г.Москва, б-р Адмирала Ушакова, д.11                                                                                                                                                                                                                  ;(499) 743-15-09                                                                                                                                                                                                                                               ;(499) 743-15-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;artschool16@mail.ru                                                                                                                                                                                                                                           
114;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №16»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №16»                                                                                                                                                                                                                ;117042, г.Москва, ул. Адмирала Лазарева, д.57                                                                                                                                                                                                                 ;753,0788475;-14224,47989;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Южное Бутово                                                                                                                                                                                                                                                  ;117624, г.Москва, б-р Адмирала Ушакова, д.11                                                                                                                                                                                                                  ;(499) 743-15-09                                                                                                                                                                                                                                               ;(499) 743-15-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;artschool16@mail.ru                                                                                                                                                                                                                                           
120;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №18»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №18»                                                                                                                                                                                                                ;119296, г.Москва, Университетский пр-т, д.5                                                                                                                                                                                                                   ;3390,924;3168,361741;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Гагаринский                                                                                                                                                                                                                                                   ;119296, г.Москва, Университетский пр-т, д.5                                                                                                                                                                                                                   ;(495) 938-14-82                                                                                                                                                                                                                                               ;(495) 938-14-82                                                                                                                                                                                                                                               ;muzkult.ru                                                                                                                                                                                                                                                    ;artschool18@yandex.ru                                                                                                                                                                                                                                         
123;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени В.Д.Поленова»                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств имени В.Д.Поленова»                                                                                                                                                                                                 ;119454, г.Москва, ул. Лобачевского, д.92 корп.6                                                                                                                                                                                                               ;-887,024725;1720,477164;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Проспект Вернадского                                                                                                                                                                                                                                          ;119454, г.Москва, ул. Лобачевского, д.92 корп.6                                                                                                                                                                                                               ;(499) 131-81-52, (499) 131-81-54                                                                                                                                                                                                                              ;(499) 131-81-52                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;artschool5@list.ru                                                                                                                                                                                                                                            
124;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени В.Д.Поленова»                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств имени В.Д.Поленова»                                                                                                                                                                                                 ;119361, г.Москва, ул. Большая Очаковская, д.39 корп.2                                                                                                                                                                                                         ;-3132,2885;927,7937961;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Проспект Вернадского                                                                                                                                                                                                                                          ;119454, г.Москва, ул. Лобачевского, д.92 корп.6                                                                                                                                                                                                               ;(499) 131-81-52, (499) 131-81-54                                                                                                                                                                                                                              ;(499) 131-81-52                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;artschool5@list.ru                                                                                                                                                                                                                                            
125;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени И.С.Козловского»                                                                                                           ;ГБОУ ДОД г.Москвы «Детская школа искусств имени И.С.Козловского»                                                                                                                                                                                              ;121614, г.Москва, ул. Крылатская, д.23 корп.2                                                                                                                                                                                                                 ;-5241,579525;11551,50455;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатская, д.23 корп.2                                                                                                                                                                                                                 ;(495) 415-12-34                                                                                                                                                                                                                                               ;(495) 415-12-26                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;shkolakozlovskogo@yandex.ru                                                                                                                                                                                                                                   
