0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;0_POINT_X;0_POINT_Y
9;Городская поликлиника № 64 филиал № 2;105318, город Москва, Щербаковская улица, дом 3;ВАО;Сочалина Ирина Михайловна;(499) 369-73-73;14124,2063;12898,5369
848;Городская поликлиника № 60;117447, город Москва, Измайловский улица, дом 6а;ЮЗАО;Шавхалов Руслан Нажмудинович;(499) 126-25-45;6046,8067;2307,1308
606;Городская поликлиника № 68;119180, город Москва, Малая Якиманка улица, дом 22;ЦАО;Кашежева Анисат Заурбековна;(499) 238-50-79;7432,1797;7912,4863
604;Городская поликлиника № 68 филиал № 1;115184, город Москва, Большой Татарский переулок, дом 4а;ЦАО;Чурикова Нина Андреевна;(495) 959-33-68;8748,2848;7729,9979
605;Городская поликлиника № 68 филиал № 2;119121, город Москва, Плющиха улица, дом 42/2;ЦАО;Конобевцев Дмитрий Олегович;(499) 255-89-97;4830,1635;8207,7667
597;Городская поликлиника № 68 филиал № 4;119034, город Москва, Зачатьевский 1-й переулок, дом 1/15;ЦАО;Попова Эмма Семеновна;(499) 766-92-42;6690,6624;8050,9264
854;Городская поликлиника № 95;119311, город Москва, Вернадского проспект, дом 10;ЮЗАО;Котов Сергей Александрович;(499) 131-04-22;1644,7786;2353,3573
829;Городская поликлиника № 10;117418, город Москва, Цюрупы улица, дом 30, корпус 63;ЮЗАО;Лаврикова Валентина Ивановна;(499) 128-39-56;4246,0407;67,95
461;Городская поликлиника № 107 филиал № 4;127273, город Москва, Пестеля улица, дом 6, корпус а;СВАО;Большакова Елена Викторовна;(495) 403-39-94;7495,6963;21995,5012
772;Городская поликлиника № 109 филиал № 3;109263, город Москва, Шкулева улица, дом 4, корпус 7;ЮВАО;Талагаев Олег Иванович;(499) 178-63-80;15720,5742;2951,1247
544;Городская поликлиника № 115 филиал № 1;123098, город Москва, Маршала Новикова улица, дом 14;СЗАО;Рамнёнок Татьяна Викторовна;(499) 193-54-22;-2247,4952;15357,441
535;Городская поликлиника № 115 филиал № 2;123103, город Москва, Маршала Жукова проспект, дом 64;СЗАО;Пирожкова Галина Юрьевна;(495) 947-67-81;-2526,207;12456,1764
536;Городская поликлиника № 115 филиал № 3;125362, город Москва, Долгова улица, дом 1;СЗАО;Гаврилов Виктор Евгеньевич;(495) 491-14-59;-2587,8837;18092,0906
475;Городская поликлиника № 12 филиал № 2;127276, город Москва, Цандера улица, дом 9;СВАО;Курняева Марина Витальевна;(495) 686-99-98;8258,6868;16956,601
464;Городская поликлиника № 12 филиал № 5;127521, город Москва, Марьиной Рощи 9-й проезд, дом 8а;СВАО;Алескеров Надежда Григорьевна;(495) 618-60-56;7144,7948;14989,2942
830;Городская поликлиника № 22 филиал;117335, город Москва, Вавилова улица, дом 71;ЮЗАО;Белобородова Елена Витальевна;(499) 134-54-11;3264,1433;1641,5093
602;Городская поликлиника № 220 филиал № 1;123317, город Москва, Шмитовский проезд, дом 25;ЦАО;Чурикова Нина Андреевна;(499) 256-43-00;2791,6842;9932,4664
844;Городская поликлиника № 221;117628, город Москва, Ратная улица, дом 8в;ЮЗАО;Сафарян Сергей Левони;(495) 711-15-72;5298,0886;-10280,2872
770;Городская поликлиника № 23 филиал № 2;109472, город Москва, Ташкентская улица, дом 25, корпус 2;ЮВАО;Данилов Юрий Александрович;(495) 367-09-33;19628,7373;3656,5192
144;Городская поликлиника № 3;123001, город Москва, Ермолаевский переулок, дом 22/26;ЦАО;Дорошев Игорь Анатольевич;(495) 650-14-30;6040,3476;11013,3972
590;Городская поликлиника № 3 филиал № 1;123104, город Москва, Большая Броная улица, дом 3/5;ЦАО;Назаркина Валентина Александровна;(495) 695-71-87;6238,1772;10418,6247
599;Городская поликлиника № 3 филиал № 2;103055, город Москва, Горлов тупик, дом 4;ЦАО;Глушкова Б И;(499) 251-14-68;5931,0371;13239,299
26;Городская поликлиника № 64;107123, город Москва, Малая Семеновская улица, дом 13;ВАО;Кокарева Инга Викторовна;(495) 963-42-46;13472,9164;13201,0045
394;Городская поликлиника № 62 филиал № 4;125040, город Москва, Новая Башиловка улица, дом 14;САО;Тихоновская Елена Юрьевна;(495) 612-30-21;4614,6628;13627,5754
15;Городская поликлиника № 175 филиал № 4;105203, город Москва, Измайловский проспект, дом 91а;ВАО;Шавлохова Светлана Хасакоевна;(495) 465-55-85;19438,1816;13679,3866
538;Городская поликлиника № 115 филиал № 4;123060, город Москва, Маршала Бирюзова улица, дом 30;СЗАО;Касьянов Виталий Григорьевич;(499) 194-23-44;-773,9085;14652,8586
396;Городская поликлиника № 62;125167, город Москва, Красноармейская улица, дом 18;САО;Соколова Татьяна Васильевна;(499) 155-97-57;2930,4186;14889,0757
387;Городская поликлиника № 62 филиал № 2;127083, город Москва, Юннатов улица, дом 12;САО;Борисова Марина Михайловна;(495) 612-21-33;3927,8519;14907,3758
545;Городская поликлиника № 180 филиал № 1;123592, город Москва, Кулакова улица, дом 23;СЗАО;Фиактистова Ольга Викторовна;(495) 756-01-19;-6546,7527;15171,8987
139;Городская поликлиника № 62 филиал № 5;125319, город Москва, Планетная улица, дом 37;САО;Работкин Олег Стефанович;(499) 152-20-58;2767,6357;15272,5754
32;Городская поликлиника № 175 филиал № 2;105264, город Москва, Сиреневый улица, дом 30;ВАО;Тимоничев Николай Владимирович;(495) 465-75-79;19057,2293;15112,5147
476;Городская поликлиника № 12 филиал № 3;129085, город Москва, Бочкова улица, дом 5, корпус 3;СВАО;Ветохина Татьяна Николаевна;(495) 616-68-47;8362,0251;15877,2366
540;Городская поликлиника № 180 филиал № 2;123181, город Москва, Исаковского улица, дом 16, корпус 2;СЗАО;Колесникова Татьяна Семеновна;(495) 750-68-97;-5687,469;16083,9213
395;Городская поликлиника № 6 филиал № 2;125080, город Москва, Факультетский переулок, дом 10;САО;Любимый Олег Александрович;(499) 158-13-53;-157,5615;16192,9543
456;Городская поликлиника № 12 филиал № 4;127276, город Москва, Гончарова улица, дом 6а;СВАО;Кучиц Сергей Сергеевич;(495) 618-40-47;5826,0238;16465,0201
20;Городская поликлиника № 191;107065, город Москва, Алтайская улица, дом 13;ВАО;Болдырев Игорь Юрьевич;(495) 460-36-34;20057,9121;17155,7968
389;Городская поликлиника № 6 филиал № 7;127434, город Москва, Немчинова улица, дом 14;САО;Любимый Олег Александрович;(499) 977-01-10;4164,6717;17396,1054
474;Городская поликлиника № 12 филиал № 1;129301, город Москва, Касаткина улица, дом 7;СВАО;Назарова Раиса Викторовна;(495) 683-18-24;9974,1708;17605,9862
539;Городская поликлиника № 180;125222, город Москва, Уваровский переулок, дом 4;СЗАО;Лысенко Ирина Леонидовна;(495) 759-80-65;-9324,3838;18223,3253
457;Городская поликлиника № 12;127276, город Москва, Академика Комарова улица, дом 5, корпус 1;СВАО;Курняева Марина Витальевна;(495) 619-29-25;6064,4246;18091,1209
383;Городская поликлиника № 6 филиал № 5;127206, город Москва, Михалковский 3-й переулок, дом 22;САО;Любимый Олег Александрович;(499) 154-44-71;1676,7768;18879,3028
378;Городская поликлиника № 6 филиал № 4;127206, город Москва, Лиственничная аллея, дом 14;САО;Любимый Олег Александрович;(495) 976-19-60;4282,7179;18815,6948
388;Городская поликлиника № 6 филиал № 6;127206, город Москва, Новомихалковский 3-й проезд, дом 3а;САО;Любимый Олег Александрович;(499) 153-71-01;2794,0358;19200,7533
609;Городская поликлиника № 3 филиал № 3;119002, город Москва, Большой Николопесковский переулок, дом 4;ЦАО;Воистинных Юлия Владимировна;(499) 241-50-83;5814,3833;9269,6372
845;Городская поликлиника № 33;117461, город Москва, Каховка улица, дом 12;ЮЗАО;Коростелёв Вячеслав Вячеславович;(499) 121-65-17;5092,6096;-1392,8866
146;Городская поликлиника № 46;105064, город Москва, Казакова улица, дом 17;ЦАО;Маркова Наталья Анатольевна;(499) 267-77-64;10553,8414;10784,5921
