0_Код;1_Название;1_Адрес;1_Телефон;1_Режим работы;0_Доп.компания;0_Тип;0_Тип Выходного;0_Доп информация
2865;ООО Тип-Топ авто;111123, город Москва, Энтузиастов шоссе, дом 76/1, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;18043,668;10884,1347
2876;ООО Мартин-Фарм;124575, город Зеленоград,  , дом 1805;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-20950,2205;34923,9673
2877;ООО Мартин-Фарм - 1;124575, город Зеленоград,  , дом 834А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-20116,1163;34887,9055
2786;ООО Аккорд - 2;125167, город Москва, Ивана Франко улица, дом 35;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-5063,359;6747,908
3083;ООО Зоовет;115280, город Москва, 2-я Магистральная улица, дом 16А, строение 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1908,3805;10712,6507
3091;ООО ЭЛАМА-ФАРМ;127322, город Москва, Алтуфьевское шоссе, дом 24, корпус 6;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5586,8736;21791,2961
3092;ЗАО Фармацевитическая компания СЕСАНА - 2;117133, город Москва, Михалковская улица, дом 2, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2570,9218;18985,0214
3094;ООО Ольха-4;129337, город Москва, Ярославское шоссе, дом 26;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;12208,3227;21376,604
3099;ООО Авиценна;115432, город Москва, Трофимова улица, дом 32Г;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11735,2381;3997,4426
3111;ООО Фарма-Группа;125476, город Зеленоград,  , дом 124;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-18230,7178;37738,145
3120;ООО еАптека.РУ - 1;127642, город Москва, Настасьинский переулок, дом 2, строение 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6589,3027;11080,6745
3122;ООО ЮНИСТАР;115054, город Москва, Озерковская набережная, дом 44/1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8853,7215;7741,2427
3130;ООО Дежурная аптека - 1;125171, город Москва, Ленинградское шоссе, дом 19/2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-232,0522;17272,1475
3146;ООО НЕО-ФАРМ - 5;117246, город Москва, Краснопрудная улица, дом 22/24;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10435,5637;12413,8498
3149;ООО Альфа Клиник - 1;115093, город Москва, 1905 года улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3887,8392;10633,9326
2601;ООО ЭКСИТО-МН;119021, город Москва, Тимура Фрунзе улица, дом 22, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5653,0241;7632,6662
2608;ООО АмелаГрупп;123022, город Москва, Рязанский Проспект, дом 3, корпус 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14681,0022;7198,2757
2644;ООО ФОРУМ - 2;109382, город Москва, Варшавское шоссе, дом 24А, строение 6;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7799,1637;2102,3143
2652;ООО А Приори Групп;115162, город Москва, Теплый Стан улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-569,1166;-4624,4821
2655;ООО Топ фарма;107031, город Москва, Бескудниковский Бульвар, дом 4, корпус 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;4142,6216;21159,321
2656;ООО Феникс;119034, город Москва, Нижняя Радищевская улица, дом , строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;9697,6934;8383,8546
2658;ООО Феникс - 2;119034, город Москва, Остоженка улица, дом 10/2, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6382,1546;8412,5205
2667;ООО А Приори Групп - 5;115162, город Москва, Кустанайская улица, дом 8;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15949,1033;-5330,3997
2673;ООО НЭКАС;105264, город Москва, Салтыковская улица, дом 7;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;22740,2371;7602,1666
2674;ООО Ваша Аптека;124482, город Зеленоград,  , дом 1011;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-19775,017;35677,6495
2683;ООО ВИТАФАРМ - 3;127434, город Москва, Новослободская улица, дом 14/19, строение 5;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6409,9825;12722,399
1246;ООО Источник здоровья;129343, город Москва, Измайловский Проспект, дом 63А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;18012,3154;13580,4367
2344;ООО Фармастар - 13;115035, город Москва, Симферопольский бульвар, дом 29;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6835,794;-2176,8738
2488;ООО ФАРМАДЕНТ;109444, город Зеленоград,  , дом 1104;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-19340,3976;36552,7266
2493;ООО Юнон;109125, город Москва, Люблинская улица, дом 7/2, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14607,6908;5113,6216
2495;ООО ПУЛЬС;119334, город Москва, Ленинский Проспект, дом 39;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5282,0273;4469,5243
2497;ООО ПОЛАРТ-ФАРМ;127238, город Москва, Минусинская улица, дом 8, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;12257,9931;23081,0676
2514;ООО ДОЛГОЛЕТ-1 - 8;125430, город Москва, Большая переулок, дом 16;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4121,363;7188,4366
2517;ООО еАптека.РУ;127642, город Москва, Малая Дмитровка улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6735,3424;11434,2429
2518;ООО АМИСТАТ;105203, город Москва, Китайгородский проезд, дом 7;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8540,4123;9486,8177
2519;ООО АМИСТАТ - 1;105203, город Москва, 3-я Парковая улица, дом 51, строение 13;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;17664,4818;14976,8664
2544;ООО Дуэт;129278, город Москва, Фридриха Энгельса улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11966,2579;12151,2936
2557;ООО Соломон Фарма;123448, город Москва, Большая Бронная улица, дом 5, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6269,6076;10454,7338
2564;ООО Бон вива;109316, город Москва, Вернадского Проспект, дом 11/9;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1944,2128;2432,1959
2577;ЗАО РАДОНЕЖ-М - 3;127560, город Москва, Уссурийская улица, дом 5/7;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;19695,9038;17624,8105
521;ЗАО ЭРКАФАРМ - 7;107005, город Москва, Алтуфьевское шоссе, дом 83, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;5458,8744;24885,6958
523;ЗАО ЭРКАФАРМ - 9;107005, город Москва, Волгоградский Проспект, дом 78, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16635,6793;4284,7152
529;ЗАО ЭРКАФАРМ - 15;107005, город Москва, метро Партизанская , дом;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;15744,726;13541,3031
533;ЗАО ЭРКАФАРМ - 19;107005, город Москва, метро Каширская , дом;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9440,0212;-1362,7943
534;ЗАО ЭРКАФАРМ - 20;107005, город Москва, Ясный проезд, дом 1, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;8268,8666;22818,2754
536;ЗАО ЭРКАФАРМ - 22;107005, город Москва, Волоколамское шоссе, дом 58;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;-2031,2477;16651,9858
538;ЗАО ЭРКАФАРМ - 24;107005, город Зеленоград,  , дом 435А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-17907,1584;36690,5738
549;ЗАО ЭРКАФАРМ - 35;107005, город Москва, метро Каширская , дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9532,0866;-1257,3803
1125;ООО Витим и Ко - 56;115201, город Москва, Волгоградский Проспект, дом 57, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14797,5694;4802,0079
1126;ООО Витим и Ко - 57;115201, город Москва, Большая Спасская улица, дом 8, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;9137,4746;12120,402
2598;ООО АПТЕКА - 1;125560, город Москва, Ленинградское шоссе, дом 58, строение 26;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-880,5409;19543,5102
2599;ООО СЕРВИС-ЦЕНТР;127473, город Москва, Самотечная улица, дом 17;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7327,4658;12584,1862
2219;ООО ИНТЕРФАРМ - 1;129281, город Москва, Красная Пресня улица, дом , строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;4470,1552;10562,4346
2224;ООО ИЛОРИН;121353, город Москва, Можайское шоссе, дом 29/2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-4739,7095;5795,4744
2773;ООО АПТЕКА ФОРТЕ;123423, город Москва, Волочаевская улица, дом 12А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11553,4198;9934,9859
2774;ООО Гелиос-Альфа;117513, город Москва, Ясногорская улица, дом 13, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2309,0989;-6959,2358
419;ЗАО Аптеки 36.6 - 85;111250, город Москва, аэропорт Шереметьево , дом;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-5098,9725;33379,0763
422;ЗАО Аптеки 36.6 - 88;111250, город Москва, Большой Сухаревский переулок, дом 23/5, строение 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;8402,9586;11583,9188
426;ЗАО Аптеки 36.6 - 92;111250, город Москва, Верхняя Красносельская улица, дом 23/13;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;10495,4461;12607,7839
432;ЗАО Аптеки 36.6 - 98;111250, город Москва, Краснопресненская набережная, дом 18;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2859,0124;9063,8356
435;ЗАО Аптеки 36.6 - 101;111250, город Москва, Валовая улица, дом , строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;8331,1947;7061,5142
436;ЗАО Аптеки 36.6 - 102;111250, город Москва, Молостовых улица, дом 9;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;21007,0702;10215,2285
440;ЗАО Аптеки 36.6 - 106;111250, город Москва, Сокольническая площадь, дом 4;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;11292,3018;13662,1272
445;ЗАО Аптеки 36.6 - 111;111250, город Москва, Пресненский Вал улица, дом 3, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;4112,6329;10918,4984
2878;ООО Мартин-Фарм - 2;124575, город Зеленоград, Заводская улица, дом;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-19157,1534;33900,5219
2879;ООО Мартин-Фарм - 3;124575, город Зеленоград,  , дом 514, строение 3;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-16386,7837;36862,3581
2880;ООО Мартин-Фарм - 4;124575, город Зеленоград,  , дом 426А, строение 5;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-18207,6708;36581,6712
2882;ООО Элмер;117209, город Зеленоград,  , дом 317А, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-17603,7601;36745,422
2885;ИП Монастыршин Сергей Анатольевич - 2;111555, город Москва, Пятницкий переулок, дом 7;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8280,8143;8426,3097
2890;ООО А.В. Сарин;121601, город Москва, Филевский Бульвар, дом 4, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-523,429;10805,1419
2902;ООО Мартин-Фарм - 5;124575, город Зеленоград,  , дом 1004;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-19921,7365;35379,714
2907;ООО Медкоммиссия;123060, город Зеленоград,  , дом 2018;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-20714,3989;33948,0682
2916;ООО АЛЬТАИР;127220, город Москва, 800-летия Москвы улица, дом 14, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3156,6295;23489,4878
2922;ООО Дежурная аптека;125171, город Москва, Ленинградское шоссе, дом 9;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;0,8255;16708,323
2926;ООО Центр фунготерапии Филипповой Ирины Александровны;123007, город Москва, Хорошевское шоссе, дом 68, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1785,4421;12389,4635
2925;ООО ФармИмидж;119049, город Москва, З. и А. Космодемьянских улица, дом 1А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;135,602;16858,529
1260;ООО МЕДИЦИНСКИЙ ЦЕНТР ГЕОМЕД;121099, город Москва, Вернадского Проспект, дом 76;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;-847,3181;757,9274
1556;ОАО Торговая сеть АПТЕЧКА - 299;129515, город Москва, Ремизова улица, дом 3;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6297,6873;1229,6369
1653;ООО Авиафарм - 2;0, город Москва, Энтузиастов шоссе, дом 84/1, корпус 3, строение 9;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;18309,9249;10969,9853
1654;ООО Авиафарм - 7;111539, город Москва, Сокольническая площадь, дом 9, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11417,1193;13759,1633
1656;ООО Дарика;121609, город Москва, Кирпичная улица, дом 51, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15260,6371;12634,2627
1662;ООО ПремьерФарм;105187, город Москва, Борисовская улица, дом 18/12, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14935,0193;13694,6944
1665;ООО ДанилаМедФарм;127474, город Москва, Бескудниковский Бульвар, дом 12, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4055,5352;21743,1829
1725;ООО АПТЕКА.РУ;121165, город Москва, Мичуринский Проспект, дом 25;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;275,8176;3282,8562
1900;ООО ЗелМедЦентр - 1;124460, город Зеленоград, Крюковская площадь, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-20145,4851;34980,2453
1901;ООО ЗелМедЦентр - 2;124460, город Москва, Новодмитровская улица, дом 5А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5592,3149;15528,1628
1902;ООО Экомир;129344, город Москва, Бабушкина Летчика улица, дом;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11053,621;22021,1143
1905;ООО Соцздрав - 1;115230, город Москва, Солянский тупик, дом 1/4;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8658,596;9674,8263
1908;ООО АТОМ;129345, город Москва, Генерала Белова улица, дом 25Б;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14068,3787;-5638,6143
3022;ООО Профит-Фарма;117628, город Москва, Знаменские садки улица, дом 5;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4552,4865;-10573,1849
3025;ООО Юджина Фарм;129110, город Зеленоград, Привокзальная площадь, дом 2, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-20295,466;34875,5643
3039;ООО Рига-Мед;111020, город Москва, Госпитальный Вал улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;13051,6276;11660,7729
3042;ООО ЭДВАН - фарм;117105, город Москва, Миклухо-Маклая улица, дом 55В, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2203,2761;-2738,1094
3051;ООО Аптечная Компания;125367, город Москва, Кировоградская улица, дом 9;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7162,6183;-4586,7168
3067;ООО Медздрав - 1;105062, город Москва, Борисовские пруды улица, дом 16А, строение 8;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15544,7791;-3338,4834
3071;ООО Формула Здоровья - 1;117042, город Москва, Сивашская улица, дом 4;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6567,717;-619,3742
3076;ООО МЕДИАЛ;124489, город Зеленоград, Юности площадь, дом 1824;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-17978,3476;37305,8635
3078;ООО НЕО-ФАРМ - 3;117246, город Москва, 3-я Парковая улица, дом 43678;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;17895,2258;13912,9699
2319;ООО Фарм-АС;109452, город Москва, Большая Семеновская Набережная, дом 3/1, корпус 6;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13038,0647;12610,0318
2342;ООО Фармастар - 11;115035, город Москва, Гарибальди улица, дом 4Б;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2295,7355;981,5007
3161;ООО Альфа -холдинг - 1;129301, город Москва, Краснопрудная улица, дом 7/9, строение 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;10332,1908;12426,1882
3166;ООО Форвита;121357, город Москва, Романов переулок, дом 2/6;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6960,9097;9577,0202
3169;ООО МЕДХЭЛП;115172, город Москва, Яузская улица, дом 11/7, корпус 4;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9566,0775;8798,765
3200;ООО Джайт - 1;115477, город Москва, Коровинское шоссе, дом 9, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2417,2208;22428,0361
1109;ООО Витим и Ко - 40;115201, город Москва, Болотниковская улица, дом 47;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;5356,4901;-567,2565
1120;ООО Витим и Ко - 51;115201, город Москва, Тысяча девятьсот улица, дом 19, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;3791,7894;11100,3584
2586;ООО ЭЛЬРУФ;115054, город Москва, Валовая улица, дом 14;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8346,7919;7139,8773
2590;ООО Витафарм - 2;125319, город Москва, Черняховского улица, дом 6/40;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2335,2476;15282,0308
2597;ООО Аптечная сеть Знахарь - 1;121359, город Москва, Нижегородская улица, дом 9;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11591,785;8005,6007
191;Аптечный пункт.Филиал № 217 Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 ДЗМ»;119530, город Москва, Внуково Насосная улица, дом 1А;(495)343-35-55;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";ЗАО ФТК Время;Аптечный пункт;-12598,9883;-5766,3432
192;Аптечный пункт. Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 201 ДЗМ»;125363, город Зеленоград,  , дом 911;(499)404-92-70;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00";ЗАО СИА интернейшнл Лтд;Аптечный пункт;-19611,6891;35478,4416
193;Аптечный пункт.Филиал № 2 Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 201 ДЗМ»;125363, город Зеленоград,  , дом 1460;(499)616-22-11;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00";ЗАО СИА интернейшнл Лтд;Аптечный пункт;-20870,0339;35415,4495
