1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
26;Государственное бюджетное учреждение культуры и образования города Москвы «Центр русской культуры и искусства под управлением Владимира Девятова»                                                                                                             ;ГБУКиО г.Москвы «Центр русской культуры и искусства под управлением Владимира Девятова»                                                                                                                                                                       ;119136, г.Москва, 3-й Сетуньский пр-д, д.16                                                                                                                                                                                                                   ;2188,818825;7258,70956;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Раменки                                                                                                                                                                                                                                                       ;119136, г.Москва, 3-й Сетуньский пр-д, д.16                                                                                                                                                                                                                   ;(499) 240-27-69, (499) 240-27-55                                                                                                                                                                                                                              ;(499) 240-27-55                                                                                                                                                                                                                                               ;devyatov.ru                                                                                                                                                                                                                                                   ;info@devyatov.ru                                                                                                                                                                                                                                              
27;Государственное бюджетное учреждение культуры города Москвы «Государственная капелла Москвы имени Вадима Судакова»                                                                                                                                            ;ГБУК г.Москвы «Государственная капелла Москвы имени Вадима Судакова»                                                                                                                                                                                          ;123098, г.Москва, ул. Рогова, д.1, комн.108                                                                                                                                                                                                                   ;-2139,200246;14278,40126;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Щукино                                                                                                                                                                                                                                                        ;123098, г.Москва, ул. Рогова, д.1, комн.108                                                                                                                                                                                                                   ;(499) 196-40-37                                                                                                                                                                                                                                               ;(499) 196-40-37                                                                                                                                                                                                                                               ;moscapella.narod.ru                                                                                                                                                                                                                                           ;kamanata@mail.ru                                                                                                                                                                                                                                              
28;Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический театр танца «Гжель»                                                                                                                                     ;ГБУК г.Москвы «Московский государственный академический театр танца «Гжель»                                                                                                                                                                                   ;123362, г.Москва, ул. Свободы, д.17                                                                                                                                                                                                                           ;-2967,60015;18251,23726;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Покровское-Стрешнево                                                                                                                                                                                                                                          ;123362, г.Москва, ул. Свободы, д.17                                                                                                                                                                                                                           ;(495) 490-41-50, (495) 491-19-30                                                                                                                                                                                                                              ;(495) 490-41-50                                                                                                                                                                                                                                               ;gzhel-zakharov.ru                                                                                                                                                                                                                                             ;info@theatregzhel.ru                                                                                                                                                                                                                                          
29;Государственное бюджетное учреждение культуры города Москвы «Московский культурный центр народного творчества «Русская душа» под руководством Людмилы Николаевой»                                                                                             ;ГБУК г.Москвы «Московский культурный центр народного творчества «Русская душа» под руководством Людмилы Николаевой»                                                                                                                                           ;123308, г.Москва, 3-й Силикатный пр-д, д.3 стр.2                                                                                                                                                                                                              ;-41,012225;11406,01674;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Хорошево-Мневники                                                                                                                                                                                                                                             ;123308, г.Москва, 3-й Силикатный пр-д, д.3 стр.2                                                                                                                                                                                                              ;(495) 768-62-87                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;russiansoul.ru                                                                                                                                                                                                                                                ;ovrd@mail.ru                                                                                                                                                                                                                                                  
30;Большой зал Консерватории                                                                                                                                                                                                                                     ;Большой зал Консерватории                                                                                                                                                                                                                                     ;Б.Никитская, 13                                                                                                                                                                                                                                               ;6626,8876;9926,489356;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 629 94 01                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
31;Рахманиновский зал Консерватории                                                                                                                                                                                                                              ;Рахманиновский зал Консерватории                                                                                                                                                                                                                              ;Б.Никитская, 11                                                                                                                                                                                                                                               ;6745,8251;9952,315327;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 629 02 94, 699 94 01                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
32;Малый зал Консерватории                                                                                                                                                                                                                                       ;Малый зал Консерватории                                                                                                                                                                                                                                       ;Б.Никитская, 13                                                                                                                                                                                                                                               ;6626,8876;9926,489356;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 629 94 01, 629 74 46                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
33;Культурный центр «Покровские ворота»                                                                                                                                                                                                                          ;Культурный центр «Покровские ворота»                                                                                                                                                                                                                          ;Покровка, 27, стр. 1                                                                                                                                                                                                                                          ;9411,92505;10357,3452;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 223 58 10, 223 58 20                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
34;Дом журналиста                                                                                                                                                                                                                                                ;Дом журналиста                                                                                                                                                                                                                                                ;Никитский б-р, 8а                                                                                                                                                                                                                                             ;6487;9681,759893;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691 09 87, 222 10 60, 691 56 98                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
35;Концертный зал камерного оркестра Kremlin                                                                                                                                                                                                                     ;Концертный зал камерного оркестра Kremlin                                                                                                                                                                                                                     ;Звенигородское ш., 11                                                                                                                                                                                                                                         ;3239,176181;10821,15137;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 755 77 95                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
36;ДК МГТУ им. Баумана                                                                                                                                                                                                                                           ;ДК МГТУ им. Баумана                                                                                                                                                                                                                                           ;Рубцовская наб., 2/18                                                                                                                                                                                                                                         ;12168,7069;11652,32862;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 263 62 72, 263 62 61                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
37;Архиповский музыкальный салон                                                                                                                                                                                                                                 ;Архиповский музыкальный салон                                                                                                                                                                                                                                 ;Брюсов пер., 2/14, стр. 8                                                                                                                                                                                                                                     ;6729,568317;10037,20108;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 692 01 66, 692 10 03                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
