№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
52	Государственное бюджетное учреждение культуры города Москвы «Московский камерный оркестр «Музыка Вива»	107023, г.Москва, пл. Журавлева, д.1 стр.1	Восточный АО	Соколиная Гора	107023, г.Москва, пл. Журавлева, д.1 стр.1	(495) 964-19-66, (495) 964-19-65	(495) 964-19-65	musicaviva.ru	mos-chorus@list.ru
53	Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический камерный хор»	109044, г.Москва, ул. Мельникова, д.7 стр.1	Юго-Восточный АО	Таганский	109044, г.Москва, ул. Мельникова, д.7	(495) 674-12-48, (495) 674-59-23	(495) 674-59-23	choir.ru	minin@minin-hor.ru
54	Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический камерный хор»	107078, г.Москва, ул. Новая Басманная, д.22/2 стр.1	Юго-Восточный АО	Таганский	109044, г.Москва, ул. Мельникова, д.7	(495) 674-12-48, (495) 674-59-23	(495) 674-59-23	choir.ru	minin@minin-hor.ru
55	Государственное бюджетное учреждение культуры и образования города Москвы «Центр вокального искусства Валентины Левко»	119296, г.Москва, Ломоносовский пр-т, д.6а	Юго-Западный АО	Гагаринский	119296, г.Москва, Ломоносовский пр-т, д.6а	(499) 132-44-00	(499) 132-44-00		levko_shkola@mail.ru
56	Государственное бюджетное учреждение культуры и образования города Москвы «Центр русской культуры и искусства под управлением Владимира Девятова»	119136, г.Москва, 3-й Сетуньский пр-д, д.16	Западный АО	Раменки	119136, г.Москва, 3-й Сетуньский пр-д, д.16	(499) 240-27-69, (499) 240-27-55	(499) 240-27-55	devyatov.ru	info@devyatov.ru
57	Государственное бюджетное учреждение культуры города Москвы «Государственная капелла Москвы имени Вадима Судакова»	123098, г.Москва, ул. Рогова, д.1, комн.108	Северо-Западный АО	Щукино	123098, г.Москва, ул. Рогова, д.1, комн.108	(499) 196-40-37	(499) 196-40-37	moscapella.narod.ru	kamanata@mail.ru
58	Государственное бюджетное учреждение культуры города Москвы «Московский хоровой ансамбль духовной музыки «Благовест»	103009, г.Москва, Брюсов пер., д.8-10 стр.1	Центральный АО	Тверской	103009, г.Москва, Брюсов пер., д.8-10 стр.1	(499) 152-24-04	(499) 152-24-04	blagovest-ensemble.ru	lvkoro@mail.ru
59	Государственное бюджетное учреждение культуры города Москвы «Творческое объединение по эстетическому воспитанию молодежи «Музыкальная юность»	121099, г.Москва, 2-й Смоленский пер., д.1/4	Центральный АО	Мещанский	129110, г.Москва, пр-т Мира, д.52 стр.3	(499) 241-40-62, (499) 241-39-09	(499) 241-39-09	muzyunost.ru	muzyunost@mail.ru
60	Государственное бюджетное учреждение культуры города Москвы «Хор солистов»	129110, г.Москва, пр-т Мира, д.25 стр.1	Центральный АО	Мещанский	129110, г.Москва, пр-т Мира, д.25 стр.1,2	(499) 241-05-75	(499) 241-05-75	office@arthor.ru	horsolistov@cumail.ru
61	Государственное бюджетное учреждение культуры города Москвы «Хор солистов»	129110, г.Москва, пр-т Мира, д.25 стр.2	Центральный АО	Мещанский	129110, г.Москва, пр-т Мира, д.25 стр.1,2	(499) 241-05-75	(499) 241-05-75	office@arthor.ru	horsolistov@cumail.ru
62	Государственное бюджетное учреждение культуры города Москвы «Государственный центральный концертный зал «Россия»	119048, г.Москва, ул. Лужники, д.24 стр.2	Центральный АО	Хамовники	127495, г.Москва, ул. Варварка, д.6	(495) 637-06-35, (495) 637-02-86	(495) 637-02-86	rossia-hall.ru	info@rossia-hall.ru
63	Государственное бюджетное учреждение культуры города Москвы «Театр миниатюр под руководством Евгения Петросяна»	107031, г.Москва, ул. Петровка, д.26 стр.2	Центральный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	(495) 625-07-95, (495) 625-72-62	(495) 625-72-62		ofice.petrosyan@gmail.com
64	Государственное бюджетное учреждение культуры города Москвы «Вокальный ансамбль п/р В. Рыбина «Мужской камерный хор»	107023, г.Москва, пл. Журавлева, д.1 стр.1	Восточный АО	Тверской	109012, г.Москва, ул. Варварка, д.2	(495) 963-54-11, (495) 963-54-18	(495) 963-54-11	moschorus.ru	mos-chorus@list.ru
65	Государственное бюджетное учреждение культуры города Москвы «Центр оперного пения под руководством Галины Вишневской»	119034, г.Москва, ул. Остоженка, д.25 стр.1	Центральный АО	Хамовники	119034, г.Москва, ул. Остоженка, д.25 стр.1	(495) 637-77-03	(495) 637-54-64	opera-centre.ru	buh@opera-centre.ru
66	Государственное бюджетное учреждение культуры города Москвы «Московский международный Дом музыки»	115054, г.Москва, Космодамианская наб., д.52 стр.8	Центральный АО	Замоскворечье	115054, г.Москва, Космодамианская наб., д.52 стр.8	(495) 730-81-35, (495) 730-22-27	(495) 730-18-53	mmdm.ru	mail@mmdm.ru
67	Государственное бюджетное учреждение культуры города Москвы «Симфонический оркестр Москвы «Русская филармония»	115054, г.Москва, Космодамианская наб., д.52 стр.8	Центральный АО	Замоскворечье	115054, г.Москва, Космодамианская наб., д.52 стр.8	(495) 730-15-61, (495) 730-15-60	(495) 730-15-60	orchestra.ru	mail@mmdm.ru
68	Государственное бюджетное учреждение культуры города Москвы «Московский государственный симфонический оркестр для детей и юношества»	115184, г.Москва, Озерковский пер., д.7 стр.1, кв.1,2	Центральный АО	Замоскворечье	115184, г.Москва, Озерковский пер., д.7 стр.1, кв.1,2	(495) 951-85-83, (495) 951-65-17	(495) 951-85-83	mgso-msk.ru	info@mgso-msk.ru
69	Государственное бюджетное учреждение культуры города Москвы «Государственный камерный оркестр «Виртуозы Москвы»	115054, г.Москва, Космодамианская наб., д.52 стр.8, оф. 207	Центральный АО	Замоскворечье	115054, г.Москва, Космодамианская наб., д.52 стр.8, оф. 207	(495) 730-43-37, (495) 730-43-36	(495) 730-43-37, (495) 730-43-36	mvco.ru	office@mvco.ru
70	Государственное бюджетное учреждение культуры города Москвы «Московский театрально-концертный центр Павла Слободкина»	119002, г.Москва, ул. Арбат, д.48	Центральный АО	Арбат	119002, г.Москва, ул. Арбат, д.48	(499) 230-27-74, (499) 241-10-25	(499) 241-10-25	center-slobodkina.ru	mtcc@yandex.ru
71	Государственное бюджетное учреждение культуры города Москвы «Детская концертная студия «Непоседы»	107045, г.Москва, ул. Сретенка, д.1 стр.1	Центральный АО	Мещанский	107045, г.Москва, ул. Сретенка, д.1 стр.1	(495) 255-67-37	(495) 255-90-02	neposedi.ru	dks-neposedy@mail.ru
72	Государственное бюджетное учреждение культуры города Москвы «Концертное объединение «Классика-центр»	127047, г.Москва, ул. Фадеева, д.7 стр.3	Центральный АО	Пресненский	127047, г.Москва, ул. Фадеева, д.7 стр.3	(499) 255-67-37	(499) 255-90-02		klassika-centr@yandex.ru
73	Государственное бюджетное учреждение культуры города Москвы «Московский джазовый оркестр под управлением И.Бутмана»	109004, г.Москва, ул. Александра Солженицына, д.17 стр.4	Центральный АО	Таганский	109004, г.Москва, ул. Александра Солженицына, д.17 стр.4	(910) 466-38-43		igorbutman.com	butman-orkestr@mail.ru
74	Культурный центр Украины	Арбат, 9, стр. 1				(495) 737 88 31			
75	Культурный центр Венгерской Республики	улица Поварская, д.21/17 стр.1				(495) 691 31 34, 691 37 47			
76	Особняк князя Голицына	Козицкий пер., 5				(495) 694 03 71			
77	Концертный зал на Пречистенке	Пречистенка, 32				(495) 637 37 83			
78	Дом культуры КСРК ВОС	Куусинена, 19а				(499) 943 16 67, (495) 782 01 68			
79	Лекториум	улица Садовническая, д.61				8 910 477 51 70, 8 916 449 17 04			
80	Александровский	Земледельческий пер., 20				(495) 739 59 75, 782 84 49			
81	Концертный зал музея на Поклонной горе	пл. Победы, 3, основное здание				(499) 148 55 70			
82	Метелица	Н.Арбат, 21				(495) 691 12 12			
83	Дом культуры им. Петлюры	Петровка, 28				8 917 563 92 24			
84	Sandler’s Concert Hall	Потаповский пер., 3				(495) 662 28 24			
85	Вдохновение	Литовский б-р, 7				(495) 425 55 11			
86	Барвиха Luxury Village	Рублево-Успенское ш. 8-й км, д.114 стр.1				(495) 933 33 99, 933 73 63			
87	Концертный зал Чайковского	Триумфальная площадь, д.4/31				(495) 232 53 53, 699 39 57			
