1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
13;"Государственное казенное учреждение города Москвы ""Городской центр жилищных субсидий""                                                                                                                                                                         ";                                                                                                                                                                                                                                                              ;Малая Сухаревская площадь, дом 2-4, строение 1                                                                                                                                                                                                                ;8166,9249;11799,83973;0;                                                                                                                                                                                                                                                              ;Малая Сухаревская площадь                                                                                                                                                                                                                                     ;04.фев;1;8(495) 608 22 64                                                                                                                                                                                                                                              ;www.subsident.ru                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
14;Государственное унитарное предприятие города Москвы «Московский городской информационно-аналитический центр»                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;Новый Арбат, дом 16                                                                                                                                                                                                                                           ;5858,6501;9579,104984;0;                                                                                                                                                                                                                                                              ;Новый Арбат                                                                                                                                                                                                                                                   ;16;                                                                                                                                                                                                                                                              ;8(495) 411-56-98                                                                                                                                                                                                                                              ;secr@mosgoreiac.ru                                                                                                                                                                                                                                            ;25.01.2013;opens\fedinaon                                                                                      
15;ГКУ «Центр координации деятельности государственных учреждений инженерных служб административных округов и районов города Москвы»                                                                                                                             ;                                                                                                                                                                                                                                                              ;Рабочая, дом 37                                                                                                                                                                                                                                               ;11871,44485;8290,934899;0;                                                                                                                                                                                                                                                              ;Рабочая                                                                                                                                                                                                                                                       ;37;                                                                                                                                                                                                                                                              ;8(495) 221-39-30                                                                                                                                                                                                                                              ;www.gu-is.info                                                                                                                                                                                                                                                ;12:00:00 AM;                                                                                                    
16;"Государственное унитарное предприятие ""Жилищник-1""                                                                                                                                                                                                            ";                                                                                                                                                                                                                                                              ;Большой Спасоглинищевский переулок, дом 3, строение 8                                                                                                                                                                                                         ;8655,964336;10028,6401;0;                                                                                                                                                                                                                                                              ;Большой Спасоглинищевский переулок                                                                                                                                                                                                                            ;3;8;8(495) 411-60-75                                                                                                                                                                                                                                              ;www.gil1.ru                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    
17;"Государственное казенное учреждение ""Жилищник""                                                                                                                                                                                                                ";                                                                                                                                                                                                                                                              ;Большой Спасоглинищевский переулок, дом 3, строение 8                                                                                                                                                                                                         ;8655,964336;10028,6401;0;                                                                                                                                                                                                                                                              ;Большой Спасоглинищевский переулок                                                                                                                                                                                                                            ;3;8;8(495) 411-60-75                                                                                                                                                                                                                                              ;info@zhil.msk.ru                                                                                                                                                                                                                                              ;25.01.2013;opens\fedinaon                                                                                      
18;"Государственное казенное учреждение ""Объединенный архив ЖКХиБ""                                                                                                                                                                                                ";                                                                                                                                                                                                                                                              ;Петровский бульвар, дом 5, строение 1-1А                                                                                                                                                                                                                      ;7297,14835;11293,80673;0;                                                                                                                                                                                                                                                              ;Петровский бульвар                                                                                                                                                                                                                                            ;5;                                                                                                                                                                                                                                                              ;8(495) 650-05-41                                                                                                                                                                                                                                              ;arhivgkh@mail.ru                                                                                                                                                                                                                                              ;25.01.2013;opens\fedinaon                                                                                      
19; Государственное казенное учреждение города Москвы «Центр информационного обеспечения и содействия реформе в жилищно-коммунальном хозяйстве г. Москвы»                                                                                                        ;                                                                                                                                                                                                                                                              ;Новая Басманная, дом 18, строение 1                                                                                                                                                                                                                           ;10214,3876;11425,62679;0;                                                                                                                                                                                                                                                              ;Новая Басманная                                                                                                                                                                                                                                               ;18;1;8(499) 267-40-90                                                                                                                                                                                                                                              ;www.center-kgh.ru                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
21;"Государственное унитарное предприятие МосНПО ""РАДОН""                                                                                                                                                                                                          ";                                                                                                                                                                                                                                                              ;7-й Ростовский переулок, дом 2/14                                                                                                                                                                                                                             ;4694,915922;8104,688864;0;                                                                                                                                                                                                                                                              ;7-й Ростовский переулок                                                                                                                                                                                                                                       ;14.фев;                                                                                                                                                                                                                                                              ;8(499)-248-19-11                                                                                                                                                                                                                                              ;www.radon.ru                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    
22;"Московское государственное унитарное предприятие ""Промотходы""                                                                                                                                                                                                 ";                                                                                                                                                                                                                                                              ;Головинское шоссе, дом 10                                                                                                                                                                                                                                     ;-222,9233189;19107,90358;0;                                                                                                                                                                                                                                                              ;Головинское шоссе                                                                                                                                                                                                                                             ;10;                                                                                                                                                                                                                                                              ;8(495) 663-71-93                                                                                                                                                                                                                                              ;www.promotkhody.ru                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
23;"Государственное унитарное предприятие ""Экотехпром""                                                                                                                                                                                                            ";                                                                                                                                                                                                                                                              ;Большая Полянка, дом 42, строение 1                                                                                                                                                                                                                           ;7578,283625;7355,970267;0;                                                                                                                                                                                                                                                              ;Большая Полянка                                                                                                                                                                                                                                               ;42;1;8(499) 238-40-00                                                                                                                                                                                                                                              ;www.eco-pro.ru                                                                                                                                                                                                                                                ;12:00:00 AM;                                                                                                    
24;"Государственное казенное учреждение ""Мосэкопром""                                                                                                                                                                                                              ";                                                                                                                                                                                                                                                              ;Всеволожский переулок, дом 3                                                                                                                                                                                                                                  ;6309,088249;8408,20732;0;                                                                                                                                                                                                                                                              ;Всеволожский переулок                                                                                                                                                                                                                                         ;3;                                                                                                                                                                                                                                                              ;8(495) 637-70-10                                                                                                                                                                                                                                              ;mosecoprom@mail.ru                                                                                                                                                                                                                                            ;25.01.2013;opens\fedinaon                                                                                      
25;"Государственное унитарное предприятие ""Инженерный центр - Полигон""                                                                                                                                                                                            ";                                                                                                                                                                                                                                                              ;Милашенкова, дом 14                                                                                                                                                                                                                                           ;5148,696964;17991,35795;0;                                                                                                                                                                                                                                                              ;Милашенкова                                                                                                                                                                                                                                                   ;14;                                                                                                                                                                                                                                                              ;8(495) 680-68-39                                                                                                                                                                                                                                              ; icpoligon.ru                                                                                                                                                                                                                                                 ;12:00:00 AM;                                                                                                    
2;"Государственное унитарное предприятие ""Мосводосток""                                                                                                                                                                                                           ";                                                                                                                                                                                                                                                              ;Набережная Тараса Шевченко, дом 31                                                                                                                                                                                                                            ;37,543115;55,744433;0;                                                                                                                                                                                                                                                              ;Набережная Тараса Шевченко                                                                                                                                                                                                                                    ;31;                                                                                                                                                                                                                                                              ;8(495) 953-29-01                                                                                                                                                                                                                                              ;cancel@mosvodostok.info                                                                                                                                                                                                                                       ;25.01.2013;opens\fedinaon                                                                                      
8;Государственное унитарное предприятие по содержанию зеленых насаждений города Москвы (ГУП Мосзеленхоз)                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;Прудовый проезд, дом 13, строение 8                                                                                                                                                                                                                           ;37,613949;55,817843;0;                                                                                                                                                                                                                                                              ;Прудовый проезд                                                                                                                                                                                                                                               ;13;8;8(495) 61531-39                                                                                                                                                                                                                                               ;www.zelenhoz.ru                                                                                                                                                                                                                                               ;12:00:00 AM;                                                                                                    
20;Государственное унитарное предприятие по эксплуатации высотных административных и жилых домов                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;2-я Бородинская дом 17/5                                                                                                                                                                                                                                      ;37,567012;55,74836;0;                                                                                                                                                                                                                                                              ;2-я Бородинская                                                                                                                                                                                                                                               ;17/5                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8(499) 243-07-27                                                                                                                                                                                                                                              ;www.evagd.ru                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    
26;Государственное бюджетное учреждение города Москвы «Городская служба перемещения транспортных средств»                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;Проектируемый проезд 5113, владение 14                                                                                                                                                                                                                        ;37,702117;55,661635;0;                                                                                                                                                                                                                                                              ;Проектируемый проезд                                                                                                                                                                                                                                          ;5113;14;8(495) 531-25-55                                                                                                                                                                                                                                              ;gspts@gspts.ru                                                                                                                                                                                                                                                ;25.01.2013;opens\fedinaon                                                                                      
27;"Государственное  казенное учреждение г.Москвы «Дирекция Заказчика по сантехническим работам  ""Сантехработ""                                                                                                                                                    ";                                                                                                                                                                                                                                                              ;Саринский проезд, дом 13/2, строение 1                                                                                                                                                                                                                        ;37,657545;55,729189;0;                                                                                                                                                                                                                                                              ;Саринский проезд                                                                                                                                                                                                                                              ;13/2                                                                                                                                                                                                                                                          ;1;8(495) 676-78-41                                                                                                                                                                                                                                              ;info@santehrabot.ru                                                                                                                                                                                                                                           ;25.01.2013;opens\fedinaon                                                                                      
