№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
11	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №2»	123182, г.Москва, ул. Маршала Новикова, д.11	Северо-Западный АО	Хорошево-Мневники	123423, г.Москва, ул. Народного Ополчения, д.7 корп.2	(499) 199-01-22	(499) 199-01-22	dhsh2.ru	dhsh2@mail.ru
12	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №4»	123362, г.Москва, ул. Долгова, д.12	Северо-Западный АО	Покровское-Стрешнево	123362, г.Москва, ул. Долгова, д.12	(495) 491-64-89	(495) 491-98-02	4paint.ru	dkhsha4@mail.ru
13	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №4»	125459, г.Москва, б-р Яна Райниса, д.29	Северо-Западный АО	Покровское-Стрешнево	123362, г.Москва, ул. Долгова, д.12	(495) 491-64-89	(495) 491-98-02	4paint.ru	dkhsha4@mail.ru
14	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №9»	124681, г.Москва, Зеленоград, корп.1802	Зеленоградский АО	Матушкино-Савелки	124498, г.Москва, Зеленоград, Центральный пр-т, корп.435	(499) 736-75-01	(499) 736-75-01	dhsh9.msk.muzkult.ru	dhs@mail.ru
15	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №9»	124617, г.Москва, Зеленоград, корп.1412	Зеленоградский АО	Матушкино-Савелки	124498, г.Москва, Зеленоград, Центральный пр-т, корп.435	(499) 736-75-01	(499) 736-75-01	dhsh9.msk.muzkult.ru	dhs@mail.ru
16	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №9»	124498, г.Москва, Зеленоград, Центральный пр-т корп.435	Зеленоградский АО	Матушкино-Савелки	124498, г.Москва, Зеленоград, Центральный пр-т, корп.435	(499) 736-75-01	(499) 736-75-01	dhsh9.msk.muzkult.ru	dhs@mail.ru
17	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа «Бабенская игрушка»	142140, г.Москва, Подольский р-н, пос. Шишкин Лес, стр.42	Троицкий АО	Михайло-Ярцеславское	142140, г.Москва, Подольский р-н, пос. Шишкин Лес, стр.42	(495) 750-60-69	(495) 750-60-69	сайт в разработке	babenskaya_igrushka@mail.ru
18	Государственное бюджетное образовательное учреждение города Москвы детская художественная школа «Солнцево»	119618 50 лет Октября улица, д. 29Б	Западный АО	Солнцево		(495)435-39-57	(495)435-39-57	www.dxsh-solncevo.mskzapad.ru	dxsh-solncevo@yandex.ru
19	Государственное бюджетное образовательное учреждение города Москвы детская художественная школа	127550 Дмитровское шоссе, д. 34 к.2	Северный АО	Тимирязевский		(495) 488-70-21	(495) 488-70-21	izo-school.ru	art_school@mail.ru
20	Государственное бюджетное образовательное учреждение города Москвы Краснопресненская детская художественная школа	123056 Красина улица, д. 27	Центральный АО	Пресненский		(495)251-49-21	(495)251-49-21	www.dxsh.dop.mskobr.ru/	kdhsh@mail.ru
