0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
11;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «АРТ-Измайлово»                                                                                                                                                  ;ГБУК г.Москвы «Государственный выставочный зал «АРТ-Измайлово»                                                                                                                                                                                                ;105043, г.Москва, Измайловский б-р, д.30                                                                                                                                                                                                                      ;18665,2971;14406,27502;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Измайлово                                                                                                                                                                                                                                                     ;105043, г.Москва, Измайловский б-р, д.30                                                                                                                                                                                                                      ;(499) 367-45-81                                                                                                                                                                                                                                               ;(499) 367-45-81                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gvsmizm@mail.ru                                                                                                                                                                                                                                               
12;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Арт-холл Юго-восток»                                                                                                                                                            ;ГБУК г.Москвы «Выставочный зал «Арт-холл Юго-восток»                                                                                                                                                                                                          ;109377, г.Москва, ул. Ташкентская, д.9                                                                                                                                                                                                                        ;20178,91219;4639,035589;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Выхино-Жулебино                                                                                                                                                                                                                                               ;109444, г. Москва, ул. Ташкентская, д.9                                                                                                                                                                                                                       ;(495) 377-42-52                                                                                                                                                                                                                                               ;(495) 377-21-00                                                                                                                                                                                                                                               ;vzv-art.ru                                                                                                                                                                                                                                                    ;vzarthall@cumail.ru                                                                                                                                                                                                                                           
13;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Пересветов переулок»                                                                                                                                            ;ГБУК г.Москвы «Государственный выставочный зал «Пересветов переулок»                                                                                                                                                                                          ;109068, г.Москва, Пересветов пер., д.4 корп.1                                                                                                                                                                                                                 ;10271,21428;5304,81687;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Даниловский                                                                                                                                                                                                                                                   ;109068, г.Москва, Пересветов пер., д.4 корп.1                                                                                                                                                                                                                 ;(495) 675-22-28                                                                                                                                                                                                                                               ;(495) 675-22-28                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;peresvetovgallery@gmail.com                                                                                                                                                                                                                                   
14;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал-музей «Наследие»                                                                                                                                                 ;ГБУК г.Москвы «Государственный выставочный зал-музей «Наследие»                                                                                                                                                                                               ;115598, г.Москва, ул. Лебедянская, д.24 корп.2                                                                                                                                                                                                                ;11839,92822;-9230,848434;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Бирюлево Восточное                                                                                                                                                                                                                                            ;115598, г.Москва, ул. Лебедянская, д.24 корп.2                                                                                                                                                                                                                ;(495) 329-60-39                                                                                                                                                                                                                                               ;(495) 329-00-27                                                                                                                                                                                                                                               ;bv.uao.mos.ru                                                                                                                                                                                                                                                 ;zal-nasledie@mail.ru                                                                                                                                                                                                                                          
16;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»                                                                                                                                                       ;ГБУК г.Москвы «Государственный выставочный зал «Варшавка»                                                                                                                                                                                                     ;117556, г.Москва, Варшавское ш., д.75 корп.1                                                                                                                                                                                                                  ;7681,597;-933,3709396;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Нагорный                                                                                                                                                                                                                                                      ;117556, г.Москва, Варшавское ш., д.75 корп.1                                                                                                                                                                                                                  ;(499) 613-39-35                                                                                                                                                                                                                                               ;(499) 610-58-25                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;varshavka-art@mail.ru                                                                                                                                                                                                                                         
17;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»                                                                                                                                                       ;ГБУК г.Москвы «Государственный выставочный зал «Варшавка»                                                                                                                                                                                                     ;115230, г.Москва, Варшавское ш., д.68 корп.1                                                                                                                                                                                                                  ;7552,7605;-835,0661488;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Нагорный                                                                                                                                                                                                                                                      ;117556, г.Москва, Варшавское ш., д.75 корп.1                                                                                                                                                                                                                  ;(499) 613-39-35                                                                                                                                                                                                                                               ;(499) 610-58-25                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;varshavka-art@mail.ru                                                                                                                                                                                                                                         
18;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Замоскворечье»                                                                                                                                                  ;ГБУК г.Москвы «Государственный выставочный зал «Замоскворечье»                                                                                                                                                                                                ;115419, г.Москва, ул. Серпуховской вал, д.24 корп.2                                                                                                                                                                                                           ;7017,432875;5119,05525;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Даниловский                                                                                                                                                                                                                                                   ;115419, г.Москва, ул. Серпуховской вал, д.24 корп.2                                                                                                                                                                                                           ;(495) 954-30-09                                                                                                                                                                                                                                               ;(495) 954-23-00                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;art-gallery@mail.ru                                                                                                                                                                                                                                           
19;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Беляево»                                                                                                                                                ;ГБУК г.Москвы «Государственный выставочный зал «Галерея Беляево»                                                                                                                                                                                              ;117485, г.Москва, ул. Профсоюзная, д.100                                                                                                                                                                                                                      ;1722,218475;-2462,746849;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Коньково                                                                                                                                                                                                                                                      ;117485, г.Москва, ул. Профсоюзная, д.100                                                                                                                                                                                                                      ;(495) 335-83-22                                                                                                                                                                                                                                               ;(495) 335-83-22                                                                                                                                                                                                                                               ;gallery-belyaevo.ru                                                                                                                                                                                                                                           ;3358322@bk.ru                                                                                                                                                                                                                                                 
20;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Нагорная»                                                                                                                                               ;ГБУК г.Москвы «Государственный выставочный зал «Галерея Нагорная»                                                                                                                                                                                             ;113186, г.Москва, ул. Ремизова, д.10                                                                                                                                                                                                                          ;6421,86775;1045,65881;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Котловка                                                                                                                                                                                                                                                      ;113186, г.Москва, ул. Ремизова, д.10                                                                                                                                                                                                                          ;(499) 127-47-02                                                                                                                                                                                                                                               ;(499) 127-47-02                                                                                                                                                                                                                                               ;galereya-nagornaya.ru                                                                                                                                                                                                                                         ;nagornaya6569@gmail.com                                                                                                                                                                                                                                       
21;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солнцево»                                                                                                                                                                       ;ГБУК г.Москвы «Выставочный зал «Солнцево»                                                                                                                                                                                                                     ;119620, г.Москва, ул. Богданова, д.44                                                                                                                                                                                                                         ;-6394,2418;-1740,953517;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.44                                                                                                                                                                                                                         ;(495) 435-66-24, (495) 439-51-80                                                                                                                                                                                                                              ;(495) 435-64-92                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
22;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Галерея «Феникс»                                                                                                                                                                ;ГБУК г.Москвы «Выставочный зал «Галерея «Феникс»                                                                                                                                                                                                              ;121353, г.Москва, Сколковское ш., д.32 корп.2                                                                                                                                                                                                                 ;-6121,836267;4462,906949;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Дорогомилово                                                                                                                                                                                                                                                  ;121353, г.Москва, Сколковское ш., д.32 корп.2                                                                                                                                                                                                                 ;(495) 417-42-28                                                                                                                                                                                                                                               ;(495) 417-42-28                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;fenixgallery@mail.ru                                                                                                                                                                                                                                          
23;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Галерея ХХI век»                                                                                                                                                                ;ГБУК г.Москвы «Выставочный зал «Галерея ХХI век»                                                                                                                                                                                                              ;121357, г.Москва, ул. Кременчугская, д.22                                                                                                                                                                                                                     ;-2320,991222;5676,308974;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Фили-Давыдково                                                                                                                                                                                                                                                ;121108, г.Москва, Рублевское ш., д.9                                                                                                                                                                                                                          ;(495) 445-16-50                                                                                                                                                                                                                                               ;(495) 445-16-50                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;galleryXXIc@yandex.ru                                                                                                                                                                                                                                         
24;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Тушино»                                                                                                                                                                         ;ГБУК г.Москвы «Выставочный зал «Тушино»                                                                                                                                                                                                                       ;125459, г.Москва, б-р Яна Райниса, д.19 корп.1                                                                                                                                                                                                                ;-4350,12465;20249,90367;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Южное Тушино                                                                                                                                                                                                                                                  ;125459, г.Москва, б-р Яна Райниса, д.19 корп.1                                                                                                                                                                                                                ;(495) 492-23-00                                                                                                                                                                                                                                               ;(495) 497-00-19                                                                                                                                                                                                                                               ;vz-tushino.ru                                                                                                                                                                                                                                                 ;tushinogallery@mail.ru                                                                                                                                                                                                                                        
25;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Ходынка»                                                                                                                                                                        ;ГБУК г.Москвы «Выставочный зал «Ходынка»                                                                                                                                                                                                                      ;123298, г.Москва, ул. Ирины Левченко, д.2                                                                                                                                                                                                                     ;-378,7232657;13520,80184;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Щукино                                                                                                                                                                                                                                                        ;125364, г.Москва, ул. Свободы, д.61\2                                                                                                                                                                                                                         ;(499) 943-69-41                                                                                                                                                                                                                                               ;(499) 943-69-42                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;hodynka@mail.ru                                                                                                                                                                                                                                               
26;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Зеленоград»                                                                                                                                                                     ;ГБУК г.Москвы «Выставочный зал «Зеленоград»                                                                                                                                                                                                                   ;124617, г.Москва, Зеленоград, корп.1410                                                                                                                                                                                                                       ;-21938,589;35623,38334;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зеленоградский АО                                                                                                                                                                                                                                             ;Крюково                                                                                                                                                                                                                                                       ;124617, г.Москва, Зеленоград, корп.1410                                                                                                                                                                                                                       ;(499) 717-16-02                                                                                                                                                                                                                                               ;(499) 717-16-02                                                                                                                                                                                                                                               ;zelcultura.ru                                                                                                                                                                                                                                                 ;vz1410@yandex.ru                                                                                                                                                                                                                                              
15;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «На Каширке»                                                                                                                                                                     ;ГБУК г.Москвы «Выставочный зал «На Каширке»                                                                                                                                                                                                                   ;115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5                                                                                                                                                                                                    ;37,646895;55,661426;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Нагатино-Садовники                                                                                                                                                                                                                                            ;115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5                                                                                                                                                                                                    ;(499) 612-95-17, (499) 612-11-61                                                                                                                                                                                                                              ;(499) 612-93-33                                                                                                                                                                                                                                               ;nakashirke.narod.ru                                                                                                                                                                                                                                           ;nakashirke@mail.ru                                                                                                                                                                                                                                            
