0_udfn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
8270;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 671                                                                                                                                                     ;ГБОУ детский сад № 671                                                                                                                                                                                                                                        ;109388, г. Москва, ул.Шоссейная, д. 15                                                                                                                                                                                                                        ;14445,46225;2362,929405;2129709;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(495) 353-51-79; (495) 353-40-85                                                                                                                                                                                                                              ";http://www.ds671.uvuo.ru                                                                                                                                                                                                                                      ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8278;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 763                                                                                                                                                     ;ГБОУ детский сад № 763                                                                                                                                                                                                                                        ;111024, Москва, улица Авиамоторная, д.45                                                                                                                                                                                                                      ;13849,82503;9344,885549;2120539;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;362-23-17                                                                                                                                                                                                                                                     ;http://www.ds763.uvuo.ru                                                                                                                                                                                                                                      ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8295;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1016                                                                                                                                                    ;ГБОУ детский сад № 1016                                                                                                                                                                                                                                       ;109559, г. Москва ул. Ставропольская, д. 52, корп. 2                                                                                                                                                                                                          ;16904,59988;1578,269566;2129624;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;358-26-07                                                                                                                                                                                                                                                     ;http://dskuv1016.mskobr.ru/                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8309;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1212                                                                                                                                                    ;ГБОУ Детский сад № 1212                                                                                                                                                                                                                                       ;109651, Москва, ул. Донецкая, д.5                                                                                                                                                                                                                             ;14059,2986;-1768,583852;2129547;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(499) 356-66-51; (499) 357-49-81                                                                                                                                                                                                                              ";http://ds1212.uvuo.ru                                                                                                                                                                                                                                         ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8325;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1288                                                                                                                                                    ;ГБОУ детский сад № 1288                                                                                                                                                                                                                                       ;109651, г. Москва, ул. Донецкая, 31                                                                                                                                                                                                                           ;13485,99045;-2464,973371;2129346;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(499) 356-30-10; (499) 357-90-66                                                                                                                                                                                                                              ";http://www.dou1288.ru                                                                                                                                                                                                                                         ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8331;Государственное бюджетное образовательное учреждение города Москвы  детский сад компенсирующего вида № 1333                                                                                                                                                   ;ГБОУ детский сад № 1333                                                                                                                                                                                                                                       ;109378, город Москва, ул. Академика Скрябина, д.28, кор.3                                                                                                                                                                                                     ;18359,4;4315,706914;23907;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(495) 379-08-67; (495) 379-36-31                                                                                                                                                                                                                              ";http://www.ds1333.uvuo.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8350;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2334                                                                                                                                                    ;ГБОУ детский сад № 2334                                                                                                                                                                                                                                       ;109469, г. Москва, Марьинский бульвар, дом 8                                                                                                                                                                                                                  ;16716,02406;-1735,131086;1900399;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;658-64-21                                                                                                                                                                                                                                                     ;http://www.sad2334.mirastem.ru                                                                                                                                                                                                                                ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8357;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2363                                                                                                                                                    ;ГБОУ детский сад № 2363                                                                                                                                                                                                                                       ;109431, г.Москва, ул.Авиаконструктора Миля, дом 22, корпус 2                                                                                                                                                                                                  ;22515,28895;1399,083995;2704929;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(495) 704-08-89                                                                                                                                                                                                                                               ;http://ds2363.ru                                                                                                                                                                                                                                              ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
7979;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1372                                                                                                                                                    ;ГБОУ детский сад № 1372                                                                                                                                                                                                                                       ;129075, город Москва, улица Аргуновская, дом 16, корпус 3                                                                                                                                                                                                     ;7857,04192;16896,82182;2126081;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;615-49-46                                                                                                                                                                                                                                                     ;http://www.dskvp1372.mskobr.ru                                                                                                                                                                                                                                ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7984;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1020                                                                                                                                                    ;ГБОУ детский сад № 1020                                                                                                                                                                                                                                       ;127591, г. Москва, улица Дубнинская, дом 38, корпус 2                                                                                                                                                                                                         ;3897,0485;24512,12985;2110417;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;485-97-32                                                                                                                                                                                                                                                     ;http://souo-mos.ru/                                                                                                                                                                                                                                           ;Северное окружное управление образования                                                                                                                                                                                                                      
7991;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2185                                                                                                                                                    ;ГБОУ детский сад № 2185                                                                                                                                                                                                                                       ;127081, город Москва, Ясный проезд, дом 7А                                                                                                                                                                                                                    ;7983,809548;22930,34779;1900431;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(495) 473-16-61; (495) 473-24-35                                                                                                                                                                                                                              ";http://dskv2185.mskobr.ru                                                                                                                                                                                                                                     ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7992;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2249                                                                                                                                                    ;ГБОУ детский сад № 2249                                                                                                                                                                                                                                       ;127081, город Москва, улица Ясный проезд, дом 3                                                                                                                                                                                                               ;8220,104084;22801,4367;2135051;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;"(499) 477-41-18; (499) 477-94-20; (499) 473-57-08                                                                                                                                                                                                             ";http://www.dskvp2249.mskobr.ru                                                                                                                                                                                                                                ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7993;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2269                                                                                                                                                    ;ГБОУ детский сад № 2269                                                                                                                                                                                                                                       ;129336, город Москва, Стартовая улица,  дом 25, строение 1                                                                                                                                                                                                    ;12182,4891;24299,91929;2303371;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(499) 760-49-65                                                                                                                                                                                                                                               ;http://dskvp2269.umihost.info                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
