"0_ID";"1_Название объекта";"1_Название улицы";"1_Номер дома";"1_Корпус/строение";"1_Контактный телефон";"1_Электронная почта/Интернет-сайт"
"17";"Отдел «Соколиная Гора»";"Окружной пр.";"д.34";"корп.2";"8-(495)-918-39-40";"sokgora@labor.ru"
"18";"Отдел «Гольяновский»";"Открытое ш.";"д.23";"корп.5";"8-(499)-966-38-08";"golian@labor.ru"
"19";"Отдел «Новокосинский»";"ул. Новокосинская";"д.17";"корп.3";"8-(495)-702-78-59";"novkos@labor.ru"
"20";"Отдел «Новогиреевский»";"ул. Кусковская";"д.23";"корп.1";"8-(495)-309-03-92";"novgir@labor.ru"
"21";"Отдел «Преображенский»";"ул. Стромынка";"д.13";"стр.1";"8-(499)-269-10-92";"preobr@labor.ru"
"22";"Отдел «Люблино»";"ул. Верхние Поля";"д.3";"стр.2";"8-(495)-349-19-70";"cznuv@trud.mos.ru"
"23";"Отдел «Текстильщики»";"2-й Саратовский пр.";"д.8";"корп.2";"8-(499)-173-97-43";"cznuv@trud.mos.ru"
"24";"Отдел «Лефортово»";"ш. Энтузиастов";"д.20 Б";"стр.1";"8-(495)-362-05-78";"cznuv@trud.mos.ru"
"25";"Отдел «Марьино»";"Новочеркасский бульвар";"д.47";"стр.1";"8-(495)-349-01-47";"cznuv@trud.mos.ru"
"26";"Отдел «Выхино-Жулебино»";"ул. Моршанская";"д.2";"корп.1";"8-(495)-705-56-12";"cznuv@trud.mos.ru"
"27";"Информационно-консультацион­ный отдел ГКУ ЦЗН ЮВАО";"ул. Верхние Поля";"д.3";"стр.2";"8-(495)-349-19-98";"cznuv@trud.mos.ru"
"28";"Отдел «Царицынский»";"ул. Луганская";"д.8";;"8-(495)-321-51-20";"czn-caricino@yandex.ru"
"29";"Отдел «Варшавский»";"Варшавское ш.";"д.114";"корп.3";"8-(495)-316-68-74";"czn-warshav@yandex.ru"
"30";"Отдел «Южный»";"ул. Воронежская";"д.16/17";;"8-(495)-397-97-70";"czn-ugny@yandex.ru"
"31";"Отдел «Братеевский»";"ул. Ключевая";"д.22";"корп.2";"8-(495)-340-31-95";"czn-brateevo@yandex.ru"
"32";"Отдел «Нагорный»";"Варшавское ш.";"д.68";"корп.1";"8-(499)-613-23-14";"czn-nagorn@yandex.ru"
"33";"Отдел «Автозаводский»";"ул. 5-я Кожуховская";"д.8";"корп.2";"8-(495)-675-82-75";"czn-avtozav@yandex.ru"
"34";"Отдел «Бирюлевский»";"ул. Липецкая";"д.9";"стр.1";"8-(495)-328-85-17";"czn-birulevo@yandex.ru"
"35";"Информационно-консультацион­ный отдел ГКУ ЦЗН ЮАО";"ул. 5-я Кожуховская";"д.8";"корп.2";"8-(495)-675-82-31";"czn-center@yandex.ru"
"36";"Отдел «Академический»";"ул. Профсоюзная";"д.17";"корп.2";"8-(495)-129-89-39";"academ@labor.ru"
"37";"Отдел «Севастопольский»";"Севастопольский проспект";"д.15";"корп.3";"8-(499)-123-00-78";"sevast@labor.ru"
"38";"Отдел «Воронцовский»";"ул. Одесская";"д.23";"корп.1";"8-(495)-310-90-63";"voroncov@labor.ru"
"39";"Отдел «Ясенево»";"ул. Голубинская";"д.31";"корп.1";"8-(495)-421-73-66";"yasenevo@labor.ru"
"40";"Отдел «Бутово»";"ул. Грина";"д.1";"корп.1";"8-(495)-711-18-09";"butovo@labor.ru"
"41";"Отдел «Кунцево»";"Рублёвское ш.";"д.40";"корп.3";"8-(495)-412-05-87";"kuncevo@labor.ru"
"42";"Отдел «Солнцево»";"ул. Лукинская";"д.5";"стр.1";"8-(495)-733-18-70";"solncevo@labor.ru"
"43";"Отдел «Раменки»";"ул. Никулинская";"д.11";"стр.1";"8-(495)-432-51-33";"ramenki@labor.ru"
"44";"Отдел «Дорогомилово»";"ул. Олеко Дундича";"д.19/15";"стр.1";"8-(499)-145-12-31";"dorogomilovo@labor.ru"
"45";"Отдел «Хорошевский»";"проспект Маршала Жукова";"д.17";"корп.2";"8-(499)-195-26-22";"horo@labor.ru"
"46";"Отдел «Тушинский»";"ул. Планерная";"д.7";"корп.1";"8-(495)-494-60-93";"tuh@labor.ru"
"47";"Отдел «Сходненский»";"ул. Василия Петушкова";"д.17";"стр.1";"8-(495)-948-93-70";"shod@labor.ru"
"48";"Отдел «Митинский»";"Пятницкое ш.";"д.45";"стр.1";"8-(495)-794-10-36";"mitino@labor.ru"
"49";"Отдел «Строгинский»";"ул. Исаковского";"д.2";"корп.2";"8-(495)-750-71-33";"strog@labor.ru"
"50";"Ресурсный центр";"ул. Свободы";"д.61";"корп.2";"8-(499)-497-68-44";"resszao@labor.ru"
"51";"Отдел трудоустройства населения";"Зеленоград, корп.1818";"корп.1818";"корп.1818";"8-(499)-717-31-74";"cznzgrad@labor.ru"
"52";"Ресурсный центр";"Зеленоград, корп.1818";"корп.1818";"корп.1818";"8-(499)-733-06-20";"cznzgrad@labor.ru"
