1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
14;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»                                                                                                                                                        ;ГАУК г.Москвы «Парк культуры и отдыха «Северное Тушино»                                                                                                                                                                                                       ;123364, г.Москва, ул. Свободы, д.61/2                                                                                                                                                                                                                         ;37,452333;55,858957;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Северное Тушино                                                                                                                                                                                                                                               ;123364, г.Москва, ул. Свободы, д.61/2                                                                                                                                                                                                                         ;(495) 497-51-84                                                                                                                                                                                                                                               ;(495) 497-64-61                                                                                                                                                                                                                                               ;parkk.ru                                                                                                                                                                                                                                                      ;tushpark@yandex.ru                                                                                                                                                                                                                                            
15;ГОУ ДООЦ «Новослободский»                                                                                                                                                                                                                                     ;ГОУ ДООЦ «Новослободский»                                                                                                                                                                                                                                     ;ул. Новослободская, д.58/12, стр.9                                                                                                                                                                                                                            ;37,594251;55,79062;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
16;ГОУ ДООЦ «Парк Фестивальный»                                                                                                                                                                                                                                  ;ГОУ ДООЦ «Парк Фестивальный»                                                                                                                                                                                                                                  ;ул. Сущевский Вал, д.56                                                                                                                                                                                                                                       ;37,618431;55,791008;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
17;ГОУ ДДТ «Парк «Усадьба Трубецких в Хамовниках»                                                                                                                                                                                                                ;ГОУ ДДТ «Парк «Усадьба Трубецких в Хамовниках»                                                                                                                                                                                                                ;ул. Савельева, д.5                                                                                                                                                                                                                                            ;37,562554;55,722403;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
18;ГОУ ЦДОД «Черкизовский парк»                                                                                                                                                                                                                                  ;ГОУ ЦДОД «Черкизовский парк»                                                                                                                                                                                                                                  ;ул.Б.Черкизовская, д.21, стр.2                                                                                                                                                                                                                                ;37,737133;55,802284;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
19;ГОУ города Москвы Дворец творчества детей и молодежи на Миуссах                                                                                                                                                                                               ;ГОУ города Москвы Дворец творчества детей и молодежи на Миуссах                                                                                                                                                                                               ;2-й Щемиловский пер., 4, стр.5                                                                                                                                                                                                                                ;37,610966;55,776196;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
20;ГОУ ДООЦ «Парк Пресненский»                                                                                                                                                                                                                                   ;ГОУ ДООЦ «Парк Пресненский»                                                                                                                                                                                                                                   ;ул. Дружинниковская, д.9, стр.2                                                                                                                                                                                                                               ;37,573745;55,757001;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
21;ГОУ ДООЦ «Детский парк Фили»                                                                                                                                                                                                                                  ;ГОУ ДООЦ «Детский парк Фили»                                                                                                                                                                                                                                  ; ул. Большая Филевская, д.9                                                                                                                                                                                                                                   ;37,504433;55,748606;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
22;Дворец детского (юношеского) творчества                                                                                                                                                                                                                       ;Дворец детского (юношеского) творчества                                                                                                                                                                                                                       ;Ул. Косыгина, д.17                                                                                                                                                                                                                                            ;37,553593;55,703289;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
23;Мемориальный парк у к/т «Ленинград»                                                                                                                                                                                                                           ;Мемориальный парк у к/т «Ленинград»                                                                                                                                                                                                                           ;ул. Новопесчаная, вл.12                                                                                                                                                                                                                                       ;37,51235;55,79946;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
24;Парк «Сад Будущего»                                                                                                                                                                                                                                           ;Парк «Сад Будущего»                                                                                                                                                                                                                                           ;(сквер у м. «Ботанический сад»)                                                                                                                                                                                                                               ;37,641079;55,84288;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
25;Парк «Воровского»                                                                                                                                                                                                                                             ;Парк «Воровского»                                                                                                                                                                                                                                             ;(Старопетровский проезд, д.1)                                                                                                                                                                                                                                 ;37,501792;55,819909;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
26;Парк «Вагоноремонт»                                                                                                                                                                                                                                           ;Парк «Вагоноремонт»                                                                                                                                                                                                                                           ;(Лобненская ул., д.13А)                                                                                                                                                                                                                                       ;37,531011;55,887648;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
