0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
6546;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 790                                                                                                                                                    ;ГБОУ СОШ № 790                                                                                                                                                                                                                                                ;117588, г. Москва, Новоясеневский проспект, дом 24, корпус 3                                                                                                                                                                                                  ;37,528431;55,603881;2800992;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;427-68-01                                                                                                                                                                                                                                                     ;http://kadet790.ru                                                                                                                                                                                                                                            ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6580;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1071                                                                                                                                                  ";ГБОУ ЦО № 1071                                                                                                                                                                                                                                                ;117628, г.Москва, бульвар Дмитрия Донского, дом 6А                                                                                                                                                                                                            ;37,571334;55,569583;31523;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;"Центр образования ""Школа Здоровья""                                                                                                                                                                                                                            ";712-19-59                                                                                                                                                                                                                                                     ;http://1071.ru                                                                                                                                                                                                                                                ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6740;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1619 имени М.И. Цветаевой                                                                                                                                              ;ГБОУ ЦО № 1619                                                                                                                                                                                                                                                ;123458, г. Москва, ул. Таллинская, д. 20, корп. 4                                                                                                                                                                                                             ;37,405064;55,79729;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;758-10-72                                                                                                                                                                                                                                                     ;-                                                                                                                                                                                                                                                             ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
5480;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1456                                                                                                                                                                   ;ГБОУ ЦО № 1456                                                                                                                                                                                                                                                ;117623, г.Москва, ул. 3-я Железногорская, дом 11А                                                                                                                                                                                                             ;37,583959;55,532963;48592;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;712-79-98                                                                                                                                                                                                                                                     ;http://co1456.mosuzedu.ru                                                                                                                                                                                                                                     ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6482;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 187                                                                                                                                                    ;ГБОУ СОШ № 187                                                                                                                                                                                                                                                ;119261, г. Москва, Ломоносовский проспект, дом 3 А                                                                                                                                                                                                            ;37,546046;55,683971;13374;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;138-48-81                                                                                                                                                                                                                                                     ;http://187.3dn.ru                                                                                                                                                                                                                                             ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6593;Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989                                                                                                                                                                  ;ГБОУ ЦО № 1989                                                                                                                                                                                                                                                ;109451, г. Москва, ул. Белореченская, д. 45, к. 2                                                                                                                                                                                                             ;37,776445;55,663753;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;"(495) 654-96-27; (495) 654-96-25                                                                                                                                                                                                                              ";http://couv1989.mskobr.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6697;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1155                                                                                                                                                   ;ГБОУ СОШ № 1155                                                                                                                                                                                                                                               ;123458, г.Москва, ул.Таллинская, д.16, корп.4                                                                                                                                                                                                                 ;37,401209;55,797019;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;756-62-90                                                                                                                                                                                                                                                     ;http://sch1155.mskobr.ru                                                                                                                                                                                                                                      ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
9326;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1747                                                                                                                                                   ;ГБОУ СОШ № 1747                                                                                                                                                                                                                                               ;125368, г. Москва, 3-й Митинский переулок, д. 12, корп. 1                                                                                                                                                                                                     ;-9141,2535;19965,9608;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;"(495) 751-90-20; (495) 741-41-61; (495) 794-09-44                                                                                                                                                                                                             ";http://www.dskvp2319.mskobr.ru                                                                                                                                                                                                                                ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
9401;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""                                                                                                                                                                    ";"ГБОУ ЦО № 1404 ""Гамма""                                                                                                                                                                                                                                        ";107014, Москва,  ул. Большая Оленья,  д. 3                                                                                                                                                                                                                    ;11907,96559;15239,9475;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96                                                                                                                                                                                                             ";-                                                                                                                                                                                                                                                             ;Восточное окружное управление образования                                                                                                                                                                                                                     
8751;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1925                                                                                                                                                                   ;ГБОУ ЦО № 1925                                                                                                                                                                                                                                                ;111673, г. Москва, ул. Новокосинская, д.13 А                                                                                                                                                                                                                  ;22256,79185;7668,715226;2401644;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;702-66-76                                                                                                                                                                                                                                                     ;http://co1925.ru/                                                                                                                                                                                                                                             ;Восточное окружное управление образования                                                                                                                                                                                                                     
9328;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138                                                                                                                                                    ;ГБОУ СОШ № 138                                                                                                                                                                                                                                                ;123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2                                                                                                                                                                                                     ;-2118,1096;12714,3791;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;"(499) 199-27-22; (499) 199-09-79                                                                                                                                                                                                                              ";http://sch160@szouo.ru                                                                                                                                                                                                                                        ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
8739;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1948 ""Лингвист-М""                                                                                                                                                      ";"ГБОУ ЦО № 1948 ""Лингвист-М""                                                                                                                                                                                                                                   ";117420, г.Москва, ул. Новочеремушкинская, дом 64, корпус 2                                                                                                                                                                                                    ;3827,340358;-264,2132357;2108467;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;121-54-11                                                                                                                                                                                                                                                     ;http://sch1948.ru                                                                                                                                                                                                                                             ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
9319;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1465 имени адмирала Н.Г. Кузнецова                                                                                                                      ;ГБОУ СОШ №1465 Н.Г. Кузнецова                                                                                                                                                                                                                                 ;121059 г.Москва, ул. Брянская, д. 10                                                                                                                                                                                                                          ;3859,3737;8719,6867;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(499) 243-59-11                                                                                                                                                                                                                                               ;http://dskvp821.mskzapad.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
