0_OBJECTID;0_ UIDNFTN;Название;0_ LABEL;Адрес;0_ X;0_ Y;Телефон;Режим работы
39;29;Управление социальной защиты населения Алексеевского района, СВАО;Управление социальной защиты населения Алексеевского района, СВАО г. Москва, ул. Космонавтов, д. 4;г. Москва, ул. Космонавтов, д. 4;9237,925175;17138,27892;(495) 686-05-81, (495) 683-67-12;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
40;30;Управление социальной защиты населения Алтуфьевского района, СВАО;Управление социальной защиты населения Алтуфьевского района, СВАО г. Москва, проезд Черского, д. 1;г. Москва, проезд Черского, д. 1;5381,669844;23253,1737;(499) 766-64-41;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
41;31;Управление социальной защиты населения Бабушкинского района, СВАО;Управление социальной защиты населения Бабушкинского района, СВАО г. Москва, ул. Верхоянская, д.10;г. Москва, ул. Верхоянская, д.10;10540,1943;21263,73948;(495) 470-30-76, (495) 470-34-43;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
42;32;Управление социальной защиты населения Бутырского района, СВАО;Управление социальной защиты населения Бутырского района, СВАО г. Москва, ул. Бутырская, д. 84;г. Москва, ул. Бутырская, д. 84;5322,588025;15476,11154;(499) 760-95-63, (499) 760-89-21;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
43;33;Управление социальной защиты населения Лосиноостровского района (в том числе обслуживание района Свиблово), СВАО;Управление социальной защиты населения Лосиноостровского района (в том числе обслуживание района Свиблово), СВАО г. Москва, ул. Рудневой, д. 6;г. Москва, ул. Рудневой, д. 6;11327,9444;22096,29779;(495) 471-08-33, (495) 471-18-81;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
44;34;Управление социальной защиты населения района Бибирево, СВАО;Управление социальной защиты населения района Бибирево, СВАО г. Москва, ул. Плещеева, д. 7Б;г. Москва, ул. Плещеева, д. 7Б;6977,587805;24654,65283;(495) 405-65-49, (495) 405-65-49;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
45;35;Управление социальной защиты населения района Лианозово, СВАО;Управление социальной защиты населения района Лианозово, СВАО г. Москва, Алтуфьевское ш., д. 87;г. Москва, Алтуфьевское ш., д. 87;5461,933376;25150,45408;(499) 200-60-08, (499) 200-60-08;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
46;36;Управление социальной защиты населения района Марьина Роща, СВАО;Управление социальной защиты населения района Марьина Роща, СВАО г. Москва, шоссе Старомарьинское, д. 15;г. Москва, шоссе Старомарьинское, д. 15;7126,7751;15484,04354;(495) 619-49-01, (495) 619-49-01;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
47;37;Управление социальной защиты населения района Отрадное, СВАО;Управление социальной защиты населения района Отрадное, СВАО г. Москва, ул. Римского-Корсакова, д. 16;г. Москва, ул. Римского-Корсакова, д. 16;6768,272557;23040,63701;(499) 204-33-17, (499) 202-10-88;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
48;38;Управление социальной защиты населения района Ростокино, СВАО;Управление социальной защиты населения района Ростокино, СВАО г. Москва, ул. Докукина, д. 11 стр.2;г. Москва, ул. Докукина, д. 11 стр.2;9545,75915;19153,01475;(495) 187-36-10, (495) 187-45-28;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
49;39;Управление социальной защиты населения района Северное Медведково, СВАО;Управление социальной защиты населения района Северное Медведково, СВАО г. Москва, ул. Грекова, д. 7;г. Москва, ул. Грекова, д. 7;10153,83115;24940,38901;(499) 476-25-24, (495) 478-40-91;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
50;40;Управление социальной защиты населения района Южное Медведково, СВАО;Управление социальной защиты населения района Южное Медведково, СВАО г. Москва, пр-д Дежнева, д. 34;г. Москва, пр-д Дежнева, д. 34;8305,4042;22671,14784;(495) 477-10-10, (499) 790-30-04;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
51;75;Управление социальной защиты населения района Нагатино-Садовники, ЮАО;Управление социальной защиты населения района Нагатино-Садовники, ЮАО г. Москва, проспект Андропова, дом 42, корп. 1;г. Москва, проспект Андропова, дом 42, корп. 1;10227,80095;474,494789;545-44-46, 8-499-504-13-05;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
52;76;Управление социальной защиты населения района Нагатинский Затон, ЮАО;Управление социальной защиты населения района Нагатинский Затон, ЮАО г. Москва, пр-т Андропова, дом 29, коп. 2;г. Москва, пр-т Андропова, дом 29, коп. 2;10590,75694;1017,473947;(499) 614-82-21, (499) 614-82-06;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
53;77;Управление социальной защиты населения района Орехово-Борисово Северное, ЮАО;Управление социальной защиты населения района Орехово-Борисово Северное, ЮАО г. Москва, Ореховый бульвар, дом 7, корп. 1;г. Москва, Ореховый бульвар, дом 7, корп. 1;13160,16068;-6337,984241;(495) 343-08-70, (495) 343-16-94;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
54;78;Управление социальной защиты населения района Орехово-Борисово Южное, ЮАО;Управление социальной защиты населения района Орехово-Борисово Южное, ЮАО г. Москва, ул. Воронежская, дом 3;г. Москва, ул. Воронежская, дом 3;14303,26523;-6359,208437;(495) 397-50-83, (495) 399-47-11;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
55;79;Управление социальной защиты населения района Царицыно, ЮАО;Управление социальной защиты населения района Царицыно, ЮАО г. Москва, Кантемировская ул., дом 29, корп. 1;г. Москва, Кантемировская ул., дом 29, корп. 1;10621,45993;-3312,233492;(499) 320-53-55, (499) 320-53-56;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
56;80;Управление социальной защиты населения района Чертаново Северное, ЮАО;Управление социальной защиты населения района Чертаново Северное, ЮАО г. Москва, Варшавское ш., дом 124;г. Москва, Варшавское ш., дом 124;7371,115;-4412,460835;(495) 311-52-16, 311-08-82;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
57;81;Управление социальной защиты населения района Чертаново Центральное, ЮАО;Управление социальной защиты населения района Чертаново Центральное, ЮАО г. Москва, ул. Красного Маяка, дом 4, корп. 5;г. Москва, ул. Красного Маяка, дом 4, корп. 5;6358,33945;-5821,907993;(495) 315-86-67, (495) 315-86-66;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
58;82;Управление социальной защиты населения района Чертаново Южное, ЮАО;Управление социальной защиты населения района Чертаново Южное, ЮАО г. Москва, Варшавское ш., дом 154, корп. 2;г. Москва, Варшавское ш., дом 154, корп. 2;6229,13715;-8865,819817;(495) 388-79-09, (495) 388-96-14;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
59;83;Управление социальной защиты населения Юго-Западного административного округа г. Москвы;Управление социальной защиты населения Юго-Западного административного округа г. Москвы г. Москва, ул. Новочеремушкинская, д. 16;г. Москва, ул. Новочеремушкинская, д. 16;5141,711;1816,332803;(495) 718-00-22, (499) 744-34-09;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
60;84;Управление социальной защиты населения Академического района, ЮЗАО;Управление социальной защиты населения Академического района, ЮЗАО г. Москва, Нахимовский пр-т, д. 46;г. Москва, Нахимовский пр-т, д. 46;3998,2095;1351,100787;(499) 124-31-11, (499) 124-29-33;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
61;85;Управление социальной защиты населения Гагаринского района, ЮЗАО;Управление социальной защиты населения Гагаринского района, ЮЗАО г. Москва, Ленинский пр-т, д. 60/2;г. Москва, Ленинский пр-т, д. 60/2;3662,2755;3176,644274;(499) 137-53-03, (499) 137-34-78;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
62;86;Управление социальной защиты населения Обручевского района, ЮЗАО;Управление социальной защиты населения Обручевского района, ЮЗАО г. Москва, ул. Профсоюзная, д. 60;г. Москва, ул. Профсоюзная, д. 60;3146,244797;91,30826295;(499) 120-65-41, (499) 128-19-77;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
63;87;Управление социальной защиты населения района Зюзино, ЮЗАО;Управление социальной защиты населения района Зюзино, ЮЗАО г. Москва, Симферопольский б-р, д.16, корп.1;г. Москва, Симферопольский б-р, д.16, корп.1;6695,25239;-1677,101857;(495) 319-06-32, (499) 610-38-02;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
64;88;Управление социальной защиты населения района Коньково, ЮЗАО;Управление социальной защиты населения района Коньково, ЮЗАО г. Москва, ул.Профсоюзная, д.111/1;г. Москва, ул.Профсоюзная, д.111/1;1452,59335;-3894,271527;(495) 420-30-33, (495) 420-28-11;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
65;89;Управление социальной защиты населения района Котловка, ЮЗАО;Управление социальной защиты населения района Котловка, ЮЗАО г. Москва, ул. Ремизова, д. 5/48;г. Москва, ул. Ремизова, д. 5;6376,513925;1159,742448;(499) 176-61-41, (499) 176-62-41;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
66;90;Управление социальной защиты населения Ломоносовского района, ЮЗАО;Управление социальной защиты населения Ломоносовского района, ЮЗАО г. Москва, ул. Крупской, д. 19/17;г. Москва, ул. Крупской, д. 19/17;1669,3275;1929,189838;(499) 131-03-13, (499) 138-88-35;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
67;91;Управление социальной защиты населения района Северное Бутово, ЮЗАО;Управление социальной защиты населения района Северное Бутово, ЮЗАО г. Москва, бульвар Дмитрия Донского, д. 12;г. Москва, бульвар Дмитрия Донского, д. 12;4691,97515;-11260,81372;(495) 712-13-72, (495) 712-13-63;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
68;92;Управление социальной защиты населения района Теплый Стан, ЮЗАО;Управление социальной защиты населения района Теплый Стан, ЮЗАО г. Москва, ул. Теплый Стан, д. 4;г. Москва, ул. Теплый Стан, д. 4;-583,04425;-4392,5898;(495) 424-35-53, (495) 424-33-10;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
69;93;Управление социальной защиты населения района Черемушки, ЮЗАО;Управление социальной защиты населения района Черемушки, ЮЗАО г. Москва, ул. Новочеремушкинская, д. 57, корп. 2;г. Москва, ул. Новочеремушкинская, д. 57, корп. 2;4538,8338;290,9479711;(499) 120-54-00, (499) 724-53-99;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
70;94;Управление социальной защиты населения района Южное Бутово, ЮЗАО;Управление социальной защиты населения района Южное Бутово, ЮЗАО г. Москва, ул. Южнобутовская, д. 33;г. Москва, ул. Южнобутовская, д. 33;2508,1444;-14436,77936;(495) 716-05-72, (495) 716-55-13;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
71;95;Управление социальной защиты населения района Ясенево, ЮЗАО;Управление социальной защиты населения района Ясенево, ЮЗАО г. Москва, ул. Голубинская, д. 31, корп. 1;г. Москва, ул. Голубинская, д. 31, корп. 1;2751,56185;-7869,080821;(495) 423-89-20, (499) 724-42-83;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
72;96;Управление социальной защиты населения Западного административного округа г. Москвы;Управление социальной защиты населения Западного административного округа г. Москвы г. Москва, ул.Удальцова, дом 4;г. Москва, ул.Удальцова, дом 4;1216,983628;658,3766175;(499) 133-86-42, (495) 431-17-11;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
73;97;Управление социальной защиты населения Можайского района, ЗАО;Управление социальной защиты населения Можайского района, ЗАО г. Москва, ул. Гришина, д. 8, стр. 3;г. Москва, ул. Гришина, д. 8, стр. 3;-4836,51695;6088,2255;(495) 446-02-05, (495) 440-70-32;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
74;98;Управление социальной защиты населения района Внуково, ЗАО;Управление социальной защиты населения района Внуково, ЗАО г. Москва, ул. 2-я Рейсовая, д. 25 Б;г. Москва, ул. 2-я Рейсовая, д. 25 Б;-11966,67868;-6166,393163;(495) 736-28-91, (495) 436-30-78;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
75;99;Управление социальной защиты населения района Дорогомилово, ЗАО;Управление социальной защиты населения района Дорогомилово, ЗАО г. Москва, ул. Студенческая, д. 31;г. Москва, ул. Студенческая, д. 31;2864,42505;8152,116027;(499) 249-04-67, (499) 249-11-06;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
76;100;Управление социальной защиты населения района Крылатское, ЗАО;Управление социальной защиты населения района Крылатское, ЗАО г. Москва, шоссе Рублевское, д. 36 корп. 1;г. Москва, шоссе Рублевское, д. 36 корп. 1;-5143,5334;9126,123612;(495) 415-50-07, (495) 415-95-97;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
77;101;Управление социальной защиты населения района Кунцево, ЗАО;Управление социальной защиты населения района Кунцево, ЗАО г. Москва, ул. Екатерины Будановой, д. 8, корп. 2;г. Москва, ул. Екатерины Будановой, д. 8, корп. 2;-4453,156775;7016,659691;(495) 417-91-75, (495) 417-24-64;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
78;102;Управление социальной защиты населения района Ново-Переделкино, ЗАО;Управление социальной защиты населения района Ново-Переделкино, ЗАО г. Москва, ул. Лукинская, д. 1;г. Москва, ул. Лукинская, д. 1;-9677,269675;-2340,067977;(495) 731-88-04, (495) 733-28-90;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
