1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почтаl
93;Детская библиотека №34                                                                                                                                                                                                                                        ;Детская библиотека №34                                                                                                                                                                                                                                        ;125315, г.Москва, ул. Усиевича, д.23                                                                                                                                                                                                                          ;1720,764975;15391,16399;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
94;Детская библиотека №36                                                                                                                                                                                                                                        ;Детская библиотека №36                                                                                                                                                                                                                                        ;125167, г.Москва, ул. Степана Супруна, д.12 корп.3                                                                                                                                                                                                            ;2979,745675;14543,1845;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
95;Библиотека №62                                                                                                                                                                                                                                                ;Библиотека №62                                                                                                                                                                                                                                                ;125319, г.Москва, ул. 8 Марта, д.15                                                                                                                                                                                                                           ;3221,7661;15387,60479;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
96;Библиотека №64                                                                                                                                                                                                                                                ;Библиотека №64                                                                                                                                                                                                                                                ;125252, г.Москва, ул. Куусинена, д.6 корп.6                                                                                                                                                                                                                   ;1188,919101;12742,03393;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
97;Центральная библиотека №66                                                                                                                                                                                                                                    ;Центральная библиотека №66                                                                                                                                                                                                                                    ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;3792,845;12684,85395;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
98;Библиотека №67                                                                                                                                                                                                                                                ;Библиотека №67                                                                                                                                                                                                                                                ;123007, г.Москва, Хорошевское ш., д.17                                                                                                                                                                                                                        ;2076,890525;12129,19631;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
99;Библиотека №68                                                                                                                                                                                                                                                ;Библиотека №68                                                                                                                                                                                                                                                ;125315, г.Москва, ул. Усиевича, д.16                                                                                                                                                                                                                          ;1606,03615;15566,55374;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125284, г.Москва, ул. Беговая, д.13                                                                                                                                                                                                                           ;(495) 945-37-31                                                                                                                                                                                                                                               ;(495) 945-37-31                                                                                                                                                                                                                                               ;cbs5.uksao.ru                                                                                                                                                                                                                                                 ;cbs5sao@bk.ru                                                                                                                                                                                                                                                 
100;Государственное бюджетное учреждение культуры города Москвы «ЦБС «Библиорадуга» САО»                                                                                                                                                                          ;ГБУК г.Москвы «ЦБС «Библиорадуга» САО»                                                                                                                                                                                                                        ;125413, г.Москва, ул. Фестивальная, д.46 корп.1                                                                                                                                                                                                               ;924,6868;21785,9661;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbs2sao@yandex.ru                                                                                                                                                                                                                                             
101;Библиотека №35                                                                                                                                                                                                                                                ;Библиотека №35                                                                                                                                                                                                                                                ;125565, г.Москва, ул. Пулковская, д.3 корп.1                                                                                                                                                                                                                  ;-1016,343625;19743,12111;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbs2sao@yandex.ru                                                                                                                                                                                                                                             
102;Центральная библиотека №65 им. В.Г. Короленко                                                                                                                                                                                                                 ;Центральная библиотека №65 им. В.Г. Короленко                                                                                                                                                                                                                 ;125413, г.Москва, ул. Фестивальная, д.46 корп.1                                                                                                                                                                                                               ;924,6868;21785,9661;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbs2sao@yandex.ru                                                                                                                                                                                                                                             
103;Библиотека-филиал №79                                                                                                                                                                                                                                         ;Библиотека-филиал №79                                                                                                                                                                                                                                         ;125239, г.Москва, ул. Коптевская, д.26 корп.6                                                                                                                                                                                                                 ;1556,5802;18740,85269;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbs2sao@yandex.ru                                                                                                                                                                                                                                             
104;Библиотека-филиал №148                                                                                                                                                                                                                                        ;Библиотека-филиал №148                                                                                                                                                                                                                                        ;125499, г.Москва, ул. Лавочкина, д.16 корп.2                                                                                                                                                                                                                  ;224,7605748;20560,21262;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbs2sao@yandex.ru                                                                                                                                                                                                                                             
105;Библиотека-филиал №197                                                                                                                                                                                                                                        ;Библиотека-филиал №197                                                                                                                                                                                                                                        ;125438, г.Москва, ул. Онежская, д.17 корп.4                                                                                                                                                                                                                   ;1199,36535;20508,922;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125239, г.Москва, ул. Новопетровская, д.16а                                                                                                                                                                                                                   ;(495) 456-35-80, (495) 453-81-05                                                                                                                                                                                                                              ;(495) 456-35-80                                                                                                                                                                                                                                               ;cbs2sao.ru                                                                                                                                                                                                                                                    ;cbsbibloradugasao@cumail.ru                                                                                                                                                                                                                                   
