0_ID;1_Полное наименование;1_Краткое наименование;1_Номер;1_Тип учреждения;1_Вид учреждения;0_INN;0_OGRN;0_KPP;0_Учредитель;0_Тип собственности;1_Организационно-правовая форма;1_Подчинение;0_Директор;1_Юридический адрес;1_Телефон;1_Адрес электронной почты;1_Сайт учреждения
477;" Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 379";" ГБОУ СОШ ""Школа надомного обучения"" № 379"; 379; Общеобразовательное учреждение;" Средняя общеобразовательная школа ""Школа надомного обучения"""; 7731172664; №1027739768462; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Светикова Лариса Александровна; 121609 г.Москва, ул. Крылатские холмы, д.13;(495) 413-27-75; shnd379@mail.ru; shnd379.mskzapad.ru
479;" Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 384 имени Д.К.Корнеева";" ГБОУ СОШ ""Школа здоровья"" № 384 имени Д.К.Корнеева"; 384; Общеобразовательное учреждение;" Средняя общеобразовательная школа ""Школа Здоровья"""; 7731173065; 011982098; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Выступец Наталья Петровна; 121353 г.Москва, ул. Беловежская, д. 67 а;(495) 446-01-52;" sch384@narod.ru; victor384@mail.ru"; schz384.mskzapad.ru
480; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389; ГБОУ СОШ № 389; 389; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731271351; 007226760; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Утушкина Лидия Ивановна; 121351, г.Москва, ул. Партизанская, д. 39;(499) 141-45-19; sch389@gmail.com; sch389.mskzapad.ru
481; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 391; ГБОУ СОШ № 391; 391; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731180591; 7117747957530; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Бусыгина Елена Филипповна; 121471 г.Москва,ул. Гжатская, д. 6;(495) 440-13-24; ms391@narod.ru;" sch391.mskzapad.ru; sch391.ru"
482;" Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 542"; ГБОУ СОШНО № 542; 542; Общеобразовательное учреждение;" Средняя общеобразовательная школа ""Школа надомного обучения"""; 7729424579; 8117747590414; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Иноземцева Анастасия Владимировна; 119602 г.Москва, ул.Покрышкина, д. 9;(499) 792-08-51; school542@mail.ru;" shnd542.mskzapad.ru; school542.ru/"
484; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 589; ГБОУ СОШ № 589; 589; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731268101; 2037731004870; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Куколева Елена Николаевна; 121596 г.Москва, ул. Говорова, д. 7;(495) 446-20-79; sch589@bk.ru; sch589.mskzapad.ru
485; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 590; ГБОУ СОШ № 590; 590; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730027030; 074.708; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Миняйло Виктор Григорьевич; 121096 г.Москва, ул. Кастанаевская, д. 10;(499) 148-22-96; school590zao@mail.ru; sch590.mskzapad.ru
486; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 591; ГБОУ СОШ № 591; 591; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730026188; 010357891; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Косенко Татьяна Михайловна; 121095 г.Москва, Украинский бульвар, дом 9;#Н/Д; sch591@mail.ru;  sch591.mskzapad.ru
487; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 598; ГБОУ СОШ № 598; 598; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729413898; 002.020.379; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Судницына Марина Вячеславовна; 119602 г.Москва, ул. Академика Анохина, д.36;(495) 430-31-07; school598@yandex.ru; sch598.mskzapad.ru
490; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 665; ГБОУ СОШ № 665; 665; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730025018; 8117747332618; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Ульянцева Ольга Алексеевна; 121151, г.Москва, ул Студенческая, д. 24;(499) 766-16-52;" shkola1@rdm.ru; school665@mail.ru; sch.665.zao.mskobr.ru"; sch665.mskzapad.ru
493; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 700; ГБОУ СОШ № 700; 700; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730021140; 075.558; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Измайлова Татьяна Владимировна; 121096 г.Москва, ул.Барклая, д. 5 А;(499) 142-39-22; sch700_tv@mail.ru; sch700.mskzapad.ru
495;" Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 712"; ГБОУ СОШ № 712; 712; Общеобразовательное учреждение;" Средняя общеобразовательная школа ""Школа Здоровья"""; 7731173756; 008755770; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Еременкова Татьяна Егоровна; 121374 г.Москва, Кутузовский проспект, д. 80;(499) 445-43-51; schol712@yandex.ru; schz712.mskzapad.ru
496; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 713; ГБОУ СОШ № 713; 713; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731174728; 77 НН 289964; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Кострикина Елена Вячеславовна; 121614 г.Москва, ул. Крылатские холмы, д. 45, корп.1;(495) 412-67-77; school713@mail.ru; sch713.mskzapad.ru
497; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 714; ГБОУ СОШ № 714; 714; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173379; 002.048.154; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Ячменева Ирина Петровна; 121354 г.Москва, ул. Кубинка, д.20, корп.1;(495) 446-45-56; school714@list.ru; sch714.mskzapad.ru
498; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 731; ГБОУ СОШ № 731; 731; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173900; 77 №012070836; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Шишова Елена Викторовна; 121500 г.Москва, ул. Новорублевская, д.1;(499) 727-22-34; school731@mail.ru; sch731.mskzapad.ru/
499; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 732; ГБОУ СОШ № 732; 732; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731175168; 011822284; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Кирейчева Галина Андреевна; 121467 Москва, ул. Ельнинская, д.10;(499) 141-75-83; sch732@mail.ru; sch732.mskzapad.ru
500; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 737; ГБОУ СОШ № 737; 737; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730021239; серия 77 № 000806597; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Бронштейн Илья Михайлович; 121309 Москва,ул. Новозаводская д. 19;(499) 148-54-42; MoscowSchool737@yandex.ru;" sch737.mskzapad.ru; school737.msk.ru/"
501; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 749; ГБОУ СОШ № 749; 749; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731175200; 77-АН 668334; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Полуянова Татьяна Александровна; 121351 г.Москва, ул.Партизанская, д. 11;(495) 417-23-74; schkola749@yandex.ru; sch749.mskzapad.ru
502; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 800; ГБОУ СОШ № 800; 800; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731265171; 002.058.595; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Филатов Игорь Александрович; 121596 г.Москва, ул. Толбухина, д. 7, к.3;(495) 446-50-00; leca21@yandex.ru;  sch800.mskzapad.ru
505; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 806; ГБОУ СОШ № 806; 806; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173523; 77 АЖ 424494; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Вегержинская Альбина Леонидовна; 121351 г.Москва, ул. Полоцкая, д. 21;(495) 417-92-20; school_806@mail.ru; sch806.mskzapad.ru
506; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 807; ГБОУ СОШ № 807; 807; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729350013; 8117747286121; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Ханбекова Елена Каграмановна; 119526 г.Москва, пр-т Вернадского, д. 101, корпус 6;(495) 433-33-11; school807@mail.ru; school807.ru
507; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 808; ГБОУ СОШ № 808; 808; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173210; 011760461; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Меньшенина Наталья Юрьевна; 121351 г.Москва, Ивана Франко, д. 28 корп. 3;(495) 443-99-85; sch808@yandex.ru; sch808.mskzapad.ru
508; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 809; ГБОУ СОШ № 809; 809; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731174950; 1037739321806; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Рудовол Евгения Николаевна; 121596 г.Москва, Можайское шоссе, д. 50;(495) 446-18-04; school809@yandex.ru; sch809.mskzapad.ru
509; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 811; ГБОУ СОШ № 811; 811; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731270750; серия 77 №012000019; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Васина Елена Валентиновна; 121353, г.Москва, ул.Беловежская, д.7;(495) 446-23-94; school811@mail.ru; sch811.mskzapad.ru
514; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 843; ГБОУ СОШ № 843; 843; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729409041; 1027739821801; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Ганин Виталий Васильевич; 119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1;(495) 437-40-92; school843@mail.ru; sch843.mskzapad.ru
517; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 875; ГБОУ СОШ № 875; 875; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729173011; 011950801; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Козлова Ирина Станиславовна; 119526 г. Москва, проспект Вернадского, д. 101, корпус 5;(495) 433-80-10; school-875@mail.ru; sch875.mskzapad.ru
518; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 887; ГБОУ СОШ № 887; 887; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173700; 002.082.116; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Морозов Илья Ильич; 121467 г. Москва, ул. Молдавская, д. 6, корпус 2;(495) 444-72-53; s887@mail.ru; sch887.mskzapad.ru
519; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 888; ГБОУ СОШ № 888; 888; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731179035; 011681409; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Пометун Наталья Борисовна; 121374 г.Москва, ул. Ращупкина, д.3;(495) 443-73-93; sch888@mail.ru; sch888.mskzapad.ru
521; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000; ГБОУ СОШ № 1000; 1000; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7732112259; 77 №011900043; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Абродина Елена Михайловна; 119619 г. Москва, ул.Наро-Фоминская, д.1;(495) 435-04-68; school1000@mail.ru; sch1000.mskzapad.ru
522; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1001; ГБОУ СОШ № 1001; 1001; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7732112040; серия77 №011770610; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Сахарова Светлана Николаевна; 119620 г.Москва, Солнцевский проспект, д. 16 А;(495) 435-22-54; 1001sch@inbox.ru; sch1001.mskzapad.ru
523; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1002; ГБОУ СОШ № 1002; 1002; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7732111865; 77№ 011866508; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Солодуха Ева Григорьевна; 119620 г.Москва, Солнцевский проспект, д. 12 А;(495) 435-19-23; school1002@mail.ru; sch1002.mskzapad.ru
524; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1003; ГБОУ СОШ № 1003; 1003; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7732112097; 1069562; 773201001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Минаева Валентина Павловна; 119618 г.Москва, ул 50 лет Октября, д. 13 А;(495) 435-95-16; shcool1003@mail.ru;" sch1003.mskzapad.ru; 1003.zschool.ru/"
