0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_ui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
                                                                                                                                                                                                                                   ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
102;Кинотеатр «Алмаз Синема Ленинград»                                                                                                                                                                                                                            ;Кинотеатр «Алмаз Синема Ленинград»                                                                                                                                                                                                                            ;Новопесчаная, 12                                                                                                                                                                                                                                              ;947,1182422;14674,89122;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 221 52 21, (499) 157 75 52                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
103;Кинотеатр «Синема Стар Рио на Дмитровском шоссе»                                                                                                                                                                                                              ;Кинотеатр «Синема Стар Рио на Дмитровском шоссе»                                                                                                                                                                                                              ;Дмитровское ш., 163а, корп. 1, «Рио»                                                                                                                                                                                                                          ;2537,075125;26922,8819;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 980 44 15, 988 03 77
                                                                                                                                                                                                                                   ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
104;Кинотеатр «Территория 5D»                                                                                                                                                                                                                                     ;Кинотеатр «Территория 5D»                                                                                                                                                                                                                                     ;Манежная пл., 1, стр. 2                                                                                                                                                                                                                                       ;7356,171475;9927,625849;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 764 12 76                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
105;Кинотеатр «Бумеранг на Варшавской»                                                                                                                                                                                                                            ;Кинотеатр «Бумеранг на Варшавской»                                                                                                                                                                                                                            ;Варшавское ш., 87б                                                                                                                                                                                                                                            ;7707,652049;-1481,111152;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 221 50 67, 221 50 68 
                                                                                                                                                                                                                                  ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
106;Кинотеатр «Алмаз Синема Алмаз»                                                                                                                                                                                                                                ;Кинотеатр «Алмаз Синема Алмаз»                                                                                                                                                                                                                                ;Шаболовка, 56                                                                                                                                                                                                                                                 ;6764,000816;5036,588352;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 221 52 21, 954 10 02 
                                                                                                                                                                                                                                  ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
107;Кинотеатр «Каро Фильм Баррикады»                                                                                                                                                                                                                              ;Кинотеатр «Каро Фильм Баррикады»                                                                                                                                                                                                                              ;Баррикадная, 21/34, стр. 3                                                                                                                                                                                                                                    ;5090,626591;10408,70089;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 545 05 05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
108;Кинотеатр «Алмаз Синема Солнцево»                                                                                                                                                                                                                             ;Кинотеатр «Алмаз Синема Солнцево»                                                                                                                                                                                                                             ;Богданова, 19                                                                                                                                                                                                                                                 ;-6605,922733;-1579,340008;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 221 52 21, 439 52 00 
                                                                                                                                                                                                                                  ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
109;Кинотеатр «Nescafe IMAX»                                                                                                                                                                                                                                      ;Кинотеатр «Nescafe IMAX»                                                                                                                                                                                                                                      ;Правобережная, 1б, ТЦ «Капитолий»                                                                                                                                                                                                                             ;-2992,01105;23830,73508;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 775 77 79                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
110;Кинотеатр «Сезон Синема на Пражской»                                                                                                                                                                                                                          ;Кинотеатр «Сезон Синема на Пражской»                                                                                                                                                                                                                          ;Красного Маяка, 2б, Пражский пассаж                                                                                                                                                                                                                           ;6897,165775;-6240,453314;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 721 82 80, 721 36 34, 943 60 68 
                                                                                                                                                                                                                       ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
111;Кинотеатр «Дом кино»                                                                                                                                                                                                                                          ;Кинотеатр «Дом кино»                                                                                                                                                                                                                                          ;Васильевская, 13. В собственности общественной органищзации Союз кинематографистов России                                                                                                                                                                     ;5595,70945;11654,08533;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 251 40 65, 254 48 34                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
112;Кинотеатр «Формула Кино Европа»                                                                                                                                                                                                                               ;Кинотеатр «Формула Кино Европа»                                                                                                                                                                                                                               ;пл. Киевского Вокзала, 2, ТРЦ «Европейский»                                                                                                                                                                                                                   ;4260,8499;8642,888963;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 795 37 95                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
113;Кинотеатр «4D Cinema на Люблинской»                                                                                                                                                                                                                           ;Кинотеатр «4D Cinema на Люблинской»                                                                                                                                                                                                                           ;Люблинская, 100 «Фэнтази Парк»                                                                                                                                                                                                                                ;15160,2276;-1351,315471;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 (916) 458 36 70                                                                                                                                                                                                                                             ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
