0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
11;POINT (4186453.0053999983 7485016.0320999995);5513.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 728;ГБОУ СОШ № 728;113208 г.Москва,ул. Кировоградская д.6 А;6884.994000000001;-4169.19721626;2107428.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 312-62-38; (495) 311-05-60";http://sch728.edusite.ru
12;POINT (4162671.054299999 7502505.6976);569.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 589;ГБОУ СОШ № 589;121596 г.Москва, ул. Говорова, д. 7;-6556.35935;5694.69529493;2127030.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 446-20-79;http://sch589.mskzapad.ru
13;POINT (4182059.786899999 7508342.4021999985);571.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 591;ГБОУ СОШ № 591;121095 г.Москва, Украинский бульвар, дом 9;4386.4301000000005;8978.42995041;2127723.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 240-11-56;"http://	sch591.mskzapad.ru"
14;POINT (4164708.9345000014 7511200.259499997);581.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 713;ГБОУ СОШ № 713;121614 г.Москва, ул. Крылатские холмы, д. 45, корп.1;-5399.610225;10588.4047996;2127007.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;412-67-77;http://sch713.mskzapad.ru
15;POINT (4159065.8554 7516132.881700002);583.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 731;ГБОУ СОШ № 731;121500 г.Москва, ул. Новорублевская, д.1;-8576.2719;13368.4324396;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 727-22-34;http://sch731.mskzapad.ru/
16;POINT (4201464.4026999995 7500133.610100001);5836.0;Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 484 имени дважды Героя Советского Союза В.И.Попкова;ГБОУ СОШ № 484 имени дважды Героя Советского Союза В.И. Попкова;109129, г. Москва, 11-я ул. Текстильщиков, дом 6;15349.2001;4379.44095161;2129864.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 178-15-12;http://sch484.uvao.mskobr.ru/
17;POINT (4166358.3319000006 7506193.001900002);584.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 732;ГБОУ СОШ № 732;121467 Москва, ул. Ельнинская, д.10;-4472.483975;7768.72902711;2127019.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 141-75-83;http://sch732.mskzapad.ru
18;POINT (4174960.624499999 7509232.543700002);585.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 737;ГБОУ СОШ № 737;121309 Москва,ул. Новозаводская д. 19;381.57090124;9477.44273342;2127878.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 148-54-42; (499) 148-36-61; (499) 148-14-47; (499) 148-35-27";http://sch737.mskzapad.ru
19;POINT (4164539.578499999 7504996.604800001);586.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 749;ГБОУ СОШ № 749;121351 г.Москва, ул.Партизанская, д. 11;-5499.654;7096.22130959;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 417-23-74; (495) 417-23-84; (495) 417-22-93; (495) 417-25-15";http://sch749.mskzapad.ru
20;POINT (4193370.028000001 7516692.0242);5885.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 364;ГБОУ СОШ № 364;107113, г.Москва, ул.Старослободская, д.8;10755.4014;13686.9782775;2400599.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 264-30-47; (499) 264-31-47; (499) 264-09-31; (499) 264-88-29";http://sсh364.ru
21;POINT (4163906.4783999994 7502327.253600001);592.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 809;ГБОУ СОШ № 809;121596 г.Москва, Можайское шоссе, д. 50;-5859.03545;5593.14852262;3200424.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 446-18-04;http://sch809.mskzapad.ru
22;POINT (4177550.965599999 7524413.716799997);1074.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 743;ГБОУ СОШ № 743;125008 г. Москва, Матроса Железняка бульвар,  дом 12;1839.3923;18014.3088774;3500763.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 154-71-32; (499) 154-33-41; (495) 450-76-14";http://sch743edusite.ru/
23;POINT (4200135.6558 7480295.0189);2434.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 581;ГБОУ СОШ № 581;115583 г. Москва,т ул. Ясеневая д.21,к 3;14635.86;-6816.811251;3803311.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;399-45-10;http://sch581.edusite.ru/
24;POINT (4186540.9891999997 7486391.575499997);2461.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 856;ГБОУ СОШ № 856;113208 г.Москва, Сумской пр, д .12, корп.6;6933.575225;-3392.5332952;2112635.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 723-32-90;http://sch856.edusite.ru/
25;POINT (4187582.1920000017 7479101.677599996);2463.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 859;ГБОУ СОШ № 859;117535 г. Москва, ул. Дорожная д.22 А;7529.54425;-7508.78502067;2112573.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 382-85-85; (499) 382-10-83";http://sch859.edusite.ru/
26;POINT (4190451.5661000013 7475947.9956);2489.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 925;ГБОУ СОШ № 925;113546 г. Москва, Востряковский пр-д,д.5 б;9158.02265;-9288.08720948;3900832.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 383-84-56;http://sch925.edusite.ru/
27;POINT (4202710.147999998 7480938.917599998);2510.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 949;ГБОУ СОШ № 949;115597 г. Москва, ул. Воронежская,дом 46 корп.3;16092.145425;-6447.98765044;2123148.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 397-23-37; (495) 397-96-66";http://dou1687.edusite.ru
28;POINT (4202817.072500002 7486400.889700003);2525.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 997;ГБОУ СОШ № 997;115612 Москва, Борисовские пруды, 20, к3;16141.406475;-3363.31826815;2123143.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;341-78-06;http://sch997.ru/
29;POINT (4185051.6730000004 7479010.3895);2535.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1171;ГБОУ СОШ № 1171;117534 г. Москва ул. Кировоградская, 42 Б;6096.676675;-7562.5440864;2107426.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;386-15-89;http://sch1171.edusite.ru
30;POINT (4177072.2014999986 7504386.078900002);544.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74;ГБОУ СОШ № 74;119285 г.Москва, ул.Пырьева,д.11;1573.5162;6748.92612691;2111798.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 143-09-95;http://sch74.mskzapad.ru
31;POINT (4170358.417199999 7506100.5722);550.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 98;ГБОУ СОШ № 98;121433 г.Москва, ул. Малая Филевкая, д. 26, корпус 2;-2215.32645;7714.86545074;2127026.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;144-26-65;http://sch98.mskzapad.ru
32;POINT (4163868.9098999985 7506522.579099998);565.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389;ГБОУ СОШ № 389;121351, г.Москва, ул. Партизанская, д. 39;-5876.96865;7956.02556604;2127083.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 141-45-19; (499) 141-65-62";http://www.sch389.mskzapad.ru
33;POINT (4170831.1011000015 7490799.303400002);572.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 598;ГБОУ СОШ № 598;119602 г.Москва, ул. Академика Анохина, д.36;-1952.77455;-909.72725068;2111794.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 430-31-07;http://sch598.mskzapad.ru
34;POINT (4164243.3585 7503455.308300003);582.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 714;ГБОУ СОШ № 714;121354 г.Москва, ул. Кубинка, д.20, корп.1;-5667.9939;6228.34660604;2127035.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 446-45-58;http://sch714.mskzapad.ru
35;POINT (4203554.0713 7494443.300700001);6344.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 393;ГБОУ СОШ № 393;109559, г. Москва ул Краснодарская, д. 45/11;16541.325025;1175.94041625;2129837.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;358-80-46;http://school393.ru/
36;POINT (4139511.4343000017 7557760.927100003);8339.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852;ГБОУ СОШ № 852;124460. г. Москва, Зеленоград, корп.1115;-19490.06475;36751.7389414;2135563.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 731-06-62;http://schzg852.mskobr.ru
37;POINT (4193225.4836999997 7530446.896899998);1382.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 281;ГБОУ СОШ № 281;129344 город Москва, ул. Радужная, дом 7;10655.25625;21414.5704863;2124956.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 471-42-33;http://vssh203.narod.ru/
38;POINT (4202740.254799999 7495807.189599998);163.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 335;ГБОУ СОШ № 335;109386, г. Москва, Спортивный проезд, дом 3-А;16078.6002;1943.31155091;2129811.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 350-08-56; (495) 350-07-38";http://sch-335.narod.ru/
39;POINT (4198995.2357 7484053.278499998);2393.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426;ГБОУ СОШ № 426;115563 г. Москва, Борисовский пр-д, д.10,к.2;13983.47695;-4696.1493399;3801697.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 394-02-22;http://1011.cu
40;POINT (4198400.213799998 7480524.519900002);2417.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544;ГБОУ СОШ № 544;115561 г. Москва, Каширское шоссе д.116, к.3;13652.89845;-6690.29340013;3801962.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 398-79-81; (495) 398-88-54";http://sch544.edusite.ru/
41;POINT (4185813.861200001 7479827.176299997);2421.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 549;ГБОУ СОШ № 549;117519 г. Москва, ул. Кировоградская, д. 21;6527.609175;-7100.43380073;2107417.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;387-60-33;http://school549.ru
42;POINT (4184941.0031999983 7485946.171099998);2422.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 550;ГБОУ СОШ № 550;117648 г. Москва, Северное Чертаново, к.809а, 810;6028.753025;-3645.28728821;2118649.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 318-30-44;http://myschool550.narod.ru/
43;POINT (4198851.013300002 7478983.066699997);2435.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 585;ГБОУ СОШ № 585;115561 г. Москва,ул. Ясеневая д.8,к.2;13910.857;-7560.41763061;3800889.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;399-48-28;http://sch585.edusite.ru
44;POINT (4186367.713399999 7484717.032300003);2459.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 851;ГБОУ СОШ № 851;113587 Москва, ул. Кировоградская д.8Г;6836.990925;-4338.09475952;2107427.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;312-95-02;http://sch851.edusite.ru
45;POINT (4183891.1275999993 7479502.676399998);2475.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 881;ГБОУ СОШ № 881;117534 г. Москва, ул. Чертановская д.60-А;5439.160425;-7285.22589761;3900844.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;387-47-89;http://sch881.edusite.ru/
46;POINT (4201764.2826000005 7484017.0678);2477.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 893;ГБОУ СОШ № 893;115573 г. Москва, ул. М.Джалиля д.17,к.3;15550.54995;-4711.36466328;3800893.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 395-57-31;http://sch893.edusite.ru
47;POINT (4192876.4998999983 7485783.092500001);2483.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 904;ГБОУ СОШ № 904;115477 г. Москва, Кавказский б-р, д.16,к.2;10518.573475;-3729.02562527;3801961.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;325-41-11;http://sch904.edusite.ru/
48;POINT (4186201.3838 7477510.539499998);2488.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 924;ГБОУ СОШ № 924;117405 г. Москва, ул. Газопровод, дом 5а;6748.997175;-8409.1901784;3801893.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;389-23-00;http://sch924.edusite.ru/
49;POINT (4183976.9930999987 7479080.151799999);2493.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 932;ГБОУ СОШ № 932;117534 Москва, Чертановская ул. д.62 А;5488.070725;-7523.90744502;3801828.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 386-07-36; (495) 387-05-77; (495) 386-09-09; (495) 386-75-09";http://sch932.redu.ru/
50;POINT (4195576.631000001 7475588.9076000005);2496.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 935;ГБОУ СОШ № 935;115598 г. Москва,ул.Липецкая,15,к.2;12061.883825;-9484.15118041;2123182.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;329-54-11;http://sch935.edusite.ru/
51;POINT (4193087.6719999984 7474245.349799998);2503.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 942;ГБОУ СОШ № 942;115547 г. Москва, Загорьевский пр., д. 7, к.3;10653.6614;-10247.334867;2123187.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 329-30-83; (495) 329-07-33; (495) 329-07-44; (495) 329-50-16";http://s942.ru
52;POINT (4203102.669199999 7483262.1307);2518.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 985;ГБОУ СОШ № 985;115682 г. Москва, Задонский пр, 34,к.2;16309.51855;-5134.95914406;2123180.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;396-97-11;http://www.sch985.edusite.ru/
53;POINT (4203383.566300001 7485392.988300003);2528.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1034;ГБОУ СОШ № 1034;115612 г. Москва, ул. Братеевская, д.8, корп. 2;16464.00875;-3931.14761313;3800868.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 342-88-65; (495) 341-44-73";http://schu1034.mskobr.ru
54;POINT (4186634.092700001 7486729.368900001);2539.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1179;ГБОУ СОШ № 1179;117208 г. Москва, ул. Чертановская , дом 1 А, корп.3;6985.9490000000005;-3201.76527466;2112716.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;316-11-36;http://www.1179.ru
55;POINT (4174351.2553000003 7492511.4619999975);6505.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 538 имени С.В. Гришина;ГБОУ СОШ №538 имени С.В. Гришина;117461, г.Москва, ул.Каховка, д.19, корп.2;37.577008;55.652328999999995;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;121-60-92;http://sch538.ru
56;POINT (4185809.3746000007 7494038.437200002);6507.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 541;ГБОУ СОШ № 541;117186, г.Москва, ул. Ремизова, дом 12;6513.404;921.51145209;2108487.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;127-66-74;http://school541.com
57;POINT (4184506.5216999985 7493305.568099998);6529.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 626 имени Н.И.Сац;ГБОУ СОШ № 626;117186, г. Москва, Севастопольский проспект, дом 43а;5777.60045;507.1720725;2801308.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;127-48-74;http://school626.mosuzedu.ru
58;POINT (4179281.475900002 7494364.5402000025);6532.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 779;ГБОУ СОШ № 779;117335, г.Москва, ул. Вавилова, д. 91;2823.910225;1101.60992522;3000585.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;134-80-21;http://www.msk779.ru
59;POINT (4179160.086199999 7480752.060800001);6542.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 780;ГБОУ СОШ № 780;117588, г.Москва, Литовский бульвар, дом 42, корпус 2;2759.8685;-6581.76720289;2108287.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;426-85-01;http://sch780.edusite.ru
60;POINT (4174351.561999999 7492511.4668999985);6556.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902;ГБОУ СОШ № 1902;109341, г. Москва, Мячковский бульвар, д. 10, корп. 2;37.750423;55.65511;2705471.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;347-88-31;http://school1902.ru
61;POINT (4174351.1845000014 7492511.453100003);6558.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 793;ГБОУ СОШ № 793;117342, г. Москва, ул. Бутлерова, дом 24-А;37.53695;55.647304999999996;3048.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;333-74-08;http://sch793.edusite.ru/
62;POINT (4174351.2118000016 7492511.380099997);6559.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 794;ГБОУ СОШ № 794;117593, г.Москва, Литовский бульвар, дом 17, корпус 4;37.552436;55.606074;2801086.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;426-17-11;http://www.sosh794.ru
63;POINT (4214555.4208 7495490.217699997);6560.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1905;ГБОУ СОШ № 1905;109153, г. Москва, ул. Маршала Полубоярова, д. 22;22755.558975;1794.04307964;2700008.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 705-67-00;http://schuv1905.mskobr.ru/
64;POINT (4213419.691300001 7496789.859399997);6562.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1908;ГБОУ СОШ № 1908;109156, г. Москва, ул. Привольная, 41;22110.1164222;2523.51468791;2138778.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;704-52-11;http://www.sch1908.uvuo.ru
65;POINT (4203642.392000001 7489190.862300001);6564.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1910;ГБОУ СОШ № 1910;109469, г. Москва, Мячковский бульвар, дом 25;16602.3881467;-1786.88796037;2700004.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;348-72-00;
66;POINT (4178279.1838000007 7485979.369800001);6567.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 863;ГБОУ СОШ № 863;117342, г.Москва, ул. Введенского, дом 27а;2259.73675;-3629.97720727;3000586.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;335-06-88;http://school863.mosuzedu.ru
67;POINT (4177701.4580000006 7481165.4494);6569.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 864;ГБОУ СОШ № 864;117588, г. Москва, Литовский бульвар, дом 6, корпус 2;1933.9832000000001;-6348.65109261;3000001.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;425-67-67;http://школа864.рф
68;POINT (4179183.5194000006 7480602.199600004);6584.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1103 имени Героя Российской Федерации А.В. Соломатина;ГБОУ СОШ № 1103;117588, г. Москва, Литовский бульвар, дом 44, корпус 2;2773.18545;-6666.42090999;3000597.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;426-88-11;http://solomatinschool.ucoz.org
69;POINT (4177025.602499999 7484729.452200003);6585.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1104;ГБОУ СОШ № 1104;117647, г. Москва, ул. Академика Капицы, д. 14 А;1550.73445;-4335.95484984;2800371.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;420-17-22;http://www.school1104.ru
70;POINT (4201796.608399998 7491064.518600002);6587.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965;ГБОУ СОШ № 1965;109341, г. Москва, ул. Перерва, д. 41, корпус 2;15554.8289905;-733.48970838;2704803.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;345-05-61;http://www.sch1965.yuvao.mskobr.ru
71;POINT (4163783.6191000007 7489622.239299998);606.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1001;ГБОУ СОШ № 1001;119620 г.Москва, Солнцевский проспект, д. 16 А;-5938.404875;-1570.12732393;2118573.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;435-22-54;http://sch1001.mskzapad.ru
72;POINT (4164340.7140000015 7490532.483499996);609.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1004;ГБОУ СОШ № 1004;119618 г.Москва, ул 50 лет Октября, д. 14 А;-5622.69095;-1056.95027918;2118578.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;435-83-42;http://sch1004.mskzapad.ru
