0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;0_Общий телефон;0_Факс;0_Часы работы;0_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Платные услуги;0_Беслатные услуги;0_Обнспечение лекарствами;0_Доп информация;0_X;0_Y
85;Стоматологическая поликлиника № 8;105043, город Москва, Парковая 7-я улица, дом 10, корпус 1; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 8  Департамента здравоохранения  города Москвы»;СП № 8; ;;;ВАО; ;Поляк Олег Евгеньевич;мужской;Главный врач;(499) 367-22-63;(499) 367-22-63; ; ; ; ; ; ; ; ; ;18574,6328;14271,6445
576;Стоматологическая поликлиника № 60;123458, город Москва, Твардовского улица, дом 27; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 60  Департамента здравоохранения города Москвы»;СП № 60; ;;;СЗАО; ;ТернякЕвгений Евгений Владимирович;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00; ; ; ; ; ; ; ; ; ;-5744,4628;14569,6785
84;Стоматологическая поликлиника № 56;107392, город Москва, Хромова улица, дом 9; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 56  Департамента здравоохранения города Москвы»;СП № 56; ;;;ВАО; ;Терехов Геннадий Александрович;мужской;Главный врач;(499) 161-53-08;(499) 161-53-08; ; ; ; ; ; ; ; ; ;14011,9845;14940,6484
897;Городская стоматологическая поликлиника № 7;119334, город Москва, Ленинский проспект, дом 40; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 7 Департамента здравоохранения города Москвы»;СП № 7; ;;;ЮЗАО; ;Вартанов Олег Игоревич;мужской;Главный врач;(499) 137-64-18;(499) 137-64-18; ; ; ; ; ; ; ; ; ;4543,55;4021,5781
444;Городская стоматологическая поликлиника № 12;127540, город Москва, Дубнинская улица, дом 14; ;Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 12  Департамента здравоохранения города Москвы»;СП № 12; ;;;САО; ;Малинин Михаил Валерьевич;мужской;Главный врач;(495) 480-76-38;(495) 480-76-38; ; ; ; ; ; ; ; ; ;4308,1377;22211,3455
574;Стоматологическая поликлиника № 14;125362, город Москва, Свободы улица, дом 19, корпус 1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 14  Департамента здравоохранения города Москвы»;СП № 14; ;;;СЗАО; ;Бинну Сергей Иванович;мужской;Главный врач;(495) 491-50-04;(495) 491-50-04; ; ; ; ; ; ; ; ; ;-2848,4167;18355,3273
663;Стоматологическая поликлиника № 19;119021, город Москва, Олсуфьевский переулок, дом 1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 19  Департамента здравоохранения города Москвы»;СП № 19; ;;;ЦАО; ;Остроухова Алла Александровна;женский;Главный врач;(499) 246-16-72;(499) 246-16-72; ; ; ; ; ; ; ; ; ;5151,7011;7254,8026
664;Стоматологическая поликлиника № 3;115093, город Москва, Щипок улица, дом 6; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 3  Департамента здравоохранения   города Москвы»;СП № 3; ;;;ЦАО; ;Бугрова Лидия Михайловна;женский;Главный врач;(495) 236-52-93;(495) 236-52-93; ; ; ; ; ; ; ; ; ;8236,1929;6559,7542
370;Стоматологическая поликлиника № 31;124489, город Зеленоград, 4963 проезд, дом 2, строение 8; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 31 Департамента здравоохранения города Москвы»;СП № 31; ;;;ЗелАО; ;Черкесов Владимир Петрович;мужской;Главный врач;(499) 735-82-43;(499) 735-82-43; ; ; ; ; ; ; ; ; ;-16194,0012;35352,0672
371;Стоматологическая поликлиника № 35;124365, город Зеленоград, Каштановая аллея улица, дом 6, корпус 1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 35  Департамента здравоохранения города Москвы»;СП № 35; ;;;ЗелАО; ;Амирханян Александр Норайрович;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00; ; ; ; ; ; ; ; ; ;-16338,4479;35401,0149
666;Стоматологическая поликлиника № 53;107078, город Москва, Козловский Большой переулок, дом 5; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 53  Департамента здравоохранения  города Москвы»;СП № 53; ;;;ЦАО; ;Белокопытова Людмила Евгеньевна;женский;Главный врач;(495) 623-07-27;(495) 623-07-27; ; ; ; ; ; ; ; ; ;9329,3531;11202,7436
577;Стоматологическая поликлиника № 65;125368, город Москва, Митинский 3-й проезд, дом 6; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 65 Департамента здравоохранения  города Москвы»;СП № 65; ;;;СЗАО; ;Арсеенкова Ольга Юрьевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00; ; ; ; ; ; ; ; ; ;-9157,2436;20130,9525
82;Городская стоматологическая поликлиника № 67;111672, город Москва, Новокосинская улица, дом 24; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 67  Департамента здравоохранения города Москвы»;СП № 67; ;;;ВАО; ;Шипунова Лидия Федоровна;женский;Главный врач;(495) 702-10-45;(495) 702-10-45; ; ; ; ; ; ; ; ; ;22854,0732;8241,2016
520;Городская стоматологическая поликлиника № 15;129626, город Москва, Староалексеевская улица, дом 10; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 15 Департамента здравоохранения города Москвы»;СП № 15; ;;;СВАО; ;Сысоев Сергей Юрьевич;мужской;Главный врач;(495) 686-01-98;(495) 686-01-98; ; ; ; ; ; ; ; ; ;8902,6453;15880,8554
521;Городская стоматологическая поликлиника № 20;127254, город Москва, Добролюбова улица, дом 21; ;Государственное бюджетное учреждение здравоохранения города Москвы « Стоматологическая поликлиника № 20  Департамента здравоохранения города Москвы»;СП № 20; ;;;СВАО; ;Айвазов Тигран Георгиевич;мужской;Главный врач;(495) 618-05-81;(495) 618-05-81; ; ; ; ; ; ; ; ; ;5855,1708;16818,2628
446;Городская стоматологическая поликлиника № 9;125130, город Москва, Зои и Алек-дра Космодемьянских улица, дом 22; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 9  Департамента здравоохранения города Москвы;СП № 9; ;;;САО; ;Кузнецов Владимир Анатольевич;мужской;Главный врач;(495) 450-56-97;(495) 450-56-97; ; ; ; ; ; ; ; ; ;1135,2703;17261,1463
