0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;0_Общий телефон;0_Факс;0_Доп информация;0_X;0_Y
1043;ГБУЗ Щербинская городская больница Департамента здравоохранения города Москвы;, город Щербинка, амбулатория; ;ГБУЗ Щербинская городская больница Департамента здравоохранения города Москвы;ГБ Щербинская; ;;;ТНАО; ;Бормашенко Александр Семенович;мужской;Главный врач; ; ; ; ;5316,6856;-17041,449
100;Городская клиническая больница № 1 им. Н.И. Пирогова;119049, город Москва, Ленинский проспект, дом 8; ;Городская клиническая больница № 1 им. Н.И. Пирогова;ГКБ № 1 им. Пирогова; ;;;ДЗ; ;Шабунин Алексей Васильевич;мужской;Главный врач;(499) 236-60-69; ; ; ;6649,8961;6516,818
101;Городская клиническая больница № 11;127018, город Москва, Двинцев улица, дом 6; ;Городская клиническая больница № 11;ГКБ № 11; ;;;СВАО; ;Ромашкин Андрей Викторович;мужской;Главный врач;(495) 689-51-35; ; ; ;6477,2596;14096,7323
103;Городская клиническая больница № 13;115280, город Москва, Велозаводская улица, дом 1/1; ;Городская клиническая больница № 13;ГКБ № 13; ;;;ЮВАО; ;Аронов Леонид Семенович;мужской;Главный врач;(495) 674-50-22; ; ; ;10504,0988;5909,8653
104;Городская клиническая больница № 14 им. В. Г. Короленко;107076, город Москва, Короленко улица, дом 3, корпус 2; ;Городская клиническая больница № 14 им. В. Г. Короленко;ГКБ № 14 им. Короленко; ;;;ВАО; ;Гайнулин Шамиль Мухтарович;мужской;Главный врач;(495) 964-39-29; ; ; ;12112,8169;14433,1182
1026;Дирекция по обеспечению деятельности государственных учреждений здравоохранения Троицкого и Новомосковского административных округов города Москвы;117624, город Москва, Изюмская улица, дом 37, корпус 3; ;Дирекция по обеспечению деятельности государственных учреждений здравоохранения  Троицкого и Новомосковского административных округов города Москвы;ГКУЗ ДЗ ТНАО; ;;;ТНАО; ;Яровский Сергей Юрьевич;мужской;Директор; ; ; ; ;4651,4123;-12881,9004
133;Городская клиническая больница № 79;115487, город Москва, Академика Миллионщикова улица, дом 1; ;Городская клиническая больница № 79;ГКБ № 79; ;;;ЮАО; ;Косаченко Алина Георгиевна;Женский;Главный врач;(499) 612-75-07; ; ; ;9848,5975;647,1939
121;Городская клиническая больница № 55;117152, город Москва, Загородное шоссе, дом 18а; ;Городская клиническая больница № 55;ГКБ № 55; ;;;ЮАО; ;Бышов Андрей Алексеевич;мужской;Главный врач;(495) 952-90-22; ; ; ;6461,7547;3268,9403
1021;ГУП города Москвы Гормедтехника;, город Москва, Дубининская улица, дом 98; ;ГУП города Москвы Гормедтехника;ГУП г. Москвы  «Гормедтехника»; ;;;ГУП ДЗМ; ;Демин Анатолий Григорьевич;мужской;Генеральный директор;(495) 952-73-88; ; ; ;8426,6805;5090,2477
678;Городская больница № 56;115114, город Москва, Павелецкая набережная, дом 6; ;Городская больница № 56;ГБ № 56; ;;;ЮАО; ;Ермоленко Галина Леонидовна;Женский;Главный врач;(495) 705-91-67; ; ; ;9373,4246;4980,2343
114;Городская клиническая больница № 4;115093, город Москва, Павловская улица, дом 25; ;Городская клиническая больница № 4;ГКБ № 4; ;;;ЮАО; ;Алексеев Михаил Сергеевич;мужской;Главный врач;(499) 235-04-43; ; ; ;8195,4979;5305,1404
286;Городская клиническая больница № 72;121552, город Москва, Оршанская улица, дом 16; ;Городская клиническая больница № 72;ГКБ № 72; ;;;ЗАО; ;Заборский Владимир Марьянович;мужской;Главный врач;(499) 140-55-54; ; ; ;-5885,0983;8540,6722
131;Городская клиническая больница № 70;111399, город Москва, Федеративный проспект, дом 17; ;Городская клиническая больница № 70;ГКБ № 70; ;;;ВАО; ;Сметнев Сергей Александрович;мужской;Главный врач;(495) 304-42-16; ; ; ;19810,7843;9901,9717
128;Городская клиническая больница № 67;123423, город Москва, Саляма Адиля улица, дом 2/44; ;Городская клиническая больница № 67;ГКБ № 67; ;;;СЗАО; ;Шкода Андрей Сергеевич;мужской;Главный врач;(499) 199-79-56; ; ; ;-2061,0792;11727,3369
7;Городская клиническая больница № 14 им. Короленко филиал № 2;107076, город Москва, Гастелло улица, дом 42; ;Городская клиническая больница № 14 им. Короленко филиал № 2;ГКБ № 14 им. Короленко филиал № 2; ;;;ВАО;ГКБ № 14 им. Короленко;Коровина Людмила Геннадьевна;Женский;Главный врач;(499) 268-39-62; ; ; ;12201,7333;12945,6634
113;Городская клиническая больница № 36;105187, город Москва, Фортунатовская улица, дом 1; ;Городская клиническая больница № 36;ГКБ № 36; ;;;ВАО; ;Митичкин Александр Евгеньевич;мужской;Главный врач;(499) 366-77-19; ; ; ;14972,1534;13989,2862
109;Городская клиническая больница № 24;127015, город Москва, Писцовая улица, дом 10; ;Городская клиническая больница № 24;ГКБ № 24; ;;;САО; ;Родоман Георгий Владимирович;мужской;Главный врач;(495) 613-04-08; ; ; ;5062,7144;14622,9948
119;Городская клиническая больница № 52;123182, город Москва, Пехотная улица, дом 3; ;Городская клиническая больница № 52;ГКБ № 52; ;;;СЗАО; ;Вторенко Владимир Иванович;мужской;Главный врач;(499) 196-14-49; ; ; ;-1052,4997;14871,7488
94;Городская больница № 8;127287, город Москва, Вятский 4-й переулок, дом 39; ;Городская больница № 8;ГБ № 8; ;;;САО; ;Дуленков Андрей Борисович;мужской;Главный врач;(495) 613-45-09; ; ; ;4480,2428;14749,8561
115;Городская клиническая больница № 40;129301, город Москва, Касаткина улица, дом 7; ;Городская клиническая больница № 40;ГКБ № 40; ;;;СВАО; ;Фатуев Олег Эдуардович;мужской;Главный врач; ; ; ; ;9975,4164;17607,5518
134;Городская клиническая больница № 81;127644, город Москва, Лобненская улица, дом 10; ;Городская клиническая больница № 81;ГКБ № 81; ;;;САО; ;Андрейченко Александр Тимофеевич;мужской;Главный врач; ; ; ; ;2154,1786;24800,2284
111;Городская клиническая больница № 31;119415, город Москва, Лобачевского улица, дом 42; ;Городская клиническая больница № 31;ГКБ № 31; ;;;ЗАО; ;Маслова Раиса Александровна;Женский;Главный врач; ; ; ; ;246,429;290,072
125;Городская клиническая больница № 60;111123, город Москва, Новогиреевская улица, дом 1; ;Городская клиническая больница № 60;ГКБ № 60; ;;;ВАО; ;Лукашев Александр Михайлович;мужской;Главный врач;(495) 304-29-17; ; ; ;18560,0069;10881,5961
136;Городская клиническа больница № 57 обособленное подразделение Лечебно-диагностическое подразделение № 1;105425, город Москва, Парковая 3-я улица, дом 51; ;Городская клиническа больница № 57 обособленное подразделение Лечебно-диагностическое подразделение № 1;ГКБ № 57 ЛДП № 1; ;;;ВАО;ГКБ № 57;Борисик Владимир Алексеевич;мужской;Главный врач;(499) 163-42-90; ; ; ;17741,7652;15031,0938
102;Городская клиническая больница № 12;115516, город Москва, Бакинская улица, дом 26; ;Городская клиническая больница № 12;ГКБ № 12; ;;;ЮАО; ;Саликов Александр Викторович;мужской;Главный врач;(495) 322-17-10; ; ; ;9798,4825;-5361,3807
105;Городская клиническая больница № 15 им. О.М.Филатова;111539, город Москва, Вешняковская улица, дом 23; ;Городская клиническая больница № 15 им. О.М.Филатова;ГКБ № 15 им. Филатова; ;;;ВАО; ;Тюлькина Екатерина Евгеньевна;Женский;Главный врач;(495) 375-04-47; ; ; ;21046,7014;7148,6471
130;Городская клиническая больница № 7;115446, город Москва, Коломенский проезд, дом 4; ;Городская клиническая больница № 7;ГКБ № 7; ;;;ЮАО; ;Татуева Татьяна Васильевна;Женский;Главный врач;(499) 782-30-70; ; ; ;8891,4607;-489,6396
1033;ГБУЗ города Москвы Ватутинская амбулатория Департамента здравоохранения города Москвы;142793, город Москва, Десеновское поселение Ватутинкий поселок; ;ГБУЗ города Москвы Ватутинская амбулатория Департамента здравоохранения города Москвы;Амбулатория Ватутинская; ;;;ТНАО; ;Каримова Айслу Рашитовна;Женский;Главный врач; ; ; ; ;-7881,4202;-16292,3056
1041;ГБУЗ города Москвы Марьинская амбулатория Департамента здравоохранения города Москвы;142762, город Москва, Марьино; ;ГБУЗ города Москвы Марьинская амбулатория Департамента здравоохранения города Москвы;Амбулатория Марьинская; ;;;ТНАО; ;Утолин Дмитрий Сергеевич;мужской;Главный врач; ; ; ; ;16266,8598;-648,4195
1028;ГБУЗ города Москвы Амбулатория Мосрентген Департамента здравоохранения города Москвы;142171, город Москва, Мосрентген; ;ГБУЗ города Москвы Амбулатория Мосрентген Департамента здравоохранения города Москвы;Амбулатория Мосрентген; ;;;ТНАО; ;Акуличева Вера Михайловна;Женский;Главный врач; ; ; ; ;-1622,17;-5923,501
112;Городская клиническая больница № 14 им. Короленко;107076, город Москва, Стромынка улица, дом 7; ;Городская клиническая больница № 14 им. Короленко;ГКБ № 14 им. Короленко филиал № 1; ;;;ВАО;ГКБ № 14 им. Короленко;Гайнулин Шамиль Мухтарович;мужской;Главный врач;(499) 268-24-75; ; ; ;11938,3916;14059,7168
1027;ГБУЗ города Москвы Городская больница г. Московский Департамента здравоохранения города Москвы;142784, город Московский,; ;ГБУЗ города Москвы Городская больница г. Московский Департамента здравоохранения города Москвы;ГБ г. Московский; ;;;ТНАО; ;Хруленко Александр Николаевич;мужской;Главный врач; ; ; ; ;-9287,9908;-7166,9146
1037;ГБУЗ Коммунарская больница Департамента здравоохранения города Москвы;, город Москва, Коммунарка поселок; ;ГБУЗ Коммунарская больница Департамента здравоохранения города Москвы;ГБ Коммунарская; ;;;ТНАО; ;Сатаров Михаил Геннадьевич;мужской;Главный врач; ; ; ; ;-1048,0556;-11233,304
1044;ГБУЗ города Москвы Больница Кузнечики Департамента здравоохранения города Москвы;, город Москва, Ознобишино поселок, дом 30; ;ГБУЗ города Москвы Больница Кузнечики Департамента здравоохранения города Москвы»;ГБ Кузнечики; ;;;ТНАО; ;Лысиков Владимир Геннадьевич;мужской;Главный врач; ; ; ; ;3022,3026;-23742,829
118;Городская клиническая больница № 51;121309, город Москва, Алябьева улица, дом 6/33; ;Городская клиническая больница № 51;ГКБ № 51; ;;;ЗАО; ;Бражник Виктория Алексеевна;Женский;Главный врач; ; ; ; ;-731,9015;8510,8519
285;Городская больница № 17;119620, город Москва, Волынская улица; ;Городская больница № 17;ГБ № 17; ;;;ЗАО; ;Попович Виктор Константинович;мужской;Главный врач;(495) 439-25-77; ; ; ;-5325,9571;-2555,9804
