№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
105	АНО Культурно-досуговый центр "ОРБИТА"	Старый Толмачевский переулок, дом 17, строение 1	Муниципалитет	(495) 953-69-15 (495) 953-84-64	zmsk.ru	-	ЦАО	Замоскворечье	досуговые центры
106	АНО МЖК "Кожухово"	улица 5-я Кожуховская, дом 35	Муниципалитет	(495) 958-89-13	-	-	ЮВАО	Южнопортовый	спортивные залы
107	АНО СОЦД "Лидер"	улица Новая, дом 7	Муниципалитет	(495) 906-88-81	-	-	САО	Западное Дегунино	спортивные залы
108	АНО Спортивно-туристический клуб "Титан"	улица 1-я Тверская-Ямская, дом 11	частная	(499) 250-38-84	clubtitan.ru	contact@clubtitan.ru	ЦАО	Тверской	спортивные залы
109	АНО спортивный клуб "Кожуховский самбист"	улица Ботаническая, дом 19	Департамент имущества города Москвы	(495) 610-31-75	7sport.ru	-	СВАО	Марфино	физкультурно-оздоровительные комплексы
110	АНО спортивный клуб "Красная Пресня"	Волков переулок, дом 7/9, строение 2	Муниципалитет	(499) 259-08-10	-	-	ЦАО	Пресненский	плоскостные спортивные сооружения
111	АНО спортклуб "Покровка"	Лялин переулок, дом 8, строение 1	Муниципалитет	(495) 917-14-76	-	-	ЦАО	Басманный	спортивные залы
112	АНО СТКЦДД "Гермес"	улица Зои и Александра Космодемьянских, дом 4, корпус 3	Муниципалитет	(499) 747-40-35	voy.sao.mos.ru	voikovskii@mail.ru	САО	Войковский	спортивные залы
113	АНО ФОЦ "Басманный"	улица Новорязанская, дом 22/14	Муниципалитет	(495) 607-55-71 (495) 607-58-04	-	-	ЦАО	Басманный	досуговые центры
114	АНО ФОЦ "Здоровый гражданин - крепкая семья"	улица 3-я Прядильная, дом 14, корпус 1	Муниципалитет	8-499-163-77-17	-	-	ВАО	Измайлово	спортивные залы
115	АНО ЦД "Семь-Я"	улица Ленская, дом 17	Муниципалитет	(495) 471-51-84	-	-	СВАО	Бабушкинский	досуговые центры
116	Дворовая площадка	1-й Красногвардейский проезд, дом 6	Муниципалитет	(499) 259-08-10 (495) 707-24-79	presnya.cao.mos.ru sportcentrmsk.ru	bazhenoff@inbox.ru	ЦАО	Пресненский	дворовые спортивные площадки
117	АНО Центр военно-патриотического воспитания и подготовки молодежи	Зеленоград, корпус 146, помещение 4, комнаты 1-4	Департамент имущества города Москвы	-	kaskadpoisk.ru	admin@kaskadpoisk.ru    	ЗелАО	Матушкино	досуговые центры
118	АНО Центр творчества "Гуманитарий"	проспект Мира, дом 180	Муниципалитет	(495) 683-40-10	alekseevsky-mncpt.ru	mncpt@alekseevsky-mncpt.ru	СВАО	Алексеевский	досуговые центры
119	Бадминтонные площадки	Дмитровское шоссе, дом 44, корпуса 1-2-3	Муниципалитет	(499) 760-77-03	timmun.ru	tim@timmun.ru	САО	Тимирязевский	досуговые центры
120	Бассейн "Арбат"	улица Композиторская улица, дом 17	Департамент физической культуры и спорта города Москвы	(495) 514-99-93	-	-	ЦАО	Арбат	бассейны плавательные
121	Бассейн "Атлант"	улица Талалихина, дом 26	частная	(495) 671-73-70	mybasseyn.ru	info@mybasseyn.ru	ЦАО	Таганский	бассейны плавательные
122	Бассейн "Гармония"	улица Саморы Машела, дом 6, корпус 4	Департамент физической культуры и спорта города Москвы	(499) 726-28-94	garmoniy1.ucoz.ru	-	ЮЗАО	Обручевский	бассейны плавательные
123	Бассейн "Дельфин"	улица 3-я Мытищинская, дом 16, строение 1	частная	(495) 980-66-68	-	-	СВАО	Алексеевский	бассейны плавательные
124	Бассейн "Жемчужина"	улица Генерала Белобородова, дом 29	Департамент физической культуры и спорта города Москвы	(495) 794-41-08	-	-	СЗАО	Митино	центры дополнительного образования
125	Бассейн "Изумрудный"	улица Южнобутовская, дом 96	Департамент физической культуры и спорта города Москвы	(495) 715-33-56	butovo-sport.ru	-	ЮЗАО	Южное Бутово	бассейны плавательные
126	Бассейн "Пионер"	улица Фотиевой, дом 16, корпус 2	Департамент образования города Москвы	(495) 939-83-53	mgdvorec.ru	mgdvorec@mail.ru	ЮЗАО	Гагаринский	бассейны плавательные
127	Бассейн "Чайка"	Турчанинов переулок, дом 3, строение 1	частная	(495) 246-13-44	-	-	ЦАО	Хамовники	бассейны плавательные
128	Бассейн "Юность"	улица Академика Бакулева, дом 5	Департамент физической культуры и спорта города Москвы	(495) 438-89-55	bassein30.jino-net.ru	-	ЮЗАО	Теплый Стан	бассейны плавательные
129	ГБОУ ДОДСН ДЮСШ №2	улица Заповедная, дом 3	Департамент физической культуры и спорта города Москвы	(499) 790-30-77	skmedvedkovo.ru	s2@mossport.ru	СВАО	Южное Медведково	физкультурно-оздоровительные комплексы
130	ГБОУ ДОДСН ДЮСШ №23	Рязанский проспект, дом 7,корпус 3	Департамент физической культуры и спорта города Москвы	(499)784-48-70	-	2508729@mail.ru	ЮВАО	Нижегородский	физкультурно-оздоровительные комплексы
131	ГБОУ ДОДСН ДЮСШ №82	улица Инженерная, дом 5, корпус 1	Департамент физической культуры и спорта города Москвы	(499) 900-90-18	dussh82.ru	s82@mossport.ru	СВАО	Алтуфьево	центры дополнительного образования
132	ГБОУ ДОДСН ДЮСШ №84	Ясный проезд, дом 24, корпус 4	Департамент физической культуры и спорта города Москвы	(499) 473-65-09	-	s84@mossport.ru	СВАО	Южное Медведково	центры дополнительного образования
133	ГБОУ ДОДСН ДЮСШ №86	улица Яблочкова, дом 3	Департамент физической культуры и спорта города Москвы	(495) 610-78-05	-	dyush86@yandex.ru, s86@mossport.ru	СВАО	Бутырский	центры дополнительного образования
134	ГБОУ ДОДСН СДЮСШОР № 61	1-я улица Машиностроения, дом 16	Департамент физической культуры и спорта города Москвы	(495) 675-40-97 (495) 675-76-69	-	s61@mossport.ru	ЮВАО	Южнопортовый	центры дополнительного образования
135	ГБОУ ДОДСН СДЮСШОР № 64	Есенинский бульвар, дом 9, корпус 2	Департамент физической культуры и спорта города Москвы	(499) 175-54-12 (499) 746-96-20	-	-	ЮВАО	Кузьминки	центры дополнительного образования
136	ГБОУ ДОДСН СДЮСШОР № 65 "Ника"	2-й Южнопортовый проезд, дом 19, корпус 1	Департамент физической культуры и спорта города Москвы	(499) 172-67-33	sdushor65nika.ru	sdushor65nika@yandex.ru	ЮВАО	Южнопортовый	центры дополнительного образования
137	ГБОУ ДОДСН СДЮСШОР № 85	улица Бестужевых, дом 9Б	Департамент физической культуры и спорта города Москвы	(499) 904-78-71,                 (499) 904-75-83	-	s85@mossport.ru	СВАО	Отрадное	центры дополнительного образования
138	ГБОУ ДОДСН СДЮШОР  № 95	улица Большая Филевская, дом 6	Департамент физической культуры и спорта города Москвы	(499) 145-03-14	-	-	ЗАО	Филёвский парк	центры дополнительного образования
139	ГБОУ ДОДСН СДЮШОР  № 95	улица Большая Филевская, дом 6, корпус 1	Департамент физической культуры и спорта города Москвы	-	-	-	ЗАО	Филёвский парк	центры дополнительного образования
140	ГБОУ ДОДСН СДЮШОР № 92 «Солнцево»	Солнцевский проспект, дом 9	Департамент физической культуры и спорта города Москвы	(495) 439-10-50	-	-	ЗАО	Солнцево	центры дополнительного образования
