0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;0_Длина, протяженность (м,);0_Ширина (м,);1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
10;5518;5518;SZAO__10;сведения отсутствуют;ул. Барышиха, д.26;бесплатно;-9424,6786;20049,3119;0;92754;городок тренажерный (воркаут);воркаут;нет;8:00-23:00;искусственное;100;75;без освещения;да;нет;;;15449;междворовые спортивные площадки;префектура;СЗАО;Митино;нет;нет;нет;нет;нет;нет;нет;нет;1027733019544;управа района Митино;(495) 759-90-25;www.uprava-mitino.ru;makarenkov-mpt@mail.ru;Добавлено;
11;7128;7128;VAO___304;сведения отсутствуют;Новокосинская ул. 9;бесплатно;22317,5796;7433,6889;0;92082;городок тренажерный (воркаут);;нет;c 10.00 до 22.00;искусственное;120;120;без освещения;да;нет;;;15433;междворовые спортивные площадки;префектура;ВАО;Новокосино;нет;нет;нет;нет;нет;нет;нет;нет;1027720011274;управа района Новокосино;(495) 701-44-65;www.nk-uprava.ru;priem_n_kos@vao.mos.ru;добавлено;"расположены тренажёры (обслуживает ГКУ ""ИС района Новокосино"")"
12;7171;7171;VAO___347;сведения отсутствуют;Суздальская ул. 8к2;бесплатно;22091,7572;7653,9549;82057;91915;городок тренажерный (воркаут);;нет;c 10.00 до 22.00;искусственное;200;105;прожекторное освещение;да;нет;;;15704;междворовые спортивные площадки;префектура;ВАО;Новокосино;нет;нет;нет;нет;нет;нет;нет;нет;1027720011274;управа района Новокосино;(495) 701-44-65;www.nk-uprava.ru;priem_n_kos@vao.mos.ru;добавлено;"расположена площадка WorkOut (обслуживает ГКУ ""ИС района Новокосино"")"
13;5519;5519;SZAO__11;сведения отсутствуют;3-й Митинский пер.,д.4;бесплатно;-9067,4903;20172,3434;0;92753;городок тренажерный (воркаут);воркаут;нет;8:00-23:00;искусственное;125;100;прожекторное освещение;да;нет;;;14781;междворовые спортивные площадки;префектура;СЗАО;Митино;нет;да;нет;нет;нет;нет;нет;нет;1027733019544;управа района Митино;(495) 759-90-25;www.uprava-mitino.ru;makarenkov-mpt@mail.ru;Добавлено;
14;508;508;DK____192;"ГАУК г.Москвы ПКиО ""Красная Пресня""";Мантулинская ул., д.5 стр.2;бесплатно;3245,3201;9633,0653;2106452;0;городок тренажерный (воркаут);;нет;будни,выходные с 00.00 до 00.00;искусственное;200;200;смешанное освещение;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ЦАО;Пресненский;нет;нет;да;нет;да;да;нет;нет;1027739692188;"ГАУК г.Москвы ПКиО ""Красная Пресня""";(499) 256-13-02;www.p-kp.ru;pkiokp@gmail.com;Подтверждено;
15;512;512;DK____196;уличные тренажеры и Workout;Мантулинская ул., д.5 стр.2;бесплатно;3143,4553;9720,1134;2106452;0;городок тренажерный (воркаут);;нет;будни,выходные с 00.00 до 00.00;специальное;250;100;прожекторное освещение;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ЦАО;Пресненский;нет;нет;да;нет;да;да;нет;нет;1027739692188;"ГАУК г.Москвы ПКиО ""Красная Пресня""";(499) 256-13-02;www.p-kp.ru;pkiokp@gmail.com;Подтверждено;
16;2846;2846;DOGM__2254;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московский городской педагогический университет""";"Северо-Восточный / Ростокино / 2-й Сельскохозяйственный пр. / Дом- 4; Корп- 4";бесплатно;9071,2479;18579,2934;2305076;12283;городок тренажерный (воркаут);;нет;с 9:00 до 20:00 кроме воскресенья;искусственное;160;90;без освещения;да;нет;;;12283;ВУЗы;Департамент образования города Москвы;СВАО;Ростокино;нет;нет;нет;нет;нет;нет;нет;нет;1027700141996;"ГБОУ ВПО города Москвы ""Московский городской педагогический университет""";(499) 181-65-52;mgpu.ru;rectorat@mgpu.ru;;
17;2308;2308;DOGM__1716;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 297;Северо-Восточный / Свиблово / 1-й Ботанический пр. / Дом- 2;бесплатно;8626,5354;20460,3133;2125337;9864;городок тренажерный (воркаут);;нет;Будние дни с 7:00 до 8:30 и с 18:00 до 21:00, выходные, праздничные дни и каникулярное время с 10:00 до 21:00;искусственное;200;100;без освещения;да;нет;;;9864;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Свиблово;нет;нет;нет;нет;нет;нет;нет;нет;1037700009280;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 297 (ГБОУ СОШ №297);(499) 180-41-85;sch297sv.mskobr.ru;sch297@yandex.ru;;
67;2047;2047;DOGM__1455;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37;Западный / Раменки / ул. Столетова / Дом- 3;бесплатно;350,2175;4025,3829;2111793;444;городок тренажерный (воркаут);Зона турников, брусьев, рукохода;нет;"будни с 10:00 до 18:00; выходные с 12:00 до 18:00;";травяное;290;160;без освещения;нет;нет;;;444;общеобразовательные учреждения;Департамент образования города Москвы;ЗАО;Раменки;нет;нет;нет;нет;нет;нет;нет;нет;1037739385056;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37;(499) 739-35-28;www.sch37.mskzapad.ru;sch37@list.ru;;
68;603;603;DOGM__11;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 255;Северо-Восточный / Бибирево / Мурановская ул. / Дом- 8Б;бесплатно;6608,2997;25163,4169;2302162;9849;городок тренажерный (воркаут);;нет;8:00 - 21:00;травяное;80;80;без освещения;да;нет;;;9849;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Бибирево;нет;нет;нет;нет;нет;нет;нет;нет;1027700528173;ГБОУ СОШ №255;(499) 206-64-74;sch255sv.mskobr.ru;shk255q@yandex.ru;;
69;604;604;DOGM__12;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 255;Северо-Восточный / Бибирево / Мурановская ул. / Дом- 8Б;бесплатно;6608,2997;25163,4169;2302162;9849;городок тренажерный (воркаут);;нет;8:00 - 21:00;травяное;100;80;без освещения;да;нет;;;9849;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Бибирево;нет;нет;нет;нет;нет;нет;нет;нет;1027700528173;ГБОУ СОШ №255;(499) 206-64-74;sch255sv.mskobr.ru;shk255q@yandex.ru;;
50;7145;7145;VAO___321;сведения отсутствуют;Щелковский пр-д, д. 2;бесплатно;17634,5775;15537,4957;240097;98415;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17800;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
51;7017;7017;VAO___193;сведения отсутствуют;15-я Парковая, д. 42, корп.6;бесплатно;20505,3124;15639,3604;0;97333;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;60;60;уличные столбы освещения;да;нет;;;17449;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
44;6972;6972;VAO___148;сведения отсутствуют;Никитинская ул., д. 18, 22;бесплатно;17418,6771;15477,6997;16180;101416;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17796;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
45;6974;6974;VAO___150;сведения отсутствуют;5-я Парковая, д. 55, к. 1;бесплатно;18084,3701;15705,5064;18620;98411;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17799;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;5107746022654;"ООО "" АКСИОМА""";(916) 285-57-79;нет;aksioma-tender@mail.ru;добавлено;-0
46;6977;6977;VAO___153;сведения отсутствуют;9-я Паркова, д. 70, к. 1,2;бесплатно;18862,2466;15845,7359;18770;98412;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17799;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;5107746022654;"ООО "" АКСИОМА""";(916) 285-57-79;нет;aksioma-tender@mail.ru;добавлено;-0
47;6998;6998;VAO___174;сведения отсутствуют;Сиреневый б-р, д. 43А;бесплатно;19420,5186;15290,1097;23775;98394;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17794;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
48;6999;6999;VAO___175;сведения отсутствуют;13-я Парковая ул., д. 26 к. 3;бесплатно;19782,9985;15303,3389;18853;98385;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17792;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
75;75;;;;Воробьевская наб. 28с23;бесплатно;3056,0508;4912,9187;;;городок тренажерный (воркаут);;нет;круглосуточно;отсыпное;20;10;без освещения;да;нет;;;;парки (озелененные городские территории);Департамент природопользования и охраны окружающей среды города Москвы;ЗАО;Раменки;нет;нет;да;да;нет;нет;нет;нет;сведений нет;сведения отсутствуют;сведения отсутствуют;сведения отсутствуют;сведения отсутствуют;;
70;605;605;DOGM__13;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 255;Северо-Восточный / Бибирево / Мурановская ул. / Дом- 10В;бесплатно;6725,9337;25363,6652;2103657;9849;городок тренажерный (воркаут);;нет;8:00 - 21:00;травяное;100;50;без освещения;да;нет;;;9849;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Бибирево;нет;нет;нет;нет;нет;нет;нет;нет;1027700528173;ГБОУ СОШ №255;(499) 206-64-74;sch255sv.mskobr.ru;shk255q@yandex.ru;;
71;7012;7012;VAO___188;сведения отсутствуют;Новогиреевская, 44/28;бесплатно;18795,5715;9522,4462;0;92574;городок тренажерный (воркаут);;нет;9.00-23.00;искусственное;60;60;уличные столбы освещения;да;нет;;;15149;плоскостные спортивные сооружения;префектура;ВАО;Новогиреево;нет;нет;нет;нет;нет;нет;нет;нет;1137746151432;"ООО ""Ефро СП""";(925) 892-59-45;нет;integralm@bk.ru;Добавлено;Отсутствовал в списке
72;7019;7019;VAO___195;сведения отсутствуют;Полимерная, 7;бесплатно;18861,4529;8966,0263;0;92573;городок тренажерный (воркаут);;нет;9.00-23.00;искусственное;60;60;уличные столбы освещения;да;нет;;;15148;плоскостные спортивные сооружения;префектура;ВАО;Новогиреево;нет;нет;нет;нет;нет;нет;нет;нет;1137746151432;"ООО ""Ефро СП""";(925) 892-59-45;нет;integralm@bk.ru;Добавлено;Отсутствовал в списке
73;6491;6491;UZAO__20;сведения отсутствуют;ул. Обручева 8;бесплатно;973,0703;-1045,2978;0;0;городок тренажерный (воркаут);;нет;8.00-23.00;искусственное;100;200;лампы дневного освещения;нет;нет;;;36517;междворовые спортивные площадки;муниципалитет;ЮЗАО;Обручевский;нет;нет;нет;нет;нет;нет;нет;нет;1027700533850;муниципалитет;(499) 120-81-05;www.munobruchevskoe.ru;mun.obruchevskoe@mail.ru;Внесены изменения;телефон эксплуатирующей организации +7 (499) 120 8105
61;4522;4522;DPIOOS26;"ПИП ""Косинский""";Оранжерейная улица, вл. 24 с.1;нет;23512,9694;5375,491;2403863;;городок тренажерный (воркаут);"ПИП ""Косинский""";нет;Круглосуточно;искусственное;200;100;без освещения;да;нет;;;;парки (озелененные городские территории;Департамент природопользования и охраны окружающей среды города Москвы;ВАО;Косино-Ухтомский;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"Санитарное состояние ГБУ ""Автодороги ВАО"" Текущий ремонт - ""ООО Серебряный родник""";(926) 728-70-52;нет;нет;Добавлено;
62;6243;6243;UVAO__61;сведения отсутствуют;Авиамоторная ул. 25;бесплатно;13757,2333;10217,1111;101;97870;городок тренажерный (воркаут);;нет;с 8.00 до 22.00;асфальтовое, бетонное;180;140;уличные столбы освещения;да;нет;;;12651;междворовые спортивные площадки;муниципалитет;ЮВАО;Лефортово;сведения отсутствуют;нет;нет;нет;нет;нет;нет;нет;1027752017520;управа района Лефортово;(495) 361-75-49;www.uprava-lefortovo.ru;podoinikovsa@mail.ru;Внесены изменения;
63;4770;4770;MSPORT150;ГБОУ ДОДСН «ДЮСШ № 35» Москомспорта;Новочеремушкинская ул. 64к3;сведения отсутствуют;3698,1968;-278,9056;;107138;городок тренажерный (воркаут);;нет;Понедельник с 8:00 до 22:00 Вторник с 8:00 до 22:00 Среда с 8:00 до 22:00 Четверг с 8:00 до 22:00 Пятница с 8:00 до 22:00 Суббота с 8:00 до 22:00 Воскресенье с 8:00 до 22:00;искусственное;139;100;прожекторное освещение;да;нет;55.66450442196047;37.557003549224845;39879;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЮЗАО;Черёмушки;нет;да;да;да;да;нет;нет;да;1037727013939;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Детско-юношеская спортивная школа № 35"" Департамента физической культуры и спорта города Москвы";(495) 331-39-44;sport-35.ru;s35@mossport.ru;внесены изменения;
64;3946;3946;DOGM__3354;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №821;"Северо-Западный / Южное Тушино / бульв. Яна Райниса / Дом- 43; Корп- 2";бесплатно;-5549,7851;20246,3766;2113860;12230;городок тренажерный (воркаут);;нет;будни с 8.30 до 21.00, выходные с 10.00 до 21.00;асфальтовое, бетонное;200;200;без освещения;нет;нет;;;12230;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Южное Тушино;нет;нет;нет;нет;нет;нет;нет;нет;1127746676144;ГБОУ СОШ № 821;(495) 493-89-87;sch821.mskobr;sch821@szouo.ru;;
65;4619;4619;DPIOOS123;Крюковский лесопарк, квартал 17, выдел 122;Зеленоград, ул.Березовая ал.;бесплатно;-18323,0307;35893,9165;;;городок тренажерный (воркаут);;нет;круглосуточно;грунтовое;60;50;без освещения;да;нет;;;;парки (озелененные городские территории;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Матушкино;нет;нет;нет;нет;нет;нет;нет;нет;1037739175979;"ГПБУ ""Управление ООПТ по ЗелАО""";(499) 735-55-56;www.zeloopt.ru;zelleshoz46@mail.ru;Подтверждено;
66;3223;3223;DOGM__2631;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 962;"Северо-Восточный / Отрадное / ул. Санникова / Дом- 3; Корп- 3";бесплатно;5926,5504;21434,4823;2114140;9897;городок тренажерный (воркаут);нет;нет;нет;грунтовое;650;250;без освещения;нет;нет;;;9897;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Отрадное;нет;нет;нет;нет;нет;нет;нет;нет;1027700527667;ГБОУ СОШ № 962;(499) 903-16-19;schu962sv.mskobr.ru;962@bk.ru;;
57;4544;4544;DPIOOS48;Крюковский лесопарк, квартал 17, выдел 83;Зеленоград, корп.1210;бесплатно;-18857,4901;36222,0005;31154;;городок тренажерный (воркаут);;нет;круглосуточно;грунтовое;60;50;без освещения;да;нет;"55°59'29.16""N (55.991432)";"37°11'44.77""E (37.19577)";;парки (озелененные городские территории;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Силино;нет;нет;нет;нет;нет;нет;нет;нет;1037739175979;"ГПБУ ""Управление ООПТ по ЗелАО""";(499) 735-55-56;www.zeloopt.ru;zelleshoz46@mail.ru;Подтверждено;
58;5444;5444;SVAO__365;Парковая площадка воркаут по улице Осташковская;Осташковская ул. 23;бесплатно;11045,2711;24098,6386;17875;105297;городок тренажерный (воркаут);Парковая зона поймы реки Яуза;нет;круглосуточно;искусственное;205;220;уличные столбы освещения;да;нет;;;39209;плоскостные спортивные сооружения;префектура;СВАО;Бабушкинский;нет;нет;нет;нет;нет;нет;нет;нет;1027716010850;"ГКУ ""ИС Бабушкинского района""";(495) 471-11-70;babushkinsky.svao.mos.ru;1840365@mail.ru;Внесены изменения;
59;4654;4654;MSPORT34;"Стадион ""Труд"" государственного бюджетного образовательного учреждения дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва № 63 ""Смена""";Капотня, 2-й квартал 2Ас1;сведения отсутствуют;18630,6034;-2922,388;;106582;городок тренажерный (воркаут);;нет;Понедельник с 9:00 до 22:00 Вторник с 9:00 до 22:00 Среда с 9:00 до 22:00 Четверг с 9:00 до 22:00 Пятница с 9:00 до 22:00 Суббота с 9:00 до 22:00 Воскресенье с 9:00 до 22:00;искусственное;76;50;прожекторное освещение;да;нет;55.64010074418685;37.795165207964736;39748;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЮВАО;Капотня;нет;да;да;нет;да;нет;нет;да;1037739519036;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва № 63 ""Смена"" Департамента физической культуры и спор";(495) 355-22-57;fs-smena63.ru;s63@mossport.ru;внесены изменения;
60;6285;6285;UVAO__103;Спортивная площадка воркаут по улице Ферганская, 23;Ферганская ул. 23;бесплатно;20367,1247;4217,6496;2704380;105301;городок тренажерный (воркаут);;нет;08.00-22.00;асфальтовое, бетонное;300;210;прожекторное освещение;да;нет;;;39213;плоскостные спортивные сооружения;префектура;ЮВАО;Выхино-Жулебино;сведения отсутствуют;нет;нет;нет;нет;нет;нет;нет;1027739334644;ГБОУ ДОД г.Москвы ДШИ им. Балакирева;нет;balakirevschool.ru;balakirevdsi@yandex.ru;Подтверждено;
52;7037;7037;VAO___213;сведения отсутствуют;К.Федина ул., д. 2 к.;бесплатно;18411,1311;15515,006;0;95154;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17692;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;5107746022654;"ООО "" АКСИОМА""";(916) 285-57-79;нет;aksioma-tender@mail.ru;добавлено;-0
53;325;325;DK____9;ПКиО «Северное Тушино»;ул. Свободы, д.56;сведения отсутствуют;-3015,978;21571,1475;0;0;городок тренажерный (воркаут);;нет;Круглосуточно;грунтовое;3000;2000;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;да;нет;нет;нет;нет;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;
54;335;335;DK____19;ПКиО «Северное Тушино»;ул. Свободы, д.56;сведения отсутствуют;-3014,7885;21778,6086;0;0;городок тренажерный (воркаут);;нет;Круглосуточно;грунтовое;1500;1000;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;да;нет;нет;нет;да;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;
55;375;375;DK____59;ПКиО «Северное Тушино»;ул. Свободы, д.56;сведения отсутствуют;-2987,5364;21648,1688;0;0;городок тренажерный (воркаут);;нет;8.00-22.00;специальное;2000;2000;уличные столбы освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;нет;да;да;да;да;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;
