"1_Номер разрешения";"1_Номер ТС";"1_Наименование";"1_Номер бланка разрешения";"1_Марка, модель ТС";"1_ИНН";"1_ОГРН"
"09058";"С565ОУ199";"МИХАЙЛОВ ГЕОРГИЙ ВИКТОРОВИЧ";"009220";"VOLKSWAGEN PASSAT";"771580693217";"311774629100178"
"09060";"К327СУ197";"Мурадян Алмаст Азизовна";"014480";"CHEVROLET KLAN J200";"772342180000";"311774628300170"
"09061";"М480ЕВ71";"БАРКОВСКИй АНДРЕЙ АНАТОЛЬЕВИЧ";"009224";"VAZ 21124";"711706206321";"311715410300160"
"09068";"А728ТС77";"Гасымов Гашам Шамил Оглы";"029010";"Hyundai Accent";"320207570174";"308320210000010"
"09073";"Х604АН197";"ООО ""Транс Авто""";"009235";"Hyundai Sonata";"7724622739";"5077746928474"
"09076";"У356СО177";"Фирсов  Александр Николаевич";"009303";"Great Wall SS 6460 DY";"772782729500";"311774626500546"
"09078";"Р019ТЕ199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009277";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09080";"Х596СН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009279";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09083";"А651СК199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009282";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09088";"Х729УА199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009287";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09093";"Х819СН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009292";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09097";"У390ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009296";"HYUNDAI SONATA";"773501373764";"311774624800417"
"09099";"У388ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009298";"HYUNDAI SONATA";"773501373764";"311774624800417"
"09101";"У385ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009300";"HYUNDAI SONATA";"773501373764";"311774624800417"
"09104";"С788СК177";"Нестерович Александр Иванович";"009305";"FORD FOCUS";"772379769963";"311774629200442"
"09108";"Х590МА177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009243";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09112";"Р912КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009247";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09114";"М311ЕС197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009249";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09116";"А570ТУ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009251";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09119";"А571ТУ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009254";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09121";"С262ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009256";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09124";"Р914КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009259";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09125";"Р916КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009260";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09127";"Х592ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009262";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09131";"Х739ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009266";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09137";"Х738ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009272";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09142";"Н630ВО18";"ФЕФИЛОВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ";"016741";"KIA RIO";"182910388576";"311183714600040"
"09143";"Е225ОР197";"Коминов Виталий Сергеевич";"009308";"Chevrolet Lacetti (J200)";"771576835780";"311774628600458"
"09145";"Р170РВ197";"Ануров Александр Владимирович";"009310";"Nissan Teana";"773113541440";"311774625500846"
"09147";"Н914СТ77";"Кротов Григорий Витальевич";"МСК 028454";"KIA JD CEED";"771400662318";"304770000500182"
"09149";"О625МУ199";"Герасимов Роман Вячеславович";"009313";"TOYOTA COROLLA";"773201360475";"311774628500889"
"09154";"Р120ОУ197";"ФЕТИСОВ ИЛЬЯ АЛЕКСАНДРОВИЧ";"009319";"FORD FOCUS";"771814263244";"311774624900050"
"09155";"М844ЕХ197";"Шалаев Малик Борисович";"009320";"FORD FOCUS";"774300175965";"311774627200660"
"09159";"С499РА69";"НАРЗИЕВ АБДУВОСИД САМАДОВИЧ";"029615";"TOYOTA AVENSIS";"693101811043";"311695229300022"
"09164";"В448ТО90";"АЛЕКСАНДРОВ ПЕТР НИКОЛАЕВИЧ";"009329";"PEUGEOT 405";"504002943570";"311504029400114"
"09166";"М681ТК197";"БУШМИН СТАНИСЛАВ ВАСИЛЬЕВИЧ";"015343";"HONDA CR-V";"771565202810";"308774628300538"
"09167";"Х596ХВ199";"ВЛАСОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ";"009332";"RENAULT MEGANE II";"772343948302";"304770000471842"
"09170";"Р667РВ197";"ООО ""Автостандарт""";"009335";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09171";"Р662РВ197";"ООО ""Автостандарт""";"009336";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09172";"Р661РВ197";"ООО ""Автостандарт""";"009337";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09173";"Р665РВ197";"ООО ""Автостандарт""";"009338";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09179";"Т542УТ197";"ДЕРЯБИН СЕРГЕЙ ПЕТРОВИЧ";"МСК 018829";"CHEVROLET CRUZE KL1J";"771535818320";"311774625800712"
"09183";"У491СУ199";"ИГНАТЬЕВ ВИТАЛИЙ НИКОЛАЕВИЧ";"009348";"PEUGEOT 406";"771502464594";"311774624901178"
"09188";"У667ХЕ199";"НАЗАРЯН МГЕР СЕДРАКИ";"009353";"RENAULT SR";"771500950486";"311774628601086"
"09189";"А228НА197";"Попов Виктор Геннадьевич";"009355";"CHEVROLET CRUZE";"772472392479";"311774628600641"
"09196";"Р696НО197";"Маркелов Игорь Игоревич";"009361";"HYUNDAI GRAND STAREX";"771510428504";"311774629201122"
"09198";"Х112КЕ197";"Ененков Александр Михайлович";"009364";"HYUNDAI SONATA";"860223083762";"311774629400672"
"09199";"Н568МН37";"ЗУЛЬГАДАРОВ ИССА КАНАНОВИЧ";"009363";"CHEVROLET KLAN (J200)";"370413216156";"311370428400017"
"09201";"С157РА197";"ООО ""АВТОКОМ""";"009367";"Ford Mondeo";"7713621941";"5077746857304"
"09203";"Х675НЕ199";"Панков Федор Алексеевич";"009369";"Daewoo Espero";"772388247177";"311774629800466"
"09004";"А075НА197";"ОСИПОВ АНДРЕЙ ЮРЬЕВИЧ";"009129";"CITROEN BERLINGO";"772018072892";"311774615400139"
"09007";"О756АТ199";"ЕРМАКОВ АНДРЕЙ АНАТОЛЬЕВИЧ";"009167";"NYUNDAI SONATA";"772427511879";"306770000514142"
"09016";"ЕО15977";"ООО ""НЖТ-ВОСТОК""";"009178";"FORD FOCUS";"7719750140";"1107746402246"
"09025";"ЕО19477";"ООО ""НЖТ-ВОСТОК""";"009187";"FORD FOCUS";"7719750140";"1107746402246"
"09031";"О493АТ197";"САБАЕВ МИХАИЛ ВЛАДИМИРОВИЧ";"009169";"CHEVROLET KLAN (J200/LACETTI)";"773370074599";"311774628600436"
"09032";"Р562НУ161";"ГУЛИЕВ АЛИ МЮЛЬКЮ ОГЛЫ";"009192";"TOYOTA CAMRY";"615489998150";"308615415700120"
"09038";"Е646ХУ150";"Солодянников Валентин Вениаминович";"009212";"RENAULT LOGAN (SR)";"505202743386";"309505015400014"
"09039";"Е838ОА190";"МАЛЬЦЕВ ЮРИЙ СЕРГЕЕВИЧ";"009215";"HYUNDAI SONATA";"502411633889";"308502415900023"
"09055";"Р960НМ199";"Дерюшенков Александр Николаевич";"009218";"KIA FV2273 SPEKTRA";"771544664700";"308774630400451"
"09066";"Е474УО61";"ИСМАИЛОВ ФАХРАДДИН ФАМИЛ ОГЛЫ";"009233";"NISSAN ALMERA 1.5";"614310230981";"311617408900017"
"09067";"М463УХ199";"МИТРЮШКИН ИГОРЬ ВИКТОРОВИЧ";"009231";"KIA YED (SEYE`D)";"770400076801";"304770000242370"
"09084";"С255СУ199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009283";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09111";"К521АМ197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009246";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09130";"Х591ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009265";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09136";"Х842МТ197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009271";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09151";"М164НО46";"Шамоян Ширин Агитович";"009316";"KIA AVELLA (DB 2222)";"460900057760";"311461327900018"
"09168";"Р663РВ197";"ООО ""Автостандарт""";"009333";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09180";"В603ВТ177";"Алимбаев Александр Мавлекеевич";"009345";"KIA KARENS";"772318906549";"311774625000714"
"09193";"К162ОХ197";"ИШНИАЗОВ ФАТЫХ ФААТОВИЧ";"009360";"NISSAN TEANA";"771503593899";"311774621001308"
"09202";"С159РА197";"ООО ""АВТОКОМ""";"009368";"Ford Mondeo";"7713621941";"5077746857304"
"09211";"С020НС177";"ЧЕВЕЛЬЧА ВАЛЕРИЙ ВАСИЛЬЕВИЧ";"009379";"TOYOTA LAND CRUISER PRADO";"773315156716";"311774617400383"
"09228";"Р450РВ197";"ООО ""Роял Авто""";"009393";"RENAULT LOGAN SR";"7724795700";"1117746512971"
"09231";"Р703РВ197";"ООО ""Роял Авто""";"009396";"RENAULT LOGAN";"7724795700";"1117746512971"
"09250";"С881ОУ197";"ООО ""Авалком""";"009423";"RENAULT LOGAN";"7701649702";"1067746392724"
"09269";"У057СХ199";"Солдатенков Александр Владимирович";"009413";"Audi 100";"772879246802";"308770000377108"
"09280";"О208ОВ197";"ООО ""ВИАДУК АВТО""";"009450";"Hyundai SOLARIS";"7724775703";"1117746044481"
"09283";"О210ОВ197";"ООО ""ВИАДУК АВТО""";"009453";"Hyundai SOLARIS";"7724775703";"1117746044481"
"09293";"М684ТС71";"ЕРМИЛИН ГЕННАДИЙ ВАЛЕНТИНОВИЧ";"МСК 026061";"CHEVROLET KLAN J200/LACETTI";"710504506296";"308715415100010"
"09299";"А228РА197";"Буянов Алексей Владимирович";"009467";"FORD FOCUS";"771405139704";"311774630100432"
"09305";"К948МН197";"Иванов Александр Геннадиевич";"009470";"VAZ 21114";"772907552949";"309774634100144"
"09307";"О584ХМ199";"Арутюнов Герман Эдуардович";"009473";"Chevrolet Klan (J200/Lacetti)";"773565011270";"304770000521710"
"09316";"У935ЕН197";"ЛЕГЕНЬКОВ ЛЕОНИД ВИТАЛЬЕВИЧ";"009482";"CITROEN C5";"772641690070";"305770000030411"
"09319";"В818ХР199";"ЖМУДЕНКО ОЛЕГ ВАСИЛЬЕВИЧ";"009485";"SKODA OCTAVIA";"773200611905";"311774629901509"
"09336";"В818СС197";"Бальчунас Антон Рамунасович";"017594";"FORD FOCUS";"773172181944";"311774624901231"
"09342";"С516РА197";"ООО ""ХК""";"009508";"SKODA OCTAVIA";"7714839034";"1117746345650"
"09357";"А029СН197";"КУБЕЛУН ВЯЧЕСЛАВ ЯНКЕЛЕВИЧ";"014967";"RENAULT FLUENCE";"773318907079";"311774630401315"
"09360";"Е601МО199";"ПАЛАТОВ АЛЕКСАНДР СЕМЕНОВИЧ";"009522";"VOLVO S 80";"561500206807";"311774604500018"
"09362";"Е807ХК97";"ЗИНЧЕНКО НИКОЛАЙ ВАЛЕРЬЕВИЧ";"009530";"RENAULT LOGAN SR";"183300303189";"308770000303941"
"09365";"Е048РК197";"Солодников Олег Альбертович";"009533";"Skoda Octavia";"774314371913";"311774627001381"
"09375";"М043КТ40";"Калинцев  Александр Николаевич";"009543";"Opel Astra";"402907641201";"311402928300014"
"09376";"Р044НМ77";"Кочергин Павел Борисович";"МСК 028102";"CITROEN BERLINGO";"771565216308";"309774607700331"
"09377";"Е898ОН197";"Залиев Саид Сайдаминович";"МСК 009545";"CHEVROLET KLAN (J200/CHEVROLET)";"772850427490";"311774626900122"
"09378";"У 489 ВА 07";"КАФОЕВ МУАЕД МУХАДИНОВИЧ";"009546";"OPEL ASTRA";"070801932137";"310072422400011"
"09385";"О796ВС197";"САЛАХЕТДИНОВ РАШИД РАФЕКОВИЧ";"009553";"KIA FB2272 (SPECTRA)";"772151115650";"311774625001234"
"09387";"А350ТН199";"Булычев Владимир Михайлович";"009974";"FORD FOCUS";"772131974861";"306770000382009"
"09388";"Е876СС199";"ЛЯНЬКОВСКИЙ ВИКТОР ВАСИЛЬЕВИЧ";"009556";"RENAULT SR";"771977901101";"306770000401811"
"09390";"М198ТХ199";"Шимко Георгий Витальевич";"009558";"NISSAN MAKSIMA 2.0 SE";"772640951795";"308770000047514"
"09391";"Р804ОН197";"ООО ТК ""ВЕГА""";"009559";"Renault Logan";"7718697951";"1087746446611"
"09393";"В629РМ197";"Ульянов Василий Иванович";"010814";"LIFAN 214813";"771533988446";"307770000184358"
"09396";"В664МС197";"Болотвин Александр Геннадьевич";"009565";"GAZ 3221";"770408154949";"311774630400405"
"09397";"Х412РХ199";"КОБИЛЕЦКИЙ ВАЛЕНТИН ВАЛЕНТИНОВИЧ";"009566";"MITSUBISHI LANSER 1.6 STW";"773371591624";"309774625900350"
"09398";"Р258РЕ197";"ООО ""Автостандарт""";"009569";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09399";"Р259РЕ197";"ООО ""Автостандарт""";"016678";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09400";"Р263РЕ197";"ООО ""Автостандарт""";"009571";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09402";"Р261РЕ197";"ООО ""Автостандарт""";"009573";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09403";"Р262РЕ197";"ООО ""Автостандарт""";"009574";"SKODA OCTAVIA";"7727658557";"1087746947782"
"09407";"Х658РВ197";"Федотов Алексей Александрович";"МСК 015066";"DAEWOO NEXIA";"772319395640";"311774625200851"
"09408";"ЕО27777";"ООО ""НЖТ-ЗАПАД""";"009578";"FORD FOCUS";"7719755444";"1107746566542"
"09409";"ЕО27677";"ООО ""НЖТ-ЗАПАД""";"009579";"FORD FOCUS";"7719755444";"1107746566542"
"09410";"ЕО27577";"ООО ""НЖТ-ЗАПАД""";"009580";"FORD FOCUS";"7719755444";"1107746566542"
"09411";"ЕО27477";"ООО ""НЖТ-ЗАПАД""";"009587";"FORD FOCUS";"7719755444";"1107746566542"
"09416";"Т121МО197";"ВАНЯН ВЛАДИМИР ЛЕВОНОВИЧ";"009586";"FORD FOCUS";"773365127301";"308770000381506"
"09417";"ЕО28077";"ООО ""НЖТ-ВОСТОК""";"МСК 009592";"FORD FOCUS";"7719750140";"1107746402246"
"09418";"ЕО27877";"ООО ""НЖТ-ВОСТОК""";"МСК 009593";"FORD FOCUS";"7719750140";"1107746402246"
"09420";"ЕО28277";"ООО ""НЖТ-ВОСТОК""";"МСК 009595";"FORD FOCUS";"7719750140";"1107746402246"
"09421";"ЕО28377";"ООО ""НЖТ-ВОСТОК""";"МСК 009596";"FORD FOCUS";"7719750140";"1107746402246"
"09423";"ЕО28677";"ООО ""НЖТ-ВОСТОК""";"МСК 009598";"FORD FOCUS";"7719750140";"1107746402246"
"09424";"ЕО28577";"ООО ""НЖТ-ВОСТОК""";"МСК 009599";"FORD FOCUS";"7719750140";"1107746402246"
"09427";"ЕО27977";"ООО ""НЖТ-ВОСТОК""";"МСК 009602";"FORD FOCUS";"7719750140";"1107746402246"
"09430";"К293РА197";"Волкова Ирина Евгеньевна";"009591";"Volkswagen Polo";"773570980135";"305770000028914"
"09432";"В101МО199";"Селезнев Александр Иванович";"МСК 009589";"HYUNDAI TUCSON 2.0 GLS AT";"771816850304";"307770000290416"
"09433";"Е439ХМ197";"Дербоян Роланд Гасанович";"МСК 022579";"KIA CEE`D";"772344245006";"309774615300941"
"09435";"О473НХ197";"ООО ""Домашний уют""";"МСК009605";"CITROEN BERLINGO";"7708734361";"1117746128653"
"09439";"О269НХ197";"ООО ""Домашний уют""";"МСК 009609";"CITROEN BERLINGO";"7708734361";"1117746128653"
"09442";"С679СР197";"Грехов Александр Александрович";"МСК 015215";"NISSAN TIIDA";"772481285000";"311774606101087"
"09444";"Р610СН190";"ВЛАСОВА ЮЛИЯ ВАЛЕРЬЕВНА";"МСК 009613";"HYUNDAI GRAND STAREX";"501906680505";"311501905900045"
"09445";"М528КН30";"БУРЯКОВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ";"МСК 009617";"RENAULT LOGAN SR";"301704019791";"311301523000011"
"09446";"ЕА31177";"ООО ""НЖТ""";"МСК 009618";"FORD FOCUS";"7719719679";"1097746142306"
"09449";"ЕО16977";"ООО ""НЖТ""";"МСК 009621";"FORD FOCUS";"7719719679";"1097746142306"
"09450";"ЕО17177";"ООО ""НЖТ""";"МСК 009622";"FORD FOCUS";"7719719679";"1097746142306"
"09454";"ЕО20177";"ООО ""НЖТ""";"МСК 009626";"FORD FOCUS";"7719719679";"1097746142306"
"09458";"ЕО26877";"ООО ""НЖТ""";"МСК 009630";"FORD FOCUS";"7719719679";"1097746142306"
"09459";"ЕО26777";"ООО ""НЖТ""";"МСК 009631";"FORD FOCUS";"7719719679";"1097746142306"
"09463";"ЕО26377";"ООО ""НЖТ""";"МСК 009635";"FORD FOCUS";"7719719679";"1097746142306"
"09001";"ЕО18077";"ООО ""НЖТ-ЗАПАД""";"009163";"FORD FOCUS";"7719755444";"1107746566542"
"09002";"ЕО18277";"ООО ""НЖТ-ЗАПАД""";"009164";"FORD FOCUS";"7719755444";"1107746566542"
"09011";"ЕО15477";"ООО ""НЖТ-ВОСТОК""";"009173";"FORD FOCUS";"7719750140";"1107746402246"
"09034";"В759РА62";"РЫЖЕНКОВ РОМАН АЛЕКСАНДРОВИЧ";"009195";"VOLKSWAGEN POLO";"623202371919";"311623207300027"
"09049";"Н974УЕ197";"КОМРАКОВ МАКСИМ НИКОЛАЕВИЧ";"017630";"NISSAN TEANA 3.5PREMIUM";"772137580366";"311774627601397"
"09056";"В214ЕА73";"САЗОНОВ АЛЕКСАНДР СЕРГЕЕВИЧ";"009204";"FORD MONDEO";"730101638542";"311730607500011"
"09091";"С263ХН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009290";"HYUNDAI ACCENT";"773501373764";"311774624800417"
"09107";"С263ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009242";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09110";"С260ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009245";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09115";"Р910КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009250";"HYUNDAI ACCENT";"773573035517";"311774624800406"
"09133";"Х741ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009268";"HYUNDAI SONATA";"773573035517";"311774624800406"
"09161";"Х026ТК77";"ГОРБАЧЕВ АНДРЕЙ ЕВГЕНЬЕВИЧ";"009326";"GAZ 3102";"771301833604";"311774625500880"
"09186";"М213ОС197";"КУЗИН АЛЕКСАНДР ВАЛЕНТИНОВИЧ";"009351";"NISSAN ALMERA CLASSIC 1.6PE";"772802197912";"311774628000932"
"09190";"Х289ЕК197";"ГОНЧАРОВ РОМАН ВЛАДИМИРОВИЧ";"009356";"RENAULT LAGUNA 2ESTATEDY118BD";"774302871830";"309774625900817"
"09207";"Н449КН177";"Зарубин Андрей Викторович";"009374";"VAZ 21074";"772072765888";"308770000398730"
"09219";"С361ОН197";"ДЖАФАРОВ РАССУЛ САДЫ ОГЛЫ";"009385";"DAEWOO NEXIA";"741856333720";"311741828600031"
"09223";"С974ОУ197";"ООО ""ТАКСИ""";"009389";"Peugeot Partner";"7714526095";"1037789018849"
"09226";"А807КЕ197";"СЛЕСАРЕВ ИГОРЬ ВЛАДИМИРОВИЧ";"009402";"FIAT DOBLO 223AXP1A";"773383804556";"311774629901108"
"09230";"Р702РВ197";"ООО ""Роял Авто""";"009395";"RENAULT LOGAN";"7724795700";"1117746512971"
"09233";"В513ОВ197";"КАНКИЯ ТЕЙМУРАЗ ВЛАДИМИРОВИЧ";"009398";"VOLKSWAGEN PASSAT";"772965022901";"305770000263185"
"09234";"Т961ОМ197";"КОТОН АЛЕКСАНДР МИХАЙЛОВИЧ";"009399";"CHEVROLET LACETTI L200/KLAN";"772003059916";"309774611200711"
"09235";"Х873НВ161";"Сипетин Виктор Александрович";"009400";"FORD FOCUS";"611501316835";"311617322000032"
"09236";"А118ОМ197";"ГОЖЕНКО ГЕОРГИЙ МИХАЙЛОВИЧ";"009403";"FORD FOCUS";"772000317196";"304770000511146"
"09238";"О070НА197";"Зардиашвили Джемали Нодарович";"009404";"Renault SR";"773165075631";"311774617300164"
"09239";"Е743ЕВ197";"МЕЛКОНЯН ВАСАК ГРАСТАНОВИЧ";"009414";"NISSAN ALMERA CLASSIC";"771475313755";"311774613600115"
"09242";"У289МН197";"ГОРЕЛКО НИКОЛАЙ ИВАНОВИЧ";"009416";"HYUNDAI SOLARIS 1.6 GIMT";"773112281969";"310774632000452"
"09243";"Х076ЕН197";"ВАСИЛЬЕВ ВЛАДИМИР НИКОЛАЕВИЧ";"009417";"NISSAN X-TRAIL";"772700374400";"307770000420524"
"09245";"Х817ТМ197";"Соломенцев Виктор Иванович";"016716";"SKODA OCTAVIA";"771903993179";"308770000416042"
"09246";"А322АТ177";"Мурадов Полад Бахаддин Оглы";"009406";"Chevrolet ВИВА";"773573324646";"310774627300941"
"09247";"Т640ТК97";"ЛУЗГАНОВ АЛЕКСАНДР ЮРЬЕВИЧ";"009420";"HYUNDAI ELANTRA 1.6GL";"771803769529";"311774629000316"
"09248";"К993МК197";"Жамалов Руслан Яруллович";"009421";"KIA CERATO";"771877715038";"311774630000948"
"09257";"С813ОУ197";"ООО ""Авалком""";"009430";"RENAULT LOGAN";"7701649702";"1067746392724"
"09259";"Т453ОУ197";"Иночкин Игорь Васильевич";"009407";"Kia Rio";"772151255294";"308774633300067"
"09264";"Е406ТУ197";"ТРУСИЛЬНИКОВА АНЖЕЛИКА НИКОЛАЕВНА";"017882";"RENAULT LOGAN";"770100604306";"311774628700971"
"09267";"Р661КЕ197";"СУХИНИН АЛЕКСАНДР НИКОЛАЕВИЧ";"009435";"FORD FOCUS";"772201927850";"309774630201132"
"09268";"В232РА199";"Гугнин Валентин Николаевич";"009412";"Ford Focus";"772365085473";"306770000569782"
"09270";"С463ОМ197";"МИННИБАЕВ АЛИ ХАЙДЯРОВИЧ";"009436";"ZAZ CHANCE";"771614243113";"304770000622924"
"09271";"Н380ОК197";"МАХМУДОВ МИРЗА КАМИЛЬ ОГЛЫ";"009437";"CHEVROLET LACETTI";"772465160188";"309774605500816"
"09272";"М554НУ177";"Гришин Дмитрий Владимирович";"009438";"Renault Logan SR";"771801345517";"307770000204780"
"09282";"О207ОВ197";"ООО ""ВИАДУК АВТО""";"009452";"Hyundai SOLARIS";"7724775703";"1117746044481"
"09284";"Р865ОО197";"ООО ""ВИАДУК АВТО""";"009454";"Hyundai SOLARIS";"7724775703";"1117746044481"
"09285";"С579ТХ197";"Асташкин Олег Борисович";"009439";"KIA TD CERATOFORTE";"771802781121";"309774606900515"
"09291";"О550АУ197";"Кудряшов Сергей Александрович";"009458";"FORD MONDEO";"132707103246";"311774618501060"
"09295";"Р239ОУ62";"Тумасян Аршак Суренович";"009442";"Ford Mondeo";"690139747031";"304690111100235"
"09297";"Х367РА199";"КОНОНЕНКО АЛЕКСАНДР НИКОЛАЕВИЧ";"009463";"OPEL ASTRA (A-N)";"773571856758";"309774625901163"
"09298";"А457ХЕ97";"ТАБАТАДЗЕ РОИНИ ВАРЛАМОВИЧ";"009464";"MAZDA 3";"771600026060";"306770000251077"
"09301";"М496УО77";"Чабрин Юрий Музафарович";"027035";"Ford Focus";"773409042400";"310774622300026"
"09306";"К748МТ32";"Лыков Евгений Николаевич";"009472";"РЕНО Logan (SR)";"501905715160";"308325228900022"
"09310";"У685РЕ190";"МОЛОЗЕВ МИХАИЛ ВИКТОРОВИЧ";"009476";"CHEVROLET LACETTI";"503605587305";"308507435100012"
