0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
140;362;ст. Монино – Москва (м. Щелковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;2;Не регламентируется;Не регламентируется;38;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 2018";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 2018";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
141;363;Протвино – Москва (м. Южная);Южная-прям. напр. :,Варшавское шоссе,Днепропетровская улица,Кировоградская улица,Сумская улицаобр. напр. ::;21;Не регламентируется;Не регламентируется;101,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 12,3,4567; кол-во рейсов: 2421251918";"день нед.: 12,3,4567; кол-во рейсов: 2421251918";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
144;366;ст.Крюково (г.Зеленоград) - Юрлово (МО);"прям. напр. : ст.Крюково (г.Зеленоград) - Юрлово (МО)
обр. напр. : Юрлово (МО) - ст.Крюково (г.Зеленоград)";2;Не регламентируется;Не регламентируется;14,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
145;367;м.Домодедовская - Володарского;Домодедовская-прям. напр. :обр. напр. ::;7;Не регламентируется;Не регламентируется;23;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 80";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 80";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
149;372;ст. Истра – Москва (а/с Тушинская);Тушинская-прям. напр. :,Волоколамское шоссеобр. напр. ::;11;Не регламентируется;Не регламентируется;45,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 74";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 74";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
150;373;ст.м.Выхино - Люберцы (ул.Космонатов);Выхино-прям. напр. :,улица Хлобыстова,Рязанский проспект,Лермонтовский проспектобр. напр. ::;12;Не регламентируется;Не регламентируется;9,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";ООО СТАФФТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
154;379;Видное (ст.Расторгуево) - ст.Бутово;"прям. напр. : Видное (ст.Расторгуево) - ст.Бутово
обр. напр. : ст.Бутово - Видное (ст.Расторгуево)";2;Не регламентируется;Не регламентируется;14,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 46";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 46";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
155;381;Кашира (ул. Вахрушева) – Москва (м. Домодедовская);Красногвардейская-прям. напр. :,Каширское шоссе,Ясеневая улица,Ореховый бульвар,Ясеневая улица,Каширское шоссеобр. напр. ::;5;Не регламентируется;Не регламентируется;114,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
159;385;г.Балашиха-2 - м.Партизанская;Партизанская-прям. напр. :обр. напр. ::;5;Не регламентируется;Не регламентируется;20,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 50";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 50";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
160;385;Балашиха-2-г.Москва (м.Партизанская);Партизанская-прям. напр. :,Главная аллея,шоссе Энтузиастовобр. напр. ::;5;Не регламентируется;Не регламентируется;20,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 50";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 50";ИП ЗОТИН В.А.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
164;390;ст.Крюково(Зеленоград) - ВНИИПП (МО);-прям. напр. :,город Зеленоград,Панфиловский проспект,площадь Юности,Центральный проспект,площадь Юности,Панфиловский проспект,Ленинградское шоссеобр. напр. ::;3;Не регламентируется;Не регламентируется;9,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 38";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 38";ООО АВТО-ВОЯЖ (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
165;390;г. Зеленоград (ст. Крюково) - ВНИИПП;"прям. напр. : г. Зеленоград (ст. Крюково) - ВНИИПП
обр. напр. : ВНИИПП - г. Зеленоград (ст. Крюково)";2;Не регламентируется;Не регламентируется;13,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 56";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 56";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
169;394;Ногинск (Глухово) – Москва (м. Партизанская);Партизанская-прям. напр. :,Измайловское шоссе,Главная аллея,шоссе Энтузиастовобр. напр. :: г Ногинск,г Москва;18;Не регламентируется;Не регламентируется;54;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: ";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: ";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
170;395;Балашиха-2 – Москва (м. Щёлковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;13;Не регламентируется;Не регламентируется;13,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 234";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 234";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
171;396;Балашиха (а/с Южная) – Москва (м. Щёлковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;15;Не регламентируется;Не регламентируется;19,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 204";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 204";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
172;397;Оболенск – Москва (м. Южная);Южная-прям. напр. :,Варшавское шоссе,Днепропетровская улица,Кировоградская улица,Сумская улицаобр. напр. ::;9;Не регламентируется;Не регламентируется;97,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 12,3,456,7; кол-во рейсов: 109109";"день нед.: 12,3,456,7; кол-во рейсов: 109109";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
176;403;г.Зеленоград (ст.Крюково) - д.Соколово;"прям. напр. : г.Зеленоград (ст.Крюково) - д.Соколово
обр. напр. : д.Соколово - г.Зеленоград (ст.Крюково)";3;Не регламентируется;Не регламентируется;23,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 78";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 78";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
177;403;Малино – Мещерино – Москва (а/с Выхино);Выхино-прям. напр. :,улица Хлобыстова,Рязанский проезд,МКАД, 10-й километробр. напр. ::;4;Не регламентируется;Не регламентируется;103,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 12";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 12";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
181;406;Подольск (пл.Юбилейная)-Москва (м.Южная);Южная-прям. напр. :,Варшавское шоссе,улица Академика Янгеля,Кировоградская улица,Сумская улицаобр. напр. ::;30;Не регламентируется;Не регламентируется;27,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
182;406;Подольск (пл. Юбилейная) – Москва (м. Южная);Южная-прям. напр. :,Варшавское шоссе,улица Академика Янгеля,Кировоградская улица,Сумская улицаобр. напр. ::;15;Не регламентируется;Не регламентируется;27,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,67; кол-во рейсов: 10796";"день нед.: 1,2,3,4,5,67; кол-во рейсов: 10796";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
305;533;Калуга-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улицаобр. напр. :: г Калуга,г Москва;10;Не регламентируется;Не регламентируется;174;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .14:10 13:10 12:30 12:10 10:50 10:30 09:30 08:30 08:00 10:00 15:35 17:05 18:30 19:30 20:30 отпр.16:35 15:40 14:55 13:40 13:10 11:50 10:10 08:35 08:15 11:10 17:25 18:25 19:10 20:20 21:10";"день нед.: 1,2,3,4,5,6,7; приб. .14:10 13:10 12:30 12:10 10:50 10:30 09:30 08:30 08:00 10:00 15:35 17:05 18:30 19:30 20:30 отпр.16:35 15:40 14:55 13:40 13:10 11:50 10:10 08:35 08:15 11:10 17:25 18:25 19:10 20:20 21:10";ООО КОМАВТОТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
317;539;Таруса-Москва (Теплый стан);Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 33-й километробр. напр. :: г Таруса,г Серпухов,г Чехов,г Москва;7;Не регламентируется;Не регламентируется;124;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .08:10 12:30 20:05 16:45 18:30 18:30 16:45 отпр.09:10 12:55 20:10 17:10 19:00 19:00 17:10";"день нед.: 1,2,3,4,5,6,7; приб. .08:10 12:30 20:05 16:45 18:30 18:30 16:45 отпр.09:10 12:55 20:10 17:10 19:00 19:00 17:10";ОАО АВТОМОБИЛИСТ ТАРУСА;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
318;539;м/р Кожухово - ст.Люберцы;-прям. напр. :,Святоозерская улица,улица Рудневка,Лухмановская улицаобр. напр. ::;8;Не регламентируется;Не регламентируется;7,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";ООО СТАФФТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
323;542;ст. м. Тушинская - г.Красногорск (27-й км);Тушинская-прям. напр. :обр. напр. ::;12;Не регламентируется;Не регламентируется;14,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 232";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 232";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
