0_Код;1_Название;1_Краткое наименование;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон руководителя;1_Факс;1_Доп информация;0_Мощность;0_Детское население;0_MODDATE;0_MODUSER;0_Признак закрытого ЛПУ;0_Причина закрытия;0_Главное ЛПУ;0_Должность руководителя;0_Дата закрытия;0_Дата повторного открытия после закрытия;0_X;0_Y
18;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 205 Департамента здравоохранения  города Москвы»; Городская поликлиника № 205 Департамента здравоохранения  города Москвы;117647, Москва, ул. Профсоюзная, д.111а;ЮЗАО;Камалов Марат Тимерханович;420-3133;420-0611;с 15.09.2012г. присоединяется к «КДЦ № 1»;-;3310;;;;;;;;;1529,0537;-3936,4403
19;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 208  Департамента здравоохранения города Москвы»;Городская поликлиника № 208  Департамента здравоохранения города Москвы;113648, Москва, Северное Чертаново, кор.805;ЮАО;и.о. Захаров Виталий Владиславович;310-9388;3109388;с 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»;-;3685;;;;;;;;;5959,8373;-3754,0651
21;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219  Департамента здравоохранения  города Москвы»; Городская поликлиника № 219  Департамента здравоохранения  города Москвы;125373, Москва, бул. Яна Райниса, д.47;СЗАО;Тедтоев Таймураз Асламбекович;948-3200;948-2500;отсутствует;-;4800;;;;;;;;;-5799,377;20323,2156
22;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 221  Департамента здравоохранения города Москвы»; Городская поликлиника № 221  Департамента здравоохранения города Москвы;117628, Москва, ул. Ратная, д.8в;ЮЗАО;Ульянов Валентин Юрьевич;711-1572;711-0445;с 15.09.2012г. присоединяется к «КДП № 121»;-;2654;;;;;;;;;5295,6112;-10282,9537
23;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 1  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 1  Департамента здравоохранения города Москвы;115407, Москва, ул. Затонная, д.11,к.1;ЮАО; Майорова Людмила Павловна;8-499-614-6649;8-499-614-6649;с 01.11.2012г. присоединяется к «ДГП № 91»;320;9731;;;;;;;;;11817,1644;1330,9851
24;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 2 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 2 Департамента здравоохранения города Москвы;113453, Москва, ул. Ялтинская, д.1,кор.2;ЮАО;Бучнева Наталья Николаевна;8-499-619-1117;8-499-610-0586;с 01.11.2012г. присоединяется к «ДГП № 129»;320;10995;;;;;;;;;7073,7259;-1971,0997
26;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 4 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 4 Департамента здравоохранения города Москвы;125481, Москва, ул. Планерная, д.16;СЗАО;Мохова Татьяна Александровна;494-21-64;494-2164;с 01.11.2012г. присоединяется к «ДГП № 94»;330;12000;;;;;;;;;-3808,808;22038,5324
27;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 5 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 5 Департамента здравоохранения города Москвы;107140, Москва, ул. Русаковская, д.3;ЦАО;и.о.Калинина Виолетта Олеговна;(499) 264-2467;(499) 264-7808;с 01.11.2012г. присоединяется к «ДГП № 32»;66;5700;;;;;;;;;10806,0001;12827,8512
28;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 6  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 6  Департамента здравоохранения города Москвы;123154, Москва, бульвар генерала Карбышева, д.3;СЗАО;Хохлова Ольга Кирилловна;8-499-199-0323;8-499-199-8110;с 01.11.2012г. присоединяется к «ДГП № 94;320;12200;;;;;;;;;-1906,7773;12383,6175
29;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 7  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 7  Департамента здравоохранения  города Москвы;111538, Москва, ул. Молдагуловой , д.5а;ВАО;Королева Людмила Владимировна;8-499-373-5711;8-499-373-5711;АМБУЛАТОРНЫЙ ЦЕНТР;480;11050;;;;;;;;;20365,1251;6314,6123
30;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 8    Департамента здравоохранения города Москвы»; Детская городская поликлиника № 8    Департамента здравоохранения города Москвы;127349, Москва, ул. Лескова, д.8б;СВАО;Попова Елена Евгеньевна;(499) 909-8826;(499) 909-8826;с 01.11.2012г. присоединяется к «ДГП № 125»;320;13287;;;;;;;;;6058,5633;25477,8922
31;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 9  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 9  Департамента здравоохранения города Москвы;129347, Москва, ул. Лосевская, д.4;СВАО;Заварухин Сергей Иванович;(499) 182-1329;(499) 183-1329;с 01.11.2012г. присоединяется к «ДГП № 99»;320;14727;;;;;;;;;13315,3578;22938,3855
32;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 10  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 10  Департамента здравоохранения  города Москвы;117331, Москва, ул. Марии Ульяновой, д.13;ЮЗАО;и.о. Цыгина Екатерина Александровна;8-499-138-0343;8-499-138-0343;с 01.11.2012г. присоединяется к «ДГП № 99»;320;9026;;;;;;;;;1586,3461;1478,1138
33;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 11  Департамента здравоохранения   города Москвы»; Детская городская поликлиника № 11  Департамента здравоохранения   города Москвы;127224, Москва, ул. Грекова, д. 10а;СВАО;Стрижеченко Любовь Васильевна;(499) 478-0227;(499) 478-0227;амбулаторный центр;320;20195;;;;;;;;;10360,9429;24737,5725
34;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 12  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 12  Департамента здравоохранения города Москвы;115582, Москва, ул. Домодедовская. д.34, кор.2;ЮАО;Пронько Николай Александрович;391-7800;391-7800;амбулаторный центр;480;14399;;;;;;;;;13462,11;-7023,5356
35;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 13  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 13  Департамента здравоохранения  города Москвы;109456, Москва, ул. Яснополянская, д.8;ЮВАО; и.о. Михеечева Галина Николаевна;8-499-170-2847;8-499-171-2901;с 01.11.2012г. присоединяется к «ДГП № 143»;378;8600;;;;;;;;;18305,0963;6241,593
36;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 14  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 14  Департамента здравоохранения  города Москвы;111396, Москва, Союзный проспект, д. 12а;ВАО;Хмырова Лариса Леонидовна;302-7155;302-7155;с 01.11.2012г. присоединяется к «ДГП № 7»;320;18533;;;;;;;;;19767,3494;9222,0583
37;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 15  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 15  Департамента здравоохранения города Москвы;127422, Москва, ул. Всеволода Вишневского, д. 4а;САО;Гусейнова Анисат Яхъяевна; (499) 976-6964;(499) 976-4310;амбулаторный центр;320;12311;;;;;;;;;4776,9752;16332,8192
53;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 30  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 30  Департамента здравоохранения  города Москвы;121170, Москва, ул. Поклонная, д.8, кор.2а;ЗАО;Чернов Кирилл Вячеславович;8-499-249-2313;8-499-249-2313;с 01.11.2012г. Амбулаторный центр;320;14300;;;;;;;;;1976,001;7780,2855
55;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 32  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 32  Департамента здравоохранения  города Москвы;125047, Москва, ул. Фадеева, д. 8;ЦАО;Иванова Ирина Владимировна;(499) 250-0175;(499) 250-0175;амбулаторный центр;320;5200;;;;;;;;;6221,8218;12098,0993
56;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 33  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 33  Департамента здравоохранения  города Москвы;123308, Москва, ул. Демьяна Бедного, д.18, кор.1;СЗАО;Чередникова Татьяна Александровна;8-499-192-5160;8-499-192-5160;с 01.11.2012г. присоединяется к «ДГП № 94»;320;9300;;;;;;;;;-598,857;12295,1424
54;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 31 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 31 Департамента здравоохранения города Москвы;111394, Москва, ул. Утренняя, д.18а;ВАО;Шатайла Евгения Владимировна;368-5222;368-5508;с 01.11.2012г. присоединяется к «ДГП № 7»;320;13009;;;;;;;;;18780,0501;9017,0687
57;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 34  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 34  Департамента здравоохранения города Москвы;107078, Москва, Большой Козловский пер., д.9;ЦАО;Дроздова Любовь Константиновна;(495) 607-2840;(495) 607-2121;с 01.11.2012г. присоединяется к «ДГП № 104»;320;12100;;;;;;;;;9360,3501;11144,807
58;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 35 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 35 Департамента здравоохранения города Москвы;119270, Москва, 3-я Фрунзенская ул.,д.6;ЦАО;Баклинов Дмитрий Владиславович;(499) 242-4916;(499) 242-4916;с 01.11.2012г. присоединяется к «ДГП № 38»;76;5000;;;;;;;;;5250,1876;5967,7751
59;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 36  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 36  Департамента здравоохранения города Москвы;123298, Москва, ул. Берзарина, д. 4;СЗАО;Падернева Татьяна Анатольевна;8-499-198-8243;8-499-198-8243;с 01.11.2012г. присоединяется к «ДГП № 58»;124;8100;;;;;;;;;-170,8963;13582,2512
60;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 37   Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 37   Департамента здравоохранения  города Москвы;125581, Москва, ул. Флотская, д.9а, стр.1;САО;Яковлева Галина Юрьевна;(495) 455-8866;(495) 455-6631;с 01.11.2012г. присоединяется к «ДГП № 133»;320;12549;;;;;;;;;172,2573;20953,5599
61;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 38  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 38  Департамента здравоохранения  города Москвы;119048, Москва, ул. 10 лет Октября, д.2;ЦАО;Касьянов Павел Павлович;(499) 246-0288;(499) 246-0288;амбулаторный центр;185;10400;;;;;;;;;3971,725;6500,0751
62;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 39  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 39  Департамента здравоохранения города Москвы;125252, Москва, проезд Березовой рощи, д.2;САО;Павлова Светлана Викторовна;(499) 762-6309;(499) 762-6309;амбулаторный центр;320;11697;;;;;;;;;1436,4939;13144,3187
63;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 40 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 40 Департамента здравоохранения города Москвы;115404, Москва, ул. Бирюлевская, д.25;ЮАО;Петровский Максим Федорович;326-9529;326-9529;с 01.11.2012г. присоединяется к «ДГП № 23»;320;10350;;;;;;;;;10467,8843;-8180,6935
64;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 41  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 41  Департамента здравоохранения города Москвы;119333, Москва, Университетский проспект, д.4;ЮЗАО;Селихова Раиса Николаевна;8-499-137-3508;8-499-137-3508;с 01.11.2012г. присоединяется к «ДГП № 10»;208;7800;;;;;;;;;3586,5168;3319,9344
65;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 42  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 42  Департамента здравоохранения города Москвы;117463, Москва, ул. Голубинская, д.23, кор.2;ЮЗАО;Чистякова Мария Александровна;421-7719;421-5577;амбулаторный центр;480;5535;;;;;;;;;2160,417;-7543,3313
66;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 44  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 44  Департамента здравоохранения  города Москвы;127562, Москва, ул. Хачатуряна, д.3;СВАО;Корчагина Елена Викторовна;(499) 201-0633;(499) 201-0633;с 01.11.2012г. присоединяется к «ДГП № 110»;320;15714;;;;;;;;;5571,9617;21178,8506
67;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 45  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 45  Департамента здравоохранения  города Москвы;125171, Москва, ул. Зои и Александра Космодемьянских, д.4;САО;Шведова Мария Владимировна;(499) 159-6610;(499) 150-9315;с 01.11.2012г. присоединяется к «ДГП № 133»;120;9299;;;;;;;;;268,3829;16779,1149
68;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 46  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 46  Департамента здравоохранения  города Москвы;117342, Москва, ул. генерала Антонова, д.11;СЗАО;Мельников Кирилл Владимирович;333-7041;333-7041;с 01.11.2012г. присоединяется к «ДГП № 81»;320;11200;;;;;;;;;2656,5851;-2638,0901
71;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 49  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 49  Департамента здравоохранения города Москвы;109378, Москва, ул. Федора Полетаева, д.22;ЮВАО;и.о.гл.вр. Зотова Светлана Васильевна;8-499-175-5394;8-499-175-5394;с 01.11.2012г. присоединяется к «ДГП № 48»;320;12800;;;;;;;;;17642,7501;4830,8919
72;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 50  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 50  Департамента здравоохранения  города Москвы;121108, Москва, ул. Пивченкова, д.9;ЗАО;Орловская Ольга Юрьевна;8-499-144-0787;8-499-144-0787;с 01.11.2012г. присоединяется к «ДГП № 130»;320;11100;;;;;;;;;-1431,8569;7727,1635
73;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 51  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 51  Департамента здравоохранения города Москвы;121353, Москва, ул. Беловежская, д.43;ЗАО;Малеванная Зоя Антоновна;446-3369;447-3814;с 01.11.2012г. присоединяется к «ДГП № 30»;320;12700;;;;;;;;;-6536,1737;4812,3717
74;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 52  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 52  Департамента здравоохранения города Москвы;105318,Москва, ул. Зверинецкая, д.15;ВАО;Омелянюк Евгений Пантелеймонович; 8-499-785-0093;8-499-785-0093;амбулаторный центр;480;11253;;;;;;;;;14706,7233;13138,6251
75;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 53 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 53 Департамента здравоохранения города Москвы;109057, Москва, Самаркандский бульвар, д.17,кор.2;ЮВАО;Таланова Валерия Васильевна;376-5739;376-5739;с 01.11.2012г. присоединяется к «ДГП № 143»;327;10600;;;;;;;;;19951,0002;3205,9999
76;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 54  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 54  Департамента здравоохранения города Москвы;124683, г. Зеленоград, корпус 1513;ЗЕЛЕНОГРАД;Агамалиева Лилия Фазиловна;8-499-717-5202;8-499-717-0682;с 01.11.2012г. присоединяется к «ДГП № 105»;320;16300;;;;;;;;;-21043,7809;34951,7082
77;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 55  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 55  Департамента здравоохранения  города Москвы;129626, Москва, Староалексеевская ул., д.18;СВАО;Моисеева Елена Ивановна;(495) 687-5830;(495) 687-5830;с 01.11.2012г. присоединяется к «ДГП № 99»;320;15612;;;;;;;;;9038,566;15863,82
78;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 56 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 56 Департамента здравоохранения города Москвы;117246, Москва, Севастопольский проспект, д.40;ЮЗАО;Большакова Светлана Леонидовна;332-2477;332-2477;с 01.11.2012г. присоединяется к «ДГП № 69»;320;10500;;;;;;;;;4458,992;-1269,8211
79;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 57  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 57  Департамента здравоохранения города Москвы;119454, Москва, проспект Вернадского, д.28;ЗАО;Кочемасова Валентина Ивановна;431-1718;431-1718;с 01.11.2012г. присоединяется к «ДГП № 131»;320;9500;;;;;;;;;125,0766;1093,4457
80;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 58  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 58  Департамента здравоохранения города Москвы;123458, Москва, ул. Твардовского, д.5, кор.4;СЗАО;Горностаева Любовь Михайловна;750-2346;750-2346;амбулаторный центр;480;11900;;;;;;;;;-6459,6548;14505,9923
81;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 59  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 59  Департамента здравоохранения  города Москвы;109443, Москва, Есенинский бульвар, д.12,кор.1;ЮВАО;Мустафина Гользифа Анясовна;8-499-172-0698;8-499-172-7749;с 01.11.2012г. присоединяется к «ДГП № 48»;320;11700;;;;;;;;;17526,6635;3893,5038
