№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
15	Государственное бюджетное учреждение культуры города Москвы «Московский театральный центр «Вишневый сад» под руководством Александра Вилькина»	121002, г.Москва, ул. Арбат, д.35	Центральный АО	Арбат	119048, г.Москва, ул. Доватора, д.23	(499) 248-11-62, (499) 795-91-92, (499) 248-43-73	(499) 248-11-62	http://vishnevii-sad.ru	gardencherry@mail.ru
16	Государственное бюджетное учреждение культуры города Москвы «Московский детский камерный театр кукол»	129128, г.Москва, ул. Бажова, д.9	Северо-Восточный АО	Ростокино	129128, г.Москва, ул. Бажова, д.9	(499) 181-51-41, (499) 181-03-91	(499) 181-03-91	mdktk.ru	mdktk@mail.ru
17	Государственное бюджетное учреждение культуры города Москвы «Московский культурный фольклорный центр под руководством Людмилы Рюминой»	121096, г.Москва, ул. Барклая, д.9	Западный АО	Филевский парк	121096, г.Москва, ул. Барклая, д.9	(499) 730-79-91, (499) 730-79-69, (499) 730-79-61	(499) 730-79-91	rumina.ru	t7307969@yandex.ru
18	Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады»	105005, г.Москва, ул. Бауманская, д.32 стр.1	Центральный АО	Басманный	105005, г.Москва, ул. Бауманская, д.32 стр.1	(495) 632-16-22, (495) 632-18-44	(495) 632-18-44	vstudio.ru	mdte @mail.ru
19	Государственное бюджетное учреждение культуры города Москвы «Театр «Центр драматургии и режиссуры»	125248, г.Москва, ул. Беговая, д.5	Северный АО	Беговой	125248, г.Москва, ул. Беговая, д.5	(495) 946-19-28	(495) 946-19-28	сdr.theatre.ru	kazantsev-center@mail.ru
20	Государственное бюджетное учреждение культуры города Москвы «Московский академический Музыкальный театр имени народных артистов К.С. Станиславского и Вл. И. Немировича-Данченко»	125009, г.Москва, ул. Большая Дмитровка, д.17	Центральный АО	Тверской	125009, г.Москва, ул. Большая Дмитровка, д.17	(495) 629-90-48, (495) 629-06-49	(495) 629-06-49	stanmus.ru	office@stanmus.ru
21	Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический театр оперетты»	125009, г.Москва, ул. Большая Дмитровка, д.6	Центральный АО	Тверской	125009, г.Москва, ул. Большая Дмитровка, д.6	(495) 692-08-51, (495) 692-52-08	(495) 692-88-96	mosoperetta.ru	operettabuh@mail.ru
22	Государственное бюджетное учреждение культуры города Москвы «Московский академический театр имени Вл. Маяковского»	125009, г.Москва, ул. Большая Никитская, д.19/13	Центральный АО	Пресненский	125009, г.Москва, ул. Большая Никитская, д.19/13	(495) 690-33-82, (495) 690-27-25	(495) 690-27-25	mayakovsky.ru	teatr@maykovsky.ru
23	Государственное бюджетное учреждение культуры города Москвы «Московский театр «У Никитских ворот»	119019, г.Москва, ул. Большая Никитская, д.23/14/9	Центральный АО	Пресненский	119019, г.Москва, ул. Большая Никитская, д.23/14/9	(495) 691-84-19, (495) 695-56-44, (495) 691-07-94, (495) 691-95-38	(495) 691-84-19, (495) 691-95-38	teatrunikitskihvorot.ru	info2@teatr-unik.ru
24	Государственное бюджетное учреждение культуры города Москвы «Театр музыки и поэзии под руководством Е.Камбуровой»	119435, г.Москва, ул. Большая Пироговская, д.53	Центральный АО	Мещанский	119435, г.Москва, ул. Большая Пироговская, д.53/55	(499) 246-81-75, (499) 246-82-06, (499) 246-80-06	(499) 246-81-75	kamburova.theatre.ru	ad-kamburova@theatre.ru
25	Государственное бюджетное учреждение культуры города Москвы «Государственный академический театр имени Моссовета»	125009, г.Москва, ул. Большая Садовая, д.16	Центральный АО	Пресненский	125009, г.Москва, ул. Большая Садовая, д.16	(495) 699-27-66, (495) 699-64-21	(495) 699-27-66	mossoveta.ru	info@mossoveta.ru
26	Государственное бюджетное учреждение культуры города Москвы «Московский Открытый студенческий театр»	123001, г.Москва, ул. Большая Садовая, д.6	Центральный АО	Пресненский	123001, г.Москва, ул. Большая Садовая, д.6	(495) 699-59-41, (495) 699-81-37	(495) 699-81-37	sadovaya6.ru	most_theatre@mail.ru
27	Государственное бюджетное учреждение культуры города Москвы «Московский театр иллюзии»	111538, г.Москва, ул. Вешняковская, д.16а	Восточный АО	Вешняки	111538, г.Москва, ул. Вешняковская, д.16а	(495) 374-03-11, (495) 374-58-41	(495) 374-03-11	teatrmagic.ru	teatrmagic@mail.ru
28	Государственное бюджетное учреждение культуры города Москвы «Московский музыкальный театр для детей и юношества «На Басманной»	107066, г.Москва, 1-й Басманный пер., д.12	Центральный АО	Басманный	107066, г.Москва, 1-й Басманный пр-д, д.12	(495) 607-60-80, (495) 607-67-48, (495) 607-40-28	(495) 607-67-48	mteatr.ru	muzteatr@yandex.ru
29	Государственное бюджетное учреждение культуры города Москвы «Московская государственная творческая мастерская под руководством Алексея Рыбникова»	121069, г.Москва, Большой Ржевский пер., д.11	Центральный АО	Арбат	121069, г.Москва, Большой Ржевский пер., д.11	(495) 690-40-16, (495) 690-38-55, (495) 690-40-23	(495) 690-40-23	alexeyrybnikov.ru	mocmgtm@mail.ru
30	Государственное бюджетное учреждение культуры города Москвы «Московский детский Сказочный театр»	109004, г.Москва, Большой Факельный пер., д.18 стр.3, 4, 5	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.18 стр.1	(495) 911-04-38, (495) 912-28-78	(495) 912-28-78	teatr-skazka.ru	skaz.teatr@mail.ru
31	Государственное бюджетное учреждение культуры города Москвы «Московский еврейский театр «Шалом»	117556, г.Москва, Варшавское ш., д.71 корп.1	Южный АО	Нагорный	117556, г.Москва, Варшавское ш., д.71 корп.1	(499) 613-27-53, (499) 610-78-86	(499) 610-29-98	shalom-theatre.ru	shalom.teatr@gmail.com
32	Государственное бюджетное учреждение культуры города Москвы «Московский театр Около дома Станиславского»	125009, г.Москва, Вознесенский пер., д.9, стр.1	Центральный АО	Пресненский	125009, г.Москва, Вознесенский пер., д.9а	(495) 691-17-08, (495) 695-37-21	(495) 695-37-21	okolo.ru	2411576@mail.ru
33	Государственное бюджетное учреждение культуры города Москвы «Московский детский театр теней»	105007, г.Москва, Измайловский б-р, д.60/10	Восточный АО	Восточное Измайлово	105007, г.Москва, Измайловский б-р, д.60/10	(495) 465-50-70	(495) 465-50-70	teniteatr.ru	info@teniteatr.ru
34	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени Рубена Симонова»	119002, г.Москва, Калошин пер., д.10 стр.2	Центральный АО	Арбат	119048, г.Москва, ул. Доваторов, д.12 корп.2 стр.5	(499) 248-26-80, (499) 248-20-61	(499) 248-20-61	teatr-simonova.ru	mdtrubensimonov@yandex.ru
35	Государственное бюджетное учреждение культуры города Москвы «Театр кошек Куклачева»	121151, г.Москва, Кутузовский пр-т, д.25	Западный АО	Дорогомилово	121151, г.Москва, Кутузовский пр-т, д.25	(499) 249-65-70	(499) 249-65-70	catstheatre.ru	tkk-69@mail.ru
36	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Мастерская П.Н.Фоменко»	112165, г.Москва, Кутузовский пр-т, д.30/32	Западный АО	Дорогомилово	112165, г.Москва, Кутузовский пр-т, д.30/32	(495) 645-33-55, (495) 645-33-18	(499) 249-51-29	fomenko.theatre.ru	fomenko@theatre.ru
37	Государственное бюджетное учреждение культуры города Москвы «Московский театр на Юго-Западе»	119571, г.Москва, пр-т Вернадского, д.125	Западный АО	Тропарево-Никулино	119571, г.Москва, пр-т Вернадского, д.125	(495) 434-60-00	(495) 434-60-00	teatr-uz.ru	teatr.uz@gmail.com
38	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Варьете»	129110, г.Москва, пр-т Мира, д.76 стр.2	Центральный АО	Мещанский	129110, г.Москва, пр-т Мира, д.76 стр.2	(495) 681-63-57	(495) 681-63-57	theatre-variete.com	variete@list.ru
39	Государственное бюджетное учреждение культуры города Москвы «Московский академический театр имени Вл. Маяковского»	107045, г.Москва, Пушкарев пер., д.21/24	Центральный АО	Пресненский	125009, г.Москва, ул. Большая Никитская, д.19/13	(495) 690-33-82, (495) 690-27-25	(495) 690-27-25	mayakovsky.ru	teatr@maykovsky.ru
40	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Человек»	121069, г.Москва, Скатертный пер., д.22	Центральный АО	Пресненский	121069, г.Москва, Скатертный пер., д.23а	(495) 691-15-11, (495) 691-19-21	(495) 691-19-21	chelovek-theatre.ru	buh@chelovek-theatre.ru
41	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Человек»	121069, г.Москва, Скатертный пер., д.23 стр.3	Центральный АО	Пресненский	121069, г.Москва, Скатертный пер., д.23а	(495) 691-15-11, (495) 691-19-21	(495) 691-19-21	chelovek-theatre.ru	buh@chelovek-theatre.ru
42	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Модернъ»	105082, г.Москва, Спартаковская пл., д.9/1а	Центральный АО	Басманный	105082, г.Москва, Спартаковская пл., д.9/1а	(499) 267-73-86, (499) 267-93-78, (499) 267-71-87,(499) 267-46-01	(499) 267-73-86, (499) 267-93-78	modern-theatre.ru	teatrm@mail.ru
43	Государственное бюджетное учреждение культуры города Москвы «Московский театр А.Р.Т.О.»	101000, г.Москва, Сретенский б-р, д.6/1 стр.2	Центральный АО	Красносельский	101000, г.Москва, Сретенский б-р, д.6/1 стр.2	(495) 624-59-90	(495) 624-59-90	artodom.ru	artoteatr@gmail.com
44	Государственное бюджетное учреждение культуры города Москвы «Московский театр детской книги «Волшебная лампа»	107045, г.Москва, Сретенский б-р, д.9/2 стр.1	Центральный АО	Красносельский	107045, г.Москва, Сретенский б-р, д.9/2 стр.1	(495) 625-69-93, (495) 625-91-63	(495) 625-89-45	magiclamp.ru	marina.gribanowa@yandex.ru
45	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени А.С.Пушкина»	123104, г.Москва, Тверской б-р, д.23	Центральный АО	Пресненский	123104, г.Москва, Тверской б-р, д.23	(495) 694-13-38, (495) 694-01-02	(495) 694-01-02	teatrpushkin.ru	director@teatrpushkin.ru
46	Государственное бюджетное учреждение культуры города Москвы «Московский государственный театр «Эстрады»	119072, г.Москва, Берсеневская наб., д.20/2	Центральный АО	Якиманка	119072, г.Москва, Берсеневская наб., д.20/2	(495) 959-05-93, (495) 959-03-66, (495) 959-03-55, (495) 959-03-41, (495) 959-09-37	(495) 959-09-37	teatr.teatr-estrada.ru	estrada2012buh@yandex.ru
47	Государственное бюджетное учреждение культуры города Москвы «Ведогонь-театр»	124482, г.Москва, Зеленоград, ул. Юности, д.6	Зеленоградский АО	Матушкино-Савелки	124482, г.Москва, Зеленоград, ул. Юности, д.6	(499) 736-69-05	(499) 736-76-63	vedogon-teatr.ru	vedogon-teatr@mail.ru
48	Театр Кирилла Ганина	улица Доброслободская, д.38 стр.1				(499) 204 44 60			
49	Театр старинной музыки МГУ	Ленинские Горы 1				(495) 939 13 86			
50	Три лика	Тверской б-р, 11, в помещении дома-музея М.Н.Ермоловой				8 916 813 81 36			
51	Арт-хаус	Гастелло, 39				(499) 268 23 08, (495) 603 07 79, 603 09 43			
52	Арбат-опера	Арбат, 35				(495) 248 18 05			
53	Costa del Flamenco п/у Лилии Сафиной	3-й Кадашевский пер., д.7-9, стр.1				(495) 962 04 27			
54	На Пресне	Шмитовский пр., 2				(495) 205 19 72			
55	Академия хореографии	2-я Фрунзенская, 5				(499) 242 86 11			
56	Московский армянский театр п/р Славы Степаняна	Советской Армии, 8а				8 903 674 18 84			
57	Театр восточного танца «Мохсира»	улица Пресненский Вал, 27-29, стр.1				(495) 688 10 05, 106 05 06			
58	Opera	Тополевая аллея, 6				8 905 538 37 21			
59	На Карамышевской	Народного ополчения, 4, ДК «Берендей»				(495) 191 64 79, 191 01 75, 478 70 85			
60	Белорусский вокзал	Лесная, 18, ДК им. Зуева				(495) 251 89 21, (499) 973 49 54			
61	Останкинский театр	1-я Останкинская, 5				(495) 683 46 45			
62	Царицыно	Прохладная, 28				(495) 321 51 16			
63	Класс-центр	Б.Академическая, 11а				(499) 767 08 76, 767 09 55			
64	Возвращение	Беломорская, 26				(499) 196 02 26			
65	Театральная студия школы №1089	Берзарина, 19, корп. 2				(499) 197 00 97			
66	Лаборатория студенческого театра МИЭМ	Ленинградский просп., 17				(499) 502 88 67			
67	Русский терем	Костомаровский пер. д.3, стр.1				8 926 380 53 03			
68	Честный театр «Рупор»	Рогова, 1				8 967 120 97 17, 8 925 030 56 93			
69	Студия-69	Верхоянская, 6, корп. 1				(495) 470 03 10			
70	Фигаро	Лубянский пр., 3/6, стр.4				8 903 152 05 97			
71	Арт-компания	Дубосековская улица д.4а, стр.1				8 925 816 39 91			
72	Студия театрального искусства	Станиславского, 21, стр. 7				495) 646 74 59 (касса)			
73	Smile	Солянка, 9а, стр. 1				(495) 649 68 63			
74	Квартет И	Лесная, 18 (ДК им. Зуева)				(499) 973 34 61 (касса), 250 41 15 (заказ билетов),			
75	МХТ им. Чехова	Камергерский пер., 3				(495) 646 36 46, 692 67 48			
76	Молодежный музыкальный театр «Лотос»	Лескова, 7				8 917 573 16 92 (заказ билетов)			
77	Театр мюзикла	Новозаводская, 27, ДК им. Горбунова				(495) 660 92 02, 797 63 00			
78	Театр-студия Lege Artis	Ленинградский просп., 47				8 903 104 52 02			
79	Театральный институт им. Щукина при Театре им. Вахтангова	Б.Николопесковский пер., 12а				(499) 241 64 61, 244 05 65			
80	Цирк на проспекте Вернадского	просп. Вернадского, 7				(495) 930 28 15 (автоответчик), 930 03 00, 939 45 47 (заказ и доставка билетов)			
81	Политеатр	Новая пл., 3/4, подъезд №9				(495) 623 69 16, 544 55 45			
82	Новый арт-театр	Ленинский просп., 37а				(495) 510 56 23 (касса), 979 12 75, (499) 123 03 11			
83	Театральный центр «На Страстном»	Страстной б-р, 8а				(495) 694 46 81 (касса), 629 10 56 (заказ билетов)			
84	Театр кукол «Альбатрос»	4-я Парковая, 24а				(499) 367 53 72, (495) 517 22 23			
85	Филиал Малого театра	Б.Ордынка, 69				(499) 237 31 81 (справки), 237 44 72 (администратор)			
86	Театр на набережной	Фрунзенская наб., 48				(499) 242 56 85			
87	Театр ГИТИС	Б.Гнездниковский пер., 10				(495) 629 70 87, 629 86 61			
88	РАТИ (ГИТИС)	М.Кисловский пер., 6				(495) 290 04 11			
89	Театр п/р Владимира Назарова	Мичуринский просп., Олимпийская Деревня, 1				(495) 430 04 10 (касса), 430 04 00, 437 56 50 (автоответчик)			
90	Театр им. Вахтангова	Арбат, 26				(499) 241 16 79 (касса), 241 16 93 (заказ билетов)			
91	Театр-студия ИРТ	Раушская наб., 14				(495) 726 16 89, 725 87 33, 580 10 16			
92	Дельфинарий	Мироновская, 27				499) 369 55 58 (касса)			
93	РАМТ	Театральная пл., 2				(495) 692 00 69 (касса), 692 18 79 (касса на Б.Дмитровке, 4), 692 65 72 (заказ билетов)			
94	Другой театр	Лесная, 18, ДК им. Зуева				(499) 973 21 41, 973 34 61, 250 41 15			
95	Малый театр	Театральный пр., 1, стр. 1				(495) 623 26 21 (касса), 624 40 83 (справки), 624 40 46 (заказ билетов)			
96	Большой театр	Театральная пл., 1				(499) 608 73 17			
97	С.А.Д.	просп. Мира, 26				(495) 662 27 81			
98	Театр вкуса	Новолесной пер., 11/13				(499) 250 20 84, 250 81 34			
99	Театр.doc	Трехпрудный пер., 11/13, стр. 1				8 916 653 09 89			
100	Театральный особняк	Библиотечная, 23				(495) 678 40 29			
101	Международная Чеховская лаборатория	Библиотечная, 23				8 910 401 72 50			
102	Домашний театр в доме Щепкина	Щепкина, 47, стр. 2				(495) 600 61 49			
103	Театр Российской армии	Суворовская пл., 2				(495) 681 15 84, 681 21 10, 681 51 20			
104	Театр кукол им. Образцова	Садовая-Самотечная, 3				(495) 699 53 73 (касса), 699 33 10 (справки)			
105	Сюрприз	Годовикова, 2				8 903 662 50 37, 8 916 853 03 05			
106	Студия Soundrama	Самотечная, 17а				(495) 600 69 92			
107	Семицветик	Тимирязевская, 10/12				(495) 764 52 90			
108	Арлекин	Новоалексеевская, 8				(495) 997 81 96, 979 63 96			
109	Малый драматический театр на Большой Серпуховской	Б.Серпуховская, 44				(495) 775 98 41 (справки и заказ билетов)			
110	Театр наций	Петровский пер., 3				(495) 629 37 39 (касса), 629 53 97			
111	Театр им. Наталии Сац	просп. Вернадского, 5				(495) 930 70 21, 930 51 77 (касса)			
112	Старый Арбат	Филипповский пер., 11, стр. 2				(495) 691 21 56			
113	Театр Кирилла Королева	Семеновская наб., 3/1, корп. 5				(499) 148 12 56 (справки и заказ билетов), (495) 442 35 37, 8 916 351 86 02			
114	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Школа современной пьесы»	127051, г.Москва, ул. Неглинная, д.29/14	Центральный АО	Тверской	127051, г.Москва, ул. Неглинная, д.29/14	(495) 694-68-34, (495) 694-10-21, (495) 694-07-38	(495) 694-10-21	http://neglinka29.ru	kamila@neglinka.ru
115	Государственное бюджетное учреждение культуры города Москвы «Московский театр под руководством О.Табакова»	105062, г.Москва, ул. Чаплыгина, д.1а стр.1	Центральный АО	Басманный	105062, г.Москва, ул. Чаплыгина, д.1а стр.1	(495) 621-12-71, (495) 621-41-32	(495) 621-41-32	tabakov.ru	tabakov@theatre.ru
116	Государственное бюджетное учреждение культуры города Москвы «Театр Русский камерный балет Москва»	107078, г.Москва, ул. Новорязанская, д.16/11, стр.1	Центральный АО	Красносельский	107078, г.Москва, ул. Новорязанская, д.16 кв.46, 48	(495) 607-01-29, (495) 607-70-97	(495) 607-70-97	balletmoskva.ru	info@balletmoskva.ru
117	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Бенефис»	117335, г.Москва, ул. Гарибальди, д.23 корп.4	Юго-Западный АО	Черемушки	117335, г.Москва, ул. Гарибальди, д.23 корп.4	(495) 120-30-70, (495) 120-40-66, (499) 744-40-71	499-120-40-66	benefistheatre.ru	buh-benefis@mail.ru
118	Государственное бюджетное учреждение культуры города Москвы «Театр «Уголок дедушки Дурова»	129090, г.Москва, ул. Дурова, д.4	Центральный АО	Мещанский	129090, г.Москва, ул. Дурова, д.4	(495) 681-98-12, (495) 631-27-85	(495) 631-27-85	ugolokdurova.ru	secr@uddmos.ru
119	Государственное бюджетное учреждение культуры города Москвы «Московский театр русской драмы под руководством Михаила Щепенко»	109004, г.Москва, ул. Земляной вал, д.64/17	Центральный АО	Таганский	109004, г.Москва, ул. Земляной вал, д.64	(495) 915-57-80,  (495) 915-71-36, (495) 915-75-21	(495) 915-71-36, (495) 915-75-21	rus-drama.ru	info@Kamsс.ru
120	Государственное бюджетное учреждение культуры города Москвы «Московский театр на Таганке»	109004, г.Москва, ул. Земляной вал, д.76/21	Центральный АО	Таганский	109004, г.Москва, ул. Земляной вал, д.76/21	(495) 609-00-21, (495) 768-21-26, (495) 694-38-68	(499) 764-92-24	taganka.teatre.ru	taganka-theatre@mtu-net.ru
121	Государственное бюджетное учреждение культуры города Москвы «Театр «Содружество актеров Таганки»	109004, г.Москва, ул. Земляной вал, д.76/21 стр.1-1а	Центральный АО	Таганский	109004, г.Москва, ул. Земляной вал, д.76/21 стр.1-1а	(495) 915-11-55, (495) 915-11-28	(495) 915-11-28	taganka-sat.ru	info@taganka-sat.ru
122	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени Н.В.Гоголя»	105064, г.Москва, ул. Казакова, д.8	Центральный АО	Басманный	105064, г.Москва, ул. Казакова, д.8а стр.1	(499) 261-40-21, (499) 261-64-10, (499) 261-70-46	(499) 261-32-31	gogoltheatre.ru	gogoltheatre.ru
123	Государственное бюджетное учреждение культуры города Москвы «Московский мюзик-холл»	107078, г.Москва, ул. Каланчевская, д.33	Центральный АО	Красносельский	125047, г.Москва, ул. Гашека, д.12 стр.7	(495) 680-48-66, (495) 680-48-55	(495) 680-48-65	music-hall.ru	ravinski@mail.ru
124	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Эрмитаж»	127006, г.Москва, ул. Каретный ряд, д.3 стр.1	Центральный АО	Тверской	127006, г.Москва, ул. Каретный ряд, д.3 стр.1	(495) 650-22-58	(495) 650-22-58	ermitazh.theatre.ru	6502258@inbox.ru, yrmitag@yandex.ru
125	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Сфера»	127006, г.Москва, ул. Каретный ряд, д.3 стр.6	Центральный АО	Тверской	127006, г.Москва, ул. Каретный ряд, д.3 стр.3	(495) 699-02-92, (495) 699-96-27, (495) 699-81-12	(495) 699-96-27, (495) 699-81-12	spheratheatre.ru	sfera-teatr@mail.ru
126	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Новая Опера» имени Е.В.Колобова»	127006, г.Москва, ул. Каретный Ряд, д.3 стр.2	Центральный АО	Арбат	121019, г.Москва, Филипповский пер., д.11 стр.1	(495) 694-22-55, (495) 694-11-09	(495) 694-11-09	novayaopera.ru	info@novayaopera.ru
127	Государственное бюджетное учреждение культуры города Москвы «Московский театр музыки и драмы под руководством Стаса Намина»	119049, г.Москва, ул. Крымский вал, д.9	Центральный АО	Якиманка	119049, г.Москва, ул. Крымский вал, д.9	(495) 236-27-16, (499) 236-27-09, (495) 954-24-12	(495) 954-24-12	stasnamentheatre.ru	theatre@stasnamintheatre.ru
128	Государственное бюджетное учреждение культуры города Москвы «Московский детский музыкальный театр «Экспромт»	105062, г.Москва, ул. Макаренко, д.2/21 стр.2	Центральный АО	Басманный	105062, г.Москва, ул. Макаренко, д.2/21 стр.2	(495) 621-01-16, (495) 621-38-93	(495) 621-38-93	teatr-expromt.ru	ekspromt.buh@mail.ru
129	Государственное бюджетное учреждение культуры города Москвы «Московский театр спортивно-зрелищных представлений «Каскадер»	123104, г.Москва, ул. Малая Бронная, д.12, стр.4	Центральный АО	Пресненский	123104, г.Москва, ул. Малая Бронная, д.12	(495) 690-69-53	(495) 690-69-53	tv-teatr.ru	buhkaskader@gmail.com
130	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр на Малой Бронной»	123104, г.Москва, ул. Малая Бронная, д.4 стр.2	Центральный АО	Пресненский	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 690-19-48, (495) 690-57-67	(495) 690-57-67	mbronnaya.ru	mbronnaya@theatre.ru
131	Государственное бюджетное учреждение культуры города Москвы «Московский государственный театр «Ленком»	127006, г.Москва, ул. Малая Дмитровка, д.6	Центральный АО	Тверской	127006, г.Москва, ул. Малая Дмитровка, д.6	(495) 699-12-61, (495) 699-77-30, (495) 234-99-64	(495) 234-99-64	lenkom.ru	6506452@mail.ru
132	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Театр Луны»	115184, г.Москва, ул. Малая Ордынка, д.31 стр.1	Центральный АО	Замоскворечье	115184, г.Москва, ул. Малая Ордынка, д.31 стр.1	(495) 951-04-42, (495) 953-00-62	(495) 953-00-62	lunatheatr.ru	lunatheatre@yandex.ru
133	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музыкальный театр пластического балета «Новый балет»	105066, г.Москва, ул. Новая Басманная, д.25/2 стр.2	Центральный АО	Басманный	105066, г.Москва, ул. Новая Басманная, д.25/2 стр.2	(495) 632-18-33, (495) 632-19-63, (495) 632-29-11, (499) 265-75-10	(495) 632-18-33	newballet.ru	newballet@mail.ru
