0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;1_Факс;1_Доп информация;0_X;0_Y
84;Государственное учреждение здравоохранения города Москвы Измайловская детская городская клиническая больница Департамента здравоохранения города Москвы;105077, Москва, ул. Верхняя Первомайская,    д. 48/15;ВАО;Жарков Александр Павлович;(499) 748-16-71;(499) 748-1671;ОТСУТСТВУЕТ;19583,2183;14738,5835
86;Государственное  бюджетное  учреждение здравоохранения города Москвы «Тушинская  детская городская больница  Департамента здравоохранения города Москвы»;125480, Москва, ул.  Героев Панфиловцев, д.28;СЗАО;Османов Исмаил Магомедтагирович;(495) 496-91-00;(495) 496-4330;ОТСУТСТВУЕТ;-5907,5208;20625,8911
87;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9    им. Г.Н. Сперанского   Департамента здравоохранения города Москвы»;123317, Москва, Шмитовский проезд, д.29;ЦАО;Продеус Пётр Павлович;(499) 256-2162;(499) 256-6127;С 01.09.2012г. – присоединяется  Детская инфекционная больница № 12 и Детская городская больница № 21;2602,4325;9831,6414
49;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 79  Департамента здравоохранения города Москвы»;115487, Москва, ул. Ак. Миллионщикова, д.1;ЮАО;Косаченко Алина  Жораевна;(499) 612-7507;(499) 612-0531;ОТСУТСТВУЕТ;9870,4457;635,5581
50;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81  Департамента здравоохранения города Москвы»;127644, Москва, ул. Лобненская, д.10;САО;Андрейченко Александр Тимофеевич;(495) 483-4244;(495) 483-0247;ОТСУТСТВУЕТ;2143,0656;24785,6573
51;Государственное бюджетное учреждение здравоохранения города Москвы «Офтальмологическая клиническая больница  Департамента здравоохранения города Москвы»;123001, Москва, Мамоновский пер., д.7;ЦАО;Гришина Елена Евгеньевна;(495) 699-4439;(495) 650-1836;ОТСУТСТВУЕТ;6324,5643;11105,7278
52;Государственное  казенное   учреждение здравоохранения города Москвы «Инфекционная  клиническая больница № 1    Департамента  здравоохранения   города Москвы»;125367, Москва, Волоколамское шоссе, д.63;СЗАО;Малышев Николай Александрович;(495) 490-1414;(495) 942-4839;ОТСУТСТВУЕТ;-2482,0953;16596,3917
53;Государственное   казенное  учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2  Департамента здравоохранения города Москвы»;105275, Москва, 8-я ул.Соколиной горы, д.15;ВАО;Мясников Вячеслав Анатольевич;(495) 365-3796;(495) 365-2488;ОТСУТСТВУЕТ;15214,654;11539,7155
54;Государственное   казенное   учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 3   Департамента  здравоохранения   города Москвы»;109235, Москва,1-я Курьяновская ул., д.34;ЮВАО;и.о. Кадышев Валерий Александрович;(495) 349-5053;(495) 357-3321;ОТСУТСТВУЕТ;12519,828;-1619,1542
95;Государственное бюджетное учреждение здравоохранения города Москвы «Щербинская городская  больница Департамента здравоохранения города Москвы»;142171,   г. Щербинка,  ул. Первомайская, дом 10;ТиНАО;Курков Владимир Львович;8-496-767-02 04;8-496-767-0249 (79);ОТСУТСТВУЕТ;4608,7623;-18021,4889
96;Государственное бюджетное учреждение здравоохранения города Москвы «Ватутинская  амбулатория Департамента здравоохранения города Москвы»;г. Москва, Ленинский район, пос. Ватутинки;ТиНАО;Бахматов Денис Николаевич;(495) 549-5718;(495) 549-5718;ОТСУТСТВУЕТ;-10171,3421;-18024,3919
97;Государственное бюджетное учреждение здравоохранения города Москвы «Амбулатория Мосрентген Департамента здравоохранения города Москвы»;г. Москва,  Ленинский район, пос. Мосренген;ТиНАО;Гоев Кирилл Владимирович;(495) 339-9522;(495) 339-9522;ОТСУТСТВУЕТ;-1631,6025;-5347,0815
98;Государственное бюджетное учреждение здравоохранения города Москвы «Марьинская   амбулатория Департамента здравоохранения города Москвы»;г. Москва, Ленинский район, пос. Марьино;ТиНАО;Утолин Дмитрий Сергеевич;8-498-627-7522;8-498-627-7522;ОТСУТСТВУЕТ;-11007,0329;-13172,0082
99;Государственное бюджетное учреждение здравоохранения города Москвы «Больница «Кузнечики» Департамента здравоохранения города Москвы»;142133, Московская область, Подольский район, пос. Кузнечики, дом 6;ТиНАО;Лысиков Владимир Геннадьевич;8-496-765-8050;8-496-765-8050;ОТСУТСТВУЕТ;-376,6199;-29149,4818
100;Государственное бюджетное учреждение здравоохранения города Москвы  «Вороновская   больница Департамента здравоохранения города Москвы»;142, 160, Московская область, Подольский район, пос ЛМС;ТиНАО;Киселева Марина Борисовна;8-496-750-7175;8-496-750-7175;ОТСУТСТВУЕТ;-20154,4504;-38721,407
55;Государственное  казенное   учреждение здравоохранения города Москвы «Детская инфекционная  больница № 4  Департамента здравоохранения города Москвы»;125008, Москва, Большая Академическая ул., д. 28;САО;Шаматова Нана Емзаровна;(499) 154-7489;(499) 154-7489;С 01.09.2012г. присоединяется  к Дет.инф.клин. б-це № 6;2113,2939;17942,1099
56;Государственное   казенное  учреждение здравоохранения города Москвы «Детская инфекционная  больница № 5  Департамента  здравоохранения   города Москвы»;129347, Москва, ул. Ротерта.д.4;СВАО;Власов Евгений Валерьевич;(499) 182-0792;(499) 182-0910;ОТСУТСТВУЕТ;14385,3759;23116,4413
57;Государственное  казенное  учреждение здравоохранения города Москвы «Детская инфекционная  клиническая больница № 6  Департамента  здравоохранения  города Москвы»;125438, Москва, 3-й Лихачевский пер., д.2 Б;САО;Дегтярева Елена Александровна;(499) 153-4024;(499) 153-4104;С 01.09.2012г. – присоединяется  ДИБ  № 4 и ДИБ №8;1215,4334;20108,614
58;Государственное  казенное  учреждение здравоохранения города Москвы «Детская  инфекционная больница № 8    Департамента здравоохранения города Москвы»;119048, Москва, Лужнецкий проезд, д.15;ЦАО;Воробьев Андрей Борисович;(499) 246-4550;(499) 246-4550;С 01.09.2012г. присоединяется  к Дет.инф.клин. б-це № 6;3837,1375;6445,4993
59;Государственное  казенное   учреждение здравоохранения города Москвы «Детская инфекционная  больница № 12   Департамента здравоохранения города Москвы»;125124, Москва,  ул. Шмитовский пр. дом 28;ЦАО;Кобаль Елена Анатольевна;(499) 257-0594;(495) 614-8103;С 01.09.2012г. присоединяется к  «ДГКБ  № 9 им. Г.Н.Сперанского»;5391,8584;12651,8374
60;Государственное  казенное  учреждение здравоохранения города Москвы «Туберкулёзная клиническая больница № 3 им. проф. Г.А.Захарьина  Департамента здравоохранения города Москвы»;125466, Москва, Куркинское шоссе, д.29;СЗАО;Собкин Александр Лазаревич;(495) 572-7145;(495) 571-2055;ОТСУТСТВУЕТ;-7257,986;24224,1761
62;Государственное казенное учреждение здравоохранения города Москвы Туберкулёзная клиническая больница № 7  Департамента здравоохранения города Москвы;107014, Москва, ул. Барболина, д. 3;ВАО;Батыров Фарит Ахатович;(499) 268-2520;(499) 268-6767;С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»;11965,2322;13621,3156
64;Государственное  казенное   учреждение здравоохранения города Москвы «Психиатрическая клиническая больница  № 1 им. Н.А.Алексеева Департамента  здравоохранения   города Москвы»;117152, Москва, Загородное шоссе,  д.2;ЮАО;Шуляк Юрий Афанасьевич;(495) 952-8790;(495) 952-2294;С 01.09.2012г. – присоединяется  ПНД № 1, ПНД № 2, ПНД № 13, ПНД № 21, ПНД № 23 и ПНД № 24;6747,8638;3511,5233
66;Государственное  казенное   учреждение здравоохранения города Москвы «Психиатрическая больница № 3 им. В.А. Гиляровского  Департамента  здравоохранения   города Москвы» ;107076, Москва, ул. Матросская тишина, д.20;ВАО;и.о. Белов Александр Валентинович;(499) 268-0416;(499) 268-0521;С 01.09.2012г. – присоединяется  ПНД № 8, ПНД № 9, ПНД № 14 и ПНД № 15;12581,0468;14045,9121
67;Государственное  казенное  учреждение здравоохранения города Москвы Психиатрическая клиническая больница  № 4   им. П.Б. Ганнушкина  Департамента здравоохранения города Москвы;107076, Москва, ул. Потешная, д. 3;ВАО;Костюк Георгий Петрович;(495) 963-0164;(495) 963-0164;С 01.09.2012г. – присоединяется  ПНД № 3, ПНД № 4, ПНД № 5 и ПНД № 17;12860,0965;14722,8947
65;Государственное   казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 2  им. О.В. Кербикова   Департамента здравоохранения города Москвы»;142044, Московская область, Домодедовский район,  п/о Добрыниха;Московская область, Домодедовский район;Малиновская Светлана Дмитриевна;(495) 971-2615;(495) 971-2615;ОТСУТСТВУЕТ;13551,5971;-53919,4629
68;Государственное  казенное  учреждение здравоохранения города Москвы  «Психиатрическая больница № 5   Департамента здравоохранения города Москвы»;142370, Московская область, Чеховский  р-н, с. Троицкое, д.5;Московская область, Чеховский  район;Воронин Владимир Стефанович;(495) 996-7939;(495) 996-7939;ОТСУТСТВУЕТ;8279,3898;-46634,2882
70;Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 9   Департамента здравоохранения города Москвы»;142813, Московская область, Ступинский район, с. Старая Ситня,  ул. Больничная,  вл.1;Московская область, Ступинский район;Джиоев Эдуард Дмитриевич;(49664) 9-1245;(49664) 9-1591;ОТСУТСТВУЕТ;40878,2363;-81047,773
71;Государственное  казенное учреждение здравоохранения города Москвы «Психиатрическая больница № 10   Департамента  здравоохранения   города Москвы»;142435, Московская область, Ногинский район,  с. Кудиново;Московская область, Ногинский район;Меркель Владимир Аронович;(495) 992-4602;(495) 992-4602;ОТСУТСТВУЕТ;44617,5986;11501,8779
33;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  больница № 56  Департамента здравоохранения города Москвы»;113114, Москва, Павелецкая набережная. д.6;ЮАО;Погонченкова Ирэна Владимировна;(495) 705-9167;(499) 235-9566;С 15.09.2012г. – присоединяется   Гинекологическая больница  № 11;9364,0491;5007,1979
34;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»;105077, Москва, 11-я Парковая ул.,д.32;ВАО;Назарова Ирина Александровна;(495) 465-1553;(495) 465-9994;ОТСУТСТВУЕТ;19345,6953;14661,7068
35;Бывший онкологический диспансер № 3 - филиал Государственного бюджетного учреждения здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»;105264, Москва, ул. Верхняя Первомайская, д.29/44;ВАО;Назарова Ирина Александровна;(499) 163-0522;(499) 160-0522;ОТСУТСТВУЕТ;18251,2064;14785,8373
36;Городская клиническая урологическая больница  № 47 - филиал Государственного бюджетного учреждения здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»;105425, г. Москва, ул. 3-я Парковая, дом 51;ВАО;Назарова Ирина Александровна;(499) 163-4290;(499) 164-9324;ОТСУТСТВУЕТ;17741,7652;15031,0938
37;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 59  Департамента здравоохранения города Москвы»;103030, Москва, ул. Достоевского, д.31;ЦАО;Бахитов Вячеслав Витальевич;(499) 978-6521;(499) 978-6528;ОТСУТСТВУЕТ;6688,365;13091,5709
38;Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 60  Департамента здравоохранения города Москвы»;111123, Москва, ул. Новогиреевская, д.1;ВАО;Лукашев Александр Михайлович;(495) 304-2917;(495) 304-3163;С 01.07.2013 г. присоединяется к ЦНИИГ;18560,0069;10881,596
39;Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 61   Департамента здравоохранения города Москвы»;119048, Москва, ул. Доватора, д.15;ЦАО;Соболев Константин Эдуардович.;(499) 246-9620;(499) 246-2726;ОТСУТСТВУЕТ;4286,3751;6161,8933
1;Государственное  бюджетное учреждение здравоохранения города Москвы Городская клиническая больница им. С.П. Боткина Департамента здравоохранения города Москвы;125284, Москва, 2-й Боткинский проезд, д.5, к.1;САО;Яковлев Владимир Николаевич; (495) 945-2616;(499) 762-6229;ОТСУТСТВУЕТ;3452,2151;12828,2024
2;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»;117049,  Москва, Ленинский проспект, дом 8;ЦАО;Шабунин Алексей Васильевич;(499) 236-6069;(499) 236-6528;ОТСУТСТВУЕТ;6648,5194;6518,0771
3;Государственное учреждение здравоохранения города Москвы Городская больница № 3  Департамента здравоохранения города Москвы;124489, Зеленоград, Каштановая аллея, дом 2, стр.1;Зеленоград;Голоусиков Иван Яковлевич; (499) 735-6429;(499) 735-3206;ОТСУТСТВУЕТ;-16578,9206;35311,2745
88;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница  № 13    им. Н.Ф. Филатова  Департамента здравоохранения города Москвы»;123001, Москва, ул. Садовая-Кудринская, д.15;ЦАО;Константинов Кирилл Владимирович;(499) 254-52-92;(499) 254-5292;ОТСУТСТВУЕТ;5621,1157;10810,7487
89;Государственное бюджетное  учреждение здравоохранения города Москвы Детская городская больница  № 19  им. Т.С. Зацепина   Департамента здравоохранения города Москвы»;107061,  Москва, Б. Черкизовская ул., влад.12;ВАО;Попов Владимир Васильевич;(499) 168-86-46;(499) 168-9982;ОТСУТСТВУЕТ;14228,9973;14229,6448
90;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская больница  № 21  Департамента здравоохранения города Москвы»;129329, Москва, ул. Ивовая, д.3;СВАО;Егоренков Анатолий Михайлович;(499) 186-82-97;(499) 186-8337;С 01.09.2012г. присоединяется к  «ДГКБ  № 9 им. Г.Н.Сперанского»;9029,7297;21475,7041
25;Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 45   Департамента здравоохранения города Москвы;143035, Московская область, Одинцовский район, ст. Звенигород, п/о Поречье;Московская область, Одинцовский район;Фоменко Александр Валентинович;(495) 597-11-51;(495) 597-1151;С 01.09.2012г. присоединяется к  МНПЦ  мед. реабилитации, восстановительной  и спортивной  медицины;-37720,8083;6252,6864
41;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 63  Департамента здравоохранения города Москвы»;129090, Москва, ул. Дурова, д.26;ЦАО;Свет Алексей Викторович;(495) 681-2066;(495) 688-9410;ОТСУТСТВУЕТ;8047,3447;12379,9401
42;Государственное   бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 64  Департамента здравоохранения города Москвы»;117292, Москва, ул. Вавилова, д. 61;ЮЗАО;Крапивин Андрей Александрович;(499) 134-6479;(499) 135-5126;ОТСУТСТВУЕТ;3765,2761;2271,4389
43;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 67  имени Л.А. Ворохобова Департамента здравоохранения города Москвы»;123154, Москва, ул. Саляма Адиля, д.2/44;СЗАО;Шкода Андрей Сергеевич;(499) 199-7956;(495) 530-3353;ОТСУТСТВУЕТ;-2061,0792;11727,3369
44;Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 68   Департамента здравоохранения города Москвы;109263, Москва, ул. Шкулева, д.4;ЮВАО;Галь Игорь Геннадьевич;(499) 179-6622;(499) 178-8715;С 15.09.2012г. – присоединяется   ГП № 50;15823,0254;2949,8051
45;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 70  Департамента здравоохранения города Москвы»;111399, Москва, Федеративный проспект, д.17;ВАО;Предтеченская Анна Вячеславовна;(495) 304-4216;(495) 303-9769;ОТСУТСТВУЕТ;19791,2975;9908,8514
46;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»;121374, Москва, Можайское шоссе, д.14;ЗАО;Мясников Александр Леонидович;(495) 440-2093;(495) 440-2101;ОТСУТСТВУЕТ;-4020,5205;6060,3437
47;Бывшая МСЧ  № 58 - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»;121357, Москва, проезд Загорского, д.20;ЗАО;Чалый Николай Николаевич;(495) 443-6741;(495) 443-6741;ОТСУТСТВУЕТ;-3650,7352;5610,6539
9;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 12    Департамента здравоохранения города Москвы»;115516, г. Москва, ул. Бакинская, дом 26;ЮАО;Саликов Александр Викторович;(495) 322-1710;(495) 321-1306;ОТСУТСТВУЕТ;9798,4825;-5361,3807
10;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»;115280, Москва, ул. Велозаводская. д.1/1;ЮВАО;Аронов Леонид Семенович;(495) 674-5022;(495) 674-8076;ОТСУТСТВУЕТ;10452,8513;5823,7255
11;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»;107076, Москва, ул. Короленко, д.3,корп.2;ВАО;Гайнулин Шамиль Мухтарович;(495) 964-3929;(495) 964-1121;ОТСУТСТВУЕТ;12053,3876;14499,1271
12;Быв.ГКБ № 33 им. проф. А. А. Остроумова - филиал Государственного бюджетного учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»;107014, Москва, ул. Стромынка, д.7;ВАО;Гайнулин Шамиль Мухтарович;(499) 268-2475;(499) 268-2425;ОТСУТСТВУЕТ;11936,5853;14061,6619
13;Гинекологическая больница  № 1 - филиал Государственного бюджетного учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»;107014, Москва, ул.  Гастелло, д. 42;ВАО;Гайнулин Шамиль Мухтарович; (499) 268-3962;(499) 268-3962;ОТСУТСТВУЕТ;12200,8415;12941,8765
14;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 15   им. О. М. Филатова  Департамента здравоохранения города Москвы»;111539, Москва, ул. Вешняковская. д.23;ВАО;Тюлькина Екатерина Евгеньевна;(495) 375-0447;(495) 770-0123;ОТСУТСТВУЕТ;21046,7014;7148,647
15;Государственное   бюджетное   учреждение здравоохранения города Москвы «Городская больница № 17   Департамента здравоохранения города Москвы»;119620, Москва, Волынская ул., д.7;ЗАО;Попович Виктор Константинович;(495) 439-2577;(495) 439-1488;ОТСУТСТВУЕТ;-5385,3279;-2741,7587
72;Государственное   казенное  учреждение здравоохранения города Москвы «Детская психиатрическая больница № 11   Департамента здравоохранения города Москвы»;141144, Московская область, Щелковский район,  п. Медное-Власово; Московская область, Щелковский район,  ;Левашова Елена Юрьевна;8-496 563-2820;8-496-563-2338;ОТСУТСТВУЕТ;43830,8271;30522,6402
77;Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 16  Департамента  здравоохранения   города Москвы»;142431, Московская область, Ногинский район, дер. Авдотьино;Московская область, Ногинский район;Ганюшан Наира Рафиковна;(495) 747-94-75;(495) 747-94-75;ОТСУТСТВУЕТ;45794,9051;29370,5334
85;Государственное  бюджетное   учреждение здравоохранения города Москвы «Детская городская больница восстановительного лечения № 3 Департамента здравоохранения города Москвы»;143170, Московская область. Рузский район, п/о Полушкино;Московская область. Рузский райо;Макаренко Владимир Дмитриевич;(495) 992-1375;(495) 992-1352;ОТСУТСТВУЕТ;-59230,9315;-7463,0844
91;Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница  г. Московский Департамента здравоохранения города Москвы»;г. Москва,  Ленинский район, г. Московский, микрорайон 1, д.57;ТиНАО;Ишкова Виктория Ивановна;8-498- 540-8285;8-498-540-8300;ОТСУТСТВУЕТ;-8414,6077;-8055,712
92;Государственное бюджетное учреждение здравоохранения города Москвы «Коммунарская   больница Департамента здравоохранения города Москвы»;г. Москва,  Ленинский район, пос. Коммунарка;ТиНАО;Сатаров Михаил Геннадьевич;8-498-617-8954;8-498-617-89-54;ОТСУТСТВУЕТ;-1275,8024;-11454,985
93;Государственное бюджетное учреждение здравоохранения города Москвы «Внуковская   больница  Департамента здравоохранения города Москвы»;г. Москва,  Ленинский район, д. Абабурово, ул. Маяковского, д.1;ТиНАО;Словеснова Ираида Викторовна;8-495-736-6409;8-495-736-62-34;ОТСУТСТВУЕТ;-14230,5133;-3361,264
94;Государственное  автономное  учреждение здравоохранения города Москвы «Троицкая   городская  больница Департамента здравоохранения города Москвы»; г. Троицк,  улица Октябрьский проспект, дом 3б;ТиНАО;Герасименко Жанетта Александровна;8-496-751-0601;8-496-7510621;ОТСУТСТВУЕТ;-12943,3475;-21422,4404
16;Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 19   Департамента здравоохранения города Москвы»;123022, Москва, Б. Предтеченский пер., д.15;ЦАО;Бутырина Светлана Федоровна;(495) 605-4810;(495) 655-1687;ОТСУТСТВУЕТ;4356,575;10287,5105
17;Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 20   Департамента здравоохранения города Москвы»;129327, Москва, ул. Ленская. д.15;СВАО;Каприн Андрей Дмитриевич;(495) 471-1044;(495) 471-1253;ОТСУТСТВУЕТ;10355,1824;22129,8417
18;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 23   им. Медсантруд Департамента здравоохранения города Москвы»;109240, Москва, Яузская ул., д.11;ЦАО;Хрупкин Валерий Иванович;(495) 915-3648;(495) 915-3042;ОТСУТСТВУЕТ;9433,7126;8878,9883
19;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 24    Департамента здравоохранения города Москвы»;127015, Москва, ул. Писцовая, д.10;ЦАО;Родоман Григорий Владимирович;(495)  613-0408;(495) 613-0434;ОТСУТСТВУЕТ;5062,7144;14622,9948
20;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 29   им. Н. Э. Баумана Департамента здравоохранения города Москвы»;111020, Москва, Госпитальная площадь, д.2;ЮВАО;Дубровский Андрей Викторович;(499) 263-2630;(499) 263-2630;ОТСУТСТВУЕТ;12693,4812;11073,2642
21;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 31   Департамента здравоохранения города Москвы»;119415, Москва, ул. Лобачевского, дом  42;ЗАО;Маслова Римма Александровна;(499) 936-9916;(499) 432-0815;ОТСУТСТВУЕТ;246,429;290,072
22;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 36   Департамента здравоохранения города Москвы»;105318, Москва, ул. Фортунатовская,  д.1;ВАО;Митичкин Александр Евгеньевич;(499) 366-7719;(499) 369-4089;ОТСУТСТВУЕТ;14983,7579;13993,6778
23;Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 40   Департамента здравоохранения города Москвы;129301, Москва, ул. Касаткина, д.7;СВАО;Фатуев Олег Эдуардович;(495) 686-8050;(495) 686-3128;ОТСУТСТВУЕТ;9975,4164;17607,5518
24;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская больница № 43  с поликлиническим отделением  Департамента здравоохранения города Москвы»;127204, Москва, 1-я Северная линия, д.27;СВАО;Семерчев Демьян Петрович;(499) 767-8711;(499) 767-8300;ОТСУТСТВУЕТ;3683,9111;30363,9613
26;Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская больница № 49   Департамента здравоохранения города Москвы»;109429, Москва, р-н Капотня, 2-ой квартал, д.16;ЮВАО;Леков Руслан Мурадович;(495) 355-1547;(495) 355-3638;ОТСУТСТВУЕТ;19219,1998;-3121,9661
27;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 50      Департамента здравоохранения города Москвы;125206, Москва, ул. Вучетича, д.21;САО;Переходов Сергей Николаевич; (499) 760-7933;(499) 760-8199;ОТСУТСТВУЕТ;3570,6744;16223,8672
28;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 51   Департамента здравоохранения города Москвы»;121309, Москва, ул. Алябьева, д.7/33;ЗАО;Бражник Виктория Алексеевна;(499) 146-8124;(499) 146-8015;ОТСУТСТВУЕТ;-879,0831;8443,0244
29;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 52   Департамента здравоохранения города Москвы»;123182, Москва, ул. Пехотная, д.3;СЗАО;Лысенко Марьяна Анатольевна;(499) 196-3936;(499) 196-2114;ОТСУТСТВУЕТ;-1052,4997;14871,7488
