0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
62;Городской отдел жилищных субсидий района Южное Медведково                                                                                                                                                                                                     ;Городской отдел жилищных субсидий района Южное Медведково                                                                                                                                                                                                     ;ул. Полярная, д.2                                                                                                                                                                                                                                             ;8793,337952;22808,37137;0;                                                                                                                                                                                                                                                              ;ул. Полярная                                                                                                                                                                                                                                                  ;2;                                                                                                                                                                                                                                                              ;(495)276-27-97                                                                                                                                                                                                                                                ;21@svao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
63;Городской отдел жилищных субсидий района Ярославский                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Ярославский                                                                                                                                                                                                          ;Палехская ул., д. 14                                                                                                                                                                                                                                          ;12659,58575;22376,53374;0;                                                                                                                                                                                                                                                              ;Палехская ул.                                                                                                                                                                                                                                                 ;14;                                                                                                                                                                                                                                                              ;(499)183-01-73                                                                                                                                                                                                                                                ;107@svao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
64;Окружной отдел Восточного Административного Округа Преображенское                                                                                                                                                                                             ;Окружной отдел Восточного Административного Округа Преображенское                                                                                                                                                                                             ;ул. Буженинова, д. 12                                                                                                                                                                                                                                         ;13180,79045;13498,47795;0;                                                                                                                                                                                                                                                              ;ул. Буженинова                                                                                                                                                                                                                                                ;12;                                                                                                                                                                                                                                                              ;(495)963-04-32                                                                                                                                                                                                                                                ;85@vao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
65;Городской отдел жилищных субсидий района Богородское                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Богородское                                                                                                                                                                                                          ;ул. Ивантеевская, д. 28, кор.4                                                                                                                                                                                                                                ;14409,6845;16438,15111;0;                                                                                                                                                                                                                                                              ;ул. Ивантеевская                                                                                                                                                                                                                                              ;28;кор.4                                                                                                                                                                                                                                                         ;(499)169-62-51                                                                                                                                                                                                                                                ;100@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
66;Городской отдел жилищных субсидий района Вешняки                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Вешняки                                                                                                                                                                                                              ;ул. Молдагуловой, д. 15А                                                                                                                                                                                                                                      ;20954,95218;5994,831345;0;                                                                                                                                                                                                                                                              ;ул. Молдагуловой                                                                                                                                                                                                                                              ;15А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(499)374-24-00                                                                                                                                                                                                                                                ;31@vao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
67;Городской отдел жилищных субсидий района Восточное Измайлово                                                                                                                                                                                                  ;Городской отдел жилищных субсидий района Восточное Измайлово                                                                                                                                                                                                  ;Первомайская ул., д. 112                                                                                                                                                                                                                                      ;19969,47033;14083,95118;0;                                                                                                                                                                                                                                                              ;Первомайская ул.                                                                                                                                                                                                                                              ;112;                                                                                                                                                                                                                                                              ;(495)965-64-73                                                                                                                                                                                                                                                ;137@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
68;Городской отдел жилищных субсидий района Восточный поселок                                                                                                                                                                                                    ;Городской отдел жилищных субсидий района Восточный поселок                                                                                                                                                                                                    ;ул.9 мая, д. 28                                                                                                                                                                                                                                               ;23639,00878;16809,8476;0;                                                                                                                                                                                                                                                              ;ул.9 мая                                                                                                                                                                                                                                                      ;28;                                                                                                                                                                                                                                                              ;(499)780-15-12                                                                                                                                                                                                                                                ;120v@vao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
69;Городской отдел жилищных субсидий района Гольяново                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Гольяново                                                                                                                                                                                                            ;Байкальская ул., д. 23                                                                                                                                                                                                                                        ;18949,2502;16786,49816;0;                                                                                                                                                                                                                                                              ;Байкальская ул.                                                                                                                                                                                                                                               ;23;                                                                                                                                                                                                                                                              ;(495)462-36-70                                                                                                                                                                                                                                                ;120@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
70;Городской отдел жилищных субсидий района Ивановское                                                                                                                                                                                                           ;Городской отдел жилищных субсидий района Ивановское                                                                                                                                                                                                           ;Б. Купавенский пр-д, д. 2                                                                                                                                                                                                                                     ;20228,59988;11903,55871;0;                                                                                                                                                                                                                                                              ;Б. Купавенский пр-д                                                                                                                                                                                                                                           ;2;                                                                                                                                                                                                                                                              ;(499)308-41-90                                                                                                                                                                                                                                                ;125@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
71;Городской отдел жилищных субсидий района Измайлово                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Измайлово                                                                                                                                                                                                            ;ул. 10-я Парковая, д.20                                                                                                                                                                                                                                       ;19112,21455;14694,61357;0;                                                                                                                                                                                                                                                              ;ул. 10-я Парковая                                                                                                                                                                                                                                             ;20;                                                                                                                                                                                                                                                              ;(499)940-02-75                                                                                                                                                                                                                                                ;41@vao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
72;Городской отдел жилищных субсидий района Косино-Ухтомский                                                                                                                                                                                                     ;Городской отдел жилищных субсидий района Косино-Ухтомский                                                                                                                                                                                                     ;Новокосинская ул., д. 15,  кор. 7                                                                                                                                                                                                                             ;22269,09453;8145,831902;0;                                                                                                                                                                                                                                                              ;Новокосинская ул.                                                                                                                                                                                                                                             ;15;кор.7                                                                                                                                                                                                                                                         ;(495)703-33-96                                                                                                                                                                                                                                                ;139@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
73;Городской отдел жилищных субсидий района Метрогородок                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Метрогородок                                                                                                                                                                                                         ;Открытое шоссе, д.19, кор. 1                                                                                                                                                                                                                                  ;15760,08502;17484,90105;0;                                                                                                                                                                                                                                                              ;Открытое шоссе                                                                                                                                                                                                                                                ;19;кор.1                                                                                                                                                                                                                                                         ;(499)167-51-00                                                                                                                                                                                                                                                ;55@vao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
74;Городской отдел жилищных субсидий района Ново-Косино                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Ново-Косино                                                                                                                                                                                                          ;ул. Суздальская, д.24, кор. 2                                                                                                                                                                                                                                 ;22592,97935;8506,291887;0;                                                                                                                                                                                                                                                              ;ул. Суздальская                                                                                                                                                                                                                                               ;24;кор.2                                                                                                                                                                                                                                                         ;(495)702-16-00                                                                                                                                                                                                                                                ;26@vao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
75;Городской отдел жилищных субсидий района Новогиреево                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Новогиреево                                                                                                                                                                                                          ;ул. Алексея Дикого, д.3                                                                                                                                                                                                                                       ;19430,33296;9161,33157;0;                                                                                                                                                                                                                                                              ;ул. Алексея Дикого                                                                                                                                                                                                                                            ;3;                                                                                                                                                                                                                                                              ;(499)940-92-91                                                                                                                                                                                                                                                ;121@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
46;Городской отдел жилищных субсидий района Тимирязевский                                                                                                                                                                                                        ;Городской отдел жилищных субсидий района Тимирязевский                                                                                                                                                                                                        ;Дмитровское шоссе, д. 3 кор. 2                                                                                                                                                                                                                                ;4821,15615;16078,20516;0;                                                                                                                                                                                                                                                              ;Дмитровское шоссе                                                                                                                                                                                                                                             ;3;кор.2                                                                                                                                                                                                                                                         ;(499)977-01-85                                                                                                                                                                                                                                                ;33@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
47;Городской отдел жилищных субсидий района Ховрино                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Ховрино                                                                                                                                                                                                              ;ул. Онежская, д. 47                                                                                                                                                                                                                                           ;690,459325;21276,15611;0;                                                                                                                                                                                                                                                              ;ул. Онежская                                                                                                                                                                                                                                                  ;47;                                                                                                                                                                                                                                                              ;(495)456-40-39                                                                                                                                                                                                                                                ;69@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
48;Городской отдел жилищных субсидий района Хорошевский                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Хорошевский                                                                                                                                                                                                          ;ул. Куусинена, д. 4А, кор. 2                                                                                                                                                                                                                                  ;1207,676345;12628,37615;0;                                                                                                                                                                                                                                                              ;ул. Куусинена                                                                                                                                                                                                                                                 ;4А                                                                                                                                                                                                                                                            ;кор.2                                                                                                                                                                                                                                                         ;(499)195-88-91                                                                                                                                                                                                                                                ;68@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
49;Окружной отдел Северо-Восточного Административного Округа Марьина Роща                                                                                                                                                                                        ;Окружной отдел Северо-Восточного Административного Округа Марьина Роща                                                                                                                                                                                        ;ул. Образцова, д.8А                                                                                                                                                                                                                                           ;6946,57065;13341,5692;0;                                                                                                                                                                                                                                                              ;ул. Образцова                                                                                                                                                                                                                                                 ;8А                                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;(495)681-04-38                                                                                                                                                                                                                                                ;114@svao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
50;Городской отдел жилищных субсидий района Алексеевский                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Алексеевский                                                                                                                                                                                                         ;ул. Константинова, д. 11                                                                                                                                                                                                                                      ;9788,9751;16722,31994;0;                                                                                                                                                                                                                                                              ;ул. Константинова                                                                                                                                                                                                                                             ;11;                                                                                                                                                                                                                                                              ;(495)686-29-02                                                                                                                                                                                                                                                ;102@svao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
51;Городской отдел жилищных субсидий района Алтуфьевский                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Алтуфьевский                                                                                                                                                                                                         ;Алтуфьевское шоссе, д. 56А                                                                                                                                                                                                                                    ;5702,94515;23822,71104;0;                                                                                                                                                                                                                                                              ;Алтуфьевское шоссе                                                                                                                                                                                                                                            ;56А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(499)901-11-45                                                                                                                                                                                                                                                ;39@svao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
