0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
27;Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени А.С.Пушкина»                                                                                                                                                ;ГБУК г.Москвы «МДТ им. А.С.Пушкина»                                                                                                                                                                                                                           ;123104, г.Москва, Тверской б-р, д.23                                                                                                                                                                                                                          ;6493,7751;10609,72847;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123104, г.Москва, Тверской б-р, д.23                                                                                                                                                                                                                          ;(495) 694-13-38, (495) 694-01-02                                                                                                                                                                                                                              ;(495) 694-01-02                                                                                                                                                                                                                                               ;teatrpushkin.ru                                                                                                                                                                                                                                               ;director@teatrpushkin.ru                                                                                                                                                                                                                                      
28;Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «АпАРТе»                                                                                                                                                          ;ГБУК г.Москвы «Московский драматический театр «АпАРТе»                                                                                                                                                                                                        ;125009, г.Москва, Тверской б-р, д.8 стр.1                                                                                                                                                                                                                     ;6417,1626;10210,19192;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;125009, г.Москва, Тверской б-р, д.8 стр.1                                                                                                                                                                                                                     ;(495) 695-78-76, (495) 691-59-08                                                                                                                                                                                                                              ;(495) 691-59-08                                                                                                                                                                                                                                               ;aparte.ru                                                                                                                                                                                                                                                     ;aparte@mail.ru                                                                                                                                                                                                                                                
29;Государственное бюджетное учреждение культуры города Москвы «Экспериментальный театральный центр новой драмы «Практика»                                                                                                                                       ;ГБУК г.Москвы «Театральный центр «Практика»                                                                                                                                                                                                                   ;123001, г.Москва, Трехпрудный пер., д.11/13 стр.1                                                                                                                                                                                                             ;6095,2501;10984,59491;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123001, г.Москва, Трехпрудный пер., д.11/13 стр.1                                                                                                                                                                                                             ;(495) 258-55-65, (495) 699-44-92, (495) 699-44-73                                                                                                                                                                                                             ;(495) 694-44-73                                                                                                                                                                                                                                               ;praktikatheatre.ru                                                                                                                                                                                                                                            ;teh@praktikatheatre.ru                                                                                                                                                                                                                                        
30;Государственное бюджетное учреждение культуры города Москвы «Московский академический театр сатиры»                                                                                                                                                           ;ГБУК г.Москвы «Московский академический театр сатиры»                                                                                                                                                                                                         ;125009, г.Москва, Триумфальная пл., д.2                                                                                                                                                                                                                       ;6100,038865;11285,34887;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;125009, г.Москва, Триумфальная пл., д.2                                                                                                                                                                                                                       ;(495) 699-64-93, (495) 699-47-54                                                                                                                                                                                                                              ;(495) 699-94-83                                                                                                                                                                                                                                               ;satire.ru                                                                                                                                                                                                                                                     ;info@satire.ru                                                                                                                                                                                                                                                
31;Государственное бюджетное учреждение культуры города Москвы «Московский детский музыкальный театр под руководством Геннадия Чихачева»                                                                                                                         ;ГБУК г.Москвы «Московский детский музыкальный театр под руководством Геннадия Чихачева»                                                                                                                                                                       ;109377, г.Москва, ул. 1-я Новокузьминская, д.1                                                                                                                                                                                                                ;17966,61613;5608,581727;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109377, г.Москва, ул. 1-я Новокузьминская, д.1                                                                                                                                                                                                                ;(495) 379-64-21                                                                                                                                                                                                                                               ;(495) 379-64-21                                                                                                                                                                                                                                               ;teatr-chikhachev.ru                                                                                                                                                                                                                                           ;dir-teatr@yandex.ru                                                                                                                                                                                                                                           
32;Государственное бюджетное учреждение культуры города Москвы «Московский театр миниатюр»                                                                                                                                                                       ;ГБУК г.Москвы «Московский театр миниатюр»                                                                                                                                                                                                                     ;125047, г.Москва, ул. 1-я Тверская-Ямская, д.16                                                                                                                                                                                                               ;5852,21765;11805,17033;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;125047, г.Москва, ул. 1-я Тверская-Ямская, д.16                                                                                                                                                                                                               ;(499) 250-38-93, (499) 250-37-21, (499) 251-24-87                                                                                                                                                                                                             ;(499) 251-24-87                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;humorboss@mail.ru                                                                                                                                                                                                                                             
33;Государственное бюджетное учреждение культуры города Москвы «Московский театральный центр «Вишневый сад» под руководством Александра Вилькина»                                                                                                                ;ГБУК г.Москвы «МТЦ «Вишневый сад» п/р А.Вилькина»                                                                                                                                                                                                             ;121002, г.Москва, ул. Арбат, д.35                                                                                                                                                                                                                             ;5843,3251;9134,387311;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;119048, г.Москва, ул. Доватора, д.23                                                                                                                                                                                                                          ;(499) 248-11-62, (499) 795-91-92, (499) 248-43-73                                                                                                                                                                                                             ;(499) 248-11-62                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gardencherry@mail.ru                                                                                                                                                                                                                                          
34;Государственное бюджетное учреждение культуры города Москвы «Московский детский камерный театр кукол»                                                                                                                                                         ;ГБУК г.Москвы «МДКТК»                                                                                                                                                                                                                                         ;129128, г.Москва, ул. Бажова, д.9                                                                                                                                                                                                                             ;10231,61835;18720,09008;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Ростокино                                                                                                                                                                                                                                                     ;129128, г.Москва, ул. Бажова, д.9                                                                                                                                                                                                                             ;(499) 181-51-41, (499) 181-03-91                                                                                                                                                                                                                              ;(499) 181-03-91                                                                                                                                                                                                                                               ;mdktk.ru                                                                                                                                                                                                                                                      ;mdktk@mail.ru                                                                                                                                                                                                                                                 
35;Государственное бюджетное учреждение культуры города Москвы «Московский культурный фольклорный центр под руководством Людмилы Рюминой»                                                                                                                        ;ГБУК г.Москвы «Фольклорный центр п/р Л.Рюминой»                                                                                                                                                                                                               ;121096, г.Москва, ул. Барклая, д.9                                                                                                                                                                                                                            ;90,09441977;8264,735665;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Филевский парк                                                                                                                                                                                                                                                ;121096, г.Москва, ул. Барклая, д.9                                                                                                                                                                                                                            ;(499) 730-79-91, (499) 730-79-69, (499) 730-79-61                                                                                                                                                                                                             ;(499) 730-79-91                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ; t7307969@yandex.ru                                                                                                                                                                                                                                           
36;Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады»                                                                                                                                                                           ;ГБУК г.Москвы «Детский театр эстрады»                                                                                                                                                                                                                         ;105005, г.Москва, ул. Бауманская, д.32 стр.1                                                                                                                                                                                                                  ;11295,6875;11767,80528;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105005, г.Москва, ул. Бауманская, д.32 стр.1                                                                                                                                                                                                                  ;(495) 632-16-22, (495) 632-18-44                                                                                                                                                                                                                              ;(495) 632-18-44                                                                                                                                                                                                                                               ;vstudio.ru                                                                                                                                                                                                                                                    ;mdte @mail.ru                                                                                                                                                                                                                                                 
37;Государственное бюджетное учреждение культуры города Москвы «Театр «Центр драматургии и режиссуры»                                                                                                                                                            ;ГБУК г.Москвы «Театр «Центр драматургии и режиссуры»                                                                                                                                                                                                          ;125248, г.Москва, ул. Беговая, д.5                                                                                                                                                                                                                            ;3553,346542;12222,65498;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125248, г.Москва, ул. Беговая, д.5                                                                                                                                                                                                                            ;(495) 946-19-28                                                                                                                                                                                                                                               ;(495) 946-19-28                                                                                                                                                                                                                                               ;сdr.theatre.ru                                                                                                                                                                                                                                                ;kazantsev-center@mail.ru                                                                                                                                                                                                                                      
38;Государственное бюджетное учреждение культуры города Москвы «Московский академический Музыкальный театр имени народных артистов К.С. Станиславского и Вл. И. Немировича-Данченко»                                                                             ;ГБУК г.Москвы «МАМТ»                                                                                                                                                                                                                                          ;125009, г.Москва, ул. Большая Дмитровка, д.17                                                                                                                                                                                                                 ;7038,986235;10871,66422;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;125009, г.Москва, ул. Большая Дмитровка, д.17                                                                                                                                                                                                                 ;(495) 629-90-48, (495) 629-06-49                                                                                                                                                                                                                              ;(495) 629-06-49                                                                                                                                                                                                                                               ;stanmus.ru                                                                                                                                                                                                                                                    ;office@stanmus.ru                                                                                                                                                                                                                                             
