"0_ID";"1_Название объекта";"1_Название улицы";"1_Номер дома";"1_Корпус/строение";"1_Контактный телефон";"1_Электронная почта/Интернет-сайт"
"12";"Базовый центр по охране труда по Западному административному округу";"ул. Ельнинская";"д. 20";"корп. 2";"8-(499)-140-11-72";"info@mcot.ru, www.mcot.ru"
"13";"Базовый центр по охране труда по Северо-Западному административному округу";"ул. Маршала Василевского";"д.1";"корп. 2";"8-(499)-720-41-07";"info@mcot.ru, www.mcot.ru"
"14";"Базовый центр по охране труда по Зеленоградскому административному округу";"Зеленоград, корп. 339б";"корп. 339б,";"корп. 339б,";"8-(499)-734-92-21";"info@mcot.ru, www.mcot.ru"
"15";"Базовый центр по охране труда по Троицкому и Новомосковскому  административным округам";"г. Троицк, ул. Полковника милиции Курочкина,";"д.19";"стр. 1";"8-(495)-840-49-70";"info@mcot.ru, www.mcot.ru"
"16";"Информационный ресурсный центр Государственного казенного учреждения города Москвы «Московский центр трудового Обмена»";"ул. Автозаводская";"д. 23";"стр. 15";"8-(495)-677-96-26";"mcto@yandex.ru, www.mcto.su"
"17";"Центр приема заявок Государственного казенного учреждения города Москвы «Московский центр трудового Обмена»";"ул. Усиевича";"д. 29";"стр. 1";"8-(499)-151-15-36";"mcto@yandex.ru, www.mcto.su"
"18";"Государственное казенное учреждение города Москвы «Центр квотирования рабочих мест»";"ул. Люсиновская";"д.37";"стр.1";"8-(499)-237-43-46";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"19";"Территориальный отдел по Центральному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"Шелепихинское ш.";"д. 17";"корп.1";"8-(495)-707-24-93";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"20";"Территориальный отдел по Северному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Селигерская";"д. 14";"стр.1";"8-(499)-488-35-59";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"21";"Территориальный отдел по Северо-Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Енисейская";"д. 28";"корп.2";"8-(499)-185-04-00";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"22";"Территориальный отдел по Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Атарбекова";"д. 4а";"стр.1";"8-(495)-964-35-47";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"23";"Территориальный отдел по Юго-Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"Волгоградский проспект";"д. 130";"корп.3";"8-(495)-378-00-32";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"24";"Территориальный отдел по Южному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"Чонгарский бульвар";"д. 11";"стр.1";"8-(499)-723-18-45";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"25";"Территориальный отдел по Юго-Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Большая Черемушкинская";"д. 2";"корп.5";"8-(495)-779-77-67";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"26";"Территориальный отдел по Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"Аминьевское ш.";"д. 16";;"8-(495)-735-26-46";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"27";"Территориальный отдел по Северо-Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Мещерякова";"д. 9";"стр.1";"8-(495)-490-31-30";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"28";"Территориальный отдел по Зеленоградскому административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"Зеленоград, корп.841";"корп.841";"корп.841";"8-(499)-710-84-33";"cqvot_okri@mail.ru, www.gkuqvota.ru"
"29";"Отдел по работе с иностранными гражданами Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»";"ул. Селигерская";"д .1";"стр.1";"8-(499)-488-24-30";"cqvot_okri@mail.ru, www.gkuqvota.ru"
