0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Доп. информация;0_X;0_Y
751;Центр планирования семьи и репродукции № 2;115162, город Москва, Шаболовка улица, дом 57; ;Центр планирования семьи и репродукции № 2;ЦПСиР № 2 Ц; ;;;ЮАО; ;Клишина Ирина Гариковна;женский;Главный врач;(495) 237-91-96;(495) 237-91-96; ; ;6983,544;5441,0703
674;Центр восстановительного лечения для детей № 7;119270, город Москва, Хамовнический Вал улица, дом 12; ;Центр восстановительного лечения для детей № 7;ЦВЛ № 7; ;;;ЦАО; ;Марченко Мария Робертовна;женский;Главный врач;(499) 242-16-21;(499) 242-16-21; ; ;4773,5288;5651,1235
671;Центр восстановительного лечения для детей № 4;123317, город Москва, Красногвардейская 3-я улица, дом 4; ;Центр восстановительного лечения для детей № 4;ЦВЛ № 4; ;;;ДЗ; ;Машницкая Татьяна Брониславовна;женский;Главный врач;(499) 256-50-84;(499) 256-50-84; ; ;2682,7201;10197,0944
275;Государственное бюджетное учреждение здравоохранения города Москвы « Центр лекарственного обеспечения и контроля качества Департамента здравоохранения города Москвы»;111123, город Москва, Энтузиастов шоссе, дом 64; ;Государственное бюджетное учреждение здравоохранения города Москвы « Центр лекарственного обеспечения и контроля качества Департамента здравоохранения города Москвы»;ГБУЗ «ЦЛО и КК ДЗ г.Москвы»; ;;;ДЗ; ;Крученков Андрей Андреевич;мужской;Директор;(495) 925-81-80;(495) 925-81-80; ; ;17497,9399;10692,6468
269;Центральный научно-исследовательский институт гастроэнтерологии;111123, город Москва, Энтузиастов шоссе, дом 86; ;Центральный научно-исследовательский институт гастроэнтерологии;ЦНИИГЭ; ;;;ДЗ; ;Лазебник Леонид Борисович;мужской;Директор;(495) 304-74-23;(495) 304-74-23; ; ;18753,8475;11001,2909
220;Научно-практический центр экстренной медицинской помощи;129010, город Москва, Сухаревская Б площадь, дом 5, строение 1; ;Научно-практический центр экстренной медицинской помощи;НПЦ ЭМП; ;;;ДЗ; ;Федотов Сергей Алексеевич;мужской;Директор;(495) 608-75-55;(495) 608-75-55; ; ;8716,5501;11764,9799
581;Центр восстановительного лечения № 1;123154, город Москва, Генерала Глаголева улица, дом 8, корпус 4; ;Центр восстановительного лечения № 1;ЦВЛ № 1; ;;;СЗАО; ;Казьмина Ольга Васильевна;женский;Заведующая;(499) 199-57-35;(499) 199-57-35; ; ;-2155,1163;12584,0608
450;Центр восстановительного лечения для детей с бронхолегочной патологией;123308, город Москва, Куусинена улица, дом 6, корпус 1; ;Центр восстановительного лечения для детей с бронхолегочной патологией;ЦВЛД; ;;;САО;ДГП № 39;Щукина Ольга Витальевна;женский;Главный врач;(499) 195-94-14;(499) 195-94-14; ; ;1089,7573;12829,312
529;Центр планирования семьи и репродукции № 3;127549, город Москва, Енисейская улица, дом 2, корпус 2; ;Центр планирования семьи и репродукции № 3;ЦПСиР № 3; ;;;СВАО;РД № 11;Кузьмич Ирина Николаевна;женский;Главный врач;(499) 798-01-03;(499) 798-01-03; ; ;10383,0361;21114,6179
670;Центр восстановительного лечения для детей № 3;119146, город Москва, Фрунзенская 2-я улица, дом 7; ;Центр восстановительного лечения для детей № 3;ЦВЛ № 3; ;;;ДЗ;НПЦ ДП;Зайцева Анна Петровна;женский;Заведующая;(499) 242-01-55;(499) 242-01-55; ; ;5186,1851;6209,5377
138;Московский научно-практический центр медицинской реабилитации восстановительной и спортивной медицины  филиал № 17;105120, город Москва, Сыромятнический 3-й переулок, дом 1; ;Московский научно-практический центр медицинской реабилитации восстановительной и спортивной медицины  филиал № 17;МНПЦ МРВиСМ ДЗМ филиал № 17; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Великова Екатерина Витальевна;женский;Руководитель филиала;(495) 698-50-15;(495) 698-50-15; ; ;10418,1251;9642,0045
217;Научно-практический центр интервенционной кардиоангиологии;101000, город Москва, Сверчков переулок, дом 5; ;Научно-практический центр интервенционной кардиоангиологии;НПЦ ИК; ;;;ДЗ; ;Иоселиани Давид Георгиевич;мужской;Директор;(495) 624-96-36;(495) 624-96-36; ; ;8854,4251;10446,771
179;Московский городской центр реабилитации больных со спиномозговой травмой и последствиями детского церебрального паралича;129515, город Москва, Останкинская 1-я улица, дом 3, строение 1; ;Московский городской центр реабилитации больных со спиномозговой травмой и последствиями детского церебрального паралича;МГЦРБсоСМТиДЦП; ;;;СВАО; ;Дикуль Валентин Иванович;мужской;Директор;(495) 683-83-54;(495) 683-83-54; ; ;6896,2854;17638,1304
175;Московский научно-практический Центр дерматовенерологии и косметологии Департамента здравоохранения города Москвы;119071, город Москва, Ленинский проспект, дом 17; ;Московский научно-практический Центр дерматовенерологии и косметологии Департамента здравоохранения города Москвы;МЦДиК; ;;;ДЗ; ;Потекаев Николай Николаевич;мужской;Директор;(495) 954-75-59;(495) 954-75-59; ; ;6312,85;5865,6458
177;Городской консультативно-диагностический центр по специфической иммунопрофилактике;127006, город Москва, Успенский переулок, дом 16; ;Городской консультативно-диагностический центр по специфической иммунопрофилактике;ГКДЦ по СИ; ;;;ДЗ; ;Лешкевич Иван Александрович;мужской;Главный врач;(495) 699-01-47;(495) 699-01-47; ; ;7042,9558;11398,7314
178;Московский городской научно-практический центр борьбы с туберкулезом;107014, город Москва, Стромынка улица, дом 10; ;Московский городской научно-практический центр борьбы с туберкулезом;МГНПЦ БсТ; ;;;ДЗ; ;Богородская Елена Михайловна;женский;Директор;(499) 268-00-05;(499) 268-00-05; ; ;12020,2511;13943,0259
273;центр патологии речи и нейрореабилитации;109240, город Москва, Николоямская улица, дом 20, корпус 1; ;центр патологии речи и нейрореабилитации;ЦПР и Н; ;;;ДЗ; ;Фукалов Юрий Александрович;мужской;Главный врач;(495) 719-73-44;(495) 719-73-44; ; ;9689,2573;8932,4259
274;Центр планирования семьи и репродукции;117209, город Москва, Севастопольский проспект, дом 24; ;Центр планирования семьи и репродукции;ЦПСиР; ;;;ДЗ; ;Курцер Марк Аркадьевич;мужской;Главный врач;(495) 719-73-44;(495) 719-73-44; ; ;5202,8506;145,3391
193;Московский научно-практический центр медицинской реабилитации восстановительной и спортивной медицины Департамента здравоохранения города Москвы;105120, город Москва, Земляной Вал улица, дом 53; ;Московский научно-практический центр медицинской реабилитации восстановительной и спортивной медицины Департамента здравоохранения города Москвы;МНПЦ МРВиСМ ДЗМ; ;;;ДЗ; ;Разумов Александр Николаевич;мужской;Директор;(495) 916-45-62;(495) 916-45-62; ; ;9950,2735;9528,0981
190;Московский научно-практический центр наркологии;109390, город Москва, Люблинская улица, дом 37; ;Московский научно-практический центр наркологии;МНПЦ Н; ;;;ДЗ; ;Брюн Евгений Алексеевич;мужской;Директор;(499) 178-35-05;(499) 178-35-05; ; ;14854,5305;3315,6722
191;Московский научно-практический Центр оториноларингологии им. Л.И.Свержевского ДЗМ;117152, город Москва, Загородное шоссе, дом 18; ;Московский научно-практический Центр оториноларингологии им. Л.И.Свержевского ДЗМ;МНПЦО им. Л.И.Свержевского ДЗМ; ;;;ДЗ; ;Крюков Андрей Иванович;мужской;Директор;(495) 633-92-06;(495) 633-92-06; ; ;6440,7772;3239,2405
215;Научно-исследовательский институт скорой помощи им. Н.В. Склифосовского;129090, город Москва, Сухаревская Б площадь, дом 3; ;Научно-исследовательский институт скорой помощи им. Н.В. Склифосовского;НИИ СП им Склифосовского; ;;;ДЗ; ;Хубутия Могели Шалвович;мужской;Директор;(495) 628-38-97;(495) 628-38-97; ; ;8588,5602;11802,351
726;Научно-практический центр медицинской помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы филиал № 3;117534, город Москва, Чертановская улица, дом 56; ;Научно-практический центр медицинской помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы филиал № 3;НПЦ МП ДПРЦЛ филиал № 3; ;;;ДЗ;НПЦ МП ДПРЦЛ;Графов Владислав Алексеевич;мужской;Директор;(495) 387-42-38;(495) 387-42-38; ; ;5642,1608;-7163,3171
219;Научно-практический центр медицинской радиологии;109028, город Москва, Яузский бульвар, дом 9; ;Научно-практический центр медицинской радиологии;НПЦ МР; ;;;ДЗ; ;Варшавский Юрий Викторович;мужской;Директор;(495) 678-54-95;(495) 678-54-95; ; ;9348,0039;9429,5779
528;Центр организации восстановительного лечения специализированной психоневрологической помощи детям № 2;127562, город Москва, Алтуфьевское шоссе, дом 30д; ;Центр организации восстановительного лечения специализированной психоневрологической помощи детям № 2;ЦВЛ № 2; ;;;ДЗ;НПЦ ДП;Сторожев Владимир Леонидович;мужской;Главный врач;(499) 201-66-48;(499) 201-66-48; ; ;5502,5162;22035,4851
672;Центр восстановительного лечения для детей № 5;119017, город Москва, Вишняковский переулок, дом 12; ;Центр восстановительного лечения для детей № 5;ЦВЛ № 5; ;;;ЦАО; ;Гаврилова Валентина Леонидовна;женский;Заведующая;(495) 951-11-68;(495) 951-11-68; ; ;8252,3821;7688,8062
