0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почта
44;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №98»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №98»                                                                                                                                                                                                             ;125413, г.Москва, Кронштадтский б-р, д.49а                                                                                                                                                                                                                    ;792,1524058;20713,95087;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;125413, г.Москва, Кронштадтский б-р, д.49а                                                                                                                                                                                                                    ;(495) 454-04-36                                                                                                                                                                                                                                               ;(495) 454-04-36                                                                                                                                                                                                                                               ;uksao.ru                                                                                                                                                                                                                                                      ;dmsh98@yandex.ru                                                                                                                                                                                                                                              
45;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Г.Ф.Генделя»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Г.Ф.Генделя»                                                                                                                                                                                               ;125635, г.Москва, ул. Базовская, д.16                                                                                                                                                                                                                         ;860,9924745;23474,05738;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Западное Дегунино                                                                                                                                                                                                                                             ;125635, г.Москва, ул. Базовская, д.16                                                                                                                                                                                                                         ;(499) 906-81-22, (499) 906-81-11                                                                                                                                                                                                                              ;(499) 906-81-11                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh-hendel@yandex.ru                                                                                                                                                                                                                                         
46;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкально-хоровая школа №106»                                                                                                                  ;ГБОУ ДОД г.Москвы «Детская музыкально-хоровая школа №106»                                                                                                                                                                                                     ;127411, г.Москва, ул. Долгопрудная, д.10а                                                                                                                                                                                                                     ;2551,688225;25364,43417;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Дмитровский                                                                                                                                                                                                                                                   ;127411, г.Москва, ул. Долгопрудная, д.10а                                                                                                                                                                                                                     ;(495) 485-25-73, (495) 485-25-74                                                                                                                                                                                                                              ;(495) 485-25-71                                                                                                                                                                                                                                               ;uksao.ru                                                                                                                                                                                                                                                      ;vdokhnovenie@bk.ru                                                                                                                                                                                                                                            
48;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Г.В.Свиридова»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Г.В.Свиридова»                                                                                                                                                                                             ;129336, г.Москва, ул. Стартовая, д.10                                                                                                                                                                                                                         ;12193,86595;24670,09805;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Лосиноостровский                                                                                                                                                                                                                                              ;129336, г.Москва, ул. Стартовая, д.10                                                                                                                                                                                                                         ;(495) 475-81-55, (495) 475-71-42, (495) 474-94-33                                                                                                                                                                                                             ;(495) 474-94-33                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;sviridovschool@rambler.ru                                                                                                                                                                                                                                     
50;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная (хоровая) школа «Весна»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская музыкальная (хоровая) школа «Весна»                                                                                                                                                                                                ;129642, г.Москва, пр-д Дежнева, д.3                                                                                                                                                                                                                           ;9394,2806;22711,64659;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Южное Медведково                                                                                                                                                                                                                                              ;127254, г.Москва, ул. Руставели, д.3/12 стр.2                                                                                                                                                                                                                 ;(495) 186-73-31, (495) 186-73-35                                                                                                                                                                                                                              ;(495) 186-73-35                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;vesna@nline.ru                                                                                                                                                                                                                                                
54;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №66»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №66»                                                                                                                                                                                                             ;127254, г.Москва, ул. Гончарова, д.15а                                                                                                                                                                                                                        ;5583,866675;16684,07172;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Бутырский                                                                                                                                                                                                                                                     ;127254, г.Москва, ул. Руставели, д.13/12 корп.2                                                                                                                                                                                                               ;(495) 619-59-54, (495) 619-20-35                                                                                                                                                                                                                              ;(495) 619-59-54                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;4745707@list.ru                                                                                                                                                                                                                                               
55;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Н.Скрябина»                                                                                                           ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени А.Н.Скрябина»                                                                                                                                                                                              ;129323, г.Москва, ул. Снежная, д.24                                                                                                                                                                                                                           ;9524,11675;20777,3316;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Свиблово                                                                                                                                                                                                                                                      ;129323, г.Москва, ул. Снежная, д.24                                                                                                                                                                                                                           ;(495) 180-00-66, (495) 189-01-26                                                                                                                                                                                                                              ;(495) 180-00-65                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;shkolaskrybin@mail.ru                                                                                                                                                                                                                                         
57;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.П.Ракова»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Н.П.Ракова»                                                                                                                                                                                                ;127055, г.Москва, Новосущевский пер., д.4                                                                                                                                                                                                                     ;6883,026797;13729,96651;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Марьина Роща                                                                                                                                                                                                                                                  ;127055, г.Москва, Новосущевский пер., д.4                                                                                                                                                                                                                     ;(495) 689-11-74, (495) 689-15-55                                                                                                                                                                                                                              ;(495) 689-11-74                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmshrakova@mail.ru                                                                                                                                                                                                                                            
58;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.С.Калинникова»                                                                                                        ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени В.С.Калинникова»                                                                                                                                                                                           ;127204, г.Москва, ул. 7-я Северная линия, д.2                                                                                                                                                                                                                 ;3260,351075;30345,48445;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Северный                                                                                                                                                                                                                                                      ;127204, г.Москва, ул. 7-я Северная линия, д.2                                                                                                                                                                                                                 ;(499) 767-78-09, (499) 767-17-92, (499) 767-90-22, (499) 767-78-11                                                                                                                                                                                            ;(499) 767-78-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;4997677809@mail.ru                                                                                                                                                                                                                                            
59;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.С.Калинникова»                                                                                                        ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени В.С.Калинникова»                                                                                                                                                                                           ;127576, г.Москва, ул. Абрамцевская, д.1                                                                                                                                                                                                                       ;4691,0074;25035,94572;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Северный                                                                                                                                                                                                                                                      ;127204, г.Москва, ул. 7-я Северная линия, д.2                                                                                                                                                                                                                 ;(499) 767-78-09, (499) 767-17-92, (499) 767-90-22, (499) 767-78-11                                                                                                                                                                                            ;(499) 767-78-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;4997677809@mail.ru                                                                                                                                                                                                                                            
61;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №92»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №92»                                                                                                                                                                                                             ;129343, г.Москва, ул. Амундсена, д.13                                                                                                                                                                                                                         ;9842,13608;20663,50038;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Свиблово                                                                                                                                                                                                                                                      ;127254, г.Москва, ул. Руставели, д.13/12 корп.2                                                                                                                                                                                                               ;(495) 180-61-74                                                                                                                                                                                                                                               ;(495) 180-61-74                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;wdtnjr92@ramdler.ru                                                                                                                                                                                                                                           
62;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №93»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №93»                                                                                                                                                                                                             ;129164, г.Москва, пр-т Мира, д.118 стр.1                                                                                                                                                                                                                      ;8751,456831;15954,26776;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Останкинский                                                                                                                                                                                                                                                  ;129164, г.Москва, пр-т Мира, д.118 стр.1                                                                                                                                                                                                                      ;(495) 687-31-43, (495) 687-31-46                                                                                                                                                                                                                              ;(495) 687-31-46                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;15yk@mail.ru                                                                                                                                                                                                                                                  
