0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Адрес электронной почты;1_Режим работы;0_moddate;0_moduser
34;Государственное казенное учреждение инженерная служба Лосиноостровского района                                                                                                                                                                                ;ГКУ ИС Лосиноостровского района                                                                                                                                                                                                                               ;129345, Москва, ул. Тайнинская, д.17, к.1.                                                                                                                                                                                                                    ;11667,146;24351,57051;0;                                                                                                                                                                                                                                                              ;ул. Тайнинская                                                                                                                                                                                                                                                ;д.17                                                                                                                                                                                                                                                          ;к.1                                                                                                                                                                                                                                                           ;8-499-185-9938                                                                                                                                                                                                                                                ;guis-losinka@ilnet.ru                                                                                                                                                                                                                                         ;вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
35;Государственное казенное учреждение инженерная служба района Лианозово                                                                                                                                                                                        ;ГКУ ИС района Лианозово                                                                                                                                                                                                                                       ;г.Москва, ул.Новгородская, д.32                                                                                                                                                                                                                               ;5200,352706;26348,28255;0;                                                                                                                                                                                                                                                              ;Новгородская                                                                                                                                                                                                                                                  ;32;                                                                                                                                                                                                                                                              ;499-908-80-79                                                                                                                                                                                                                                                 ;guislia@lianet.ru                                                                                                                                                                                                                                             ;вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
36;Государственное казенное учреждение инженерная служба Бутырского района                                                                                                                                                                                       ;ГКУ ИС Бутырского района                                                                                                                                                                                                                                      ;Москва, ул. Фонвизина, д.11А                                                                                                                                                                                                                                  ;5388,153985;17208,23181;0;                                                                                                                                                                                                                                                              ;Фонвизина                                                                                                                                                                                                                                                     ;11А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(495)610-96-47                                                                                                                                                                                                                                                ;guis.butyrskiy@gmail.com                                                                                                                                                                                                                                      ;вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
49;Государственное казенное учреждение инженерная служба района Соколиная гора                                                                                                                                                                                   ;ГКУ ИС района Соколиная гора                                                                                                                                                                                                                                  ;г.Москва, ул. Щербаковская д.40                                                                                                                                                                                                                               ;14863,18715;12872,63136;0;                                                                                                                                                                                                                                                              ;Щербаковская                                                                                                                                                                                                                                                  ;40;                                                                                                                                                                                                                                                              ;166 76 17                                                                                                                                                                                                                                                     ;erc205@yandex.ru                                                                                                                                                                                                                                              ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
50;Государственное казенное учреждение инженерная служба района Сокольники                                                                                                                                                                                       ;ГКУ ИС района Сокольники                                                                                                                                                                                                                                      ;107014, г.Москва, ул.Стромынка д.3                                                                                                                                                                                                                            ;11595,5126;13793,22161;0;                                                                                                                                                                                                                                                              ; ул.Стромынка                                                                                                                                                                                                                                                 ;д.3                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;8-499- 268-89-12                                                                                                                                                                                                                                              ;sokolniki5@rambler.ru                                                                                                                                                                                                                                         ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
51;Государственное казенное учреждение инженерная служба района Косино-Ухтомский                                                                                                                                                                                 ;ГКУ ИС района Косино-Ухтомский                                                                                                                                                                                                                                ;г. Москва, ул.Рудневка, д.27                                                                                                                                                                                                                                  ;24611,62162;5601,796872;0;                                                                                                                                                                                                                                                              ;ул.Рудневка                                                                                                                                                                                                                                                   ;д.27                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8-499-721-90-31                                                                                                                                                                                                                                               ;d-k111621@yandex.ru                                                                                                                                                                                                                                           ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
52;Государственное казенное учреждение инженерная служба района Новогиреево                                                                                                                                                                                      ;ГКУ ИС района Новогиреево                                                                                                                                                                                                                                     ;111394, Москва, Новогиреевская ул., д. 52                                                                                                                                                                                                                     ;18958,1751;9198,453614;0;                                                                                                                                                                                                                                                              ; Новогиреевская ул.                                                                                                                                                                                                                                           ;д.52                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8-499-785-66-79                                                                                                                                                                                                                                               ;novogir@bk.ru                                                                                                                                                                                                                                                 ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
53;Государственное казенное учреждение инженерная служба района Измайлово                                                                                                                                                                                        ;ГКУ ИС района Измайлово                                                                                                                                                                                                                                       ;105043 Москва Заводской пр-д д.25                                                                                                                                                                                                                             ;18289,70415;13759,24327;0;                                                                                                                                                                                                                                                              ; Заводской пр-д                                                                                                                                                                                                                                               ;д.25                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8-499- 367-11-25                                                                                                                                                                                                                                              ;is_izmailovo@mail.ru                                                                                                                                                                                                                                          ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
54;Государственное казенное учреждение инженерная служба района Богородское                                                                                                                                                                                      ;ГКУ ИС района Богородское                                                                                                                                                                                                                                     ;г.Москва, ул.Бойцовая, д.18, к.5                                                                                                                                                                                                                              ;14147,99412;16344,1163;0;                                                                                                                                                                                                                                                              ;Бойцовая                                                                                                                                                                                                                                                      ;18;5;8-499-169-33-41                                                                                                                                                                                                                                               ;1693341@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
55;Государственное казенное учреждение инженерная служба района Вешняки                                                                                                                                                                                          ;ГКУ ИС района Вешняки                                                                                                                                                                                                                                         ;111395 г.Москва Вешняковская 24А                                                                                                                                                                                                                              ;20121,01033;5949,440133;0;                                                                                                                                                                                                                                                              ;ул. Вешняковская                                                                                                                                                                                                                                              ;д.24А                                                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;8-499-786-32-95                                                                                                                                                                                                                                               ;guis_veshnyaki@mail.ru                                                                                                                                                                                                                                        ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
56;Государственное казенное учреждение инженерная служба района Ивановское                                                                                                                                                                                       ;ГКУ ИС района Ивановское                                                                                                                                                                                                                                      ;111555 г.Москва ул.Молостовых,д.3-Г                                                                                                                                                                                                                           ;21015,87468;10636,87492;0;                                                                                                                                                                                                                                                              ; ул.МолостовыхГ                                                                                                                                                                                                                                               ;д.3-Г                                                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;307-84-91, 307-59-21                                                                                                                                                                                                                                          ;guis_ivanovskoe@mail.ru                                                                                                                                                                                                                                       ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
57;Государственное казенное учреждение инженерная служба района Гольяново                                                                                                                                                                                        ;ГКУ ИС района Гольяново                                                                                                                                                                                                                                       ;107065, Москва, ул.Уссурийская, д.8                                                                                                                                                                                                                           ;19844,5553;17346,65011;0;                                                                                                                                                                                                                                                              ; ул.Уссурийская                                                                                                                                                                                                                                               ;д.8                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ; 469-82-81                                                                                                                                                                                                                                                    ;golyanovo.z1@mail.ru                                                                                                                                                                                                                                          ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
58;Государственное казенное учреждение инженерная служба района Восточный                                                                                                                                                                                        ;ГКУ ИС района Восточный                                                                                                                                                                                                                                       ;г.Москва, ул.Девятого мая, д.28                                                                                                                                                                                                                               ;23639,00878;16809,8476;0;                                                                                                                                                                                                                                                              ;Девятого мая                                                                                                                                                                                                                                                  ;28;                                                                                                                                                                                                                                                              ;тел.:8-499-780-67-70 факс 8-499-780-97-81                                                                                                                                                                                                                     ;guis.vos@yandex.ru                                                                                                                                                                                                                                            ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
59;Государственное казенное учреждение инженерная служба района Восточное Измайлово                                                                                                                                                                              ;ГКУ ИС района Восточное Измайлово                                                                                                                                                                                                                             ;105077, Москва, Первомайская ул., д. 107А                                                                                                                                                                                                                     ;19638,766;14143,2441;0;                                                                                                                                                                                                                                                              ; Первомайская ул.                                                                                                                                                                                                                                             ;д.107А                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              ; 645-86-39                                                                                                                                                                                                                                                    ;guisvost-izm@mail.ru                                                                                                                                                                                                                                          ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
60;Государственное казенное учреждение инженерная служба района Некрасовка                                                                                                                                                                                       ;ГКУ ИС района Некрасовка                                                                                                                                                                                                                                      ;улица 1-я Вольская, д. 22, корпус 1                                                                                                                                                                                                                           ;26909,17125;1873,551924;0;                                                                                                                                                                                                                                                              ;1-я Вольская                                                                                                                                                                                                                                                  ;22;1;(499)746-78-70                                                                                                                                                                                                                                                ;nesterova_lina@mail.ru                                                                                                                                                                                                                                        ;пн.-пт. 09.00-20.00, без перерыва, сб. 08.00-15.00 , вс. - выходной                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
1;Государственное казенное учреждение инженерная служба Мещанского района                                                                                                                                                                                       ;ГКУ ИС Мещанского района                                                                                                                                                                                                                                      ;г.Москва, пер.Ботанический, д.7                                                                                                                                                                                                                               ;8759,03181;12402,4111;0;                                                                                                                                                                                                                                                              ;Ботанический                                                                                                                                                                                                                                                  ;7;                                                                                                                                                                                                                                                              ;8-495-680-39-92                                                                                                                                                                                                                                               ;guis@inbox.ru                                                                                                                                                                                                                                                 ;пн.-пт. 08.00-17.00 (без перерыва) , сб., вс.-выходной                                                                                                                                                                                                        ;12:00:00 AM;                                                                                                    
2;Государственное казенное учреждение инженерная служба района Якиманка                                                                                                                                                                                         ;ГКУ ИС района Якиманка                                                                                                                                                                                                                                        ;119035 г. Москва 1-й Кадашевский пер.,д.9 стр.1                                                                                                                                                                                                               ;7772,751858;8445,531471;0;                                                                                                                                                                                                                                                              ;1-й Кадашевский пер.                                                                                                                                                                                                                                          ;д.9                                                                                                                                                                                                                                                           ;стр.1                                                                                                                                                                                                                                                         ;8-495-953-16-43/953-17-62                                                                                                                                                                                                                                     ;guis_yakimanka@mail.ru                                                                                                                                                                                                                                        ;пн.-пт. 08.00-20.00 (без перерыва) , сб., вс.-выходной                                                                                                                                                                                                        ;12:00:00 AM;                                                                                                    
