0_Код;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Название;1_Краткое наименование;1_Дата закрытия;1_Дата повторного открытия после закрытия;1_Причина закрытия;1_Административный округ по территориальной принадлежности;1_Главное ЛПУ, ИД другого ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Адрес;0_Идентификатор в адресном реестре;1_Телефон руководителя;1_Общий телефон;1_Факс;1_Доп информация;1_Специализация
2009;true;Акушерский стационар при городской клинической больнице № 67;Акушерский стационар ГКБ № 67;АС ГКБ № 67;01.01.2013;31.12.2013;капитальный ремонт;СЗАО;Городская клиническая больница № 67;Бейлин Александр Львович;мужской;Заместитель главного врача;123423, город Москва, Саляма Адиля улица, дом 2;;(499)199-91-79;(499)199-66-41;;;
2010;true;Акушерский стационар при городской клинической больнице № 68;Акушерский стационар ГКБ № 68;АС ГКБ № 68;13.05.2013;09.06.2013;профилактическая санитарно-гигиеническая обработка;ЮВАО;Городская клиническая больница № 68;Телицын Борис Евгеньевич;мужской;Заместитель главного врача по акушерству;109263, город Москва, Шкулева улица, дом 4;;(499)178-08-46;(499)179-78-11;;;
2011;true;Акушерский стационар при городской клинической больнице № 72;Акушерский стационар ГКБ № 72;АС ГКБ № 72;02.09.2013;29.09.2013;профилактическая санитарно-гигиеническая обработка;ЗАО;Городская клиническая больница № 72;Заборский Владимир Марьянович;мужской;Главный врач;121552, город Москва, Академика Павлова улица, дом 22;;;(499)149-57-52;;;
2012;true;Перинатальный медицинский центр;Перинатальный медицинский центр;Перинатальный медицинский центр;23.12.2013;19.01.2014;профилактическая санитарно-гигиеническая обработка;;;Фомичева Елена Николаевна;женский;Главный врач;127486, город Москва, Севастопольский проспект, дом 24, корпус 1;;(499)744-69-54;(499)331-85-10;;;
441;true;Государственное учреждение здравоохранения города Москвы Родильный дом  № 17  Управления здравоохранения   Северного  АО города Москвы;Родильный дом № 17;РД № 17;18.02.2013;17.03.2013;профилактическая санитарно-гигиеническая обработка;САО;;Торубаров Сергей Феликсович;мужской;Главный врач;127591, город Москва, 800-летия Москвы улица, дом 22;;(499)906-01-31;(499)906-01-48;;;
442;true;Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный  дом  № 27  Департамента здравоохранения города Москвы»;Родильный дом № 27;РД № 27;01.01.2013;31.12.2013;капитальный ремонт;САО;;Швырёва Елена Александровна;женский;Главный врач;125008, город Москва, Коптевский бульвар, дом 5;;(499)153-33-00;(499)153-33-00;;;
518;true;Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 11  Департамента здравоохранения города Москвы»;Родильный дом № 11;РД № 11;30.09.2013;27.10.2013;профилактическая санитарно-гигиеническая обработка;СВАО;;Овешникова Татьяна Зосимовна;женский;Главный врач;127549, город Москва, Костромская улица, дом 3;;(499)206-00-39;(499)207-25-00;;;
519;true;Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 5    Департамента здравоохранения города Москвы»;Родильный дом № 5;РД № 5;01.01.2013;31.12.2013;капитальный ремонт;СВАО;;Судакова Галина Юрьевна;женский;Главный врач;129336, город Москва, Таймырская улица, дом 6;;(495)474-90-22;(495)474-85-47;;;
573;true;Государственное   бюджетное  учреждение здравоохранения города Москвы «Родильный  дом  № 26   Департамента здравоохранения города Москвы»;Родильный дом № 26;РД № 26;01.01.2013;31.12.2013;капитальный ремонт;СЗАО;;Науменко Марина Гареновна;женский;Главный врач;123182, город Москва, Сосновая улица, дом 11;;(499)190-43-07;(499)190-52-80;;;
661;true;Государственное  бюджетное учреждение здравоохранения города Москвы  «Родильный дом  № 32    Департамента  здравоохранения  города Москвы»;Родильный дом № 32;РД № 32;30.09.2013;27.10.2013;профилактическая санитарно-гигиеническая обработка;ЦАО;;Семейкина Елена Юрьевна;женский;Главный врач;123317, город Москва, Красногвардейская 3-я улица, дом 1;;(495)256-12-82;(495)256-15-89;;;
662;true;Родильный дом № 6 им. А.А. Абрикосовой филиал городской клинической больницы № 8;Родильный дом № 6 филиал ГБ № 8;РД № 6 филиал ГБ № 8;10.06.2013;07.07.2013;профилактическая санитарно-гигиеническая обработка;САО;Городская больница № 8;Сайчук Елена Николаевна;женский;И.о. главного врача;127287, город Москва, 4-й Вятский переулок, дом 39;;(495)613-43-79;(495)613-43-79;;;Общий профиль
572;true;Государственное  бюджетное   учреждение здравоохранения города Москвы «Родильный  дом  № 1  Департамента здравоохранения города Москвы»;Родильный дом № 1;РД № 1;02.09.2013;29.09.2013;профилактическая санитарно-гигиеническая обработка;СЗАО;;Иванников Николай Юрьевич;мужской;Главный врач;125480, город Москва, Вилиса Лациса улица, дом 4;;(495)494-11-01;(495)495-11-01;;;Общий профиль
894;true;Государственное учреждение здравоохранения города Москвы Родильный дом  № 4  Управления здравоохранения   Юго-Западного  АО города Москвы;Родильный дом № 4;РД № 4;20.05.2013;16.06.2013;профилактическая санитарно-гигиеническая обработка;ЮЗАО;;Шарапова Ольга Викторовна;женский;Главный врач;119421, город Москва, Новаторов улица, дом 3;;(495)936-22-77;(495)936-10-96;;;Детская реанимация
