"0_№ п/п";"1_Код по Общероссийскому классификатору видов  экономической деятельности, продукции и услуг (ОКДП)";"1_Наименование по Перечню"
"134";"3200000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"135";"3210000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"136";"3210000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"137";"3211022";"Светодиодный светильник"
"138";"3211022";"Светодиодный медицинский хирургический светильник"
"139";"3220000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"140";"3220000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"141";"3220111";"Системы спутниковой навигации"
"142";"3221020";"Навигационное оборудование GPS/ГЛОНАСС"
"143";"3221020";"Комплексы бортового мониторинга"
"144";"3221137";"Система панорамного видеонаблюдения"
"145";"3221137";"Комплексы бортового оборудования безопасности"
"146";"3221138";"Комплексы мониторинга транспортных потоков"
"147";"3221138";"Телевизионные камеры с возможностью мониторинга транспортных потоков"
"148";"3221200";"Комплексы мониторинга транспортных потоков"
"149";"3222305";"Шкаф сервисный телекоммуникационный"
"150";"3230000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"151";"3230000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"152";"3230020";"Система видеонаблюдения на основе нано технологических составляющих с компьютерным зрением"
"153";"3230102";"Системы коллективного отображения информации"
"154";"3230164";"Высокофункциональные устройства для чтения говорящих книг"
"155";"3311020";"Светодиодная соска"
"156";"3311030";"Генератор морского воздуха"
"157";"3311030";"Аппарат для тренировки аккомодации глаз"
"158";"3311030";"Комплект первой помощи"
"159";"3311030";"Офтальмологический аппарат"
"160";"3311030";"Аппарат лазерный физиотерапевтический"
"161";"3311030";"Устройство для имплантации ФИОЛ"
"162";"3311030";"Расходные материалы для стоматологии"
"163";"3311040";"Медицинские морозильники плазмы крови"
"164";"3311040";"Термостат сейф"
"165";"3311050";"Кушетка аутогравитационная"
"166";"3311050";"Комплекс для реабилитации восстановления двигательных функций нижних конечностей"
"167";"3311224";"Комплексы фото- видео фиксации нарушений ПДД"
"168";"3311228";"Сигнализаторы звука"
"169";"3311233";"Многофункциональная хирургическая навигационная система"
"170";"3311239";"Система для внутрисосудистого ультразвукового исследования коронарных артерий и определения фракционного резерва кровотока S5 IVUS VOLCANO, США"
"171";"3311239";"Портативная универсальная цветовая ультразвуковая диагностическая система с полностью цифровой программируемой архитектурой с возможностями работы с высокой частотой кадров для проведения ультразвуковых исследований сердца и сосудов с экспертной диагностической точностью."
"172";"3311239";"Конфокальный лазерный эндомикроскоп CELLVIZIO"
"173";"3311239";"Аппарат цифровой рентгеновский мобильный с С-дугой"
"174";"3311239";"Стационарный цифровой рентгеновский аппарат на 3 рабочих места"
"175";"3311239";"Аппарат рентгеновский цифровой мобильный хирургический"
"176";"3311239";"Стационарный цифровой рентгеновский комплекс на 2 рабочих места"
"177";"3311239";"Стационарная цифровая система на 3 рабочих места"
"178";"3311264";"Мультисуставная лечебно-аналитическая система с биологической обратной связью и аксессуарами,HUMAC NORM, CSMiMedicalSolutions, США"
"179";"3311264";"Аппарат для реабилитации PowerPlate? Pro6™ с дополнительными аксессуарами"
"180";"3311264";"Тренажеры - вертикализаторы"
"181";"3311264";"Тренажеры медицинские терапевтические"
"182";"3311265";"Многофункциональная урологическая установка DornierGimini производства фирмы ДорньеМедТехГмбХ (Германия)"
"183";"3311265";"Система радиотерапевтическая нейрохирургическая с использованием массива источников изотопа Со-60 LeksellGammaKnifePerfection"
"184";"3311265";"Интраоперационный рентгеновский облучатель"
"185";"3311269";"Многофункциональная эксимерная лазерная система CVX-300"
"186";"3311321";"Монитор для плазмотерапии и гемодиализа OCTO NOVA, Mesys (Германия)"
"187";"3311321";"Медицинские многофункциональные кровати"
"188";"3311323";"Мобильный КТ BodyTom"
"189";"3311323";"Совмещенный двухфотонный позитронно-эмиссионный и компьютерный томограф (ПЭТ/KТ)"
"190";"3311329";"Система прецизионного дистанционного управления процедурой в рентгеноперационной"
"191";"3311329";"Комплекс для реканализации окклюзий сосудов Jet 9000 производства AxelInternational B.V. Нидерланды"
"192";"3311329";"Потолочная подъемная система"
"193";"3311329";"Медицинские терапевтические тренажеры различных модификаций"
"194";"3311329";"Детские вертикализаторы различных модификаций"
"195";"3311329";"Детские функциональные ортопедические стулья"
"196";"3311329";"Подъемники для ванны"
"197";"3311329";"Ортопедические тренажеры для ходьбы"
"198";"3311329";"Тренажеры-вертикализаторы различных модификаций"
"199";"3311451";"Инвалидные кресла-коляски с электроприводом различных модификаций"
"200";"3311452";"Прогулочная коляска для транспортировки детей-инвалидов, страдающих тяжелой формой ДЦП"
"232";"3319200";"Ручные и опто-электронные пожарные извещатели"
"233";"3319200";"Инфракрасные опто-электронныеизвещатели пламени"
"234";"3319200";"Оповещатель звуковой пожарный"
"235";"3319200";"Дымовой пожарный извещатель"
"236";"3319203";"Дымовой оптико-электронный пожарный извещатель"
"237";"3319224";"Звуковой пожарный оповещатель"
"238";"3319270";"Звуковые сигнальные устройства"
"239";"3319287";"Система видеонаблюдения на основе нано технологических составляющих с компьютерным зрением"
"240";"3319290";"Система охраны периметра промышленного объекта"
"241";"3320000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"242";"3320000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"243";"3320111";"Охлаждаемая тепловизионная камера"
"244";"3320123";"Портативный тепловизор"
"245";"3320212";"Системы видеонаблюдения"
"246";"3320523";"Квартирный регулятор давления"
"247";"3320523";"Этажные регуляторы давления"
"248";"3321020";"Полевой контролер с модемом и встроенной камерой"
"249";"3321160";"Тепловизоры"
"250";"3321164";"Тепловизоры"
"251";"3321202";"Высокофункциональные устройств для коррекции слабовидения"
"252";"3400000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"253";"3400000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"254";"3410000";"Катализатор для легковых автомобилей"
"255";"3410000";"Катализатор для дизельных двигателей"
"256";"3410000";"Автомобиль ЕВРО-4"
"257";"3410000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"258";"3410000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"259";"3410141";"Гибридный автомобиль"
"260";"3410141";"Краны манипуляторы"
"261";"3410150";"Электромобиль экскурсионный"
"262";"3410150";"Электромобиль патрульный"
"263";"3410170";"Передвижные экологические лаборатории"
"264";"3410548";"Специализированные автомобили"
"265";"3420000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"266";"3420000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"267";"3420231";"Автомобильные прицепы для перевозки коммунальной техники"
"268";"3430000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"269";"3430000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"270";"3440000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"271";"3440000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"272";"3500000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"273";"3500000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"274";"3510000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"275";"3510000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"276";"3530000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"277";"3530000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"278";"3590000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"279";"3590000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"280";"3590000";"Тахограф цифровой"
"281";"3599411";"Световозвращающие изображения на указателях маршрутного ориентирования"
"282";"3610000";"Шкафы сервисные телекоммуникационные напольные"
"283";"3690000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"284";"3690000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"285";"4525371";"Многофункциональные быстросборные каркасно-тентовые конструкции (ангары) на основе специальных прозрачных пленок."
"286";"4525372";"Многофункциональные быстросборные каркасно-тентовые конструкции (ангары) на основе специальных прозрачных пленок."
"287";"4526584";"Бортовой навигационный терминал"
"288";"7240000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"289";"7240000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"290";"7244030";"Автоматизированные системы управления подвижными объектами"
"291";"7260000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"292";"7260000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"293";"7260090";"Интерактивные электронные элементы экспозиций"
"294";"7310012";"Гидравлическая энергоустановка"
"295";"7310012";"Автоматизированная система контроля уровня волн и толщины льда"
"296";"7310016";"Гидрогелевый материал для создания имплантата мягких тканей"
"297";"7310016";"Иммуномодуляторы"
"298";"7310020";"АПК системы обеспечения безопасности города"
"301";"7310027";"Фильтр-элементы для отчистки бассейнов и питьевой воды"
"302";"7310028";"Приборы для диагностики электроустановок"
"303";"7310028";"Анализатор энергопотребления"
"304";"7310028";"Аппаратура численного непрерывного долговременного мониторинга технического состояния протяженных сложнопрофильных и труднодоступных объектов (теплотрасс, трубопроводов, электрических сетей и т.п.)"
"305";"7310028";"Технологии и аппаратуры диагностики и проведения автоматизированного инструментального энергетического аудита промышленных и гражданских объектов"
"306";"7310029";"Ткань для обшивки крыльев хвостового оперения самолетов"
"307";"7310030";"Комплекс интернет видеонаблюдения"
"308";"7430020";"Организация рекламных кампаний на российских и международных ведущих Интернет-площадках туристской тематики"
"309";"7499090";"Сопровождение и информационная поддержка московского туристского Интернет портала"
"310";"240200";"Прибор для измерения сопротивления пробурированию"
"311";"240210";"Компьютерная мерная вилка"
"312";"240210";"Электронный полнотометр"
"313";"2221000";"ЭкоФлекс"
"314";"3020192";"Системы вычислительные"
"315";"3222150";"Комплексы, оборудование, аппаратура систем передачи данных, обеспечивающие функционирование call-центра"
"316";"4520010";"Силовой металл конструктор"
"317";"4520010";"Раздвижной пандус"
"318";"4530780";"""Информационная система объекта"" (ИСО)"
"319";"4560227";"Динамическая информационная установка"
"320";"4560227";"Малые архитектурные формы антивандальной устойчивости"
"321";"5020100";"Бесконтактная мойка автомобилей"
"322";"5132414";"Цифровая приставка - домашнийинфокоммуникатор"
"323";"6420090";"Оказание услуг подвижной радиотелефонной связи"
"324";"7210090";"Консультативные услуги по использованию компьютеров и связанным с ними техническим средствам прочие"
"325";"7230010";"Консультационные услуги по организации информационного обеспечения (системам сбора информации, входные и выходные формы, нормативно - техническое и правовое обеспечение)"
"326";"7230040";"Услуги по подготовке данных"
"327";"7230060";"Услуги по организации загрузки данных и использованию машинного времени"
"328";"7240000";"Аналитическое сопровождение и информационная поддержка туристских электронных Интернет-ресурсов. Системы создания списка тегов и гипер-ссылок, информационные массивы обновляемого динамического контента"
"331";"7249000";"Автоматизированные системы на основе компьютерных баз данных прочие, не включенные в другие группировки"
"332";"7260090";"Программные средства прочие"
"334";"7310025";"Интеллектуальная продукция в области информатики"
"335";"7413010";"Разработка концепции бренда города"
"336";"7413016";"Услуги по информационному обеспечению маркетинга"
"337";"7422090";"Услуги по технической проверке и анализу прочие"
"339";"7430020";"Разработка макетов социальных программ с использование Промо-кода"
"340";"7430020";"Гибкий Неон"
"341";"7430020";"Лампа светодиодная"
"342";"7430020";"Световая орнаментальная перетяжка"
"343";"7499090";"Энергосберегающие лампы"
"344";"7499090";"Гибкий Неон"
"345";"7499090";"Лампа светодиодная"
"346";"7499090";"Световая орнаментальная перетяжка"
"347";"7499090";"Использование технологий 3D моделирования"
"348";"7499090";"Использование QR-кодов"
"349";"7500000";"Информационная система объекта"
"350";"7523000";"Стационарный металообнаружитель"
"351";"7523090";"Услуги, связанные с обеспечением общественного порядка и безопасности, прочие"
"352";"9010000";"Водосточное оборудование (люки, решетки) на основе высокопрочного чугуна"
"353";"9010000";"Люки смотровых колодцев из полимер-песчаной композиции"
"354";"9010000";"Быстросхватывающиеся ремонтные смеси"
"355";"9010000";"Многослойное гидроизоляционное покрытие из модифицированного полимера на основе полимочевины (SpectraShield)"
"356";"9010000";"Навесная косилка для удаления водной растительности (ТРУКСОР)"
"357";"9010020";"Туалеты модульные автономные"
"358";"9219000";"Гибкий Неон"
"359";"9219000";"Лампа светодиодная"
"360";"9219000";"Световая орнаментальная перетяжка"
"361";"9319000";"Биохимическая промывка систем отопления и горячего водоснабжения при проведении их текущего ремонта и технического обслуживания"
"362";"9319000";"Химико-технологическая промывка систем теплоснабжения"
"363";"9319000";"Технология безразборной химической очистки внутренних поверхностей теплообменного оборудования"
"329";"7241000";"""Автоматизированные информационные системы на основе компьютерных баз данных (документальные, документографические, реферативные, полнотекстовые, документально - фактографические, объекто - графические, базы данных показателей, лексикографические, гипертекстовые; информационно - вычислительные сети на основе компьютерных баз данных)"""
"338";"7425010";"Услуги в области разработки нормативно - технических документов"
"333";"7310020";"Интеллектуальная продукция в областях технических наук и технологий (""Ноу - хау"") (открытия, изобретения, алгоритмы, классификации, аналитические обзоры, научные статьи, доклады, монографии, учебники и учебные пособия, тематические подборки, библиографии, рефераты, нормативно - технические документы, методики, инструкции, типажи продукции и прочее)"
"330";"7241000";"Автоматизированные информационные системы на основе компьютерных баз данных, обеспечивающие работу туристско-информационного центра (ТИЦ) и информационно-рекламное обеспечение туристов в коллективных средствах размещения города Москвы"
"299";"7310022";"Устройство для мойки емкостей"
"300";"7310027";"Картриджи для отчистки бытовой воды"
"1";"242410";"Универсальное моющее средство «powercleanerdb» (интенсивный концентрат-пр-во bio-circle) для очистки поверхностей от накипно-коррозионных отложений отопительных систем"
"2";"281210";"Двери противопожарные"
"3";"281210";"Двери металлические"
"4";"1729150";"Микроультрафильтрационная установка"
"5";"1816040";"Трикотажное антимикробное белье"
"6";"2109180";"Специальная и углеродная фибра FibARMFiber WA для асфальтобетонов"
"7";"2429512";"Оксидно-керамическое покрытие металлов"
"8";"2430111";"Утепляющая краска"
"9";"2430121";"Утепляющая краска"
"10";"2513401";"Полиуретановые ремни"
"11";"2519020";"Плитка из резиновой крошки"
"12";"2519020";"Реутан-И"
"13";"2519020";"Реутан-И для ступеней"
"14";"2519020";"Реутан-ИМ"
"15";"2519020";"Наливное покрытие из резиновой крошки"
"16";"2520000";"Геосинтетические материалы, применяемые в дорожном строительстве (геотекстиль, геомат, георешетка, дорожные сетки, геокомпозиты,)"
"17";"2521270";"Состав двухкомпонентный эпоксидный FibARMResin 230 для систем внешнего армирования F ibARM"
"18";"2521270";"Состав двухкомпонентный эпоксидный FibARMResin 230 для систем внешнего армирования F ibARM"
"19";"2521272";"Углеродная лента FibARMTape для системы внешнего армирования"
"20";"2521272";"Углепластиковая ламель FibARMLamel для системы внешнего армирования"
"21";"2521272";"Углеродные сетки FibARMGrid для системы внешнего армирования"
"22";"2521371";"Напорные трубопроводы ""AVF"" из ""сшитого"" полиэтилена (Pex-a)"
"23";"2522000";"Трубы напорные из термостабилизированного полипропилена, армированные стекловолокном"
"24";"2523141";"Стеклопластиковые трубы"
"25";"2611000";"Оконные блоки с энергосберегающим стеклом с низкоэмиссионным покрытием"
"26";"2694000";"Фасадные теплоизоляционные композиционные системы с наружными штукатурными слоями"
"27";"2699000";"Асфальтобетоны, улучшенные по типу ЩМА, со стабилизирующими добавками"
"28";"2699750";"Плиты из базальтового волокна теплоизоляционные"
"29";"2810000";"Клапан загрузочный мусоропровода"
"30";"2811000";"Навесные фасадные системы с воздушным зазором"
"31";"2811000";"Двери противопожарные"
"32";"2811000";"Двери металлические"
"33";"2811101";"Ворота противопожарные"
"34";"2813160";"Газовый водогрейный котел"
"35";"2875271";"Клапан загрузочный мусоропровода"
"36";"2893380";"Режущий осевой инструмент"
"37";"2897751";"Насадки на унитаз для детей-инвалидов"
"38";"2900000";"Противопожарная сигнализация"
"39";"2910000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"40";"2910000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"41";"2912246";"Щитовые затворы из нержавеющей стали"
"42";"2912270";"Запорно-регулирующая арматура из высокопро­чного чугуна, класс герметичности А, надежное защитное антикоррозионное покрытие и современные уплотнительные материалы"
"43";"2912280";"Запорно-регулирующая арматура из высокопро­чного чугуна, класс герметичности А, надежное защитное антикоррозионное покрытие и современные уплотнительные материалы"
"44";"2913112";"Терморегуляторы"
"45";"2913129";"Терморегуляторы"
"46";"2913201";"Рекуперативный привод"
"47";"2914135";"Электроводонагреватель"
"48";"2914135";"Тепло накопитель"
"49";"2914137";"Шкаф для телекоммуникационной аппаратуры"
"50";"2915000";"Лифтовое оборудование в многоквартирных домах, частотные регуляторы главных приводов лифтов, микропроцессорные станции управления лифтами"
"51";"2915254";"Подъемники для перемещения"
"52";"2915262";"Трансформируемые лестницы - подъемные платформы"
"53";"2915262";"Потолочная рельсовая система"
"54";"2915270";"Компактные погрузчики"
"55";"2915540";"Мини-погрузчики"
"56";"2916271";"Регулятор расхода воды для крана с аэратором"
"57";"2919523";"Механизированные решётки РМГ"
"58";"2920000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"59";"2920000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"60";"2921279";"Передвижная насосная станция"
"61";"2922060";"Блок плазменной сварки"
"62";"2922123";"Безредукторная лебедка"
"63";"2923141";"Плазменная установка очистки воздуха"
"64";"2923243";"Ультразвуковой толщиномер"
"65";"2923669";"Мобильные установки для отчистки сточных вод"
"66";"2924385";"Каналоочистительные машины Кгoll и ДКТ-275"
"67";"2924410";"Установка для ремонта дороги с регенерацией асфальтированных дорожных покрытий непосредственно на дороге"
"68";"2928303";"Автономный модуль беспроводного доступа к интернету"
"69";"2940000";"Модернизированный комплекс технических средств освещения"
"70";"2940000";"Интеграция видеонаблюдения с системой оперативного наблюдения"
"71";"2940000";"Многофункциональные быстросборные каркасно-тентовые конструкции (ангары) на основе специальных прозрачных пленок."
"72";"2944000";"Установка для промывки трубопроводов, теплообменников и радиаторов систем отопления (тип rwr, германия)"
"73";"2944111";"Технологический комплекс по обеззараживанию очищенных сточных вод"
"74";"2944161";"Устройство быстродействующего АВР (БАВР- 6, 10 кВ)"
"75";"2995200";"Смеси асфальтобетонные дорожные горячие мелкозернистые на вяжущем ""Битрэк"""
"76";"2995200";"Смеси асфальтобетонные дорожные горячие мелкозернистые с модифицирующей добавкой ""Унирем"""
"77";"3010000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"78";"3010000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"79";"3020000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"80";"3020000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"81";"3020010";"Автоматизированные системы обработки видеоизображения"
"82";"3020171";"Дорожные контролеры"
"83";"3020350";"Электронная информационная система на светодиодный блоках"
"84";"3020350";"Системы коллективного отображения информации"
"85";"3020402";"СКУД"
"86";"3100000";"Счетчики электроэнергии трехфазные"
"87";"3100000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"88";"3100000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"89";"3110000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"90";"3110000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"91";"3110501";"Преобразователи частоты"
"92";"3113299";"Устройства плавного пуска электродвигателей"
"93";"3120000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"94";"3120000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"95";"3120246";"Светильник светодиодный прожекторный"
"96";"3120246";"Светильник светодиодный внутренний"
"97";"3120246";"Светильник светодиодный уличный"
"98";"3120250";"Светодиодные светильники наружного и внутреннего освещения"
"99";"3140000";"Автономное альтернативное освещение"
"100";"3140000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"201";"3311452";"Поставка детских кресел-колясок активного типа различных модификаций"
"202";"3311477";"Костыли для инвалидов"
"203";"3311659";"Стулья ортопедические для детей- инвалидов"
"204";"3312000";"Средства измерения электромагнитных полей"
"205";"3312000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"206";"3312000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"207";"3312421";"Лаборатория для теледиагностики состояния трубопроводов"
"208";"3312480";"Приборы учета водопотребления"
"209";"3313000";"Приборы учета расхода холодной и горячей воды с импульсным выходом"
"210";"3313000";"Автоматизированный узел учета тепла"
"211";"3313000";"Терморегуляторы"
"212";"3313120";"Регулятор расхода воды"
"213";"3313126";"Индивидуальные приборы учета водопотребления в комплексе с водосберегающейсантехарматурой"
"214";"3313140";"ИК оптический датчик газов"
"215";"3313300";"Лабораторное оборудование"
"216";"3313330";"Аппаратура численного непрерывного долговременного мониторинга технического состояния протяженных сложнопрофильных и труднодоступных объектов (теплотрасс, трубопроводов, электрических сетей и т.п.)"
"217";"3313330";"Технологии и аппаратуры диагностики и проведения автоматизированного инструментального энергетического аудита промышленных и гражданских объектов"
"218";"3313381";"Источник бесперебойного питания на основе литий-ионных АКБ"
"219";"3313530";"Информационная система объекта"
"220";"3313551";"Программно-технологические комплексы для автоматизации научных исследований физико-химических свойств веществ"
"221";"3313559";"Оборудование для контроля факторов воздействия на атмосферный воздух"
"222";"3314119";"Лабораторное оборудование"
"223";"3315116";"Приборы метеорологические для регистрации озона"
"224";"3315118";"Приборы метеорологические для измерения радиоактивности"
"225";"3319000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"226";"3319000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"227";"3319000";"Технологии и аппаратуры диагностики и проведения автоматизированного инструментального энергетического аудита промышленных и гражданских объектов"
"228";"3319000";"Аппаратура численного непрерывного долговременного мониторинга технического состояния протяженных сложнопрофильных и труднодоступных объектов (теплотрасс, трубопроводов, электрических сетей и т.п.)"
"229";"3319000";"Системы противопожарной автоматики (противопожарная сигнализация)"
"230";"3319020";"Ручной пожарный извещатель"
"231";"3319020";"Комплексы бортового оборудования безопасности"
