0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Часы работы;1_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Доп информация;0_X;0_Y
301;ГП № 199;город Москва, Филевский бульвар, дом 18; ;Городская поликлиника № 199;ГП № 199; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-1213,6272;10786,8643
46;Детская городская поликлиника № 52 Молочная кухня;город Москва, Буденного проезд, дом 24, корпус 1; ;Детская городская поликлиника № 52 Молочная кухня;ДГП № 52 Молочная кухня; ;;;ВАО; ;Омельянюк Евгений Пантелеймонович;мужской;Главный врач;(495) 785-00-97;(495) 785-00-97;(495) 365-15-00;00.00-00.00;пн-пт;сб/вс;выходной; ;14662,4452;10954,8659
52;Детская городская поликлиника № 95 Молочная кухня;город Москва, Энтузиастов шоссе, дом 98, корпус 8; ;Детская городская поликлиника № 95 Молочная кухня;ДГП № 95 Молочная кухня; ;;;ВАО; ;Румянцева Елена Павловна;женский;Главный врач;(495) 300-20-12;(495) 300-20-12;(495) 300-00-21;00.00-00.00;пн-пт;сб/вс;выходной; ;20853,7385;11518,3034
2018;Детская инфекционная больница № 12 Молочная кухня;город Москва, Беговая улица, дом 6, корпус 4; ;Детская инфекционная больница № 12 Молочная кухня;ДИБ № 12 Молочная кухня; ;;; ; ;Лаврентьева Людмила Михайловна;женский;Главный врач;(495) 945-14-69;(495) 945-14-69;(495) 945-14-69;00.00-00.00;пн-пт;сб/вс;выходной; ;3745,425;12211,0603
856;ДГП № 10. Молочная кухня;город Москва, Марии Ульяновой улица, дом 12; ;Детская городская поликлиника № 10. Молочная кухня;ДГП № 10; ;;;ЮЗАО; ;Мельникова Марина Анатольевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1672,9505;1639,5215
2043;Детская городская поликлиника № 1 Молочная кухня;город Москва, Андропова проспект, дом 17, корпус 1; ;Детская городская поликлиника № 1 Молочная кухня;ДГП № 1 Молочная кухня; ;;; ; ;Майорова Людмила Павловна;женский;Главный врач;(495) 614-66-49;(495) 614-28-84;(499) 614-66-49;00.00-00.00;пн-пт;сб/вс;выходной; ;10620,883;1757,9263
2035;Детская городская поликлиника № 142 Молочная кухня;город Москва, Хвалынский бульвар, дом 10; ;Детская городская поликлиника № 142 Молочная кухня;ДГП № 142 Молочная кухня; ;;; ; ;Онищенко С. А.;мужской;И.о. главного врача;(495) 705-61-35;(495) 705-61-35;(495) 705-61-35;00.00-00.00;пн-пт;сб/вс;выходной; ;21948,7632;3400,5686
2026;Детская городская поликлиника № 61 Молочная кухня;город Москва, Сайкина улица, дом 21; ;Детская городская поликлиника № 61 Молочная кухня;ДГП № 61 Молочная кухня; ;;; ; ;Гафыкина В. И.;женский;Главный врач;(495) 679-46-03;(495) 679-46-03;(495) 958-88-40;00.00-00.00;пн-пт;сб/вс;выходной; ;10684,5292;4091,6592
850;ДГП № 84 Молочная кухня;город Москва, Зеленоград , дом а, корпус 348, строение 1; ;Детская городская поликлиника № 84 Молочная кухня;ДГП № 84; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-17024,9164;36508,9408
710;КДП № 121. Молочная кухня;город Москва, Южнобутовская улица, дом 87; ;Консультативно-диагностическая поликлиника № 121. Молочная кухня;КДП № 121; ;;;ЮАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1624,5026;-14738,229
858;ДГП № 111. Молочная кухня;город Москва, Соловьиный проезд, дом 6; ;Детская городская поликлиника № 111. Молочная кухня;ДГП № 111; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;3218,9451;-5758,0676
2039;Детская городская поликлиника № 147 Молочная кухня;город Москва, Перервинский бульвар, дом 18, корпус 1; ;Детская городская поликлиника № 147 Молочная кухня;ДГП № 147 Молочная кухня; ;;; ; ;Заводилова Л. Л.;женский;Главный врач;(495) 347-46-00;(495) 347-46-00;(495) 347-46-00;00.00-00.00;пн-пт;сб/вс;выходной; ;17040,1703;-1363,2796
2040;Детская городская поликлиника № 150 Молочная кухня;город Москва, Братиславская улица, дом 1; ;Детская городская поликлиника № 150 Молочная кухня;ДГП № 150 Молочная кухня; ;;; ; ;Ключникова И. В.;женский;Главный врач;(495) 658-42-27;(495) 658-42-27;(495) 658-42-27;00.00-00.00;пн-пт;сб/вс;выходной; ;16052,4027;-80,8816
2029;Детская городская поликлиника № 106 Молочная кухня;город Москва, Краснодонская улица, дом 34, корпус 2; ;Детская городская поликлиника № 106 Молочная кухня;ДГП № 106 Молочная кухня; ;;; ; ;Синицына Т. В.;женский;Главный врач;(495) 351-55-44;(495) 351-55-44;(495) 351-55-44;00.00-00.00;пн-пт;сб/вс;выходной; ;15675,013;342,6613
868;ДГП № 63. Молочная кухня;город Москва, Профсоюзная улица, дом 52; ;Детская городская поликлиника № 63. Молочная кухня;ДГП № 63; ;;;ЮЗАО; ;Каленов Сергей Евгеньевич;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;3622,0257;612,8051
2027;Детская городская поликлиника № 93 Молочная кухня;город Москва, Гурьянова улица, дом 51; ;Детская городская поликлиника № 93 Молочная кухня;ДГП № 93 Молочная кухня; ;;; ; ;Жданова Т. С.;женский;Главный врач;(495) 353-12-05;(495) 353-12-05;(495) 353-12-05;00.00-00.00;пн-пт;сб/вс;выходной; ;13956,0786;1573,6577
870;ДГП № 72. Молочная кухня;город Москва, Винокурова улица, дом 14; ;Детская городская поликлиника № 72. Молочная кухня;ДГП № 72; ;;;ЮЗАО; ;Иразиева Заира Самуиловна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5830,2125;2173,0126
315;ДГП № 131. Молочная кухня;город Москва, Раменки улица, дом 27; ;Детская городская поликлиника № 131. Молочная кухня;ДГП № 131; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-393,5081;2470,0017
2080;Молочная кухня. Кленово;поселок Красная Пахра, Заводская улица, дом 17; ;Молочная кухня. Кленово;Молочная кухня. Кленово; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-13150,8236;-19356,1391
2081;Молочная кухня. Курилово;поселок Кленово, Мичурина улица, дом 5; ;Молочная кухня. Курилово;Молочная кухня. Курилово; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-5904,9087;-25375,9511
2082;Молочная кухня. Троицк 1;поселок Курилово, Школьная улица, дом 5; ;Молочная кухня. Троицк 1;Молочная кухня. Троицк 1; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-3391,362;-25666,9934
2083;Молочная кухня. Троицк 2;город Троицк, Сиреневый бульвар, дом 1; ;Молочная кухня. Троицк 2;Молочная кухня. Троицк 2; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-9284,146;-16845,8882
2084;Молочная кухня. Птичное;город Троицк, В микрорайон, дом 52; ;Молочная кухня. Птичное;Молочная кухня. Птичное; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-9094,7135;-16995,8556
2085;Молочная кухня. Первомайское;поселок Птичное, амбулатория , дом; ;Молочная кухня. Первомайское;Молочная кухня. Первомайское; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-18739,1341;-15101,0961
2086;Молочная кухня. Киевский;поселок Первомайское, амбулатория , дом; ;Молочная кухня. Киевский;Молочная кухня. Киевский; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-21219,6078;-14505,7825
2087;Молочная кухня. Яковлевское;поселок Киевский, поликлиника РЖД , дом; ;Молочная кухня. Яковлевское;Молочная кухня. Яковлевское; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-27007,3798;-14687,6839
2088;Молочная кухня. Рогово;деревня Яковлевское, амбулатория , дом; ;Молочная кухня. Рогово;Молочная кухня. Рогово; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-27420,7921;-14886,1218
2089;Молочная кухня. Москва;поселок Рогово, ЛМС , дом 8а; ;Молочная кухня. Москва;Молочная кухня. Москва; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;2923,6696;-26511,2752
2050;Детская городская поликлиника № 40 Молочная кухня;город Москва, Бирюлевская улица, дом 3, корпус 1; ;Детская городская поликлиника № 40 Молочная кухня;ДГП № 40 Молочная кухня; ;;; ; ;Петровский Максим Фёдорович;мужской;Главный врач;(495) 326-95-29;(495) 326-95-29;(495) 326-95-29;00.00-00.00;пн-пт;сб/вс;выходной; ;10424,7538;-7417,7806
2042;Городская больница № 10 детское отделение Молочная кухня;город Москва, 1-я Вольская улица, дом 3, корпус 1; ;Городская больница № 10 детское отделение Молочная кухня;ГБ № 10 детское отделение Молочная кухня; ;;; ; ;Разумов А. Н.;мужской;Директор;(495) 706-88-82;(495) 706-88-82;(495) 706-69-45;00.00-00.00;пн-пт;сб/вс;выходной; ;26335,8778;1919,0746
2024;Детская городская поликлиника № 53 Молочная кухня;город Москва, Ташкентская улица, дом 25, корпус 1; ;Детская городская поликлиника № 53 Молочная кухня;ДГП № 53 Молочная кухня; ;;; ; ;Таланова В. В.;женский;Главный врач;(495) 376-57-39;(495) 376-57-39;(495) 376-57-39;00.00-00.00;пн-пт;сб/вс;выходной; ;19655,404;3738,5107
310;ГП № 83. Молочная кухня;город Москва, Обводное шоссе, дом 5; ;Городская поликлиника № 83. Молочная кухня;ГП № 83; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-8765,1461;13045,7574
43;Детская городская поликлиника № 28 Молочная кухня;город Москва, Халтуринская улица, дом 11; ;Детская городская поликлиника № 28 Молочная кухня;ДГП № 28 Молочная кухня; ;;;ВАО; ;Плюснина Ирина Петровна;женский;Главный врач;(495) 168-92-15;(495) 168-92-15;(499) 168-60-15;00.00-00.00;пн-пт;сб/вс;выходной; ;14234,3783;15015,7181
362;ДГП № 90 Молочная кухня;город Москва, Зеленоград , дом , корпус 1204; ;Детская городская поликлиника № 90 Молочная кухня;ДГП № 90; ;;;ЗелАО; ;Воронова Софья Борисовна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-19208,7378;36560,8293
857;ДГП № 103. Молочная кухня;город Москва, Паустовского улица, дом 8, корпус 2; ;Детская городская поликлиника № 103. Молочная кухня;ДГП № 103; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;2403,1948;-7589,6134
2051;Детская городская поликлиника № 66 Молочная кухня;город Москва, Шипиловская улица, дом 25, корпус 1; ;Детская городская поликлиника № 66 Молочная кухня;ДГП № 66 Молочная кухня; ;;; ; ;Макарова Елена Викторовна;женский;Главный врач;(495) 393-97-54;(495) 393-97-54;(495) 393-97-54;00.00-00.00;пн-пт;сб/вс;выходной; ;14109,7633;-5075,3845
863;ДГП № 41. Молочная кухня;город Москва, Университетский проспект, дом 4; ;Детская городская поликлиника № 41. Молочная кухня;ДГП № 41; ;;;ЮЗАО; ;Селихова Раиса Николаевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;3478,7962;3363,3681
2031;Детская городская поликлиника № 115 Молочная кухня;город Москва, Красноказарменная улица, дом 9; ;Детская городская поликлиника № 115 Молочная кухня;ДГП № 115 Молочная кухня; ;;; ; ;Илюхина Е. И.;женский;Главный врач;(495) 362-11-27;(495) 362-11-27;(495) 362-10-80;00.00-00.00;пн-пт;сб/вс;выходной; ;12524,0751;10165,7221
2061;Детская городская поликлиника № 121 Молочная кухня;город Москва, Ореховый бульвар, дом 61, корпус 2; ;Детская городская поликлиника № 121 Молочная кухня;ДГП № 121 Молочная кухня; ;;; ; ;Аверина Елена Леонидовна;женский;Главный врач;(495) 396-73-70;(495) 396-73-70;(495) 396-65-10;00.00-00.00;пн-пт;сб/вс;выходной; ;16308,0526;-5549,0345
2047;Детская городская поликлиника № 12 Молочная кухня;город Москва, Маршала Захарова улица, дом 18, корпус 2; ;Детская городская поликлиника № 12 Молочная кухня;ДГП № 12 Молочная кухня; ;;; ; ;Пронько Николай Александрович;мужской;Главный врач;(495) 391-78-00;(495) 391-78-00;(495) 391-78-00;00.00-00.00;пн-пт;сб/вс;выходной; ;12513,7227;-5149,5309
873;ДГП № 97. Молочная кухня;город Москва, Профсоюзная улица, дом 154, корпус 6; ;Детская городская поликлиника № 97. Молочная кухня;ДГП № 97; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;101,6801;-4848,5879
2052;Детская городская поликлиника № 70 Молочная кухня;город Москва, Сумская улица, дом 8, корпус 3; ;Детская городская поликлиника № 70 Молочная кухня;ДГП № 70 Молочная кухня; ;;; ; ;Веклич Анна Витальевна;женский;Главный врач;(495) 311-73-54;(495) 311-73-54;(495) 311-73-54;00.00-00.00;пн-пт;сб/вс;выходной; ;6461,8489;-4694,6048
35;Детская городская поликлиника № 120 Молочная кухня;город Москва, Святоозерская улица, дом 10; ;Детская городская поликлиника № 120 Молочная кухня;ДГП № 120 Молочная кухня; ;;;ВАО; ;Наумова Лариса Анатольевна;женский;Главный врач;(495) 721-30-38;(495) 721-30-38;(499) 721-80-23;00.00-00.00;пн-пт;сб/вс;выходной; ;24318,806;5273,0365
2033;Детская городская поликлиника № 135 Молочная кухня;город Москва, Грайвороновская улица, дом 16, корпус 1; ;Детская городская поликлиника № 135 Молочная кухня;ДГП № 135 Молочная кухня; ;;; ; ;Чхаидзе Р. А.;мужской;И.о. главного врача;(495) 177-67-77;(495) 177-67-77;(499) 177-67-77;00.00-00.00;пн-пт;сб/вс;выходной; ;14795,075;5897,9665
49;Детская городская поликлиника № 7. Молочная кухня;город Москва, Молдагуловой улица, дом 5а; ;Детская городская поликлиника № 7. Молочная кухня;ДГП № 7. Молочная кухня; ;;;ВАО; ;Королева Людмила Владимировна;женский;Главный врач;(495) 786-35-50;(495) 786-35-50;(499) 373-57-11;00.00-00.00;пн-пт;сб/вс;выходной; ;20377,4501;6307,4212
2019;Детская городская поликлиника № 13 Молочная кухня;город Москва, Шатурская улица, дом 8; ;Детская городская поликлиника № 13 Молочная кухня;ДГП № 13 Молочная кухня; ;;; ; ;Михеичева Г. Н.;женский;И.о. главного врача;(495) 171-29-01;(495) 171-29-01;(499) 170-28-47;00.00-00.00;пн-пт;сб/вс;выходной; ;16768,3056;6991,5995
320;ДГП № 50 Молочная кухня;город Москва, Филевская Малая улица, дом 66; ;Детская городская поликлиника № 50 Молочная кухня;ДГП № 50; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-3067,553;7320,0253
37;Детская городская поликлиника № 137 Молочная кухня;город Москва, Новокосинская улица, дом 38, корпус 2; ;Детская городская поликлиника № 137 Молочная кухня;ДГП № 137 Молочная кухня; ;;;ВАО; ;Леонова Ирина Владимировна;женский;Главный врач;(495) 702-33-89;(495) 702-33-89;(495) 702-00-61;00.00-00.00;пн-пт;сб/вс;выходной; ;23355,7069;8397,7395
318;ДГП № 30. Молочная кухня;город Москва, Сеславинская улица, дом 16, корпус 1; ;Детская городская поликлиника № 30. Молочная кухня;ДГП № 30; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-156,0804;8565,3918
45;Детская городская поликлиника № 31 Молочная кухня;город Москва, 2-я Владимирская улица, дом 57; ;Детская городская поликлиника № 31 Молочная кухня;ДГП № 31 Молочная кухня; ;;;ВАО; ;Шатайло Евгения Владимировна;женский;И.о. главного врача;(495) 368-55-08;(495) 368-55-08;(495) 309-20-30;00.00-00.00;пн-пт;сб/вс;выходной; ;18266,922;8652,337
2013;Городская поликлиника № 175 Молочная кухня;город Москва, Челябинская улица, дом 16, корпус 2; ;Городская поликлиника № 175 Молочная кухня;ДГП № 175 Молочная кухня; ;;; ; ;Соколова Марина Валериановна;женский;Главный врач;(495) 300-72-50;(495) 300-72-50;(495) 918-88-96;00.00-00.00;пн-пт;сб/вс;выходной; ;20771,83;12201,3736
405;Детская городская поликлиника № 39 Молочная кухня;город Москва, Березовой Рощи проезд, дом 2; ;Детская городская поликлиника № 39 Молочная кухня;ДГП № 39 Молочная кухня; ;;;САО; ;Лебягина Елена Викторовна;женский;Главный врач;(499) 762-70-23;(499) 762-70-23;(499) 762-63-10;00.00-00.00;пн-пт;сб/вс;выходной; ;1418,9863;13160,127
51;Детская городская поликлиника № 85 Молочная кухня;город Москва, Сокольнический вал улица, дом 22; ;Детская городская поликлиника № 85 Молочная кухня;ДГП № 85 Молочная кухня; ;;;ВАО; ;Герасимчук Гунча Амангельдыевна;женский;Главный врач;(495) 268-00-57;(495) 268-00-57;(495) 463-92-14;00.00-00.00;пн-пт;сб/вс;выходной; ;10224,1876;13913,0934
41;Детская городская поликлиника № 20 Молочная кухня;город Москва, 2-я Прядильная улица, дом 4; ;Детская городская поликлиника № 20 Молочная кухня;ДГП № 20 Молочная кухня; ;;;ВАО;Детская городская поликлиника № 52;Власова Юлия Ивановна;женский;Главный врач;(495) 367-02-45;(495) 367-02-45;(499) 165-43-32;00.00-00.00;пн-пт;сб/вс;выходной; ;17479,4584;14301,7508
36;Детская городская поликлиника № 122 Молочная кухня;город Москва, Средняя Первомайская улица, дом 38/7; ;Детская городская поликлиника № 122 Молочная кухня;ДГП № 122 Молочная кухня; ;;;ВАО; ;Брагин Александр Игоревич;мужской;Главный врач;(495) 748-91-24;(495) 748-91-24;(499) 748-91-24;00.00-00.00;пн-пт;сб/вс;выходной; ;19684,9611;14263,2758
403;Детская городская поликлиника № 22 Молочная кухня;город Москва, Чапаевский переулок, дом 10/2; ;Детская городская поликлиника № 22 Молочная кухня;ДГП № 22 Молочная кухня; ;;;САО; ;Лабутина Людмила Анатольевна;женский;Главный врач;(499) 157-11-66;(499) 157-11-66;(499) 158-34-88;00.00-00.00;пн-пт;сб/вс;выходной; ;1303,8927;14818,3146
327;ДГП № 89 Молочная кухня;город Москва, Инициативная улица, дом 5, корпус 1, строение 2; ;Детская городская поликлиника № 89 Молочная кухня;ДГП № 89; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-2506,315;5488,5647
324;ДГП № 67 Молочная кухня;город Москва, Мосфильмовская улица, дом 17/25; ;Детская городская поликлиника № 67 Молочная кухня;ДГП № 67; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1143,891;5410,3922
2023;Детская городская поликлиника № 49 Молочная кухня;город Москва, Зеленодольская улица, дом 7, корпус 2; ;Детская городская поликлиника № 49 Молочная кухня;ДГП № 49 Молочная кухня; ;;; ; ;Рафиева Т. А.;женский;Главный врач;(495) 175-53-94;(495) 175-53-94;(499) 175-53-94;00.00-00.00;пн-пт;сб/вс;выходной; ;18083,1947;5285,0966
2054;Детская городская поликлиника № 91 Молочная кухня;город Москва, Академика Миллионщикова улица, дом , корпус 22; ;Детская городская поликлиника № 91 Молочная кухня;ДГП № 91 Молочная кухня; ;;; ; ;Левитский Максим Вячеславович;мужской;Главный врач;(495) 612-03-20;(495) 612-03-20;(499) 612-63-05;00.00-00.00;пн-пт;сб/вс;выходной; ;9223,3551;-357,1416
321;ДГП № 51 Молочная кухня;город Москва, Беловежская улица, дом 43, корпус 2; ;Детская городская поликлиника № 51 Молочная кухня;ДГП № 51; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-6524,0916;4805,7588
304;ГП № 217. Молочная кухня;город Москва, Насосная улица, дом 1а; ;Городская поликлиника № 217. Молочная кухня;ГП № 217; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-12620,5872;-5686,8035
2063;Молочная кухня. Московский;город Московский, 1-й микрорайон, дом 18; ;Молочная кухня. Московский;Молочная кухня. Московский; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-9573,5986;-7318,5673
2064;Молочная кухня. Кокошкино;поселок Кокошкино, Труда улица, дом; ;Молочная кухня. Кокошкино;Молочная кухня. Кокошкино; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-18838,2039;-7673,6923
2065;Молочная кухня. Марушкино;деревня Марушкино, амбулатория , дом; ;Молочная кухня. Марушкино;Молочная кухня. Марушкино; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-18060,0128;-8350,5583
