0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
30;Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»                                                                                                                                                         ;ГБУК г.Москвы «Московский музей современного искусства»                                                                                                                                                                                                       ;123001, г.Москва, пер. Ермолаевский, д.17 стр.1                                                                                                                                                                                                               ;5890,541705;10975,90307;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;107031, г.Москва, ул. Петровка, д.25 стр.1                                                                                                                                                                                                                    ;(495) 699-80-52, (495) 699-46-14                                                                                                                                                                                                                              ;(495) 699-46-14                                                                                                                                                                                                                                               ;mmoma.ru                                                                                                                                                                                                                                                      ;museisovremiskuss@cumail.ru                                                                                                                                                                                                                                   
31;Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»                                                                                                                                                         ;ГБУК г.Москвы «Московский музей современного искусства»                                                                                                                                                                                                       ;123104, г.Москва, Тверской б-р, д.9 стр.1                                                                                                                                                                                                                     ;6299,9251;10311,39955;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;107031, г.Москва, ул. Петровка, д.25 стр.1                                                                                                                                                                                                                    ;(495) 699-80-52, (495) 699-46-14                                                                                                                                                                                                                              ;(495) 699-46-14                                                                                                                                                                                                                                               ;mmoma.ru                                                                                                                                                                                                                                                      ;museisovremiskuss@cumail.ru                                                                                                                                                                                                                                   
32;Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»                                                                                                                                                         ;ГБУК г.Москвы «Московский музей современного искусства»                                                                                                                                                                                                       ;123557, г.Москва, ул. Большая Грузинская, д.17                                                                                                                                                                                                                ;4951,021047;11086,05689;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;107031, г.Москва, ул. Петровка, д.25 стр.1                                                                                                                                                                                                                    ;(495) 699-80-52, (495) 699-46-14                                                                                                                                                                                                                              ;(495) 699-46-14                                                                                                                                                                                                                                               ;mmoma.ru                                                                                                                                                                                                                                                      ;museisovremiskuss@cumail.ru                                                                                                                                                                                                                                   
33;Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей А.Н.Скрябина»                                                                                                                                                                 ;ГБУК г.Москвы «Мемориальный музей А.Н.Скрябина»                                                                                                                                                                                                               ;119002, г.Москва, Большой Николопесковский пер., д.11                                                                                                                                                                                                         ;5768,324843;9324,575879;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;119002, г.Москва, Большой Николопесковский пер., д.11                                                                                                                                                                                                         ;(499) 241-19-00, (499) 241-51-56, (499) 241-19-01                                                                                                                                                                                                             ;(499) 241-21-52                                                                                                                                                                                                                                               ;anscriabin.ru                                                                                                                                                                                                                                                 ;muzeiskrabina@cumail.ru                                                                                                                                                                                                                                       
34;Государственное бюджетное учреждение культуры города Москвы «Государственный культурный центр-музей В.С.Высоцкого «Дом Высоцкого на Таганке»                                                                                                                  ;ГБУК г.Москвы «Государственный культурный центр-музей В.С.Высоцкого «Дом Высоцкого на Таганке»                                                                                                                                                                ;109240, г.Москва, Нижний Таганский тупик, д.3                                                                                                                                                                                                                 ;9637,962575;8638,926818;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109240, г.Москва, Нижний Таганский тупик, д.3                                                                                                                                                                                                                 ;(495) 915-75-78, (495) 915-29-79, (495) 915-45-33                                                                                                                                                                                                             ;(495) 915-45-33                                                                                                                                                                                                                                               ;visotsky.ru                                                                                                                                                                                                                                                   ;domvisotskogo@cumail.ru                                                                                                                                                                                                                                       
35;Государственное бюджетное учреждение культуры и образования города Москвы «Мультимедийный комплекс актуальных искусств»                                                                                                                                       ;ГБУКиО г.Москвы «Мультимедийный комплекс актуальных искусств»                                                                                                                                                                                                 ;119034, г.Москва, ул. Остоженка, д.16                                                                                                                                                                                                                         ;6298,018322;8315,049779;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Остоженка, д.16                                                                                                                                                                                                                         ;(495) 231-33-25, (495) 637-11-22, (495) 637-11-44                                                                                                                                                                                                             ;(495) 231-19-09                                                                                                                                                                                                                                               ;mdf.ru                                                                                                                                                                                                                                                        ;mkai@cumail.ru                                                                                                                                                                                                                                                
36;Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Народного художника СССР Ильи Глазунова»                                                                                                            ;ГБУК г.Москвы «Московская государственная картинная галерея Народного художника СССР Ильи Глазунова»                                                                                                                                                          ;119019, г.Москва, ул. Волхонка, д.13                                                                                                                                                                                                                          ;6815,724883;8840,072889;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119019, г.Москва, ул. Волхонка, д.13                                                                                                                                                                                                                          ;(495) 691-69-49, (495) 691-94-27                                                                                                                                                                                                                              ;(495) 691-69-49                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;glazunovgallery@cumail.ru                                                                                                                                                                                                                                     
37;Государственное бюджетное учреждение культуры города Москвы «Дом русского зарубежья имени Александра Солженицына»                                                                                                                                             ;ГБУК г.Москвы «Дом русского зарубежья имени Александра Солженицына»                                                                                                                                                                                           ;109004, г.Москва, ул. Нижняя Радищевская, д.2                                                                                                                                                                                                                 ;9645,8531;8444,148704;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109004, г.Москва, ул. Нижняя Радищевская, д.2                                                                                                                                                                                                                 ;(495) 915-10-47                                                                                                                                                                                                                                               ;(495) 915-55-75                                                                                                                                                                                                                                               ;bfrz.ru                                                                                                                                                                                                                                                       ;domimsolzhenitsina@cumail.ru                                                                                                                                                                                                                                  
38;Государственное бюджетное учреждение культуры города Москвы «Музей М.А.Булгакова»                                                                                                                                                                             ;ГБУК г.Москвы «Музей М.А.Булгакова»                                                                                                                                                                                                                           ;107045, г.Москва, ул. Большая Садовая, д.10, кв. 50, 41                                                                                                                                                                                                       ;5988,87095;11116,22172;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;107045, г.Москва, ул. Большая Садовая, д.10, кв. 50, 41                                                                                                                                                                                                       ;(495) 699-53-66                                                                                                                                                                                                                                               ;(495) 699-53-66                                                                                                                                                                                                                                               ;bulgakovmuseum.ru                                                                                                                                                                                                                                             ;museibulgakova@cumail.ru                                                                                                                                                                                                                                      
39;Государственное бюджетное учреждение культуры города Москвы «Московский музей народной графики»                                                                                                                                                               ;ГБУК г.Москвы «Московский музей народной графики»                                                                                                                                                                                                             ;107045, г.Москва, Малый Головин пер., д.10 стр.1                                                                                                                                                                                                              ;8538,750075;11366,09877;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Красносельский                                                                                                                                                                                                                                                ;107045, г.Москва, Малый Головин пер., д.10 стр.1                                                                                                                                                                                                              ;(495) 608-51-82                                                                                                                                                                                                                                               ;(495) 608-51-82                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;mgmng@cumail.ru                                                                                                                                                                                                                                               
40;Государственное бюджетное учреждение культуры города Москвы «Краеведческий музей «Дом на набережной»                                                                                                                                                          ;ГБУК г.Москвы «Краеведческий музей «Дом на набережной»                                                                                                                                                                                                        ;119072, г.Москва, ул. Серафимовича, д.2, под.1                                                                                                                                                                                                                ;7176,8001;8556,443307;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Якиманка                                                                                                                                                                                                                                                      ;119072, г.Москва, ул. Серафимовича, д.2, под.1                                                                                                                                                                                                                ;(495) 959-49-36                                                                                                                                                                                                                                               ;(495) 959-49-36                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;domnanaberezhnoi@cumail.ru                                                                                                                                                                                                                                    
41;Государственное бюджетное учреждение культуры города Москвы «Музей «Садовое кольцо»                                                                                                                                                                           ;ГБУК г.Москвы «Музей «Садовое кольцо»                                                                                                                                                                                                                         ;129090, г.Москва, пр-т Мира, д.14 стр.10                                                                                                                                                                                                                      ;8432,11189;12036,08198;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Мещанский                                                                                                                                                                                                                                                     ;129090, г.Москва, пр-т Мира, д.14 стр.10                                                                                                                                                                                                                      ;(495) 608-92-16, (495) 608-14-03                                                                                                                                                                                                                              ;(495) 607-94-66                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;sadovoekoltso@cumail.ru                                                                                                                                                                                                                                       
