0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Руководитель;1_Телефон;1_Факс;1_Бывшее название;1_Административный округ;0_moddate;0_moduser
15;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 12 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 12 Департамента здравоохранения города Москвы                                                                                                                                                                              ;140051, Московская обл. Люберецкий район, дер. Сосновка, д.1                                                                                                                                                                                                  ;38,05107;55,668966;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юдина Валентина Анатольевна                                                                                                                                                                                                                                   ;(495)501-5318                                                                                                                                                                                                                                                 ;(495)501-5318                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
10;Государственное казенное учреждение здравоохранения города Москвы «Туберкулезный санаторий № 5 Департамента здравоохранения города Москвы»                                                                                                                    ;Туберкулезный санаторий № 5 Департамента здравоохранения города Москвы                                                                                                                                                                                        ;140153, Московская область, Раменский район, п/о Верея, Быково-1                                                                                                                                                                                              ;38,081765;55,61559;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"Асламазов 
Арнольд Минаевич                                                                                                                                                                                                                                   ";(495)721-89-09                                                                                                                                                                                                                                                ;(495)721-89-12                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
24;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 27 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 27 Департамента здравоохранения города Москвы                                                                                                                                                                              ;140120, Московская область, Раменский район, пос. Ильинское, ул. Октябрьская, д.14                                                                                                                                                                            ;38,092684;55,441391;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Ревякина Ольга Петровна                                                                                                                                                                                                                                       ;(495) 556-2210                                                                                                                                                                                                                                                ;(495) 556-2210                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
30;Государственное казенное учреждение здравоохранения города Москвы «Детский пульмонологический санаторий № 47 Департамента здравоохранения города Москвы»                                                                                                      ;Детский пульмонологический санаторий № 47 Департамента здравоохранения города Москвы                                                                                                                                                                          ;140130, Московская область, пос. Кратово, Раменский р-н, ул. Тимирязевская, д.9                                                                                                                                                                               ;38,151734;55,583255;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бородина Людмила Ивановна                                                                                                                                                                                                                                     ;(495) 556-7454                                                                                                                                                                                                                                                ;(495) 556-7454                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
13; Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 8 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 8 Департамента здравоохранения города Москвы                                                                                                                                                                               ;140170, Московская область, г. Бронницы, пос. Марьинка                                                                                                                                                                                                        ;38,260679;55,412007;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Румянцева Вера Леонидовна                                                                                                                                                                                                                                     ;(499) 799-8227                                                                                                                                                                                                                                                ;(499) 799-8227                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
40;ГБОУ г.Москвы Санаторный детский дом для детей сирот и детей, оставшихся без родителей №14                                                                                                                                                                    ;ГБОУ г.Москвы Санаторный детский дом для детей сирот и детей, оставшихся без родителей №14                                                                                                                                                                    ;124617, Москва, Зеленоград, кор.1426                                                                                                                                                                                                                          ;-21728,65666;35843,55985;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Воронецкая Евгения Ивановна                                                                                                                                                                                                                                   ;(499)717-04-95                                                                                                                                                                                                                                                ;(499)717-04-95                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;Зел АО                                                                                                                                                                                                                                                        ;12:00:00 AM;                                                                                                    
37;Государственное казенное учреждение здравоохранения города Москвы «Детский бронходегочный санаторий № 70 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронходегочный санаторий № 70 Департамента здравоохранения города Москвы                                                                                                                                                                              ;124489, г. Зеленоград, Каштановая аллея, д.2-а                                                                                                                                                                                                                ;-16798,42783;35512,13808;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;и.о. Алексейцева Светлана Анатольевна                                                                                                                                                                                                                         ;(499) 534-1064                                                                                                                                                                                                                                                ;(499) 535-1392                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;Зел АО                                                                                                                                                                                                                                                        ;12:00:00 AM;                                                                                                    
39;ГБОУ г.Москвы Санаторный детский дом для детей сирот и детей, оставшихся без родителей №17                                                                                                                                                                    ;ГБОУ г.Москвы Санаторный детский дом для детей сирот и детей, оставшихся без родителей №17                                                                                                                                                                    ;121614, Москва, Крылатские холмы ул., д. 28, корп.4-5                                                                                                                                                                                                         ;-5273,15131;11082,11527;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Волохатова Влада Михайловна                                                                                                                                                                                                                                   ;(495)415-54-02                                                                                                                                                                                                                                                ;495-415-54-03                                                                                                                                                                                                                                                 ;дошкольно-школьный детский дом № 17                                                                                                                                                                                                                           ;ЗАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
28;Государственное казенное учреждение здравоохранения города Москвы «Детский кардиоревматологический санаторий № 42 Департамента здравоохранения города Москвы                                                                                                  ;Детский кардиоревматологический санаторий № 42 Департамента здравоохранения города Москвы                                                                                                                                                                     ;123103, Москва, ул. Таманская, д.15, стр.2                                                                                                                                                                                                                    ;-3630,504;12863,77245;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Гаджиева Саида Мердановна                                                                                                                                                                                                                                     ;(499) 199-2825                                                                                                                                                                                                                                                ;(499) 1992825                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
34;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 62 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронхолегочный санаторий № 62 Департамента здравоохранения города Москвы                                                                                                                                                                              ;125481, Москва, ул. Свободы, д.95                                                                                                                                                                                                                             ;-3522,988;22466,17763;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;и.о. Чурилова Людмила Владимировна                                                                                                                                                                                                                            ;(499) 494-1422                                                                                                                                                                                                                                                ;(499) 494-1422                                                                                                                                                                                                                                                ;"Государственное казенное учреждение здравоохранения города Москвы ""Детский кардиоревматологический санаторий № 42 Департамента здравоохранения                                                                                                                ";СЗАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
1;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы»                                                                                              ;Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы                                                                                                                                                                  ;117602, Москва, ЗАО Мичуринский проспект, д.74                                                                                                                                                                                                                ;-2134,037418;1387,39717;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Батышева Татьяна Тимофеевна                                                                                                                                                                                                                                   ;"(495) 430-8081
                                                                                                                                                                                                                                               ";(495) 430-9378                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
38;ГБУ г.Москвы Специализированный дом ребенка №22                                                                                                                                                                                                               ;ГБУ г.Москвы Специализированный дом ребенка №22                                                                                                                                                                                                               ;119517, Москва, Нежинская ул., д.10                                                                                                                                                                                                                           ;-2033,868;4652,971774;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Татьяна Николаевна Мурзинова                                                                                                                                                                                                                                  ;(499)442-24-84                                                                                                                                                                                                                                                ;(495)442-24-84                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;12.03.2013;egip\osoina                                                                                         
7;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы»                                                                             ;Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы                                                                                                                                                 ;125581, Москва, ул. Фестивальная, д. 26-б                                                                                                                                                                                                                     ;345,9718;21337,44546;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Подчуфарова Ирина Андреевна                                                                                                                                                                                                                                   ;(495) 456-0531                                                                                                                                                                                                                                                ;(495) 456-0531                                                                                                                                                                                                                                                ;Государственное казенное учреждение здравоохранения города Москвы Детский психоневрологический санаторий № 30 Департамента здравоохранения города Москвы»                                                                                                     ;САО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
9;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы»                                                                             ;Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы                                                                                                                                                 ;119421, Москва, ул. Новаторов, д.36, кор.10                                                                                                                                                                                                                   ;1315,896;-555,2663345;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Кудряш Татьяна Ивановна                                                                                                                                                                                                                                       ;(499) 432-5600                                                                                                                                                                                                                                                ;499-432-56-00                                                                                                                                                                                                                                                 ;Государственное казенное учреждение здравоохранения города Москвы «Детский психоневрологический санаторий № 66 Департамента здравоохранения города Москвы»                                                                                                    ;ЮЗАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
17;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 15 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 15 Департамента здравоохранения города Москвы                                                                                                                                                                              ;117647, Москва, ул. академика Капицы, д.11                                                                                                                                                                                                                    ;1643,127766;-4683,912063;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Лобанова Евстолия Николаевна                                                                                                                                                                                                                                  ;(495)429-6931                                                                                                                                                                                                                                                 ;(495)429-6931                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
18;Государственное казенное учреждение здравоохранения города Москвы «Детский туберкулёзный санаторий № 17 Департамента здравоохранения города Москвы»                                                                                                           ;Детский туберкулёзный санаторий № 17 Департамента здравоохранения города Москвы                                                                                                                                                                               ;129336, Москва, ул. Стартовая, д.2                                                                                                                                                                                                                            ;1643,127766;-4683,912063;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Панина Светлана Павловна                                                                                                                                                                                                                                      ;(495)474-0033                                                                                                                                                                                                                                                 ;(495)474-0211                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
12;Государственное казенное учреждение здравоохранения города Москвы «Детский нефрологический санаторий № 6 Департамента здравоохранения города Москвы»                                                                                                          ;Детский нефрологический санаторий № 6 Департамента здравоохранения города Москвы                                                                                                                                                                              ;127486, Москва, Дмитровское шоссе, д.93                                                                                                                                                                                                                       ;2990,777196;22723,41759;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Мартынюк Марина Георгиевна                                                                                                                                                                                                                                    ;"(495) 487-3133
                                                                                                                                                                                                                                               ";(495) 488-2324                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
31;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 48 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронхолегочный санаторий № 48 Департамента здравоохранения города Москвы                                                                                                                                                                              ;113534, Москва, ул.академика Янгеля, д.16                                                                                                                                                                                                                     ;5244,862649;-7324,346744;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Хрящева Ирина Викторовна                                                                                                                                                                                                                                      ;(495) 386-0165                                                                                                                                                                                                                                                ;(495) 386-9881                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
19;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 18 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронхолегочный санаторий № 18 Департамента здравоохранения города Москвы                                                                                                                                                                              ;113525, Москва, ул. Днепропетровская,д.27а                                                                                                                                                                                                                    ;5695,435;-5314,025551;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Фролова Виктория Викторовна                                                                                                                                                                                                                                   ;(495)313-0022                                                                                                                                                                                                                                                 ;(495)313-5154                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
5;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы»                                                                             ;Научно-практический центр психического здоровья детей и подростков Департамента здравоохранения города Москвы                                                                                                                                                 ;119334, Москва, ЮАО 5-й Донской пр., д.21-а                                                                                                                                                                                                                   ;6181,843;3929,305051;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Усачева Елена Леонидовна                                                                                                                                                                                                                                      ;(495) 954-5336                                                                                                                                                                                                                                                ;(495) 952-3653                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
25;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 29 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 29 Департамента здравоохранения города Москвы                                                                                                                                                                              ;129085, Москва, проезд Ольминского, д.1а                                                                                                                                                                                                                      ;8598,9502;16256,7679;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Черкасова Виктория Александровна                                                                                                                                                                                                                              ;(495) 615-5374                                                                                                                                                                                                                                                ; (495) 615-5374                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
33;Государственное казенное учреждение здравоохранения города Москвы «Детский ортопедический санаторий № 56 Департамента здравоохранения города Москвы»                                                                                                          ;Детский ортопедический санаторий № 56 Департамента здравоохранения города Москвы                                                                                                                                                                              ;115487, Москва, ул.Садовники, д.19                                                                                                                                                                                                                            ;9939,3271;288,3966478;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;и.о. Заикина Ирина Алексеевна                                                                                                                                                                                                                                 ;(499) 616-0855                                                                                                                                                                                                                                                ;(499) 612-9415                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
