1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;0_fax;0_site;0_email
38;Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ»                                                                                                                                                                                    ;ГБУК г.Москвы «ТКС «Товарищ»                                                                                                                                                                                                                                  ;127560, г.Москва, ул. Лескова, д.30 корп.1                                                                                                                                                                                                                    ;7453,999511;25022,81258;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Северное Медведково                                                                                                                                                                                                                                           ;127282, г.Москва Заревый проезд д.12                                                                                                                                                                                                                          ;(495) 479-61-72                                                                                                                                                                                                                                               ;(495) 479-61-72                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;kl.tovarish@mail.ru                                                                                                                                                                                                                                           
39;Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ». Клуб «Мелодия»                                                                                                                                                                    ;Клуб «Мелодия»                                                                                                                                                                                                                                                ;129226, г.Москва, пр-т Мира, д.163 корп.1                                                                                                                                                                                                                     ;9718,81523;18871,88489;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Северное Медведково                                                                                                                                                                                                                                           ;127282, г.Москва Заревый проезд д.12                                                                                                                                                                                                                          ;(495) 479-61-72                                                                                                                                                                                                                                               ;(495) 479-61-72                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;kl.tovarish@mail.ru                                                                                                                                                                                                                                           
40;Государственное бюджетное учреждение культуры города Москвы «ТКС «Товарищ». Клуб «Ровесник»                                                                                                                                                                   ;Клуб «Ровесник»                                                                                                                                                                                                                                               ;127562, г.Москва, Алтуфьевское ш., д.22                                                                                                                                                                                                                       ;5466,308445;21410,10246;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Северное Медведково                                                                                                                                                                                                                                           ;127282, г.Москва Заревый проезд д.12                                                                                                                                                                                                                          ;(495) 479-61-72                                                                                                                                                                                                                                               ;(495) 479-61-72                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;kl.tovarish@mail.ru                                                                                                                                                                                                                                           
41;Государственное бюджетное учреждение культуры города Москвы «Центр искусств и творчества «Марьина Роща»                                                                                                                                                       ;ГБУК г.Москвы «Центр искусств и творчества «Марьина Роща»                                                                                                                                                                                                     ;127521, г.Москва, ул. Октябрьская, д.91 корп.1                                                                                                                                                                                                                ;7155,4251;14529,10568;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Марьина Роща                                                                                                                                                                                                                                                  ;127521, г.Москва, ул. Октябрьская, д.91 корп.1                                                                                                                                                                                                                ;(495) 602-66-22                                                                                                                                                                                                                                               ;"(495) 602-66-22
(495) 602-66-24                                                                                                                                                                                                                               ";                                                                                                                                                                                                                                                              ;romansen@yandex.ru                                                                                                                                                                                                                                            
42;Государственное бюджетное учреждение культуры города Москвы «Городской социокультурный центр «Надежда»                                                                                                                                                        ;ГБУК г.Москвы «Городской социокультурный центр «Надежда»                                                                                                                                                                                                      ;111555, г.Москва, ул. Саянская, д.6б стр.1                                                                                                                                                                                                                    ;20684,32358;11193,38923;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Ивановское                                                                                                                                                                                                                                                    ;111555, г.Москва, ул. Саянская, д.6б стр.1                                                                                                                                                                                                                    ;(495) 307-12-21                                                                                                                                                                                                                                               ;(495) 307-12-21                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;nadegda99@inbox.ru                                                                                                                                                                                                                                            
43;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Новокосино»                                                                                                                                                                                                                      ;111672, г.Москва, ул. Городецкая, д.10б                                                                                                                                                                                                                       ;22966,78075;8013,469424;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Новокосино                                                                                                                                                                                                                                                    ;111672, г.Москва, ул. Городецкая, д.10б                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;gudknovokosino@mail.ru                                                                                                                                                                                                                                        
44;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Новокосино»                                                                                                                                                                                                                      ;111672, г.Москва, ул. Суздальская, д.38 корп.2                                                                                                                                                                                                                ;11972,7682;1910,608273;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Новокосино                                                                                                                                                                                                                                                    ;111672, г.Москва, ул. Городецкая, д.10б                                                                                                                                                                                                                       ;(495) 701-22-21                                                                                                                                                                                                                                               ;(495) 701-22-21, (495) 701-08-70                                                                                                                                                                                                                              ;gudk.ru                                                                                                                                                                                                                                                       ;gudknovokosino@mail.ru                                                                                                                                                                                                                                        
45;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Перово»                                                                                                                                                                            ;ГБУК г.Москвы «Дом культуры «Перово»                                                                                                                                                                                                                          ;111399, г.Москва, ул. Мартеновская, д.7                                                                                                                                                                                                                       ;19294,7513;10158,3831;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Перово                                                                                                                                                                                                                                                        ;111399, г.Москва, ул. Мартеновская, д.7                                                                                                                                                                                                                       ;(495) 304-73-57                                                                                                                                                                                                                                               ;(495) 304-73-57                                                                                                                                                                                                                                               ;dkperovо.narod.ru                                                                                                                                                                                                                                             ;dkperovо1@yandex.ru                                                                                                                                                                                                                                           
46;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «На Вешняковской»                                                                                                                                                                   ;ГБУК г.Москвы «Дом культуры «На Вешняковской»                                                                                                                                                                                                                 ;111402, г.Москва, ул. Вешняковская, д.12д                                                                                                                                                                                                                     ;20342,40005;7592,274822;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Вешняки                                                                                                                                                                                                                                                       ;111402, г.Москва, ул. Вешняковская, д.12д                                                                                                                                                                                                                     ;(495) 375-99-04                                                                                                                                                                                                                                               ;(495) 375-99-04                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dk_naveshnyakovskoy@mail.ru                                                                                                                                                                                                                                   
47;Государственное бюджетное учреждение культуры города Москвы «Клуб «Лицей»                                                                                                                                                                                     ;ГБУК г.Москвы «Клуб «Лицей»                                                                                                                                                                                                                                   ;107143, г.Москва, ул. Николая Химушина, д.17 корп.3                                                                                                                                                                                                           ;16691,14293;17530,23249;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Метрогородок                                                                                                                                                                                                                                                  ;107143, г.Москва, ул. Николая Химушина, д.17 корп.3                                                                                                                                                                                                           ;(499) 167-18-01                                                                                                                                                                                                                                               ;(499) 167-18-01                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gukclublitsey@yandex.ru                                                                                                                                                                                                                                       
48;Государственное бюджетное учреждение культуры города Москвы «Клуб «Лицей»                                                                                                                                                                                     ;ГБУК г.Москвы «Клуб «Лицей»                                                                                                                                                                                                                                   ;107370, г.Москва, б-р Маршала Рокоссовского, д.3                                                                                                                                                                                                              ;14274,20078;15832,77801;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Метрогородок                                                                                                                                                                                                                                                  ;107143, г.Москва, ул. Николая Химушина, д.17 корп.3                                                                                                                                                                                                           ;(499) 167-18-01                                                                                                                                                                                                                                               ;(499) 167-18-01                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gukclublitsey@yandex.ru                                                                                                                                                                                                                                       
49;Государственное бюджетное учреждение культуры города Москвы «Клуб «Акулово»                                                                                                                                                                                   ;ГБУК г.Москвы «Клуб «Акулово»                                                                                                                                                                                                                                 ;105173, г.Москва, пос. Акулово, д.25                                                                                                                                                                                                                          ;18672,45558;37734,77312;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Поселок Восточный                                                                                                                                                                                                                                             ;105173, г.Москва, пос. Акулово, д.25                                                                                                                                                                                                                          ;(495) 460-98-86                                                                                                                                                                                                                                               ;(495) 460-98-86                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;4609886@mail.ru                                                                                                                                                                                                                                               
