№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
13	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея L»	127018, г.Москва, ул. Октябрьская, д.26	Северо-Восточный АО	Марьина Роща	127018, г.Москва, ул. Октябрьская, д.26	(495) 689-24-91	(495) 689-24-91	www.l-gallery.newmail.ru	l-gallery@newmail.ru
14	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея «Измайлово»	105037, г.Москва, Измайловский пр-д, д.4	Восточный АО	Измайлово	105037, г.Москва, Измайловский пр-д, д.4	(499) 166-44-96	(499) 166-44-96	gallery-izmailovo.ru	gallery-izmailovo@mail.ru
15	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Богородское»	107370, г.Москва, Открытое ш., д.5 корп.6	Восточный АО	Богородское	107370, г.Москва, Открытое ш., д.5 корп.6	(499) 168-30-15	(499) 168-87-60	art-bogorodskoe.ru	art-bogorod@yandex.ru
16	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «АРТ-Измайлово»	105043, г.Москва, Измайловский б-р, д.30	Восточный АО	Измайлово	105043, г.Москва, Измайловский б-р, д.30	(499) 367-45-81	(499) 367-45-81	www.art-izmaylovo.ru	gvsmizm@mail.ru
17	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Арт-холл Юго-восток»	109377, г.Москва, ул. Ташкентская, д.9	Юго-Восточный АО	Выхино-Жулебино	109444, г. Москва, ул. Ташкентская, д.9	(495) 377-42-52	(495) 377-21-00	vzv-art.ru	vzarthall@cumail.ru
18	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал истории войны в Афганистане»	111123, г.Москва, ул. 1-я Владимирская, д.12 корп.1	Восточный АО	Перово	111141, г.Москва, Зеленый пр-т, д.7а	(495) 306-43-30	(495) 306-43-30	сайт в разработке	afghan-museum@mail.ru
19	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Пересветов переулок»	109068, г.Москва, Пересветов пер., д.4 корп.1	Южный АО	Даниловский	109068, г.Москва, Пересветов пер., д.4 корп.1	(495) 675-22-28	(495) 675-22-28	peresvetovgallery.ru	peresvetovgallery@gmail.com
20	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал-музей «Наследие»	115598, г.Москва, ул. Лебедянская, д.24 корп.2	Южный АО	Бирюлево Восточное	115598, г.Москва, ул. Лебедянская, д.24 корп.2	(495) 329-60-39	(495) 329-00-27	bv.uao.mos.ru	zal-nasledie@mail.ru
21	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»	117556, г.Москва, Варшавское ш., д.75 корп.1	Южный АО	Нагорный	117556, г.Москва, Варшавское ш., д.75 корп.1	(499) 613-39-35	(499) 610-58-25	www.gvz-varshavka.ru	varshavka-art@mail.ru
22	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»	115230, г.Москва, Варшавское ш., д.68 корп.1	Южный АО	Нагорный	117556, г.Москва, Варшавское ш., д.75 корп.1	(499) 613-39-35	(499) 610-58-25	www.gvz-varshavka.ru	varshavka-art@mail.ru
23	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Замоскворечье»	115419, г.Москва, ул. Серпуховской вал, д.24 корп.2	Южный АО	Даниловский	115419, г.Москва, ул. Серпуховской вал, д.24 корп.2	(495) 954-30-09	(495) 954-23-00	gvzm.ru	art-gallery@mail.ru
24	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Беляево»	117485, г.Москва, ул. Профсоюзная, д.100	Юго-Западный АО	Коньково	117485, г.Москва, ул. Профсоюзная, д.100	(495) 335-83-22	(495) 335-83-22	gallery-belyaevo.ru	3358322@bk.ru
25	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Феникс»	121353, г.Москва, Сколковское ш., д.32 корп.2	Западный АО	Дорогомилово	121353, г.Москва, Сколковское ш., д.32 корп.2	(495) 417-42-28	(495) 417-42-28	сайт в разработке	fenixgallery@mail.ru
26	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея Нагорная»	113186, г.Москва, ул. Ремизова, д.10	Юго-Западный АО	Котловка	113186, г.Москва, ул. Ремизова, д.10	(499) 127-47-02	(499) 127-47-02	galereya-nagornaya.ru	nagornaya6569@gmail.com
