№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
27	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.М.Ипполитова-Иванова»	109147, г.Москва, ул. Воронцовская, д.15/10 стр.1	Центральный АО	Таганский	109147, г.Москва, ул. Воронцовская, д.15/10 стр.1	(495) 912-23-34, (495) 911-92-69	(495) 912-23-34, (495) 911-92-69	ippolitovec.ru	vdochnovenie.ipp@yandex.ru
28	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.Г.Рубинштейна»	107140, г.Москва, ул. Верхняя Красносельская, д.7а стр.1	Центральный АО	Красносельский	107140, г.Москва, ул. Верхняя Красносельская, д.7а стр.1	(499) 264-89-47, (499) 264-77-09	(499) 264-89-47	dmsrubinshtein.ru	dmsrubinstein@mail.ru
29	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени П.Г.Чеснокова»	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	Центральный АО	Пресненский	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	(499) 255-59-96	(499) 858-28-01	http://chesnokovschool.ucoz.ru/	gudikanc@yandex.ru
30	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Р.М.Глиэра»	119180, г.Москва, ул. Большая Якиманка, д.29	Центральный АО	Якиманка	119180, г.Москва, ул. Большая Якиманка, д.29	(499) 238-75-00, (499) 238-12-00	(499) 238-75-00	glier7.ru	dmsh7glier@gmail.com
31	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени С.И.Танеева»	119034, г.Москва, Чистый пер., д.9	Центральный АО	Хамовники	119034, г.Москва, Чистый пер., д.9, 7 стр.1	(495) 637-70-74, (499) 766-95-83	(495) 637-35-60	taneev-centre.ru	taneev25@mail.ru
32	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»	129223, г.Москва, пр-т Мира, д.123	Центральный АО	Пресненский	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	(499) 252-03-05, (495) 605-94-36	(499) 252-03-05	ms80.ru	lebusov@bk.ru
33	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»	125284, г.Москва, ул. Поликарпова, д.21	Центральный АО	Пресненский	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	(499) 252-03-05, (495) 605-94-36	(499) 252-03-05	ms80.ru	lebusov@bk.ru
34	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкально-хоровая школа имени И.И.Радченко»	109044, г.Москва, ул. Воронцовская, д.30а стр.1	Центральный АО	Таганский	123242, г.Москва, ул. Красная Пресня, д.13	(495) 912-75-85	(495) 912-75-85	http://dmsh-radchenko.msk.muzkult.ru/	ms-radchenko@yandex.ru
35	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №100»	129110, г.Москва, ул. Большая Переяславская, д.8а	Центральный АО	Мещанский	129110, г.Москва, ул. Малая Переяславская, д.6/8	(495) 684-50-58, (903) 249-66-44	(495) 684-50-58	http://dmsh100.msk.muzkult.ru/	dmsh100@mail.ru
36	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени С.И.Танеева»	119034, г.Москва, Чистый пер., д.7	Центральный АО	Хамовники	119034, г.Москва, Чистый пер., д.9, 7 стр.1	(495) 637-70-74, (499) 766-95-83	(495) 637-35-60	taneev-centre.ru	taneev25@mail.ru
37	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Д.С.Бортнянского»	113035, г.Москва, ул. Садовническая, д.19 стр.1	Центральный АО	Замоскворечье	115035, г.Москва, ул. Садовническая, д.19 стр.1	(495) 953-54-41, (495) 959-27-42	(495) 953-54-41	http://dmsh61.msk.muzkult.ru/	dmschool_61@mail.ru
38	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени И.О.Дунаевского»	125252, г.Москва, Чапаевский пер., д.5а стр.1	Северный АО	Хорошевский	125252, г.Москва, Чапаевский пер., д.5а	(499) 157-61-31, (499) 157-68-42	(499) 157-68-42	dunaevskiy.ru	dunaevsky2@mail.ru
39	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени К.В.Молчанова»	125195, г.Москва, ул. Смольная, д.37а	Северный АО	Левобережный	125195, г.Москва, ул. Смольная, д.37а	(495) 458-05-63	(495) 458-05-63	dmsh-18.narod.ru	dmsh18@yandex.ru
40	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Н.Александрова»	121165, г.Москва, Кутузовский пр-т, д.26 корп.1	Западный АО	Дорогомилово	121165, г.Москва, Кутузовский пр-т, д.26 корп.1	(499) 249-14-26	(499) 249-14-26	dmsh13.ru	zdmsh13@yandex.ru
41	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Эдварда Грига»	119415, г.Москва, ул. Лобачевского, д.38	Западный АО	Проспект Вернадского	119415, г.Москва, ул. Лобачевского, д.38	(495) 432-97-64	(495) 432-97-64	greegshool.ru	info@griegschool.ru
42	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.И.Табакова»	119526, г.Москва, ул. 26-ти Бакинских комиссаров, д.18	Западный АО	Тропарево-Никулино	119526, г.Москва, ул. 26 Бакинских комиссаров, д.18	(499) 739-95-20, (499) 739-95-17	(499) 739-95-17	83-music-school.ru	skola83@mail.ru
43	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.Л.Таривердиева»	119361, г.Москва, ул. Марии Поливановой, д.3	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Марии Поливановой, д.3	(495) 437-10-44	(495) 437-10-44	ukzao.org.ru	dmsh37@mail.ru
44	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Ф.И.Шаляпина»	119620, г.Москва, Солнцевский пр-т, д.9	Западный АО	Солнцево	119620, г.Москва, Солнцевский пр-т, д.9	(495) 435-23-62, (495) 435-01-33, (495) 435-95-51	(495) 435-23-62	shalyapin-school.ru	dmsshalyapin@mail.ru
45	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Б.Л.Пастернака»	119634, г.Москва, ул. Лукинская, д.7 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.7 корп.1	(495) 732-42-00, (495) 773-05-94, (495) 736-11-00	(495) 733-05-94	pasternak-dms.ru	muz_school104@bk.ru
46	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Б.Л.Пастернака»	119027, г.Москва, ул. Интернациональная, д.2	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.7 корп.1	(495) 732-42-00, (495) 773-05-94, (495) 736-11-00	(495) 733-05-94	www.pasternak-dms.ru	muz_school104@bk.ru
47	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Кара-Караева»	115407, г.Москва, Нагатинская наб., д.54, кв.149	Южный АО	Нагатинский затон	115470, г.Москва, Нагатинская наб., д.54	(499) 782-13-12	(499) 782-13-12	http://dmsh-karaeva.msk.muzkult.ru/	sandler48@mail.ru
48	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Б.А.Чайковского»	117525, г.Москва, ул. Днепропетровская, д.8а	Южный АО	Чертаново Северное	117525, г.Москва, ул. Днепропетровская, д.8а	(495) 311-16-73, (495) 312-10-00, (495) 312-24-81	(495) 312-10-00	bchaikovskydmsh.narod.ru	dmsh-60@yandex.ru
49	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Б.В.Асафьева»	115407, г.Москва, ул. Затонная, д.7 корп.3	Южный АО	Нагатинский затон	115407, г.Москва, ул. Затонная, д.7 корп.3	(499) 614-66-48, (499) 614-66-55	(499) 614-66-48	сайт в разработке	dmsh56@mail.ru
50	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.Я.Шебалина»	115563, г.Москва, Борисовский пр-д, д.12 корп.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр-д, д.12 корп.2	(495) 394-23-22, (495) 394-02-90	(495) 394-23-22	dmsh48.ru	shebalin48@gmail.com
51	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №64»	119311, г.Москва, ул. Надежды Крупской, д.10	Юго-Западный АО	Ломоносовский	119311, г.Москва, ул. Надежды Крупской, д.10	(499) 131-80-00	(499) 131-80-00	dmsh64.msk.muzkult.ru	dmsh-64@mail.ru
52	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени Гнесиных»	121309, г.Москва, ул. Большая Филевская, д.29	Западный АО	Филевский парк	121309, г.Москва, ул. Большая Филевская, д.29	(499) 142-23-24, (499) 142-08-74, (499) 142-19-30	(499) 142-19-30, (499) 142-08-74	gnessin-school.ru	gnessin-school@mail.ru
53	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №76»	121500, г.Москва, пос. Рублево, ул. Советская, д.13 корп.2	Западный АО	Кунцево	121500, г.Москва, пос. Рублёво, ул. Советская, д.13 корп.2	(499) 727-15-04	(499) 727-15-04	dmsh76.msk.muzkult.ru	muisikschool76@mail.ru
54	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №96»	121433, г.Москва, ул. Малая Филевская, д.8 корп.1	Западный АО	Филевский парк	121433, г.Москва, ул. Малая Филевская, д.8 корп.1	(499) 144-06-75	(499) 146-60-65	http://www.dmsh96.ru/	dmsh96@mail.ru
55	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №97»	121374, г.Москва, ул. Алексея Свиридова, д.13 корп.1	Западный АО	Фили-Давыдково	121374, г.Москва, ул. Алексея Свиридова, д.13 корп.1	(495) 443-69-11	(495) 443-69-11	http://www.music-school97.ru/	muzschool97@yandex.ru
56	ГОБУ ВПО "Московский государственный инситут музыки имени А.Г.Шнитке", Детская музыкальная школа им. Ю.А.Шапорина	129090, ул. Садовая-Сухаревская, д.7	Северо-Западный АО	Щукино	123060, г.Москва, ул. Маршала Соколовского, д.10	(499) 194-04-33, (499) 194-83-89	(499) 194-83-89	schnittke-mgim.ru	vimiroshnichenko@schnittke-mgim.ru
57	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Т.Гречанинова»	127566, г.Москва, Северный б-р, д.7 корп.1	Северо-Восточный АО	Отрадное	127566, г.Москва, Северный б-р, д.7 корп.1	(499) 204-45-78, (499) 204-38-22, (499) 204-12-36	(499) 204-45-78, (499) 204-38-22, (499) 204-12-36	dmsh28.ru	musikschool@dmsh28.ru
58	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.П.Осипова»	129110, г.Москва, пр-т Мира, д.71 стр.3	Центральный АО	Мещанский	129110, г.Москва, пр-т Мира, д.71 стр.3	(495) 681-35-62, (495) 681-19-63	(495) 681-35-62	dmshosipova.narod2.ru	sch-osipov@bk.ru
59	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.С.Калинникова»	127576, г.Москва, ул. Абрамцевская, д.1	Северо-Восточный АО	Северный	127204, г.Москва, ул. 7-я Северная линия, д.2	(499) 767-78-09, (499) 767-17-92, (499) 767-90-22, (499) 767-78-11	(499) 767-78-09	http://dmsh-kalinnikova.msk.muzkult.ru/	4997677809@mail.ru
60	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.С.Аренского»	109457, г.Москва, ул. Федора Полетаева, д.20 корп.2 стр.1	Юго-Восточный АО	Кузьминки	109457, г.Москва, ул. Федора Полетаева, д.20 корп.2 стр.1	(499) 172-79-22, (499) 172-18-24	(499) 172-17-98	http://arenski.msk.muzkult.ru/	dmsh.arenski@mail.ru
61	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Э.Г.Гилельса»	117639, г.Москва, Черноморский б-р, д.1 корп.2	Южный АО	Нагорный	117639, г.Москва, Черноморский б-р, д.1 корп.2	(499) 610-87-02, (499) 610-18-48	(499) 610-18-48	http://shkolagilelsa.narod.ru/	shkolagilelsa@mail.ru
62	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.П.Мусоргского»	124536, г.Москва, Зеленоград, ул. Юности, д.7	Зеленоградский АО	Матушкино-Савелки	124536, г.Москва, Зеленоград, ул. Юности, д.7	(499) 734-45-40, (499) 734-26-14	(499) 734-45-40, (499) 734-26-14	vk.com/dmsh53	muzshkola53@mail.ru
63	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Ф.Гедике»	107370, г.Москва, ул. Бойцовая, д.14	Восточный АО	Богородское	107370, г.Москва, ул. Бойцовая, д.14 корп.7а	(495) 160-07-13	(495) 160-76-40, (495) 160-30-03	dmsh-gedike.msk.muzkult.ru	dmshgedike@mail.ru
64	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №59»	105173, г.Москва, ул. Западная, д.7	Восточный АО	Поселок Восточный	105173, г.Москва, ул. Западная, д.7	(499) 780-95-64	(499) 780-95-64	http://dmsh59.msk.muzkult.ru/	info@muzkult.ru
65	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Д.Д.Шостаковича»	111402, г.Москва, аллея Жемчуговой, д.1б	Восточный АО	Вешняки	111402, г.Москвы, Аллея Жемчуговой, д.1б	(495) 375-10-40, (495) 375-09-07	(495) 375-13-60	dmsh.su	dmshddsh@mail.ru
66	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №68 Р.К.Щедрина»	105122, г.Москва, Сиреневый б-р, д.4	Восточный АО	Северное Измайлово	105122, г.Москва, Сиреневый б-р, д.4	(499) 164-32-52	(499) 164-32-52	dmsh68.ucoz.ru	info@dmsh68.ru
67	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №82»	107241, г.Москва, Щелковское ш., д.29А	Восточный АО	Гольяново	107241, г.Москва, Щелковское ш., д.29 стр.А	(495) 462-59-48, (495) 462-28-70	(495) 462-28-70	dms82.ru	2music@list.ru
68	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №82»	107207, г.Москва, ул. Алтайская, д.10а	Восточный АО	Гольяново	107241, г.Москва, Щелковское ш., д.29 стр.А	(495) 462-59-48, (495) 462-28-70	(495) 462-28-70	dms82.ru	2music@list.ru
69	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №103»	107497, г.Москва, ул. Новосибирская, д.3а	Восточный АО	Гольяново	107497, г.Москва, ул. Новосибирская, д.3А	(495) 468-17-31	(495) 468-16-31	http://dmsh103.msk.muzkult.ru/	DMSH103@gmail.com
70	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.К.Глазунова»	109382, г.Москва, ул. Верхние поля, д.11 корп.2	Юго-Восточный АО	Люблино	109382, г.Москва, ул. Верхние поля, д.11 корп.2	(495) 351-41-80	(495) 351-41-80	http://dmsh33.msk.muzkult.ru/	DMSH33@yandex.ru
71	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Г.Г.Нейгауза»	109428, г.Москва, ул. Михайлова, д.20 корп.2	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Михайлова, д. 20 корп. 2	(499) 170-47-62, (499) 171-06-88	(499) 171-80-80	dmsh34.ru	kobrinae@mail.ru
72	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №35»	115432, г.Москва, ул. Трофимова, д.15а	Юго-Восточный АО	Южнопортовый	115432, г.Москва, ул. Трофимова, д.15а	(495) 679-19-33, (495) 679-37-07	(495) 679-07-37, (495) 679-65-08	http://dmsh35.msk.muzkult.ru/	dmsh_35@mail.ru
73	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.И.Глинки»	109383, г.Москва, ул. Шоссейная, д.74	Юго-Восточный АО	Печатники	109383, г.Москва, ул. Шоссейная, д.74	(495) 354-99-91, (495) 354-83-54	(495) 354-99-91	http://dmsh-glinki.msk.muzkult.ru/	shkolaglinki@mail.ru
74	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.Н.Калинина»	109429, г.Москва, 2-й квартал Капотни, д.3	Юго-Восточный АО	Капотня	109429, г.Москва, 2-й квартал Капотни, д.3	(495) 355-44-01, (495) 355-43-01	(495) 355-44-01, (495) 355-43-01	vk.com/club39086510	dmsh-69@mail.ru
75	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.П.Бородина»	109390, г.Москва, ул. Люблинская, д.21 корп.2	Юго-Восточный АО	Текстильщики	109390, г.Москва, ул. Люблинская, д.21 корп.2	(499) 179-64-69, (499) 179-13-00	(499) 179-64-69, (499) 176-97-49	vk.com›dmsh89	borodindmsh@yandex.ru
76	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №91»	111024, г.Москва, ш. Энтузиастов, д.22/18	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.22/18	(495) 362-25-18	(495) 362-25-18	musicschool91.ru	91dmschool@mail.ru
77	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №4»	115516, г.Москва, ул. Бехтерева, д.27	Южный АО	Царицыно	115516, г.Москва, ул. Бехтерева, д.27	(495) 325-07-76, (495) 325-38-53	(495) 325-07-76	dmsh4.edu.mhost.ru	dmsh4msk@yandex.ru
