№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
35	Государственное бюджетное учреждение культуры города Москвы «Государственный музей истории «ГУЛАГа»	127051, г.Москва, ул. Петровка, д.16	Центральный АО	Тверской	127051, г.Москва, ул. Петровка, д.16	(495) 621-73-35, (495) 621-73-10	(495) 621-73-15	gmig.ru	muzeigulaga@cumail.ru
36	Государственное бюджетное учреждение культуры города Москвы «Музей В.А.Тропинина и московских художников его времени»	119017, г.Москва, Щетининский пер., д.10 стр.1	Центральный АО	Якиманка	119017, г.Москва, Щетининский пер., д.10 стр.1	(495) 959-22-20, (495) 959-10-02	(495) 959-22-20	museum.M342.ru	muzeitropinina@cumail.ru
37	Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Народного художника СССР А.Шилова»	119019, г.Москва, ул. Знаменка, д.5	Центральный АО	Хамовники	119019, г.Москва, ул. Знаменка, д.5	(495) 697-42-08, (495) 697-69-75	(495) 697-69-75	amshilov.ru	galereyashilova@cumail.ru
38	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»	119021, Москва, Зубовский бульвар, д.2	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
39	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей археологии Москвы	125009, г.Москва, Манежная пл., д.1а	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
40	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей русской усадебной культуры	109472, г.Москва, ул. Тополевая аллея, д.6 стр.1	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
41	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей "Английское подворье	109012, г.Москва, ул. Варварка, д.4а	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
42	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей истории Лефортово	111020, г.Москва, ул. Крюковская, д.23	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
43	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей С.А.Есенина»	115054, г.Москва, Большой Строченовский пер., д.24 стр.2	Центральный АО	Замоскворечье	115054, г.Москва, Большой Строченовский пер., д.24 стр.2	(495) 954-97-64, (495) 958-16-74	(495) 954-97-66	mgme.ru	muzeiesenina@cumail.ru
44	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал «Музей-квартира В.Э. Мейерхольда»	Брюсов пер., д.12, под. 2, кв.11	ЦАО	Тверской		(495) 629-53-22	(495) 629-53-22	www.gctm.ru	" gctm@gctm.ru"
45	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальная музей-квартира актерской семьи М.В. и А.А. Мироновых и А.С. Менакера	М. Власьевский пер., д.7, кв.8	ЦАО	Хамовники		(499) 241-61-97 (499) 241-59-50	(499) 241-61-97 (499) 241-59-50	museum.ru/M2635	gstm@mail.ru, muz-mir@mail.ru
46	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Мемориальная музей-квартира Г.С. Улановой	Котельническая наб., д.1/15, кв. 185	ЦАО	Таганский		(495) 915-44-47	(495) 915-44-47	gctm.ru	gctm@gctm.ru
47	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Театральная галерея на Малой Ордынке	Малая Ордынка, 9/12, стр. 1	ЦАО	Замоскворечье		(495) 953-12-45, (495) 951-11-40. Факс: (495) 953-12-45, (495) 953-54-48	(495) 953-12-45, (495) 951-11-40. Факс: (495) 953-12-45, (495) 953-54-48	gctm.ru	gctm@gctm.ru
48	Государственный Литературный музей	ул. Петровка, д.28	ЦАО	Тверской		8(495) 680-3017, 8(495) 621-3857, 625-12-26	(495) 624-60-24	goslitmuz.ru	litmuz@yandex.ru
49	Государственный Литературный музей, Филиал «Музей литературы Серебряного века», Дом В.Я. Брюсова	Проспект Мира, д. 30	ЦАО	Мещанский		(495) 680-86-83	(495) 680-86-83	goslitmuz.ru/ru/bryusov-museum	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
50	Государственный Литературный музей, Филиал Музей А.И. Герцена	пер. Сивцев Вражек, д.27	ЦАО	Хамовники		(499) 241-17-96	(499) 241-17-968,  (499) 241-58-59	http://www.litmuz.ru	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
51	Государственный Литературный музей, Филиал «Дом-музей А.П. Чехова»	Ул. Садово-Кудринская, д. 6	ЦАО	Пресненский		691-38-37	(495) 691-38-37	http://www.litmuz.ru	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
52	Государственный Литературный музей, Филиал Дом И.С. Остроухова – выставочные залы	Трубниковский пер., д.17	ЦАО	Арбат		695-46-18	695-46-18	http://www.litmuz.ru	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
53	Государственный Литературный музей, Филиал Дом-музей М.Ю. Лермонтова	ул. Малая Молчановка, 2	ЦАО	Арбат		8 (495) 691-52-98	8 (495) 691-52-98	http://www.litmuz.ru	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
54	Государственный Литературный музей, Филиал Мемориальный музей-квартира А.Н. Толстого	ул. Спиридоновка, 2 стр.1	ЦАО	Персненский		(495) 690-09-56	(495) 690-09-56	goslitmuz.ru/ru/tolstoy-museum	litmuz@orc.ru,litmuz@yandex.ru, nbondi@yandex.ru
55	Государственный музей Л. Н. Толстого	ул. Пречистенка, д.11/8	ЦАО	Хамовники		8(499)766-9628	8(499)766-9628	www.tolstoymuseum.ru	tolstoy@museum.comsat.ru
56	Государственный музей Л. Н. Толстого, Филиал Музей-усадьба Л.Н. Толстого «Хамовники»	ул. Л.Толстого, д. 21	ЦАО	Хамовники		8(499)766-9628,  (499) 246-94-44	8(499)766-9628,  (499) 246-94-44	old.tolstoymuseum.org/museum/hamovniki.html	tolstoy@museum.comsat.ru
57	Музей истории войск Московского военного округа,Дом офицеров Московского военного округа	1-й Краснокурсантский проезд, 1/4	ЮВАО	Лефортово		(495) 261-5576	(495) 261-5576	www.museum.ru/m354	Нет
58	Музей трудовой славы Карачаровского механического завода	Рязанский пр-т., 2.	ЮВАО	Нижегородский		(495) 174-4935	(495) 174-4935	www.museum.ru/M1671	Нет
59	Центральный музей Внутренних войск МВД России	Красноказарменная ул., 9а стр2	ЮВАО	Лефортово		(495) 361-8587, 361-8588	(495) 361-8587, 361-8588	www.museum.ru/m344	Нет
60	Музей истории Московской городской психиатрической больницы им. Н.А.Алексеева	Загородное шоссе, 2, Больница им. Н.А. Алексеева	ЮАО	Донской		(495)954-90-02 (доб.111), (495) 952-8833, 954-9002 (доб. 111), (495)952-87-90	954-22-94	museum.ru/M1714	info@pkb1.mosgorzdrav.ru
61	Музей "Русские валенки"	2-ой Кожевнический переулок, д.12	ЮАО	Даниловский		(495)77-525 -77, 8 (910) 402 - 59 - 13	(495)77-525 -77, 8 (910) 402 - 59 - 13	www.gorizont.org/muzey	elvira-valenki@yandex.ru
62	Музей художественных тканей Московской государственной текстильной академии им.А.Н.Косыгина	ул. Малая Калужская, д.1.	ЮАО	Донской		(495) 952-7172, 955-3722, 952-7533	(495) 952-7172, 955-3722, 952-7533	www.msta.ac.ru/museum3	postmast@mail.msta.ac.ru
63	Минералогический музей им. А.Е.Ферсмана РАН, РАН	Ленинский просп., 18, к. 2	ЮАО	Донской		(495) 954-3900, 954-1859	(495) 954-3900, 954-1859	www.fmm.ru	min@minmuz.msk.su
64	Музей истории открытого акционерного общества "ЗВИ" (завода имени Владимира Ильича)	Партийный пер., 1	ЮАО	Даниловский		(495) 235-8706 495-235-5850,	495-235-95-09	www.museum.ru/m1661	Нет
65	Московский музей образования (музей «Волшебный букварь»)	Вишняковский пер., 12	ЦАО	Замоскворечье		951-50-33148-34-45	'951-50-33148-34-45	www.int-edu.ru/museum	intsite@int-edu.ru
66	Научно-мемориальный музей Н.Е.Жуковского	ул. Радио, д. 17	ЦАО	Басманный		495) 916-90-91 доб.: 41-85, 42-30	495) 916-90-91 доб.: 41-85, 42-30	www.museum.ru/M351	Нет
67	Выставочный центр Всероссийской библиотеки иностранной литературы им.М.И.Рудомино	Николоямская ул., д.1	ЦАО	Таганский		495-915-35-03	495-915-35-17	www.museum.ru/M185	informcentre@libfl.ru, feoktist@libfl.ru
68	Музей А.М.Горького Института мировой литературы им. А.М.Горького РАН	Поварская ул., 25а	ЦАО			(495) 290-5130 (495) 290-0535	(495) 290-5130 (495) 290-0535	www.imli.ru	info@imli.ru
69	Музей антропологии и этнографии имени Петра Великого	ул. Большая Серпуховская, 60	ЦАО						
70	Музей АО «Красная роза»	Ул. Тимура Фрунзе, д.11, кор.2	ЦАО	Хамовники		495-246-20-95	495-246-20-95	www.museum.ru/M1707	Нет
71	Музей барона Мюнхгаузена	ул.Народного Ополчения, д. 12, кор. 6.	САО	Хорошово-Мневники		(495) 728-88-64	(495) 728-88-64	www.munchhausen.ru	post@munchhausen.ru
72	Музей Буратино-Пиноккио	2-ая Парковая ул., д.18	ВАО	Измайлово		(499) 164-05-76, (916) 087-1223	(499) 164-05-76, (916) 087-1223	www.domskazok.ru	domskazok1995@mail.ru
73	Музей воды	Саринский пр., 13	ЦАО	Таганский		495-276-92-13	495-276-92-13	www.mosvodokanal.ru, www.museum.ru/M345	Нет
74	Музей детского музыкального театра им. Н.Сац	пр-т Вернадского, 5.	ЗАО			(495) 930-2990	(495) 930-2990	www.museum.ru/M1732	Нет
75	Музей землеведения МГУ Ленинские горы, Московский государственный университет им. М.В. Ломоносова.	Ленинские горы, 1	ЗАО	Раменки		(495) 939-2976	(495) 939-2976	http://www.museum.msu.ru/, http://www.msu.ru	info@mes.msu.ru
76	Музей истории Акционерного московского общества "Завод им. Лихачева"	Автозаводская ул., 23.	ЮАО	Даниловский		(495) 277-2208, 277-9620	(495) 277-2208, 277-9620	www.museum.ru/M1685	Нет
77	Музей истории Афганской войны	Авиационная ул., 68	ВАО	Щукино		495-193-30-65	495-193-30-65	www.museum.ru/m2116	Нет
78	Музей истории вычислительной техники	ул. Егерская, 4 , гимназия N1530	ВАО	Сокольники		(905) 748 26 46, (495) 603 06 52	(905) 748 26 46, (495) 603 06 52	www.museum.ru/m2744	zlato@orc.ru
79	Музей истории Государственного университета по землеустройству	ул. Казакова, 15 К-64, ГУЗ, Музей.	ЦАО	Басманный		(495) 261-7201	(495) 261-7201	www.museum.ru/M1748	Нет
80	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Музей русской гармоники А.Мирека	125047, г.Москва, ул. 2-я Тверская-Ямская, д.18	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
81	Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Василия Нестеренко»	129626, г.Москва, ул. 3-я Мытищинская, д.16 стр.47	Северо-Восточный АО	Арбат	119002, г.Москва, ул. Арбат, д.44 стр.2	(495) 641-57-86, (495) 687-93-12	(495) 641-57-86	vnesterenko.ru	gallerynesterenko@cumail.ru
82	Государственное бюджетное учреждение культуры города Москвы «Государственный музей керамики и «Усадьба Кусково XVIII века»	111402, г.Москва, ул. Юности, д.2	Восточный АО	Вешняки	111402, г.Москва, ул. Юности, д.2	(495) 370-01-50, (495) 918-65-40	(495) 918-65-40	kuskovo.ru	usadbakuskovo@cumail.ru
83	Государственное бюджетное учреждение культуры города Москвы «Музей наивного искусства»	111396, г.Москва, Союзный пр-т, д.15а	Восточный АО	Новогиреево	111396, г.Москва, Союзный пр-т, д.15а	(495) 301-03-48, (495) 303-15-14	(495) 303-15-14	naive-art-museum.narod.ru	musnaive@cumail.ru
84	Государственное бюджетное учреждение культуры города Москвы «Московский литературный музей-центр К.Г.Паустовского»	109472, г.Москва, ул. Кузьминская, д.8	Юго-Восточный АО	Кузьминки	109472, г.Москва, ул. Кузьминская, д.8	(499) 172-77-91	(499) 172-77-91	mirpaustowskogo.ru	museipaustovskogo@cumail.ru
85	Государственное бюджетное учреждение культуры города Москвы «Государственный историко-архитектурный, художественный и ландшафтный музей-заповедник «Царицыно»	115569, г.Москва, ул. Дольская, д.1	Южный АО	Царицыно	115569, г.Москва, ул. Дольская, д.1	(495) 321-63-66, (495) 321-80-39	(495) 321-80-39	tsaritsyno-museum.ru	museumcaritsino@cumail.ru
86	Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник»	115487, г.Москва, пр-т Андропова, д.39	Южный АО	Нагатинский затон	115487, г.Москва, пр-т Андропова, д.39	(499) 612-52-17	(499) 612-11-55	mgomz.ru	museumkolomenskoe@cumail.ru
87	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочный центр «Музей Моды»	115093, г.Москва, Партийный пер., д.1 корп.58 стр.1, оф.24	Южный АО	Замоскворечье	111020, г.Москва, ул. Крюковская, д.23	(495) 926-48-29	(495) 926-48-29	vk.com/fashionmuseum	museummodi@cumail.ru
88	Государственное бюджетное учреждение культуры города Москвы «Государственный Дарвиновский музей»	117292, г.Москва, ул. Вавилова, д.57	Юго-Западный АО	Академический	117292, г.Москва, ул. Вавилова, д.57	(499) 134-49-21, (499) 783-22-54	(499) 783-22-54	darwin.museum.ru	museumdarvin@cumail.ru
89	Государственное бюджетное учреждение культуры города Москвы «Государственный музей обороны Москвы»	119602, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.3	Западный АО	Тропарево-Никулино	119602, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.3	(495) 437-60-66, (495) 437-60-74	(495) 437-60-68	gmom.su	museioboronimoskvi@cumail.ru
90	Государственное бюджетное учреждение культуры города Москвы «Музей-панорама «Бородинская битва»	121170, г.Москва, Кутузовский пр-т, д.38	Западный АО	Дорогомилово	121170, г.Москва, Кутузовский пр-т, д.38	(499) 148-94-89, (499) 148-56-76	(499) 148-56-76	1812panorama.ru	museiborodbitva@cumail.ru
91	Государственное бюджетное учреждение культуры города Москвы «Музейно-мемориальный комплекс истории Военно-морского флота России»	125362, г.Москва, ул. Водников, д.2 стр.17	Северо-Западный АО	Северное Тушино	107031, г.Москва, ул. Неглинная, д.8/10	(499) 729-66-62, (499) 729-66-02	(499) 729-66-02	museum-vmf.ru	museumvmf@cumail.ru
92	Государственное бюджетное учреждение культуры города Москвы «Государственный Зеленоградский историко-краеведческий музей»	124575, г.Москва, Зеленоград, ул. Гоголя, д.11в	Зеленоградский АО	Матушки-Савелки	124575, г.Москва, Зеленоград, ул. Гоголя, д.11в	(499) 731-45-12, (499) 732-21-22	(499) 731-45-12, (499) 732-21-22	zelmuseum.ru	muszelkraeved@cumail.ru
93	Государственное бюджетное учреждение культуры города Москвы «Музейно-мемориальный комплекс «История танка Т-34»	Мытищинский район, деревня Шолохово, дом 89А	Северо-Восточный АО	Мытищинский	141730, г.Лобня, ул. Чехова, д.5	(495) 577-71-94, (495) 577-51-50,  (495) 577-74-01, (495) 577-77-10	(495) 577-74-01	museum-t-34.ru	museitanka@cumail.ru
94	Государственный музей Л. Н. Толстого, Филиал Толстовский культурный центр	ул. Пятницкая, д.12	ЦАО	Замоскворечье		(495) 951-58-08	(495) 951-58-08	www.tolstoymuseum.ru	tolstoy@museum.comsat.ru
95	Политехнический музей	Новая пл., д.3/4	ЦАО	Тверской		628-96-63628-86-84 621-10-41	628-96-63628-86-84 621-10-41	www.polymus.ru	info@polymus.ru
